Resort Region ,Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul,Aug ,Sep ,Oct ,Nov ,Dec 
Colombo City ,114235,102065,104985,95674,77110,62962,76225,89234,89652,129388,174598,184531
Greater Colombo ,96447,89559,97981,82087,62884,62043,82658,65684,66772,87251,142209,148284
I. North of Colombo ,78796,72651,75639,67564,50987,46016,61880,49231,49987,65798,99853,113756
II. South of Colombo  ,17651,16908,22342,14523,11897,16027,20778,16453,16785,21453,42356,34528
South Coast ,106815,103107,105614,95542,75766,80150,114582,97910,102215,157352,238472,228470
I. Upto Galle ,95581,82342,93425,77001,62343,62435,83573,76589,84563,136587,185020,169675
II. Beyond Galle ,11234,20765,12189,18541,13423,17715,31009,21321,17652,20765,53452,58795
East Coast ,4009,3879,6098,3543,3098,3676,6674,5132,4345,6785,12435,19524
High Country ,16754,14765,17612,12435,10954,8535,10567,16654,16843,17896,22312,26754
Ancient Cities ,59261,68104,71565,65317,49107,42024,72444,59260,55215,77754,102285,127352
I. Kandy Area ,29815,30876,33121,29756,26548,24081,42987,34521,30253,42156,49864,61864
II. Anuradhapura Area ,2789,2354,3452,2254,1908,1568,3876,4098,3675,3875,15643,17643
III. Polonnaruwa / Giritale ,6923,5002,5231,4542,3897,2869,3658,2654,2342,7189,6902,14969
IV. Habarana/Sig/Dam ,19734,29872,29761,28765,16754,13506,21923,17987,18945,24534,29876,32876
Northern Region ,,,,,,,,,,,,
