Resort Region,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
Colombo City ,120991,111833,"97,530","79,494","108,577","82,654","110,074","154,401","105,926","111,051","87,602","182,961"
Greater Colombo ,123763,112617,"117,334","78,357","64,297","78,677","115,546","107,557","113,442","109,110","104,957","157,884"
I. North of Colombo ,"98,958",89720,"89,335","51,295","51,295","65,990","80,884","84,310","85,505","79,868","78,296","11,862"
II. South of Colombo  ,"24,805",22897,"27,999","13,632","13,632","12,687","34,662","23,247","27,937","29,242","26,658","46,022"
South Coast ,222815,230457,"219,397","145,694","134,155","127,047","181,128","152,429","216,624","204,079","203,567","268,181"
I. Upto Galle ,169429,181080,"172,475","117,740","106,928","106,402","146,759","121,627","170,026","165,634","162,979","202,899"
II. Beyond Galle ,53386,49377,"46,922","27,954","27,227","20,645","34,369","30,802","46,598","38,545","40,588","65,282"
East Coast ,13419,16281,"10,949","9,521","6,675","9,082","11,311","13,930","11,770","11,114","12,230","19,473"
High Country ,32871,37798,"31,501","25,739","12,269","15,089","31,002","33,380","34,108","22,787","28,359","31,435"
Ancient Cities ,118384,136979,"128,110","77,455","90,756","73,202","110,411","135,085","123,844","109,437","108,498","148,091"
I. Kandy Area ,49129,56106,"53,864","35,130","42,948","33,963","53,166","63,165","52,499","52,137","49,985","65,633"
II. Anuradhapura Area ,11250,12044,"10,455","6,399","5,714","5,113","7,434","11,266","11,479","7,608","6,727","12,400"
III. Polonnaruwa / Giritale ,47921,57941,"52,715","28,599","35,999","27,473","40,537","49,877","50,243","40,519","42,255","56,136"
IV. Habarana/Sig/Dam ,10084,10888,"11,076","7,327","6,095","6,653","9,274","10,777","9,623","9,173","9,531","13,922"
Northern Region ,775,782,733,369,255,351,840,562,782,931,356,"1,108"
