Resort Region,Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec 
Colombo City ,258688,247647,249976,220991,247086,232719,244179,251813,235332,233861,247757,251780
Greater Colombo ,156159,153524,153144,133606,130621,134666,142053,145603,142546,132988,135204,143375
I. North of Colombo ,134880,132754,131575,114051,109241,112048,120897,124689,120273,111706,112665,121373
II. South of Colombo  ,21279,20770,21569,19555,21380,22618,21156,20914,22273,21282,22539,22002
South Coast ,408590,400426,377478,354551,345406,357537,373344,363364,390649,380687,379702,389360
I. Upto Galle ,268201,261181,247985,237955,227168,229018,235627,223128,255282,247594,252093,255559
II. Beyond Galle ,140389,139245,129493,116596,118238,128519,137717,140236,135367,133093,127609,133801
East Coast ,50456,52245,53091,44341,46471,48468,50573,56199,54066,49075,44393,49368
High Country ,61605,60799,62868,53424,54972,52723,62171,64140,64225,56040,60858,62102
Ancient Cities ,186762,185455,172274,169826,154107,164404,167141,181763,183498,171672,177686,177423
I. Kandy Area ,76204,78212,69756,73658,68006,69637,67071,71869,78252,70067,74400,69028
II. Anuradhapura Area ,19737,20073,20720,20836,15724,15082,18699,20255,18699,18715,19103,20033
III. Polonnaruwa / Giritale ,18516,18763,18031,14414,16240,14845,16459,18102,17985,16935,18336,16718
IV. Habarana/Sig/Dam ,72305,68407,63767,60918,54137,64840,64912,71537,68562,65955,65847,71644
Northern Region ,5157,4660,4713,3989,3943,4661,4533,4817,4625,4557,4355,4938
, , , , , , , , , , , , 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, , , , , , , , , , , , 
