Resort Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Colombo City ,10825,11616,9300,8059,9037,6400,6919,16352,14208,14302,16165,19550
Greater Colombo ,18542,17273,15284,14959,15317,15305,15011,21122,16558,17914,15292,21727
I. North of Colombo ,10478,10278,8857,8975,8597,9289,7796,12998,9424,10790,8604,12226
II. South of Colombo  ,8064,6995,6427,5984,6720,6016,7215,8124,7134,7124,6688,9501
South Coast ,32297,30447,24426,38290,27748,38119,30514,56521,30611,29751,31209,43235
I. Upto Galle ,22655,20203,16105,27435,22133,28324,22777,42732,20187,21584,25238,35333
II. Beyond Galle ,9642,10244,8321,10855,5615,9795,7737,13789,10424,8167,5971,7902
East Coast ,5867,4881,4857,12923,5536,12034,7836,9337,5299,8086,6360,8905
High Country ,6739,4308,5339,10415,5903,10217,8094,8088,5192,8439,5304,7449
Ancient Cities ,37172,34095,36731,44548,32406,43744,39129,50432,40204,38267,22069,30897
I. Kandy Area ,19489,18408,19924,21504,18082,21529,17811,21040,19958,17860,6586,9221
II. Anuradhapura Area ,4970,5307,5605,5215,3432,4191,4881,8028,5512,4813,4453,6235
III. Polonnaruwa / Giritale ,7184,5177,5910,11887,6366,11848,9047,12575,8969,8865,6452,9032
IV. Habarana/Sig./Damb. ,5529,5203,5292,5942,4526,6176,7390,8789,5765,6729,4578,6409
Northern Region ,70,59,69,58,94,84,80,159,57,6,84,117
