Resort Region,Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec ,
Colombo City ,25456,24368,24598,22332,23969,23517,24675,25446,23781,24281,25724,26142,
Greater Colombo ,21384,20593,21089,19023,18992,18680,20290,20662,20542,19781,20271,21157,
I. North of Colombo ,15355,15112,14978,13333,12771,13099,14134,14577,14061,13418,13533,14579,
II. South of Colombo  ,6029,5481,6111,5690,6221,5581,6156,6085,6481,6363,6738,6578,
South Coast ,60560,59426,55936,53712,52552,54694,57282,56051,59515,59648,59238,60891,
I. Upto Galle ,35410,34482,32739,32262,30800,31051,31947,30252,34612,34491,35118,35600,
II. Beyond Galle ,25150,24944,23197,21450,21752,23643,25335,25799,24903,25157,24120,25291,
East Coast ,12918,13376,13592,11658,12218,12743,13297,14776,14215,13257,11992,13336,
High Country ,10898,10755,11121,9706,9987,9578,10295,11652,11668,10460,11360,11592,
Ancient Cities ,40061,39836,37254,37479,32936,35875,36412,40164,40321,38902,40290,40230,
I. Kandy Area ,14832,15222,13576,14722,12592,13918,13405,14364,15640,14389,15279,14175,
II. Anuradhapura Area ,5763,5860,6049,6247,4714,4522,5107,6073,5607,5765,5885,6171,
III. Polonnaruwa / Giritale ,5031,5098,4899,4021,4531,4142,4592,5061,5018,4855,5256,4793,
IV. Habarana/Sig./Damb. ,14435,13656,12730,12489,11099,13293,13308,14666,14056,13893,13870,15091,
Northern Region ,1129,1093,1031,897,886,1048,1019,1083,1039,1052,1006,1140,
, , , , , , , , , , , , ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
, ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,, , , , , , , , , , , , 
