Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1971,5931,6570,5166,1539,952,961,1897,2467,1881,2585,4003,5702
1972,5762,5848,5564,3091,3282,2302,3703,4634,3402,4476,6155,7828
1973,9386,8343,7875,5468,4168,3246,5919,6680,4184,5977,7137,9505
1974,10915,9648,9847,6400,3241,3303,5404,6147,4986,6199,8338,10583
1975,11740,10388,11158,5890,5587,4787,5925,8565,5287,7622,11271,14984
1976,15627,15214,13431,8886,6097,4550,4278,3481,6707,10636,13600,16464
1977,17569,18064,18216,9891,7602,5536,9881,11129,7594,11541,17106,19536
1978,23114,22427,20497,11545,8803,7134,13252,15542,10245,14340,20759,24934
1979,28366,25226,25472,18847,13042,10674,16801,20203,14798,19376,25743,31616
1980,36108,33896,34416,21806,19468,15082,22986,27440,19962,23646,23988,37982
1981,45168,39384,38376,28568,21642,16836,28266,32788,24086,27030,29512,39086
1982,40932,40148,42178,29606,28972,25772,30942,34332,29754,30296,33748,40550
1983,49104,44018,44710,32556,32850,24350,25132,8430,10050,16410,20570,29350
1984,33546,32406,32628,23684,18224,17866,26694,27626,21764,25800,27906,29590
1985,28814,27012,29886,19778,14014,11092,18362,20138,15242,18176,23218,31724
1986,32890,30512,28932,19262,13100,9536,12330,15190,12398,12732,18114,25110
1987,25446,23714,22838,16238,8204,7650,10200,11408,10072,12146,14188,20516
1988,20400,19150,19430,13834,11124,11540,17660,18670,14980,16742,10560,8572
1989,12962,12344,16032,12312,12750,11630,15194,17220,14264,15050,18948,26026
1990,26592,26368,26946,22788,18286,18050,26410,26786,22438,23060,24596,35568
1991,28932,28080,27153,20541,17745,17394,30645,28824,24762,25173,28272,40182
1992,35730,38859,33399,28410,21024,23157,33771,40143,29838,32079,35967,41292
1993,42726,40116,37953,29589,22368,20412,32904,32796,27495,30621,35103,40167
1994,45402,41067,41277,28080,21777,21399,35370,32817,31062,33216,33306,42738
1995,45987,42591,40074,33756,24672,22416,35994,35814,30828,30603,28365,32001
1996,30957,29550,26442,20376,17655,19668,25380,24765,23211,23511,24921,35829
1997,32652,35010,34098,26907,22407,23160,30867,32034,29793,28314,31995,38928
1998,37224,35283,32256,25578,20394,22410,29529,31446,31653,31767,38421,45102
1999,44379,41526,41022,34443,25212,26184,33288,39081,33915,35112,41952,40326
2000,43311,43287,40110,33642,23404,21825,33267,34422,31035,26658,32469,36984
2001,44187,46575,44290,36906,26924,28323,28566,15717,11758,12904,17344,23300
2002,28296,31683,33084,27057,26661,26355,35742,35475,32982,36258,37395,42183
2003,40647,39081,40818,33714,30048,31836,43743,42111,36054,49922,54946,57722
2004,49950,43584,38418,30672,30162,32119,50525,48675,51525,59442,64971,66159
2005,38187,36645,50418,42261,40878,45699,56745,51216,43536,44095,48457,51171
2006,52103,52687,54746,49776,43825,44066,55354,52931,38485,38815,37591,39224
2007,56553,43051,35031,33039,26307,30810,44142,44742,37104,37011,45102,61116
2008,56916,40551,38049,29747,31140,27960,32982,30672,29529,35103,36901,48925
2009,38468,34169,34065,26054,24739,30234,42223,41207,37983,37575,44311,56862
2010,50757,57300,52352,38300,35213,44730,63339,55898,47339,52370,72251,84627
2011,74197,65797,75130,63835,48943,53636,83786,72463,60219,69563,90889,97517
2012,85874,83549,91102,69591,57506,65245,90338,79456,71111,80379,109202,122252
2013,110543,113968,113208,80737,74838,90279,107016,123269,90339,107058,109420,153918
2013,110543,113968,113208,80737,74838,90279,107016,123269,90339,107058,109420,153918
2014,146575,141878,133048,112631,90046,103175,133971,140319,105535,121576,119727,178672
2015,156246,165541,157051,122217,113529,115467,175804,166610,143374,132280,144147,206114
2016,194280,197697,192841,136367,125044,118038,209351,186288,148499,150419,167217,224791
2017,219360,197517,188076,160249,121891,123351,205482,190928,145077,152429,167511,244536
2018,238924,235618,233382,180429,129466,146828,217829,200359,149087,153123,195582,253169
