Location,No. of Foreign Tourists,No. of Domestic Tourists
Yala National Park,"98,583","216,666"
Wilpattu National Park,2322,"22,972"
Kumana National Park,820,"16,277"
Udawalawa National Park,"19,901","57,024"
Horton Plains National Park,"29,854","166,818"
Bundala National Park,"4,780","6,616"
Wasgamuwa National Park,367,"18,732"
Minneriya National Park,"23,220","36,449"
Kaudulla National Park,"8,331","7,374"
Lunugamvehera National Park,27,"2,703"
Gal Oya National Park,118,"1,580"
Horagolla National Park,4,"4,895"
Maduru Oya National Park,2,109
Angammedilla National Park,0,"1,483"
Galwaysland National Park,39,"1,182"
Lahugala National Park,25,172
Pigeon Island National Park,"4,185","31,035"
Hikkaduwa National Park,5958,"46,011"
