Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,7,14,N,Partly cloudy,0.0,76,10,1021,58,7,3,5,22,5,1
1/1/2009 01:00,7,11,N,Partly cloudy,0.0,77,10,1021,69,7,3,5,18,5,1
1/1/2009 02:00,7,9,NNE,Overcast,0.0,78,10,1021,81,7,3,5,14,5,1
1/1/2009 03:00,7,6,NNE,Overcast,0.0,79,10,1021,92,7,3,6,9,6,1
1/1/2009 04:00,7,7,SE,Overcast,0.0,77,10,1021,95,7,3,6,11,6,1
1/1/2009 05:00,7,9,SW,Overcast,0.0,76,10,1021,97,7,3,6,12,6,1
1/1/2009 06:00,8,10,NNW,Overcast,0.0,75,10,1021,100,8,3,6,14,6,1
1/1/2009 07:00,8,11,NNW,Overcast,0.0,73,7,1021,97,8,3,6,15,6,1
1/1/2009 08:00,8,12,NNW,Light drizzle,0.1,71,5,1022,95,8,3,6,16,6,1
1/1/2009 09:00,9,13,NNW,Light drizzle,0.1,69,2,1022,92,9,3,7,17,7,1
1/1/2009 10:00,9,14,NW,Light drizzle,0.0,65,5,1022,66,9,3,7,17,7,1
1/1/2009 11:00,10,15,NW,Sunny,0.0,61,7,1022,41,10,3,8,17,8,1
1/1/2009 12:00,10,15,NW,Sunny,0.0,57,10,1021,15,11,2,9,17,9,1
1/1/2009 13:00,10,14,NW,Sunny,0.0,62,10,1022,29,10,3,8,19,8,1
1/1/2009 14:00,9,14,NW,Partly cloudy,0.0,66,10,1023,43,9,3,7,20,7,1
1/1/2009 15:00,8,13,NW,Partly cloudy,0.0,71,10,1023,57,8,3,6,22,6,1
1/1/2009 16:00,8,11,NNW,Partly cloudy,0.0,74,10,1023,58,8,3,6,18,6,1
1/1/2009 17:00,8,9,NNW,Partly cloudy,0.0,76,10,1024,60,8,4,6,15,6,1
1/1/2009 18:00,7,7,N,Partly cloudy,0.0,79,10,1024,61,8,4,6,11,6,1
1/1/2009 19:00,7,6,N,Partly cloudy,0.0,79,10,1024,59,8,4,7,10,7,1
1/1/2009 20:00,7,5,N,Partly cloudy,0.0,79,10,1025,57,8,4,7,8,7,1
1/1/2009 21:00,7,4,N,Partly cloudy,0.0,79,10,1025,54,8,4,7,6,7,1
1/1/2009 22:00,7,5,W,Partly cloudy,0.0,78,10,1025,55,7,4,7,8,7,1
1/1/2009 23:00,7,6,S,Partly cloudy,0.0,77,10,1025,56,7,3,6,10,6,1
2/1/2009 00:00,6,8,E,Partly cloudy,0.0,76,10,1024,56,7,3,5,12,5,1
2/1/2009 01:00,6,7,E,Partly cloudy,0.0,77,10,1025,51,7,3,5,12,5,1
2/1/2009 02:00,6,7,ESE,Partly cloudy,0.0,77,10,1025,47,6,3,5,12,5,1
2/1/2009 03:00,6,7,SE,Partly cloudy,0.0,78,10,1025,42,6,3,5,11,5,1
2/1/2009 04:00,6,9,SE,Partly cloudy,0.0,76,10,1025,36,6,3,5,14,5,1
2/1/2009 05:00,7,11,SE,Clear,0.0,75,10,1026,31,7,2,4,17,4,1
2/1/2009 06:00,7,14,SSE,Clear,0.0,73,10,1026,25,7,2,4,19,4,1
2/1/2009 07:00,8,11,SE,Sunny,0.0,67,10,1026,38,8,2,6,15,6,1
2/1/2009 08:00,9,8,SE,Cloudy,0.0,62,10,1026,51,10,2,9,10,9,1
2/1/2009 09:00,11,5,ESE,Cloudy,0.0,56,10,1027,64,11,3,11,6,11,1
2/1/2009 10:00,11,6,SSE,Cloudy,0.0,55,10,1026,56,11,3,11,6,11,1
2/1/2009 11:00,11,6,SSW,Partly cloudy,0.0,54,10,1025,48,12,3,11,7,11,1
2/1/2009 12:00,12,7,SW,Partly cloudy,0.0,53,10,1024,40,12,3,12,8,12,1
2/1/2009 13:00,11,6,SW,Partly cloudy,0.0,57,10,1024,38,11,3,11,7,11,1
2/1/2009 14:00,10,4,SW,Partly cloudy,0.0,61,10,1024,36,11,4,11,6,11,1
2/1/2009 15:00,10,3,SW,Partly cloudy,0.0,65,10,1024,33,10,4,11,5,11,1
2/1/2009 16:00,10,4,SSW,Partly cloudy,0.0,64,10,1025,28,10,4,10,7,10,1
2/1/2009 17:00,10,5,S,Sunny,0.0,64,10,1025,22,10,4,10,9,10,1
2/1/2009 18:00,9,6,SE,Clear,0.0,64,10,1025,16,10,3,9,11,9,1
2/1/2009 19:00,9,8,SSE,Clear,0.0,64,10,1025,19,10,3,9,14,9,1
2/1/2009 20:00,9,9,SSE,Clear,0.0,64,10,1026,22,9,3,8,16,8,1
2/1/2009 21:00,9,10,SSE,Clear,0.0,64,10,1026,25,9,2,7,19,7,1
2/1/2009 22:00,9,12,SSE,Clear,0.0,63,10,1025,31,9,2,7,22,7,1
2/1/2009 23:00,9,14,SSE,Partly cloudy,0.0,63,10,1025,38,9,2,6,25,6,1
3/1/2009 00:00,8,16,SE,Partly cloudy,0.0,62,10,1025,44,9,2,6,28,6,1
3/1/2009 01:00,8,15,SE,Partly cloudy,0.0,61,10,1025,35,8,1,6,26,6,1
3/1/2009 02:00,8,14,SE,Clear,0.0,60,10,1025,27,8,1,6,25,6,1
