Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,22,9,NE,Mist,0.0,95,2,1011,88,25,21,22,15,22,1
1/1/2017 01:00,22,9,NE,Mist,0.0,95,2,1011,85,25,21,22,17,22,1
1/1/2017 02:00,22,10,NNE,Mist,0.0,95,2,1011,82,25,21,22,18,22,1
1/1/2017 03:00,22,11,NNE,Mist,0.0,95,2,1011,79,25,21,22,19,25,1
1/1/2017 04:00,23,14,NNE,Mist,0.0,88,5,1012,72,26,21,23,21,26,1
1/1/2017 05:00,25,17,NE,Partly cloudy,0.0,81,7,1013,64,27,21,25,23,27,1
1/1/2017 06:00,26,21,NE,Partly cloudy,0.0,74,10,1013,57,28,21,26,24,28,1
1/1/2017 07:00,27,20,NE,Partly cloudy,0.0,68,10,1013,48,29,21,27,24,29,1
1/1/2017 08:00,28,20,NE,Partly cloudy,0.0,61,10,1013,40,30,20,28,23,30,1
1/1/2017 09:00,30,20,NE,Partly cloudy,0.0,55,10,1014,31,32,20,30,23,32,1
1/1/2017 10:00,30,21,NE,Partly cloudy,0.0,52,10,1013,30,32,19,30,24,32,1
1/1/2017 11:00,31,22,NE,Partly cloudy,0.0,48,10,1012,29,33,19,31,25,33,1
1/1/2017 12:00,32,23,NE,Partly cloudy,0.0,45,10,1011,27,33,18,32,26,33,1
1/1/2017 13:00,30,23,NE,Partly cloudy,0.0,51,10,1011,23,32,19,30,29,32,1
1/1/2017 14:00,29,23,NE,Sunny,0.0,57,10,1010,18,30,19,29,32,30,1
1/1/2017 15:00,27,23,NE,Sunny,0.0,64,10,1010,13,29,19,27,34,29,1
1/1/2017 16:00,26,20,NE,Sunny,0.0,72,10,1011,17,27,20,26,32,27,1
1/1/2017 17:00,24,17,NE,Sunny,0.0,80,10,1012,20,26,20,24,30,26,1
1/1/2017 18:00,23,14,NE,Sunny,0.0,88,10,1012,23,25,21,23,27,25,1
1/1/2017 19:00,23,13,NE,Clear,0.0,90,7,1013,31,25,21,23,25,25,1
1/1/2017 20:00,22,12,NE,Mist,0.0,92,5,1013,40,25,21,22,23,25,1
1/1/2017 21:00,22,11,NE,Mist,0.0,94,2,1013,48,25,21,22,21,25,1
1/1/2017 22:00,22,11,NNE,Mist,0.0,95,2,1012,51,25,21,22,20,22,1
1/1/2017 23:00,22,10,NNE,Mist,0.0,95,2,1012,54,24,21,22,20,22,1
2/1/2017 00:00,22,10,NNE,Mist,0.0,95,2,1012,57,24,21,22,19,22,1
2/1/2017 01:00,22,10,NNE,Mist,0.0,95,2,1012,57,24,21,22,19,22,1
2/1/2017 02:00,22,10,NNE,Mist,0.0,95,2,1011,57,24,21,22,19,22,1
2/1/2017 03:00,22,10,NNE,Mist,0.0,95,2,1011,57,24,21,22,19,22,1
2/1/2017 04:00,23,14,NNE,Mist,0.0,88,5,1012,56,26,21,23,21,26,1
2/1/2017 05:00,25,17,NNE,Partly cloudy,0.0,82,7,1012,56,27,21,25,22,27,1
2/1/2017 06:00,26,20,NNE,Partly cloudy,0.0,75,10,1013,56,29,22,26,23,29,1
2/1/2017 07:00,28,21,NNE,Partly cloudy,0.0,69,10,1013,49,30,21,28,24,30,1
2/1/2017 08:00,29,22,NNE,Partly cloudy,0.0,63,10,1013,43,31,21,29,25,31,1
2/1/2017 09:00,30,22,NNE,Partly cloudy,0.0,57,10,1013,36,33,21,30,26,33,1
2/1/2017 10:00,30,23,NNE,Partly cloudy,0.0,59,10,1013,37,33,21,30,29,33,1
2/1/2017 11:00,29,24,NNE,Patchy rain possible,0.5,61,9,1012,37,32,21,29,32,32,1
2/1/2017 12:00,29,25,NNE,Patchy rain possible,0.6,63,9,1011,37,32,21,29,34,32,1
2/1/2017 13:00,28,22,NNE,Patchy rain possible,0.3,67,9,1011,41,31,21,28,32,31,1
2/1/2017 14:00,27,20,NNE,Partly cloudy,0.0,71,10,1011,46,30,21,27,30,30,1
2/1/2017 15:00,26,17,NNE,Partly cloudy,0.0,75,10,1011,50,28,21,26,28,28,1
2/1/2017 16:00,25,16,NNE,Partly cloudy,0.0,80,10,1012,40,27,21,25,28,27,1
2/1/2017 17:00,24,15,NNE,Patchy rain possible,0.1,84,9,1013,30,26,21,24,27,26,1
2/1/2017 18:00,23,14,NNE,Patchy rain possible,0.1,89,9,1013,19,25,21,23,26,25,1
2/1/2017 19:00,23,13,NNE,Patchy rain possible,0.0,90,9,1013,21,25,21,23,25,25,1
2/1/2017 20:00,23,12,NNE,Clear,0.0,92,10,1014,23,25,21,23,24,25,1
2/1/2017 21:00,22,12,NNE,Clear,0.0,93,10,1014,25,25,21,22,22,25,1
2/1/2017 22:00,22,12,NNE,Clear,0.0,93,7,1013,25,25,21,22,22,25,1
2/1/2017 23:00,22,11,NE,Mist,0.0,94,5,1013,26,25,21,22,21,25,1
3/1/2017 00:00,22,11,NE,Mist,0.0,94,2,1012,27,25,21,22,20,25,1
3/1/2017 01:00,22,12,NE,Mist,0.0,94,5,1012,25,25,21,22,22,25,1
3/1/2017 02:00,22,12,NE,Clear,0.0,94,7,1012,23,25,21,22,23,22,1
3/1/2017 03:00,22,13,NE,Clear,0.0,94,10,1012,21,25,21,22,25,22,1
3/1/2017 04:00,23,15,NE,Clear,0.0,88,10,1013,18,26,21,23,25,26,1
3/1/2017 05:00,25,18,NE,Clear,0.0,81,10,1013,16,27,21,25,25,27,1
3/1/2017 06:00,26,20,NE,Clear,0.0,74,10,1014,13,28,21,26,25,28,1
3/1/2017 07:00,28,21,NE,Sunny,0.0,63,10,1013,17,30,20,28,25,30,1
3/1/2017 08:00,30,22,NE,Partly cloudy,0.0,53,10,1013,22,32,19,30,26,32,1
3/1/2017 09:00,32,23,NNE,Partly cloudy,0.0,42,10,1013,26,33,18,32,26,33,1
3/1/2017 10:00,32,24,NNE,Partly cloudy,0.0,42,10,1013,29,33,18,32,27,33,1
3/1/2017 11:00,32,24,NNE,Partly cloudy,0.0,42,10,1012,32,33,17,32,28,33,1
3/1/2017 12:00,32,25,NNE,Partly cloudy,0.0,42,10,1011,35,33,17,32,29,33,1
3/1/2017 13:00,30,24,NNE,Partly cloudy,0.0,47,10,1011,27,32,18,30,30,32,1
3/1/2017 14:00,29,23,NNE,Sunny,0.0,53,10,1011,20,30,18,29,32,30,1
3/1/2017 15:00,27,23,NE,Sunny,0.0,59,10,1011,12,29,19,27,34,29,1
3/1/2017 16:00,26,20,NE,Sunny,0.0,69,10,1011,11,27,19,26,32,27,1
3/1/2017 17:00,24,17,NE,Sunny,0.0,79,10,1012,9,26,20,24,29,26,1
