Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2014 00:00,25,14,NNE,Cloudy,0.0,84,10,1011,67,27,22,25,23,27,1
1/1/2014 01:00,25,15,NNE,Cloudy,0.0,84,10,1011,69,27,22,25,24,27,1
1/1/2014 02:00,25,15,NNE,Cloudy,0.0,84,10,1011,70,27,22,25,24,27,1
1/1/2014 03:00,25,16,NNE,Cloudy,0.0,84,10,1011,72,27,22,25,25,27,1
1/1/2014 04:00,25,16,NNE,Cloudy,0.0,83,10,1012,70,27,22,25,24,27,1
1/1/2014 05:00,25,16,NNE,Cloudy,0.0,81,10,1013,67,27,22,25,24,27,1
1/1/2014 06:00,25,17,NNE,Cloudy,0.0,80,10,1013,65,28,22,25,24,28,1
1/1/2014 07:00,26,18,NNE,Cloudy,0.0,77,10,1013,57,28,22,26,24,28,1
1/1/2014 08:00,26,19,NNE,Partly cloudy,0.0,74,10,1013,49,29,21,26,24,29,1
1/1/2014 09:00,27,20,NNE,Partly cloudy,0.0,71,10,1013,40,29,21,27,24,29,1
1/1/2014 10:00,27,20,NNE,Partly cloudy,0.0,70,10,1012,31,29,21,27,25,29,1
1/1/2014 11:00,27,20,NNE,Sunny,0.1,70,10,1011,22,29,21,27,25,29,1
1/1/2014 12:00,27,21,NNE,Sunny,0.1,69,10,1010,12,29,21,27,25,29,1
1/1/2014 13:00,27,20,NNE,Sunny,0.0,72,10,1010,23,29,21,27,26,29,1
1/1/2014 14:00,26,20,NNE,Partly cloudy,0.0,75,10,1010,34,28,21,26,27,28,1
1/1/2014 15:00,25,19,NNE,Partly cloudy,0.0,78,10,1010,45,28,21,25,29,28,1
1/1/2014 16:00,25,19,N,Partly cloudy,0.0,80,10,1010,51,27,21,25,29,27,1
1/1/2014 17:00,25,19,N,Cloudy,0.0,81,10,1011,57,27,21,25,29,27,1
1/1/2014 18:00,25,18,N,Cloudy,0.0,83,10,1012,64,27,22,25,29,27,1
1/1/2014 19:00,25,18,ESE,Cloudy,0.0,83,10,1012,64,27,22,25,28,27,1
1/1/2014 20:00,25,17,WSW,Cloudy,0.0,84,10,1012,64,27,22,25,27,27,1
1/1/2014 21:00,25,17,N,Cloudy,0.0,84,10,1012,64,27,22,25,26,27,1
1/1/2014 22:00,25,17,N,Cloudy,0.0,84,10,1012,67,27,22,25,26,27,1
1/1/2014 23:00,25,17,N,Cloudy,0.0,84,10,1011,70,27,22,25,26,27,1
2/1/2014 00:00,25,17,NNW,Cloudy,0.0,84,10,1011,73,27,22,25,26,27,1
