Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,25,10,N,Cloudy,0.0,86,10,1011,85,27,22,25,16,27,1
1/1/2017 01:00,25,10,N,Cloudy,0.0,86,10,1011,78,27,22,25,15,27,1
1/1/2017 02:00,25,10,N,Light rain shower,0.1,87,10,1011,72,27,22,25,15,27,1
1/1/2017 03:00,24,10,N,Light rain shower,0.1,87,10,1011,65,27,22,24,15,27,1
1/1/2017 04:00,25,11,WSW,Light rain shower,0.1,85,10,1011,60,27,22,25,16,27,1
1/1/2017 05:00,25,11,ESE,Light rain shower,0.5,84,10,1012,54,28,22,25,17,28,1
1/1/2017 06:00,26,12,N,Light rain shower,0.6,83,10,1012,49,28,22,26,17,28,1
1/1/2017 07:00,26,13,N,Light rain shower,0.3,81,10,1013,42,29,22,26,18,29,1
1/1/2017 08:00,26,14,NNE,Partly cloudy,0.0,78,10,1013,34,29,22,26,19,29,1
1/1/2017 09:00,27,15,NNE,Partly cloudy,0.0,76,10,1013,27,30,22,27,20,30,1
1/1/2017 10:00,27,16,NNE,Partly cloudy,0.0,75,10,1012,33,30,22,27,23,30,1
1/1/2017 11:00,27,17,NNE,Light rain shower,0.8,74,10,1011,38,30,22,27,25,30,1
1/1/2017 12:00,27,18,NNE,Light rain shower,1.0,73,10,1010,44,30,22,27,28,30,1
1/1/2017 13:00,27,18,NNE,Light rain shower,0.5,75,10,1010,45,30,22,27,27,30,1
1/1/2017 14:00,26,17,NNE,Partly cloudy,0.0,77,10,1010,47,29,22,26,25,29,1
1/1/2017 15:00,26,17,NNE,Partly cloudy,0.0,80,10,1010,48,29,22,26,24,29,1
1/1/2017 16:00,26,16,NNE,Partly cloudy,0.0,82,10,1011,49,28,22,26,24,28,1
