Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2014 00:00,24,15,NNE,Clear,0.0,81,10,1010,17,27,21,25,24,27,1
1/1/2014 01:00,24,16,NNE,Clear,0.0,82,10,1011,18,26,21,24,25,26,1
1/1/2014 02:00,24,17,NNE,Clear,0.0,82,10,1011,19,26,21,24,26,26,1
1/1/2014 03:00,24,17,NNE,Clear,0.0,83,10,1011,20,26,21,24,27,26,1
1/1/2014 04:00,25,18,NNE,Clear,0.0,79,10,1012,17,27,21,25,26,27,1
1/1/2014 05:00,26,19,NNE,Clear,0.0,75,10,1012,14,28,21,26,25,28,1
1/1/2014 06:00,26,20,NNE,Clear,0.0,71,10,1013,11,28,21,26,25,28,1
1/1/2014 07:00,28,18,NNE,Sunny,0.0,67,10,1013,17,30,21,28,21,30,1
1/1/2014 08:00,29,15,NNE,Partly cloudy,0.0,63,10,1012,23,32,22,29,18,32,1
1/1/2014 09:00,30,13,NNE,Partly cloudy,0.0,59,10,1012,29,34,22,31,15,34,1
1/1/2014 10:00,31,14,ESE,Partly cloudy,0.0,58,10,1011,31,34,22,31,16,34,1
1/1/2014 11:00,31,15,SW,Partly cloudy,0.0,57,10,1010,33,35,22,31,17,35,1
1/1/2014 12:00,31,16,NNW,Partly cloudy,0.0,56,10,1009,35,35,21,31,19,35,1
1/1/2014 13:00,30,15,SW,Partly cloudy,0.0,59,10,1009,39,34,22,31,20,34,1
1/1/2014 14:00,30,15,ESE,Partly cloudy,0.0,62,10,1009,43,33,22,30,21,33,1
1/1/2014 15:00,29,14,NNE,Partly cloudy,0.0,65,10,1009,46,32,22,29,22,32,1
1/1/2014 16:00,28,15,NNE,Partly cloudy,0.0,67,10,1010,32,31,22,29,23,31,1
1/1/2014 17:00,27,15,NNE,Sunny,0.0,69,10,1010,18,30,22,28,23,30,1
1/1/2014 18:00,27,15,NE,Sunny,0.0,72,10,1011,5,30,22,27,24,30,1
1/1/2014 19:00,26,16,NE,Clear,0.0,74,10,1011,4,29,21,27,24,29,1
1/1/2014 20:00,25,16,NE,Clear,0.0,76,10,1012,3,28,21,26,24,28,1
1/1/2014 21:00,25,17,NE,Clear,0.0,78,10,1012,2,28,21,26,24,28,1
1/1/2014 22:00,25,18,NNE,Clear,0.0,79,10,1012,3,27,21,25,27,27,1
1/1/2014 23:00,24,19,NNE,Clear,0.0,80,10,1011,4,26,21,24,29,26,1
2/1/2014 00:00,24,20,NNE,Clear,0.0,81,10,1011,6,26,20,24,32,26,1
2/1/2014 01:00,24,19,NNE,Clear,0.0,81,10,1011,8,26,20,24,30,26,1
2/1/2014 02:00,24,18,NNE,Clear,0.0,82,10,1011,10,26,21,24,28,26,1
2/1/2014 03:00,23,17,NNE,Clear,0.0,82,10,1011,12,26,21,24,25,26,1
2/1/2014 04:00,24,18,NNE,Clear,0.0,79,10,1012,11,27,21,25,24,27,1
2/1/2014 05:00,25,18,NNE,Clear,0.0,75,10,1012,10,27,21,25,23,27,1
2/1/2014 06:00,26,19,NNE,Clear,0.0,72,10,1013,10,28,21,26,22,28,1
2/1/2014 07:00,27,18,NNE,Sunny,0.0,68,10,1013,9,30,21,27,20,30,1
2/1/2014 08:00,28,16,NNE,Sunny,0.0,64,10,1013,8,32,21,29,19,32,1
2/1/2014 09:00,30,15,N,Sunny,0.0,59,10,1013,7,34,22,30,17,34,1
2/1/2014 10:00,30,17,ESE,Sunny,0.0,59,10,1012,10,34,22,30,20,34,1
2/1/2014 11:00,30,19,SW,Sunny,0.0,59,10,1011,14,34,21,30,23,34,1
2/1/2014 12:00,30,22,NNW,Sunny,0.0,59,10,1010,17,34,21,30,26,34,1
2/1/2014 13:00,30,21,SW,Sunny,0.0,61,10,1010,17,33,21,30,28,33,1
2/1/2014 14:00,29,21,ESE,Sunny,0.0,64,10,1010,17,32,22,29,30,32,1
2/1/2014 15:00,29,21,N,Sunny,0.0,66,10,1010,17,31,22,29,32,31,1
2/1/2014 16:00,28,21,N,Sunny,0.0,69,10,1011,18,31,22,28,32,31,1
2/1/2014 17:00,27,21,NNE,Sunny,0.0,72,10,1011,20,30,22,27,33,30,1
2/1/2014 18:00,27,21,NNE,Sunny,0.0,74,10,1012,22,29,22,27,34,29,1
2/1/2014 19:00,26,20,NNE,Clear,0.0,75,10,1012,21,29,22,27,32,29,1
2/1/2014 20:00,26,19,NNE,Clear,0.0,75,10,1012,20,29,22,26,31,29,1
2/1/2014 21:00,26,19,NNE,Clear,0.0,76,10,1012,19,28,21,26,29,28,1
2/1/2014 22:00,26,18,NNE,Clear,0.0,77,10,1012,18,28,21,26,28,28,1
