Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2015 00:00,13,14,NNW,Overcast,0.0,98,10,1009,100,13,13,12,22,12,1
1/1/2015 01:00,13,14,NNW,Overcast,0.0,99,10,1010,97,13,13,11,21,11,1
1/1/2015 02:00,13,13,NW,Light rain,0.7,99,9,1010,94,13,12,11,20,11,1
1/1/2015 03:00,12,13,WNW,Light rain,0.9,99,9,1010,92,12,12,11,19,11,1
1/1/2015 04:00,11,11,W,Light rain,0.4,99,6,1011,94,11,11,10,17,10,1
1/1/2015 05:00,11,10,W,Fog,0.0,99,3,1012,97,11,10,9,14,9,1
1/1/2015 06:00,10,9,WSW,Fog,0.0,99,0,1012,100,10,10,9,12,9,1
1/1/2015 07:00,11,10,WSW,Fog,0.0,91,3,1013,72,11,9,9,13,9,1
1/1/2015 08:00,12,12,WSW,Sunny,0.0,83,7,1014,44,12,9,10,14,10,1
1/1/2015 09:00,13,13,SW,Sunny,0.0,75,10,1015,15,13,8,11,15,11,1
1/1/2015 10:00,14,13,SW,Sunny,0.0,65,10,1015,12,14,7,13,15,13,1
1/1/2015 11:00,16,13,SW,Sunny,0.0,56,10,1015,9,16,7,15,15,15,1
1/1/2015 12:00,17,13,SW,Sunny,0.0,47,10,1016,6,18,6,18,15,18,1
1/1/2015 13:00,18,13,SSW,Sunny,0.0,45,10,1016,7,18,6,18,15,18,1
1/1/2015 14:00,19,12,SSW,Sunny,0.0,44,10,1016,8,19,6,19,14,19,1
1/1/2015 15:00,19,12,SSW,Sunny,0.0,42,10,1017,9,19,6,19,13,19,1
1/1/2015 16:00,18,11,SSW,Sunny,0.0,48,10,1017,13,18,7,18,13,18,1
1/1/2015 17:00,17,10,S,Sunny,0.0,54,10,1017,17,17,8,17,13,17,1
1/1/2015 18:00,16,9,SSE,Sunny,0.0,61,10,1017,21,16,9,16,13,16,1
1/1/2015 19:00,14,9,SE,Sunny,0.0,72,10,1018,18,14,9,14,15,14,1
1/1/2015 20:00,12,9,ESE,Sunny,0.0,83,10,1019,14,12,8,11,17,11,1
