Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,25,21,NNE,Cloudy,0.0,81,10,1015,82,27,21,25,32,27,1
1/1/2019 01:00,24,20,NNE,Cloudy,0.0,81,10,1015,74,26,21,24,32,26,1
1/1/2019 02:00,24,20,NNE,Partly cloudy,0.0,82,10,1015,65,26,21,24,32,26,1
1/1/2019 03:00,24,20,NNE,Partly cloudy,0.0,82,10,1014,56,26,21,24,32,26,1
1/1/2019 04:00,24,20,NNE,Partly cloudy,0.0,82,10,1015,44,26,21,24,31,26,1
1/1/2019 05:00,24,21,NNE,Partly cloudy,0.0,81,10,1015,31,26,21,24,31,26,1
1/1/2019 06:00,24,21,NNE,Partly cloudy,0.0,80,10,1015,19,26,21,24,31,26,1
1/1/2019 07:00,25,20,NNE,Partly cloudy,0.0,77,10,1016,14,27,21,25,29,27,1
1/1/2019 08:00,26,19,NNE,Partly cloudy,0.0,73,10,1016,10,29,21,26,26,29,1
1/1/2019 09:00,27,19,NNE,Partly cloudy,0.0,70,10,1016,5,30,21,27,24,30,1
1/1/2019 10:00,28,18,NE,Partly cloudy,0.0,66,10,1016,5,31,21,28,23,31,1
1/1/2019 11:00,30,18,E,Partly cloudy,0.0,63,10,1015,5,33,22,30,22,33,1
1/1/2019 12:00,31,18,ESE,Partly cloudy,0.0,59,10,1015,5,34,22,31,21,34,1
1/1/2019 13:00,30,19,SSE,Partly cloudy,0.0,60,10,1014,8,34,22,30,23,34,1
1/1/2019 14:00,30,20,SSW,Partly cloudy,0.0,61,10,1014,10,34,22,30,25,34,1
1/1/2019 15:00,30,21,SW,Partly cloudy,0.0,62,10,1013,13,34,22,30,28,34,1
1/1/2019 16:00,29,21,SSE,Partly cloudy,0.0,65,10,1014,14,32,22,29,30,32,1
1/1/2019 17:00,28,22,E,Partly cloudy,0.0,68,10,1014,15,31,22,28,33,31,1
1/1/2019 18:00,27,22,N,Partly cloudy,0.0,71,10,1014,17,30,22,27,35,30,1
1/1/2019 19:00,27,22,NNE,Partly cloudy,0.0,73,10,1014,14,29,21,27,35,29,1
1/1/2019 20:00,26,22,NNE,Partly cloudy,0.0,75,10,1015,12,28,21,26,35,28,1
1/1/2019 21:00,25,22,NNE,Partly cloudy,0.0,77,10,1015,9,27,21,25,35,27,1
1/1/2019 22:00,25,21,NNE,Partly cloudy,0.0,79,10,1015,14,26,21,25,33,26,1
1/1/2019 23:00,24,20,NNE,Partly cloudy,0.0,80,10,1015,18,26,20,24,31,26,1
2/1/2019 00:00,24,19,NNE,Partly cloudy,0.0,81,10,1015,23,26,20,24,29,26,1
2/1/2019 01:00,24,19,NNE,Partly cloudy,0.0,82,10,1015,23,26,20,24,28,26,1
2/1/2019 02:00,23,19,NNE,Partly cloudy,0.0,82,10,1014,24,25,20,23,28,25,1
2/1/2019 03:00,23,18,NNE,Partly cloudy,0.0,83,10,1014,25,25,20,23,27,25,1
2/1/2019 04:00,23,18,NNE,Partly cloudy,0.0,82,10,1014,20,25,20,23,27,25,1
2/1/2019 05:00,23,19,NNE,Partly cloudy,0.0,81,10,1015,15,25,20,23,27,25,1
2/1/2019 06:00,24,19,NNE,Partly cloudy,0.0,80,10,1015,10,26,20,24,26,26,1
2/1/2019 07:00,25,19,NNE,Partly cloudy,0.0,77,10,1015,9,27,20,25,26,27,1
2/1/2019 08:00,26,19,NNE,Partly cloudy,0.0,73,10,1015,9,28,20,26,25,28,1
2/1/2019 09:00,27,19,NNE,Partly cloudy,0.0,69,10,1016,8,29,20,27,24,29,1
2/1/2019 10:00,28,19,NE,Partly cloudy,0.0,66,10,1015,6,30,21,28,24,30,1
2/1/2019 11:00,29,19,E,Partly cloudy,0.0,63,10,1015,5,31,21,29,23,31,1
2/1/2019 12:00,30,19,ESE,Partly cloudy,0.0,59,10,1015,4,32,21,30,22,32,1
2/1/2019 13:00,30,19,SSW,Partly cloudy,0.0,60,10,1014,7,32,21,30,24,32,1
2/1/2019 14:00,30,20,W,Partly cloudy,0.0,61,10,1014,10,32,21,30,25,32,1
2/1/2019 15:00,30,20,NNW,Partly cloudy,0.0,62,10,1013,13,32,21,30,26,32,1
2/1/2019 16:00,29,20,NW,Partly cloudy,0.0,65,10,1014,15,31,21,29,28,31,1
2/1/2019 17:00,28,20,W,Partly cloudy,0.0,68,10,1014,18,30,21,28,30,30,1
2/1/2019 18:00,27,20,WSW,Partly cloudy,0.0,71,10,1015,21,30,21,27,31,30,1
2/1/2019 19:00,26,21,SSE,Partly cloudy,0.0,72,10,1015,17,28,21,26,32,28,1
2/1/2019 20:00,25,21,E,Partly cloudy,0.0,73,10,1015,13,27,20,25,33,27,1
2/1/2019 21:00,25,22,NNE,Partly cloudy,0.0,75,10,1016,9,26,20,25,34,26,1
2/1/2019 22:00,24,22,NNE,Partly cloudy,0.0,76,10,1016,10,26,20,24,34,26,1
2/1/2019 23:00,24,22,NNE,Partly cloudy,0.0,77,10,1016,11,26,20,24,34,26,1
3/1/2019 00:00,24,22,NNE,Partly cloudy,0.0,78,10,1016,12,26,20,24,33,26,1
3/1/2019 01:00,23,22,NNE,Partly cloudy,0.0,79,10,1015,12,25,19,23,34,25,1
3/1/2019 02:00,23,22,NNE,Partly cloudy,0.0,80,10,1015,12,25,19,23,34,25,1
3/1/2019 03:00,23,22,NNE,Partly cloudy,0.0,81,10,1015,12,25,19,23,34,25,1
3/1/2019 04:00,23,22,NNE,Partly cloudy,0.0,80,10,1015,10,25,19,23,34,25,1
3/1/2019 05:00,23,23,NNE,Partly cloudy,0.0,80,10,1015,9,25,19,23,33,25,1
3/1/2019 06:00,23,23,NNE,Partly cloudy,0.0,79,10,1015,7,25,20,23,33,25,1
3/1/2019 07:00,24,23,NNE,Partly cloudy,0.0,76,10,1016,7,26,20,24,32,26,1
3/1/2019 08:00,25,22,NNE,Partly cloudy,0.0,72,10,1016,6,27,20,25,30,27,1
3/1/2019 09:00,26,22,NNE,Partly cloudy,0.0,69,10,1017,5,28,20,26,28,28,1
3/1/2019 10:00,27,22,NE,Partly cloudy,0.0,66,10,1016,5,29,20,27,27,29,1
3/1/2019 11:00,28,21,E,Partly cloudy,0.0,62,10,1016,5,31,20,28,26,31,1
3/1/2019 12:00,30,21,ESE,Partly cloudy,0.0,59,10,1015,4,32,21,30,24,32,1
3/1/2019 13:00,30,21,SSW,Partly cloudy,0.0,59,10,1015,4,32,21,30,26,32,1
3/1/2019 14:00,30,21,W,Partly cloudy,0.0,60,10,1014,4,32,21,30,27,32,1
3/1/2019 15:00,30,21,NNW,Partly cloudy,0.0,61,10,1014,3,33,21,30,28,33,1
3/1/2019 16:00,29,21,NW,Partly cloudy,0.0,64,10,1014,3,32,21,29,30,32,1
3/1/2019 17:00,28,21,W,Sunny,0.0,66,10,1014,2,31,21,28,32,31,1
3/1/2019 18:00,27,21,WSW,Sunny,0.0,69,10,1014,2,30,21,27,33,30,1
3/1/2019 19:00,27,21,SSE,Clear,0.0,72,10,1014,1,29,21,27,33,29,1
3/1/2019 20:00,26,21,E,Clear,0.0,74,10,1015,1,28,21,26,33,28,1
3/1/2019 21:00,25,21,NNE,Clear,0.0,76,10,1015,0,27,20,25,33,27,1
3/1/2019 22:00,24,20,NNE,Clear,0.0,78,10,1015,0,26,20,24,32,26,1
3/1/2019 23:00,24,20,NNE,Partly cloudy,0.0,80,10,1015,1,26,20,24,31,26,1
4/1/2019 00:00,23,20,NNE,Partly cloudy,0.0,82,10,1015,1,25,20,23,30,25,1
4/1/2019 01:00,23,20,NNE,Partly cloudy,0.0,83,10,1015,2,25,20,23,29,25,1
4/1/2019 02:00,23,20,NNE,Partly cloudy,0.0,84,10,1015,3,25,20,23,29,25,1
4/1/2019 03:00,23,20,NNE,Partly cloudy,0.0,85,10,1015,4,25,20,23,29,25,1
4/1/2019 04:00,23,20,NNE,Partly cloudy,0.0,84,10,1015,4,25,20,23,29,25,1
4/1/2019 05:00,23,20,NNE,Clear,0.0,83,10,1015,3,25,20,23,28,25,1
4/1/2019 06:00,23,20,NNE,Clear,0.0,82,10,1015,3,25,20,23,27,25,1
4/1/2019 07:00,24,19,NNE,Sunny,0.0,78,10,1015,2,26,20,24,25,26,1
4/1/2019 08:00,25,19,NNE,Sunny,0.0,74,10,1016,1,28,20,25,23,28,1
4/1/2019 09:00,27,18,NNE,Sunny,0.0,70,10,1016,0,29,21,27,21,29,1
4/1/2019 10:00,28,18,NE,Sunny,0.0,66,10,1015,0,30,21,28,20,30,1
4/1/2019 11:00,29,18,E,Sunny,0.0,62,10,1015,0,32,21,29,20,32,1
4/1/2019 12:00,30,17,ESE,Sunny,0.0,57,10,1015,0,33,21,30,20,33,1
4/1/2019 13:00,30,18,SSW,Sunny,0.0,58,10,1014,0,33,21,30,22,33,1
4/1/2019 14:00,30,19,W,Sunny,0.0,58,10,1014,0,33,21,30,24,33,1
4/1/2019 15:00,30,20,NNW,Sunny,0.0,58,10,1013,0,33,21,30,26,33,1
4/1/2019 16:00,29,20,NW,Sunny,0.0,61,10,1013,0,32,21,29,28,32,1
4/1/2019 17:00,29,21,W,Sunny,0.0,63,10,1013,0,31,21,29,31,31,1
4/1/2019 18:00,28,21,WSW,Sunny,0.0,66,10,1014,0,30,21,28,34,30,1
4/1/2019 19:00,27,21,S,Clear,0.0,68,10,1014,1,29,20,27,35,29,1
4/1/2019 20:00,26,21,E,Partly cloudy,0.0,70,10,1015,2,28,20,26,35,28,1
4/1/2019 21:00,25,22,NNE,Partly cloudy,0.0,72,10,1015,2,27,20,25,35,27,1
4/1/2019 22:00,25,20,NNE,Partly cloudy,0.0,74,10,1015,10,26,20,25,32,26,1
4/1/2019 23:00,24,19,NNE,Partly cloudy,0.0,76,10,1015,17,26,20,24,30,26,1
5/1/2019 00:00,24,18,NNE,Partly cloudy,0.0,79,10,1015,25,26,20,24,27,26,1
5/1/2019 01:00,24,18,NNE,Partly cloudy,0.0,79,10,1014,38,26,20,24,26,26,1
5/1/2019 02:00,24,18,NNE,Patchy rain possible,0.0,79,10,1014,51,26,20,24,26,26,1
5/1/2019 03:00,24,17,NNE,Patchy rain possible,0.0,79,10,1014,64,26,20,24,25,26,1
5/1/2019 04:00,24,17,NNE,Patchy rain possible,0.0,79,10,1014,59,26,20,24,25,26,1
5/1/2019 05:00,24,17,NNE,Clear,0.0,78,10,1014,54,26,20,24,24,26,1
5/1/2019 06:00,24,17,NNE,Clear,0.0,78,10,1014,49,26,20,24,23,26,1
5/1/2019 07:00,26,16,NNE,Sunny,0.0,75,10,1014,32,28,21,26,21,28,1
5/1/2019 08:00,27,16,NNE,Sunny,0.0,71,10,1014,16,29,21,27,20,29,1
5/1/2019 09:00,28,15,NNE,Sunny,0.0,68,10,1014,0,31,22,28,18,31,1
5/1/2019 10:00,29,15,NE,Sunny,0.0,65,10,1014,2,33,22,29,17,33,1
5/1/2019 11:00,31,14,E,Partly cloudy,0.0,61,10,1014,3,34,22,31,17,34,1
5/1/2019 12:00,32,14,ESE,Partly cloudy,0.0,58,10,1013,5,36,22,32,16,36,1
5/1/2019 13:00,31,15,S,Partly cloudy,0.0,60,10,1013,10,36,22,31,19,36,1
5/1/2019 14:00,31,17,W,Partly cloudy,0.0,62,10,1012,16,35,23,31,21,35,1
5/1/2019 15:00,30,18,NNW,Partly cloudy,0.0,64,10,1012,22,34,23,30,24,34,1
5/1/2019 16:00,29,18,WNW,Partly cloudy,0.0,68,10,1012,25,33,23,29,26,33,1
5/1/2019 17:00,29,18,W,Partly cloudy,0.0,71,10,1012,28,32,23,29,28,32,1
5/1/2019 18:00,28,18,SW,Partly cloudy,0.0,75,10,1012,31,31,23,28,30,31,1
5/1/2019 19:00,27,19,SSE,Partly cloudy,0.0,77,10,1013,33,30,23,27,30,30,1
5/1/2019 20:00,26,19,E,Cloudy,0.0,79,10,1013,35,29,22,26,30,29,1
5/1/2019 21:00,26,19,NNE,Cloudy,0.0,80,10,1013,37,28,22,26,31,28,1
5/1/2019 22:00,25,19,NNE,Cloudy,0.0,81,10,1013,49,27,22,25,30,27,1
5/1/2019 23:00,25,19,NNE,Cloudy,0.0,82,10,1013,61,27,21,25,30,27,1
6/1/2019 00:00,24,19,NNE,Cloudy,0.0,83,10,1014,74,26,21,24,29,26,1
6/1/2019 01:00,24,20,NNE,Cloudy,0.0,83,10,1013,67,26,21,24,29,26,1
6/1/2019 02:00,24,20,NNE,Partly cloudy,0.0,83,10,1013,60,26,21,24,29,26,1
6/1/2019 03:00,24,20,NNE,Partly cloudy,0.0,83,10,1013,53,26,21,24,29,26,1
6/1/2019 04:00,24,20,NNE,Partly cloudy,0.0,82,10,1013,37,26,20,24,29,26,1
6/1/2019 05:00,24,20,NNE,Clear,0.0,82,10,1013,21,26,20,24,28,26,1
6/1/2019 06:00,24,19,NNE,Clear,0.0,81,10,1013,5,26,20,24,27,26,1
6/1/2019 07:00,25,19,NNE,Sunny,0.0,77,10,1013,3,27,20,25,25,27,1
6/1/2019 08:00,25,18,NNE,Sunny,0.0,73,10,1014,2,28,20,25,24,28,1
6/1/2019 09:00,26,18,NNE,Sunny,0.0,70,10,1014,0,29,20,26,22,29,1
6/1/2019 10:00,28,17,NE,Sunny,0.0,65,10,1013,1,30,20,28,20,30,1
6/1/2019 11:00,29,16,ENE,Partly cloudy,0.0,61,10,1013,2,32,21,29,19,32,1
