Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,30,14,NNE,Sunny,0.0,66,10,1011,4,27,19,26,22,27,1
2/1/2009 ,30,14,NE,Sunny,0.0,66,10,1012,4,28,19,26,21,28,1
3/1/2009 ,30,13,NE,Sunny,0.0,68,10,1012,1,28,19,26,20,28,1
4/1/2009 ,30,13,NE,Sunny,0.0,73,10,1011,16,29,21,26,20,29,1
5/1/2009 ,30,13,NE,Sunny,0.7,76,10,1010,25,29,22,26,19,29,1
6/1/2009 ,28,10,NE,Cloudy,3.2,84,10,1011,54,28,22,25,14,28,1
7/1/2009 ,29,13,NE,Sunny,0.7,79,10,1012,27,28,22,26,19,28,1
8/1/2009 ,28,16,NE,Partly cloudy,1.2,79,10,1013,44,28,22,26,24,28,1
9/1/2009 ,26,14,ENE,Partly cloudy,7.0,89,10,1013,62,28,23,25,20,28,1
10/1/2009 ,27,19,NE,Partly cloudy,1.4,83,10,1013,42,28,22,25,28,28,1
11/1/2009 ,30,18,NE,Sunny,0.0,72,10,1013,1,28,21,26,26,28,1
12/1/2009 ,29,21,NE,Sunny,0.0,74,10,1014,18,28,20,26,30,28,1
13/1/2009 ,28,21,NE,Partly cloudy,0.3,79,10,1014,48,27,21,25,30,27,1
14/1/2009 ,29,20,NE,Sunny,0.0,73,10,1014,8,28,21,26,29,28,1
15/1/2009 ,30,20,NE,Sunny,0.0,72,10,1014,3,28,21,26,30,28,1
16/1/2009 ,30,20,NE,Sunny,0.0,70,10,1014,5,28,20,26,29,28,1
17/1/2009 ,29,20,NE,Sunny,0.0,72,10,1013,15,28,20,26,27,28,1
18/1/2009 ,30,17,NE,Sunny,0.0,69,10,1012,7,28,20,26,25,28,1
19/1/2009 ,30,17,NNE,Sunny,0.0,71,10,1011,20,28,20,26,24,28,1
20/1/2009 ,28,14,NE,Sunny,0.1,74,10,1011,28,28,21,26,21,28,1
21/1/2009 ,31,14,NE,Sunny,0.0,70,10,1011,11,28,20,26,20,28,1
22/1/2009 ,30,16,NE,Sunny,0.0,69,10,1010,25,28,20,26,23,28,1
