Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,31,17,SE,Sunny,0.0,75,10,1007,27,32,23,28,25,32,1
2/1/2009 ,27,17,ENE,Partly cloudy,14.5,86,9,1009,60,28,23,25,25,28,1
3/1/2009 ,26,27,SSE,Partly cloudy,1.1,79,10,1011,59,26,21,24,40,26,1
4/1/2009 ,25,32,SE,Overcast,0.0,76,10,1012,88,26,20,24,45,26,1
5/1/2009 ,27,27,SE,Partly cloudy,0.2,77,10,1011,64,27,21,25,38,27,1
6/1/2009 ,27,26,SE,Cloudy,0.0,76,10,1010,63,28,21,26,35,28,1
7/1/2009 ,28,25,ESE,Partly cloudy,0.9,78,10,1009,64,29,22,26,34,29,1
8/1/2009 ,27,15,ESE,Partly cloudy,1.0,81,10,1008,48,28,22,26,21,28,1
9/1/2009 ,26,23,SE,Partly cloudy,0.5,79,10,1009,53,27,21,25,32,27,1
10/1/2009 ,25,29,SE,Light rain shower,4.4,82,10,1009,89,26,21,24,42,26,1
11/1/2009 ,26,20,SE,Sunny,0.0,71,10,1010,19,26,19,25,28,26,1
12/1/2009 ,27,21,SE,Partly cloudy,0.0,72,10,1012,29,27,19,25,29,27,1
13/1/2009 ,25,26,ESE,Partly cloudy,0.0,74,10,1014,54,26,19,24,38,26,1
14/1/2009 ,26,22,ESE,Sunny,0.0,69,10,1014,25,26,18,24,30,26,1
15/1/2009 ,27,13,ENE,Cloudy,0.0,71,10,1014,32,26,19,25,19,26,1
16/1/2009 ,28,13,SE,Sunny,0.0,73,10,1013,15,27,20,25,18,27,1
17/1/2009 ,30,15,SSW,Partly cloudy,0.5,77,10,1011,38,29,22,26,21,29,1
18/1/2009 ,25,25,ESE,Light rain shower,3.1,83,10,1016,87,26,21,24,37,26,1
19/1/2009 ,26,22,ESE,Sunny,0.0,69,10,1017,22,26,18,24,30,26,1
20/1/2009 ,27,16,E,Partly cloudy,0.3,76,10,1015,40,27,20,25,22,27,1
21/1/2009 ,26,14,ENE,Partly cloudy,0.7,86,10,1014,50,28,23,25,21,28,1
22/1/2009 ,27,15,NE,Partly cloudy,2.0,88,10,1013,56,29,23,26,22,29,1
23/1/2009 ,26,14,NNE,Cloudy,15.0,92,8,1011,71,29,24,26,23,29,1
24/1/2009 ,28,9,S,Partly cloudy,1.9,88,10,1010,36,30,24,26,14,30,1
25/1/2009 ,27,14,E,Cloudy,3.3,88,10,1012,73,29,24,26,21,29,1
26/1/2009 ,27,17,ESE,Sunny,0.0,81,10,1014,30,28,22,26,24,28,1
27/1/2009 ,26,22,SE,Partly cloudy,3.5,82,10,1014,45,26,21,24,32,26,1
28/1/2009 ,27,26,ESE,Sunny,0.0,76,10,1013,34,27,20,25,37,27,1
29/1/2009 ,27,26,ESE,Sunny,0.7,74,10,1014,33,27,20,25,37,27,1
30/1/2009 ,26,29,ESE,Partly cloudy,0.1,77,10,1013,42,27,21,25,42,27,1
31/1/2009 ,26,29,ESE,Cloudy,4.2,82,10,1013,70,28,22,25,43,28,1
1/2/2009 ,26,24,ESE,Overcast,0.0,79,10,1011,94,28,22,26,35,28,1
2/2/2009 ,25,20,ESE,Cloudy,1.5,84,10,1010,69,27,22,25,30,27,1
3/2/2009 ,25,17,ESE,Patchy light rain,2.8,84,10,1008,52,27,22,24,25,27,1
4/2/2009 ,27,22,ESE,Partly cloudy,3.0,80,10,1006,45,28,22,25,32,28,1
5/2/2009 ,28,24,SE,Partly cloudy,0.0,78,10,1006,41,28,22,26,33,28,1
6/2/2009 ,28,24,SE,Sunny,0.0,76,10,1009,19,28,21,26,34,28,1
7/2/2009 ,27,22,ESE,Sunny,0.0,75,10,1011,28,28,21,26,31,28,1
8/2/2009 ,28,14,SE,Sunny,0.0,76,10,1011,21,27,20,25,20,27,1
9/2/2009 ,29,13,WSW,Sunny,0.0,77,10,1010,3,28,21,26,20,28,1
10/2/2009 ,26,14,WSW,Sunny,14.7,89,9,1009,52,28,23,25,23,28,1
11/2/2009 ,28,16,SSW,Sunny,14.3,87,9,1006,45,28,23,25,25,28,1
12/2/2009 ,26,18,ESE,Partly cloudy,1.5,87,10,1009,48,28,23,25,27,28,1
13/2/2009 ,25,31,ESE,Overcast,18.8,87,9,1011,73,26,22,24,48,26,1
14/2/2009 ,25,19,W,Torrential rain shower,15.7,90,9,1008,66,27,23,24,31,27,1
15/2/2009 ,29,13,W,Sunny,0.3,76,10,1006,20,28,21,26,20,28,1
16/2/2009 ,27,10,SSE,Sunny,2.9,83,10,1007,32,28,22,25,15,28,1
17/2/2009 ,25,18,E,Partly cloudy,19.1,89,8,1007,67,26,22,24,28,26,1
18/2/2009 ,26,10,SSE,Sunny,14.9,91,8,1006,50,26,22,24,16,26,1
19/2/2009 ,29,7,SSE,Sunny,0.0,81,10,1008,22,29,23,26,10,29,1
20/2/2009 ,29,9,SE,Sunny,0.3,82,10,1010,13,30,23,27,13,30,1
21/2/2009 ,29,7,SSW,Sunny,2.1,83,10,1010,19,30,23,26,11,30,1
22/2/2009 ,27,18,SE,Partly cloudy,6.7,88,10,1011,40,28,23,25,28,28,1
23/2/2009 ,27,25,SE,Partly cloudy,0.8,79,10,1014,48,28,21,25,36,28,1
24/2/2009 ,27,23,ESE,Light rain shower,3.6,80,10,1014,49,28,22,25,35,28,1
25/2/2009 ,25,21,SE,Light rain shower,4.6,85,10,1013,64,27,22,25,32,27,1
26/2/2009 ,27,26,SE,Sunny,0.1,75,10,1012,31,27,21,25,37,27,1
27/2/2009 ,27,20,SE,Partly cloudy,0.2,76,10,1012,34,27,20,25,28,27,1
28/2/2009 ,28,11,ESE,Sunny,0.0,71,10,1012,7,27,19,25,17,27,1
1/3/2009 ,29,11,SSW,Sunny,0.0,72,10,1012,2,28,20,26,17,28,1
2/3/2009 ,28,11,SSE,Sunny,0.0,73,10,1013,8,28,20,26,16,28,1
3/3/2009 ,28,11,E,Sunny,0.0,76,10,1014,13,28,21,26,17,28,1
4/3/2009 ,28,11,ENE,Sunny,0.0,77,10,1012,28,28,21,26,16,28,1
5/3/2009 ,28,13,WSW,Sunny,0.0,62,10,1010,15,27,17,25,20,27,1
6/3/2009 ,27,13,SE,Sunny,0.0,68,10,1011,2,25,17,24,20,25,1
7/3/2009 ,27,16,ESE,Partly cloudy,0.0,73,10,1012,27,27,20,25,24,27,1
8/3/2009 ,26,27,ESE,Partly cloudy,0.9,74,9,1011,45,27,21,25,39,27,1
9/3/2009 ,25,39,SE,Overcast,18.9,86,8,1008,93,27,22,25,63,27,1
10/3/2009 ,25,36,SSE,Overcast,2.8,81,10,1008,94,26,21,24,53,26,1
11/3/2009 ,25,35,SSE,Overcast,0.3,79,9,1012,95,26,21,24,51,26,1
