Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,28,7,ENE,Sunny,0.0,76,8,1012,5,23,17,22,11,22,1
2/1/2009 ,29,7,ENE,Sunny,0.0,74,9,1012,7,23,17,23,11,23,1
3/1/2009 ,29,6,NE,Sunny,0.0,72,8,1013,17,23,17,23,10,23,1
4/1/2009 ,29,7,NE,Partly cloudy,0.0,80,7,1012,41,24,19,23,10,24,1
5/1/2009 ,28,8,NE,Sunny,0.1,82,7,1010,57,24,19,23,11,24,1
6/1/2009 ,26,5,ENE,Cloudy,3.4,89,6,1011,62,24,20,22,7,22,1
7/1/2009 ,26,6,ENE,Partly cloudy,3.3,89,7,1012,51,24,20,23,10,24,1
8/1/2009 ,28,9,ENE,Partly cloudy,2.1,86,7,1013,57,24,20,22,15,24,1
9/1/2009 ,24,9,NE,Patchy light rain,8.6,94,6,1013,85,25,21,22,14,22,1
10/1/2009 ,23,10,ENE,Cloudy,16.8,96,6,1013,85,23,21,22,15,22,1
11/1/2009 ,28,9,ENE,Sunny,0.0,83,7,1013,38,23,19,22,14,23,1
12/1/2009 ,26,12,ENE,Sunny,0.0,83,8,1014,40,23,18,22,17,22,1
13/1/2009 ,25,12,ENE,Partly cloudy,0.0,89,7,1015,60,22,19,21,16,21,1
14/1/2009 ,25,11,ENE,Light rain shower,0.5,87,7,1014,51,23,19,22,16,22,1
15/1/2009 ,29,10,ENE,Sunny,0.0,80,8,1014,32,23,18,23,15,23,1
16/1/2009 ,28,11,ENE,Sunny,0.0,80,7,1014,26,23,18,22,15,22,1
17/1/2009 ,27,11,ENE,Partly cloudy,0.0,82,8,1013,42,23,18,22,16,22,1
18/1/2009 ,29,9,ENE,Sunny,0.0,78,7,1012,23,24,18,23,13,24,1
19/1/2009 ,27,10,ENE,Sunny,0.0,80,7,1012,44,23,18,22,14,22,1
20/1/2009 ,28,10,NE,Partly cloudy,0.0,81,7,1012,37,24,19,22,15,24,1
21/1/2009 ,29,8,ENE,Sunny,0.0,79,7,1012,42,23,18,22,12,22,1
22/1/2009 ,28,9,NE,Sunny,0.0,78,7,1011,20,23,18,22,12,22,1
23/1/2009 ,29,7,NE,Sunny,0.0,77,7,1010,28,24,18,23,11,24,1
24/1/2009 ,29,7,E,Sunny,0.0,77,7,1010,33,24,18,23,9,24,1
25/1/2009 ,24,7,NE,Cloudy,0.1,92,6,1011,83,23,20,21,10,21,1
26/1/2009 ,29,5,ENE,Partly cloudy,3.4,89,5,1011,75,25,21,24,9,25,1
27/1/2009 ,27,5,E,Partly cloudy,5.5,91,4,1012,75,24,21,23,8,24,1
28/1/2009 ,29,5,E,Partly cloudy,0.0,88,5,1012,59,25,21,23,9,25,1
29/1/2009 ,30,9,ENE,Sunny,0.0,75,8,1012,31,24,18,23,14,24,1
30/1/2009 ,30,8,ENE,Sunny,0.0,68,10,1011,13,23,15,22,13,22,1
31/1/2009 ,30,8,ENE,Sunny,0.0,72,9,1011,13,24,17,23,12,24,1
1/2/2009 ,31,5,ENE,Sunny,0.1,74,8,1012,9,25,18,24,8,25,1
2/2/2009 ,31,8,ENE,Sunny,0.0,68,8,1013,1,24,16,24,11,24,1
3/2/2009 ,31,8,ENE,Sunny,0.0,63,10,1013,0,23,15,23,12,23,1
4/2/2009 ,30,7,ENE,Sunny,0.0,69,10,1013,3,24,17,24,11,24,1
5/2/2009 ,30,8,ENE,Sunny,0.0,66,8,1013,1,24,15,24,12,24,1
6/2/2009 ,30,8,ENE,Sunny,0.0,69,10,1012,2,23,16,23,13,23,1
7/2/2009 ,30,8,ENE,Sunny,0.0,68,9,1012,3,23,15,23,13,23,1
8/2/2009 ,29,7,ENE,Sunny,0.0,72,9,1013,18,23,16,22,10,22,1
9/2/2009 ,31,7,NE,Sunny,0.0,72,8,1013,24,23,16,23,12,23,1
10/2/2009 ,29,6,ENE,Sunny,0.0,77,8,1012,31,23,17,22,9,22,1
11/2/2009 ,30,4,ESE,Sunny,0.0,72,10,1012,26,24,17,23,6,24,1
12/2/2009 ,30,4,SSW,Sunny,0.0,67,9,1012,24,24,16,24,7,24,1
13/2/2009 ,32,5,S,Sunny,0.0,63,9,1011,20,25,15,24,8,25,1
14/2/2009 ,32,6,ENE,Sunny,0.0,59,10,1011,5,24,14,24,9,24,1
15/2/2009 ,32,5,SSE,Sunny,0.0,66,10,1010,13,25,17,25,8,25,1
16/2/2009 ,29,5,SE,Partly cloudy,0.0,77,8,1011,42,24,18,23,8,24,1
17/2/2009 ,31,9,ENE,Sunny,0.0,71,8,1011,8,24,17,23,14,24,1
18/2/2009 ,31,10,ENE,Sunny,0.0,71,8,1010,11,24,17,23,15,24,1
19/2/2009 ,26,8,ENE,Partly cloudy,0.1,87,6,1009,63,23,19,21,12,21,1
20/2/2009 ,29,10,E,Partly cloudy,0.0,80,7,1010,50,25,20,24,15,25,1
21/2/2009 ,28,10,ENE,Sunny,1.2,83,6,1011,47,25,20,24,14,25,1
22/2/2009 ,27,9,E,Partly cloudy,1.9,87,7,1009,59,25,21,23,13,25,1
23/2/2009 ,29,7,E,Partly cloudy,2.5,87,5,1010,57,25,21,24,10,25,1
24/2/2009 ,31,5,ESE,Partly cloudy,2.4,81,6,1010,46,26,20,24,8,26,1
25/2/2009 ,31,5,SE,Sunny,0.0,76,7,1010,35,26,19,25,8,26,1
26/2/2009 ,33,6,S,Sunny,0.0,70,7,1010,5,27,19,26,9,27,1
27/2/2009 ,32,4,SSW,Sunny,0.0,71,7,1011,7,27,19,26,7,27,1
28/2/2009 ,33,5,SE,Sunny,0.0,68,10,1010,7,26,18,26,8,26,1
1/3/2009 ,35,5,SSE,Sunny,0.0,63,10,1010,2,27,17,27,7,27,1
2/3/2009 ,35,5,ESE,Sunny,0.0,59,8,1010,0,27,15,27,7,27,1
3/3/2009 ,34,4,SSE,Sunny,0.0,58,10,1010,3,26,15,26,7,26,1
4/3/2009 ,33,4,SSE,Sunny,0.0,63,9,1010,6,26,17,26,6,26,1
5/3/2009 ,34,5,SE,Sunny,0.0,57,9,1010,1,27,15,26,8,27,1
6/3/2009 ,34,5,SSW,Sunny,0.0,60,10,1010,11,26,16,26,8,26,1
7/3/2009 ,34,5,SSE,Sunny,0.0,63,10,1010,7,27,17,27,8,27,1
8/3/2009 ,31,5,SSE,Sunny,2.6,81,8,1010,47,26,20,24,8,26,1
9/3/2009 ,25,5,ESE,Partly cloudy,7.1,95,5,1009,83,25,22,23,8,25,1
10/3/2009 ,28,6,ESE,Partly cloudy,3.5,89,5,1011,75,25,21,23,9,25,1
11/3/2009 ,30,5,ESE,Sunny,6.4,86,6,1011,54,26,21,24,9,26,1
12/3/2009 ,29,5,SE,Partly cloudy,4.8,89,6,1011,62,26,22,24,8,26,1
13/3/2009 ,30,5,E,Sunny,5.9,88,5,1012,56,25,21,24,9,25,1
14/3/2009 ,28,6,E,Partly cloudy,4.5,89,5,1012,67,25,21,23,10,25,1
15/3/2009 ,30,4,ESE,Partly cloudy,4.4,83,6,1011,60,25,20,24,7,25,1
16/3/2009 ,31,4,ESE,Partly cloudy,3.3,83,6,1010,52,25,20,24,7,25,1
17/3/2009 ,31,4,SE,Sunny,0.0,77,7,1010,39,26,19,24,7,26,1
18/3/2009 ,31,5,SE,Sunny,0.0,77,8,1010,30,25,19,24,9,25,1
19/3/2009 ,31,5,ESE,Sunny,1.3,80,7,1010,29,26,20,24,7,26,1
20/3/2009 ,31,4,S,Partly cloudy,1.7,81,6,1011,55,26,20,24,6,26,1
21/3/2009 ,32,3,S,Sunny,0.0,75,8,1010,24,28,20,26,5,28,1
22/3/2009 ,33,5,SSE,Sunny,0.1,71,7,1010,27,27,19,26,7,27,1
23/3/2009 ,31,2,SE,Sunny,1.0,77,7,1011,43,27,20,25,3,27,1
24/3/2009 ,30,4,SSE,Patchy rain possible,7.9,87,7,1012,60,26,21,24,6,26,1
25/3/2009 ,29,4,SE,Sunny,4.6,85,8,1011,45,26,21,24,6,26,1
26/3/2009 ,30,4,SSW,Moderate or heavy rain shower,10.0,88,6,1011,59,27,22,24,7,27,1
27/3/2009 ,28,5,WSW,Moderate or heavy rain shower,10.6,90,7,1011,63,27,22,24,7,27,1
28/3/2009 ,30,4,SE,Partly cloudy,5.4,86,7,1011,52,27,22,24,7,27,1
29/3/2009 ,30,4,S,Partly cloudy,5.3,85,6,1010,54,26,21,24,6,26,1
30/3/2009 ,29,3,SE,Cloudy,7.9,88,7,1010,62,26,21,24,4,26,1
31/3/2009 ,31,3,SSE,Partly cloudy,3.7,86,8,1008,42,27,22,25,6,27,1
1/4/2009 ,31,5,E,Partly cloudy,5.5,84,6,1008,50,27,22,25,8,27,1
2/4/2009 ,30,5,E,Sunny,2.6,82,6,1009,44,26,21,25,9,26,1
3/4/2009 ,30,6,ENE,Partly cloudy,3.5,83,7,1010,36,26,21,25,10,26,1
4/4/2009 ,27,8,E,Patchy rain possible,8.7,93,6,1010,72,25,22,23,12,25,1
5/4/2009 ,29,5,SE,Partly cloudy,6.6,88,6,1010,62,26,22,24,9,26,1
6/4/2009 ,30,3,SSW,Patchy rain possible,5.1,86,7,1009,55,28,22,25,4,28,1
7/4/2009 ,32,3,SSE,Partly cloudy,3.7,86,5,1008,67,27,22,25,5,27,1
8/4/2009 ,27,4,SE,Patchy rain possible,7.2,92,6,1008,52,27,23,24,7,27,1
9/4/2009 ,29,7,E,Partly cloudy,7.6,88,6,1008,56,26,22,24,12,26,1
10/4/2009 ,26,5,ESE,Patchy light drizzle,13.2,94,3,1008,87,26,22,23,8,26,1
11/4/2009 ,27,4,SSE,Partly cloudy,25.5,94,4,1007,87,26,23,24,6,26,1
12/4/2009 ,27,4,S,Light rain shower,11.9,95,6,1007,71,27,23,24,6,27,1
13/4/2009 ,27,8,W,Partly cloudy,3.3,90,6,1006,46,27,22,24,12,27,1
14/4/2009 ,29,11,WSW,Sunny,1.5,83,8,1006,26,28,22,25,17,28,1
15/4/2009 ,30,12,WSW,Patchy rain possible,1.8,81,9,1007,17,28,22,26,17,28,1
16/4/2009 ,31,10,SW,Sunny,2.5,82,8,1006,29,29,22,26,14,29,1
17/4/2009 ,30,10,SW,Partly cloudy,2.3,84,8,1006,35,28,22,25,15,28,1
18/4/2009 ,29,8,SW,Sunny,0.6,81,7,1009,52,28,22,25,12,28,1
19/4/2009 ,29,6,SSW,Partly cloudy,0.9,85,8,1011,37,27,22,25,10,27,1
20/4/2009 ,30,10,SW,Partly cloudy,0.1,79,8,1010,29,28,21,25,15,28,1
21/4/2009 ,31,11,SW,Partly cloudy,0.1,80,10,1009,37,28,21,25,15,28,1
22/4/2009 ,28,9,SW,Cloudy,4.3,88,7,1010,57,27,22,24,13,27,1
23/4/2009 ,29,9,SW,Partly cloudy,6.0,87,8,1010,40,28,22,25,14,28,1
24/4/2009 ,30,9,SW,Partly cloudy,3.3,82,8,1010,25,28,22,25,13,28,1
25/4/2009 ,31,7,WSW,Partly cloudy,2.9,82,7,1010,34,29,22,26,11,29,1
26/4/2009 ,31,5,WSW,Partly cloudy,3.6,83,7,1010,29,29,22,26,8,29,1
27/4/2009 ,32,4,SSW,Sunny,0.7,79,8,1010,60,28,21,26,6,28,1
28/4/2009 ,32,7,SW,Partly cloudy,1.0,79,8,1010,38,28,21,26,10,28,1
29/4/2009 ,31,9,SW,Sunny,1.9,78,10,1011,27,28,21,25,13,28,1
30/4/2009 ,29,11,SW,Sunny,2.0,81,10,1011,27,27,21,25,17,27,1
1/5/2009 ,30,11,SW,Partly cloudy,2.6,81,10,1011,37,28,21,25,15,28,1
2/5/2009 ,31,10,SW,Sunny,2.7,80,10,1011,39,29,22,26,15,29,1
3/5/2009 ,32,10,SW,Partly cloudy,1.7,79,10,1010,37,30,22,27,14,30,1
4/5/2009 ,31,10,SW,Sunny,0.2,80,9,1010,36,29,22,26,14,29,1
5/5/2009 ,30,8,WSW,Partly cloudy,4.2,85,9,1010,42,28,22,25,13,28,1
6/5/2009 ,28,7,SW,Partly cloudy,6.1,88,7,1010,38,28,23,25,11,28,1
7/5/2009 ,32,7,WSW,Partly cloudy,2.1,80,8,1008,39,30,22,27,11,30,1
8/5/2009 ,32,9,WSW,Partly cloudy,2.7,82,8,1008,46,29,22,26,13,29,1
9/5/2009 ,30,11,SW,Partly cloudy,1.2,83,8,1008,38,28,22,25,15,28,1
10/5/2009 ,30,10,WSW,Partly cloudy,3.2,83,7,1007,38,28,22,25,15,28,1
11/5/2009 ,32,9,WSW,Sunny,3.3,81,8,1007,30,29,22,26,14,29,1
12/5/2009 ,33,10,WSW,Sunny,2.2,79,10,1007,31,29,22,26,14,29,1
13/5/2009 ,31,11,SW,Sunny,1.0,77,10,1007,23,29,21,26,15,29,1
14/5/2009 ,31,12,SW,Sunny,1.6,79,10,1006,24,29,22,26,17,29,1
15/5/2009 ,31,12,WSW,Sunny,4.1,79,10,1007,25,29,22,26,17,29,1
