Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,29,5,ESE,Sunny,0.0,71,10,1011,11,24,17,24,8,24,1
2/1/2009 ,30,4,SE,Sunny,0.1,69,10,1012,12,25,17,24,7,25,1
3/1/2009 ,30,5,SE,Sunny,0.0,68,10,1013,9,25,17,24,9,25,1
4/1/2009 ,30,5,SE,Sunny,0.2,76,9,1011,13,26,19,24,8,26,1
5/1/2009 ,30,4,E,Sunny,1.6,82,8,1010,40,25,20,24,7,25,1
6/1/2009 ,28,3,ESE,Partly cloudy,4.5,86,9,1011,62,26,21,24,5,26,1
7/1/2009 ,27,5,E,Patchy rain possible,4.0,89,8,1012,49,25,21,23,8,25,1
8/1/2009 ,30,5,ENE,Partly cloudy,1.1,83,8,1013,42,25,20,23,9,25,1
9/1/2009 ,24,5,ENE,Light drizzle,5.4,94,6,1013,89,25,21,23,8,25,1
10/1/2009 ,24,6,ENE,Moderate rain,18.4,96,5,1013,81,25,22,22,9,22,1
11/1/2009 ,29,5,ESE,Sunny,0.0,80,8,1013,41,25,20,24,8,25,1
12/1/2009 ,29,8,ENE,Partly cloudy,0.0,78,9,1014,21,24,19,23,12,24,1
13/1/2009 ,27,7,NE,Partly cloudy,0.2,83,8,1014,41,24,20,23,10,24,1
14/1/2009 ,28,7,ENE,Sunny,0.0,80,10,1014,19,25,20,24,10,25,1
15/1/2009 ,31,6,E,Sunny,0.1,76,8,1014,15,25,19,24,10,25,1
16/1/2009 ,30,7,ENE,Sunny,0.0,74,10,1014,10,25,18,24,10,25,1
17/1/2009 ,29,6,NE,Partly cloudy,0.0,77,10,1013,24,25,19,23,9,25,1
18/1/2009 ,30,5,ESE,Partly cloudy,0.0,76,9,1012,26,25,18,24,7,25,1
