Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,28,12,ESE,Sunny,0.0,81,10,1013,5,27,21,25,17,27,1
2/1/2009 ,29,12,SE,Sunny,0.0,80,10,1013,6,28,21,25,17,28,1
3/1/2009 ,28,13,NE,Sunny,0.3,80,10,1014,9,27,21,25,21,27,1
4/1/2009 ,29,13,ESE,Sunny,0.0,80,9,1013,2,27,21,25,21,27,1
5/1/2009 ,29,13,ESE,Sunny,0.1,78,10,1012,2,27,20,25,20,27,1
6/1/2009 ,29,12,ESE,Sunny,0.0,82,10,1011,8,27,21,25,19,27,1
7/1/2009 ,23,10,SW,Mist,3.7,94,6,1013,68,25,22,23,16,25,1
8/1/2009 ,29,12,NE,Sunny,0.0,83,9,1014,12,28,22,25,18,28,1
9/1/2009 ,28,15,ENE,Partly cloudy,1.9,83,10,1015,42,27,22,25,23,27,1
10/1/2009 ,28,16,NE,Sunny,0.1,80,10,1014,18,27,21,25,25,27,1
11/1/2009 ,28,15,NE,Sunny,0.5,82,10,1015,16,27,22,25,23,27,1
12/1/2009 ,28,17,ENE,Sunny,0.0,79,10,1016,8,27,21,25,26,27,1
13/1/2009 ,28,17,NNE,Sunny,0.0,77,10,1016,7,27,20,25,27,27,1
14/1/2009 ,29,18,NE,Sunny,0.3,77,10,1016,20,27,20,25,29,27,1
15/1/2009 ,26,17,NNE,Light rain shower,2.7,87,10,1016,47,26,22,24,27,26,1
16/1/2009 ,28,16,NE,Sunny,0.0,80,10,1016,15,27,21,25,25,27,1
17/1/2009 ,28,14,NE,Sunny,0.1,81,10,1015,16,27,21,25,21,27,1
18/1/2009 ,28,13,ENE,Sunny,0.0,83,10,1014,22,26,21,24,21,26,1
19/1/2009 ,28,14,NE,Sunny,0.2,82,10,1013,11,26,21,24,22,26,1
20/1/2009 ,29,13,ESE,Sunny,0.0,80,10,1013,7,27,21,24,19,27,1
21/1/2009 ,28,13,ENE,Sunny,0.0,78,10,1013,3,26,20,24,19,26,1
22/1/2009 ,29,14,NNE,Sunny,0.0,78,10,1012,6,26,20,24,21,26,1
23/1/2009 ,29,13,E,Sunny,0.0,77,10,1011,11,26,20,24,21,26,1
24/1/2009 ,29,10,ESE,Sunny,0.0,79,10,1011,7,26,21,25,15,26,1
25/1/2009 ,29,13,ESE,Sunny,0.0,80,9,1012,10,27,21,25,19,27,1
26/1/2009 ,28,14,NE,Cloudy,0.3,83,10,1012,41,28,22,25,22,28,1
