Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,22,9,SE,Partly cloudy,5.1,91,10,1017,47,23,20,21,14,21,1
2/1/2009 ,26,6,S,Sunny,0.0,83,10,1014,8,24,19,22,10,22,1
3/1/2009 ,27,9,SE,Sunny,0.0,82,10,1011,3,24,19,23,15,24,1
4/1/2009 ,28,9,SE,Sunny,0.0,77,10,1012,1,25,19,24,17,25,1
5/1/2009 ,27,8,ESE,Sunny,0.0,85,10,1014,10,26,21,24,12,26,1
6/1/2009 ,29,13,SSE,Sunny,0.0,76,10,1009,8,25,19,24,23,25,1
7/1/2009 ,24,18,WNW,Cloudy,1.1,86,10,1013,49,25,20,22,29,25,1
8/1/2009 ,27,9,S,Sunny,0.0,86,9,1014,32,26,21,24,15,26,1
9/1/2009 ,27,6,SSE,Sunny,0.2,83,10,1015,21,26,21,24,10,26,1
10/1/2009 ,27,6,E,Sunny,0.0,84,10,1014,10,26,21,24,10,26,1
11/1/2009 ,23,22,S,Cloudy,5.1,90,8,1018,65,23,20,22,32,22,1
12/1/2009 ,21,24,NNW,Overcast,1.4,90,7,1019,100,20,18,20,34,20,1
13/1/2009 ,21,25,NNW,Overcast,3.8,88,9,1022,100,20,18,20,37,20,1
14/1/2009 ,20,13,ESE,Overcast,3.8,86,9,1023,98,20,17,20,20,20,1
15/1/2009 ,21,13,NNE,Overcast,7.1,88,8,1023,99,20,18,20,20,20,1
16/1/2009 ,21,14,NE,Overcast,23.1,91,8,1027,100,20,19,20,21,20,1
17/1/2009 ,21,7,E,Light rain shower,10.5,89,9,1026,83,20,18,20,11,20,1
18/1/2009 ,24,9,SSE,Sunny,0.8,83,10,1023,30,21,18,21,13,21,1
19/1/2009 ,23,9,WSW,Sunny,0.0,81,10,1021,7,21,17,20,13,20,1
20/1/2009 ,24,12,SSW,Sunny,0.0,79,10,1020,5,22,17,21,18,21,1
21/1/2009 ,20,13,SW,Patchy light drizzle,0.5,78,9,1024,33,19,15,19,20,19,1
22/1/2009 ,22,7,SSE,Partly cloudy,0.0,74,10,1022,22,20,14,19,11,19,1
23/1/2009 ,23,9,ESE,Sunny,0.0,78,10,1020,1,19,15,19,15,19,1
24/1/2009 ,24,9,ESE,Sunny,0.0,84,10,1018,13,21,18,20,14,20,1
25/1/2009 ,22,8,E,Overcast,2.6,89,10,1019,52,21,19,20,13,20,1
26/1/2009 ,25,9,E,Sunny,0.0,80,10,1018,9,22,18,21,15,21,1
27/1/2009 ,26,7,E,Partly cloudy,0.0,82,10,1016,23,24,19,22,11,24,1
28/1/2009 ,26,13,S,Sunny,0.0,85,10,1015,15,24,20,23,20,24,1
29/1/2009 ,25,13,SSW,Cloudy,0.6,89,10,1016,55,25,21,23,19,25,1
30/1/2009 ,22,26,WNW,Overcast,12.7,92,9,1020,89,23,20,21,38,21,1
