Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 ,17,17,WNW,Partly cloudy,0.0,81,10,1009,58,15,11,14,23,14,1
2/1/2009 ,19,15,WSW,Partly cloudy,0.0,82,10,1014,59,15,12,15,22,15,1
3/1/2009 ,15,19,NW,Overcast,3.7,96,9,1011,76,13,12,11,28,11,1
4/1/2009 ,19,8,WSW,Sunny,0.0,76,7,1018,33,12,7,11,12,11,1
5/1/2009 ,20,7,SSW,Sunny,0.0,77,7,1019,41,13,9,13,11,13,1
6/1/2009 ,20,10,S,Sunny,0.0,75,5,1017,41,13,8,13,14,13,1
7/1/2009 ,23,8,WSW,Sunny,0.0,75,7,1017,15,15,9,14,12,14,1
8/1/2009 ,26,8,SSE,Sunny,0.0,80,8,1016,32,20,15,18,13,18,1
9/1/2009 ,24,12,WSW,Partly cloudy,0.0,80,7,1013,53,18,14,18,17,18,1
10/1/2009 ,17,8,WSW,Fog,4.0,97,4,1012,92,15,15,15,11,15,1
11/1/2009 ,15,15,ESE,Patchy light drizzle,1.4,89,7,1015,76,12,11,11,20,11,1
12/1/2009 ,20,11,SE,Partly cloudy,1.2,82,9,1013,42,14,11,13,16,13,1
13/1/2009 ,20,11,SE,Sunny,0.1,75,7,1011,41,14,9,13,15,13,1
14/1/2009 ,20,12,SSE,Sunny,0.1,74,9,1015,23,13,8,12,16,12,1
15/1/2009 ,23,6,S,Sunny,0.0,70,8,1012,6,14,7,13,9,13,1
16/1/2009 ,24,9,WSW,Sunny,0.0,74,8,1009,6,15,10,15,13,15,1
17/1/2009 ,21,12,WNW,Sunny,0.0,74,9,1007,12,15,9,14,17,14,1
18/1/2009 ,16,18,W,Cloudy,5.1,90,8,1003,82,11,10,10,25,10,1
19/1/2009 ,13,19,W,Cloudy,0.8,90,10,1006,88,10,9,8,25,8,1
20/1/2009 ,14,15,WSW,Overcast,0.3,88,9,1015,75,11,9,9,21,9,1
21/1/2009 ,20,5,S,Sunny,0.0,75,8,1023,27,12,7,12,9,12,1
22/1/2009 ,21,9,SSE,Sunny,0.0,76,6,1026,44,14,9,13,14,13,1
23/1/2009 ,23,8,W,Sunny,0.0,71,8,1025,8,15,8,14,11,14,1
24/1/2009 ,25,4,SSW,Sunny,0.0,72,9,1023,14,16,10,16,6,16,1
25/1/2009 ,24,7,S,Sunny,0.0,76,7,1021,32,17,12,16,10,16,1
26/1/2009 ,25,6,S,Sunny,0.0,73,8,1016,26,17,11,16,9,16,1
27/1/2009 ,16,15,WSW,Overcast,1.1,93,5,1009,93,14,13,13,20,13,1
28/1/2009 ,18,12,SSE,Sunny,0.0,69,10,1018,16,11,5,10,17,10,1
29/1/2009 ,20,13,SSW,Sunny,0.0,72,8,1019,10,12,7,12,19,12,1
30/1/2009 ,24,5,WSW,Sunny,0.0,74,7,1018,46,15,9,15,8,15,1
31/1/2009 ,25,9,WSW,Sunny,0.1,86,6,1015,48,16,13,15,14,15,1
1/2/2009 ,23,17,WNW,Sunny,0.0,78,8,1010,53,17,12,16,23,16,1
