Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2012 00:00,10,31,SW,Overcast,0.0,96,10,1009,92,10,10,7,53,7,1
1/1/2012 01:00,10,32,SW,Overcast,0.0,96,7,1008,95,11,10,7,55,7,1
1/1/2012 02:00,11,33,SW,Light drizzle,0.1,96,5,1008,97,11,10,7,56,7,1
1/1/2012 03:00,11,35,SW,Light drizzle,0.1,96,2,1007,100,11,10,7,58,7,1
1/1/2012 04:00,11,33,SW,Light drizzle,0.1,96,5,1008,97,11,10,7,56,7,1
1/1/2012 05:00,11,32,SW,Overcast,0.0,96,7,1008,95,11,10,7,54,7,1
1/1/2012 06:00,10,31,SW,Overcast,0.0,95,10,1008,92,10,10,7,52,7,1
1/1/2012 07:00,10,31,SW,Overcast,0.0,96,10,1008,94,10,10,7,52,7,1
1/1/2012 08:00,10,31,SW,Overcast,0.0,96,10,1008,96,10,10,7,51,7,1
1/1/2012 09:00,11,31,SW,Overcast,0.1,96,10,1008,98,11,10,7,51,7,1
1/1/2012 10:00,11,30,SW,Overcast,0.0,95,10,1008,98,11,10,7,49,7,1
1/1/2012 11:00,11,29,SW,Overcast,0.0,94,10,1008,99,11,10,8,47,8,1
1/1/2012 12:00,11,28,SW,Overcast,0.0,93,10,1008,100,11,10,8,45,8,1
1/1/2012 13:00,11,27,SW,Overcast,0.0,94,7,1007,100,11,10,8,43,8,1
1/1/2012 14:00,11,26,SW,Light drizzle,0.2,96,5,1006,100,11,10,8,42,8,1
1/1/2012 15:00,11,24,SSW,Light drizzle,0.3,97,2,1005,100,11,10,8,40,8,1
1/1/2012 16:00,11,26,SSW,Light drizzle,0.2,96,5,1004,100,11,10,8,44,8,1
1/1/2012 17:00,11,28,SSW,Overcast,0.0,94,7,1003,100,11,10,8,47,8,1
1/1/2012 18:00,11,30,SSW,Overcast,0.0,93,10,1002,100,12,10,9,50,9,1
1/1/2012 19:00,11,34,SSW,Overcast,0.0,94,9,1002,100,11,10,8,56,8,1
1/1/2012 20:00,11,38,SSW,Moderate rain,1.5,94,8,1001,100,11,10,8,61,8,1
1/1/2012 21:00,11,41,SW,Moderate rain,2.0,94,7,1000,100,11,10,7,66,7,1
1/1/2012 22:00,11,38,SW,Moderate rain,1.0,94,7,1000,89,11,10,7,60,7,1
1/1/2012 23:00,10,34,WSW,Moderate rain at times,1.8,94,8,1001,78,10,9,7,53,7,1
2/1/2012 00:00,10,30,WSW,Moderate rain at times,2.4,94,8,1001,67,10,9,7,47,7,1
2/1/2012 01:00,10,27,WSW,Moderate rain at times,1.2,93,9,1002,78,10,9,6,42,6,1
2/1/2012 02:00,9,24,WSW,Overcast,0.0,92,9,1003,89,9,8,6,37,6,1
2/1/2012 03:00,9,21,WSW,Overcast,0.1,92,10,1004,100,9,7,6,32,6,1
2/1/2012 04:00,8,21,WSW,Overcast,0.0,89,10,1004,84,8,7,5,32,5,1
2/1/2012 05:00,8,21,WSW,Partly cloudy,0.0,87,10,1004,68,8,6,5,31,5,1
2/1/2012 06:00,8,21,WSW,Partly cloudy,0.0,85,10,1004,52,8,5,5,31,5,1
2/1/2012 07:00,8,22,WSW,Partly cloudy,0.0,82,10,1005,44,8,5,4,34,4,1
2/1/2012 08:00,8,23,WSW,Partly cloudy,0.0,80,10,1006,36,8,5,4,36,4,1
2/1/2012 09:00,8,25,WSW,Partly cloudy,0.0,78,10,1006,29,8,4,4,38,4,1
2/1/2012 10:00,8,26,WSW,Partly cloudy,0.0,76,10,1007,34,8,4,4,39,4,1
2/1/2012 11:00,8,27,WSW,Partly cloudy,0.0,75,10,1007,39,8,4,4,40,4,1
2/1/2012 12:00,8,29,WSW,Partly cloudy,0.0,73,10,1007,45,8,4,4,40,4,1
2/1/2012 13:00,8,31,WSW,Partly cloudy,0.0,73,10,1008,32,8,3,4,45,4,1
2/1/2012 14:00,8,33,W,Patchy rain possible,0.3,72,9,1009,19,8,3,3,49,3,1
2/1/2012 15:00,8,35,W,Patchy rain possible,0.4,71,9,1009,7,8,3,3,54,3,1
2/1/2012 16:00,7,32,WSW,Patchy rain possible,0.2,71,9,1010,12,7,2,3,50,3,1
2/1/2012 17:00,7,29,WSW,Sunny,0.0,70,10,1012,18,7,2,3,46,3,1
2/1/2012 18:00,7,26,WSW,Sunny,0.0,70,10,1013,24,7,2,3,42,3,1
2/1/2012 19:00,7,29,WSW,Clear,0.0,71,10,1013,20,7,2,2,47,2,1
2/1/2012 20:00,7,32,WSW,Clear,0.1,73,10,1013,16,7,2,2,53,2,1
2/1/2012 21:00,7,36,WSW,Clear,0.1,74,10,1013,12,7,3,2,58,2,1
2/1/2012 22:00,7,33,SW,Clear,0.1,76,10,1013,18,7,3,2,53,2,1
2/1/2012 23:00,7,30,SW,Partly cloudy,0.0,78,10,1014,23,7,3,2,48,2,1
3/1/2012 00:00,7,27,SW,Partly cloudy,0.0,79,10,1014,29,7,3,2,43,2,1
3/1/2012 01:00,7,32,SW,Partly cloudy,0.0,82,10,1013,50,7,4,2,50,2,1
3/1/2012 02:00,7,36,SSW,Overcast,0.0,84,10,1012,71,7,4,2,57,2,1
3/1/2012 03:00,7,41,SSW,Overcast,0.0,86,10,1012,92,7,4,1,64,1,1
3/1/2012 04:00,6,44,SSW,Overcast,0.0,87,10,1010,95,6,4,1,67,1,1
3/1/2012 05:00,6,47,SSW,Overcast,0.0,88,10,1009,97,6,4,0,71,0,1
3/1/2012 06:00,6,51,S,Overcast,0.0,90,10,1007,100,6,4,-1,74,-1,1
3/1/2012 07:00,6,55,SSW,Overcast,0.0,90,10,1005,100,6,5,-0,81,-0,1
3/1/2012 08:00,7,59,SSW,Light rain,0.6,90,9,1003,100,7,5,1,89,1,1
3/1/2012 09:00,7,63,SSW,Light rain,0.8,90,9,1001,100,7,6,1,96,1,1
3/1/2012 10:00,8,61,SSW,Light rain,0.4,91,9,1000,100,8,6,2,93,2,1
3/1/2012 11:00,8,58,SSW,Overcast,0.0,91,10,998,100,8,7,3,90,3,1
3/1/2012 12:00,9,56,SSW,Overcast,0.0,92,10,997,100,9,7,3,87,3,1
3/1/2012 13:00,9,54,SW,Overcast,0.0,93,9,997,100,9,8,4,85,4,1
3/1/2012 14:00,9,52,SW,Moderate rain,2.5,94,8,996,100,9,8,4,82,4,1
3/1/2012 15:00,10,50,SW,Moderate rain,3.3,95,7,995,100,10,9,5,80,5,1
3/1/2012 16:00,9,50,WSW,Moderate rain,1.7,88,8,997,69,9,7,4,78,4,1
3/1/2012 17:00,8,50,WSW,Sunny,0.0,81,9,999,37,8,5,3,77,3,1
3/1/2012 18:00,8,50,WSW,Sunny,0.0,75,10,1001,6,8,4,2,76,2,1
3/1/2012 19:00,8,50,WSW,Clear,0.0,72,10,1002,5,8,3,2,77,2,1
3/1/2012 20:00,8,50,W,Clear,0.0,69,10,1003,5,8,2,3,78,3,1
3/1/2012 21:00,8,50,W,Clear,0.0,66,10,1005,4,8,2,3,80,3,1
3/1/2012 22:00,8,47,W,Clear,0.0,67,10,1005,14,8,2,3,74,3,1
3/1/2012 23:00,8,43,WSW,Partly cloudy,0.0,69,10,1005,23,8,2,3,69,3,1
4/1/2012 00:00,7,40,WSW,Partly cloudy,0.0,70,10,1005,33,8,2,3,63,3,1
4/1/2012 01:00,7,43,WSW,Partly cloudy,0.0,71,10,1005,48,7,2,2,68,2,1
4/1/2012 02:00,7,47,W,Light rain shower,0.3,72,10,1005,63,7,2,2,73,2,1
4/1/2012 03:00,7,51,W,Light rain shower,0.4,73,10,1006,79,7,2,1,77,1,1
4/1/2012 04:00,7,47,W,Light rain shower,0.2,73,10,1007,79,7,2,1,71,1,1
4/1/2012 05:00,7,43,WNW,Cloudy,0.0,74,10,1008,79,7,3,2,64,2,1
4/1/2012 06:00,7,39,WNW,Cloudy,0.0,74,10,1010,79,7,3,2,57,2,1
4/1/2012 07:00,7,40,WNW,Cloudy,0.0,73,10,1011,78,7,3,2,59,2,1
4/1/2012 08:00,7,41,WNW,Light rain shower,0.1,72,10,1012,78,7,2,2,61,2,1
4/1/2012 09:00,7,42,WNW,Light rain shower,0.1,71,10,1014,77,7,2,2,64,2,1
4/1/2012 10:00,7,39,W,Light rain shower,0.1,72,10,1014,80,7,3,2,58,2,1
4/1/2012 11:00,7,36,W,Cloudy,0.0,73,10,1015,84,8,3,3,52,3,1
4/1/2012 12:00,8,32,W,Cloudy,0.0,73,10,1016,87,8,3,3,46,3,1
4/1/2012 13:00,8,36,W,Cloudy,0.0,74,10,1015,88,8,3,3,52,3,1
4/1/2012 14:00,8,40,WSW,Overcast,0.0,75,10,1015,89,8,4,3,59,3,1
4/1/2012 15:00,8,43,WSW,Overcast,0.0,76,10,1014,90,8,4,3,66,3,1
4/1/2012 16:00,8,42,WSW,Overcast,0.0,78,10,1013,93,8,4,3,65,3,1
4/1/2012 17:00,7,42,WSW,Overcast,0.0,80,10,1012,97,7,4,3,63,3,1
4/1/2012 18:00,7,41,SW,Overcast,0.0,83,10,1011,100,7,5,2,62,2,1
4/1/2012 19:00,7,45,SW,Overcast,0.0,85,9,1008,100,7,5,2,71,2,1
4/1/2012 20:00,7,50,WSW,Moderate rain,1.0,88,8,1006,100,7,6,2,79,2,1
4/1/2012 21:00,8,55,WSW,Moderate rain,1.3,91,7,1004,100,8,6,2,87,2,1
4/1/2012 22:00,8,56,WSW,Moderate rain,0.6,90,8,1001,100,8,6,2,88,2,1
4/1/2012 23:00,8,57,WSW,Overcast,0.0,89,9,999,100,8,6,2,88,2,1
5/1/2012 00:00,8,59,SW,Overcast,0.0,89,10,997,100,8,6,3,89,3,1
5/1/2012 01:00,8,60,WSW,Overcast,0.0,90,10,995,100,8,7,3,91,3,1
5/1/2012 02:00,9,61,WSW,Light rain,0.8,90,9,994,100,9,7,3,94,3,1
5/1/2012 03:00,9,63,WSW,Light rain,1.0,91,9,992,100,9,7,3,96,3,1
5/1/2012 04:00,9,59,WSW,Light rain,0.5,90,9,991,96,9,7,3,89,3,1
5/1/2012 05:00,9,55,W,Overcast,0.0,89,10,991,92,9,7,4,83,4,1
5/1/2012 06:00,9,51,W,Overcast,0.0,88,10,990,88,9,7,4,76,4,1
5/1/2012 07:00,9,50,W,Overcast,0.0,87,8,990,73,9,7,4,74,4,1
5/1/2012 08:00,8,49,W,Patchy light drizzle,0.2,85,7,990,58,8,6,3,73,3,1
5/1/2012 09:00,8,48,W,Patchy light drizzle,0.2,84,5,990,44,8,6,3,72,3,1
5/1/2012 10:00,8,51,WNW,Patchy light drizzle,0.1,81,7,990,54,8,5,3,75,3,1
5/1/2012 11:00,8,54,WNW,Cloudy,0.0,78,8,991,64,8,4,2,77,2,1
5/1/2012 12:00,7,58,WNW,Cloudy,0.0,75,10,991,74,8,3,2,80,2,1
5/1/2012 13:00,8,58,WNW,Cloudy,0.0,74,10,992,67,8,3,2,83,2,1
5/1/2012 14:00,8,58,NW,Light rain shower,0.3,73,10,993,59,8,3,2,86,2,1
5/1/2012 15:00,8,58,NW,Light rain shower,0.5,72,10,994,52,8,3,2,89,2,1
5/1/2012 16:00,8,58,NW,Light rain shower,0.2,71,10,996,59,8,3,2,90,2,1
5/1/2012 17:00,7,58,NW,Light rain shower,0.6,70,10,998,66,8,2,2,90,2,1
5/1/2012 18:00,7,58,NW,Light rain shower,0.8,68,10,1000,73,7,2,1,91,1,1
5/1/2012 19:00,7,56,NW,Light rain shower,0.4,69,10,1001,71,7,2,1,86,1,1
5/1/2012 20:00,7,53,NW,Light rain shower,0.3,69,10,1003,68,7,2,1,81,1,1
5/1/2012 21:00,7,51,NW,Light rain shower,0.4,70,10,1004,65,7,2,1,76,1,1
5/1/2012 22:00,6,48,NW,Light rain shower,0.2,71,10,1006,62,6,1,1,71,1,1
5/1/2012 23:00,6,45,NW,Partly cloudy,0.0,72,10,1007,59,6,1,0,66,0,1
6/1/2012 00:00,6,43,NW,Partly cloudy,0.0,72,10,1009,56,6,1,0,61,0,1
6/1/2012 01:00,6,45,NW,Partly cloudy,0.0,71,10,1010,61,6,1,1,65,1,1
6/1/2012 02:00,7,46,NW,Light rain shower,0.1,71,10,1011,67,7,2,1,69,1,1
6/1/2012 03:00,7,48,NNW,Light rain shower,0.1,70,10,1011,73,7,2,1,73,1,1
6/1/2012 04:00,7,45,NW,Light rain shower,0.0,71,10,1013,68,7,2,2,69,2,1
6/1/2012 05:00,7,41,NW,Partly cloudy,0.0,73,10,1014,63,7,3,2,64,2,1
6/1/2012 06:00,8,38,NW,Partly cloudy,0.0,74,10,1015,59,8,3,3,60,3,1
6/1/2012 07:00,8,39,NW,Partly cloudy,0.0,75,10,1016,60,8,4,3,61,3,1
6/1/2012 08:00,8,39,NW,Light rain shower,0.1,76,10,1017,62,8,4,3,62,3,1
6/1/2012 09:00,8,40,NNW,Light rain shower,0.1,77,10,1018,63,8,4,3,63,3,1
6/1/2012 10:00,8,36,NW,Light rain shower,0.0,76,10,1020,55,8,4,4,54,4,1
6/1/2012 11:00,8,31,NW,Partly cloudy,0.0,76,10,1021,46,8,4,4,46,4,1
6/1/2012 12:00,8,27,NW,Partly cloudy,0.0,75,10,1022,38,8,4,5,37,5,1
6/1/2012 13:00,8,27,NW,Partly cloudy,0.0,76,10,1022,48,8,4,4,39,4,1
6/1/2012 14:00,8,28,WNW,Cloudy,0.0,77,10,1022,58,8,4,4,41,4,1
6/1/2012 15:00,7,28,WNW,Cloudy,0.0,78,10,1022,68,7,4,3,43,3,1
6/1/2012 16:00,7,25,WNW,Cloudy,0.0,77,10,1022,46,7,3,3,38,3,1
6/1/2012 17:00,6,21,W,Sunny,0.0,76,10,1023,24,6,2,3,33,3,1
6/1/2012 18:00,6,17,W,Sunny,0.0,76,10,1023,2,6,2,2,28,2,1
6/1/2012 19:00,6,21,WSW,Clear,0.0,76,10,1022,15,6,2,2,34,2,1
6/1/2012 20:00,6,25,WSW,Partly cloudy,0.0,76,10,1022,29,6,2,2,40,2,1
6/1/2012 21:00,6,29,WSW,Partly cloudy,0.0,77,10,1021,42,6,2,2,47,2,1
6/1/2012 22:00,6,27,SW,Partly cloudy,0.0,79,10,1019,52,6,2,1,43,1,1
6/1/2012 23:00,5,24,SW,Cloudy,0.0,81,10,1017,62,5,2,1,39,1,1
7/1/2012 00:00,4,22,SSW,Cloudy,0.0,83,10,1015,72,4,2,0,35,0,1
7/1/2012 01:00,4,22,SSW,Cloudy,0.0,84,10,1015,71,4,2,0,35,0,1
7/1/2012 02:00,4,22,SSW,Patchy rain possible,0.1,86,10,1015,70,4,2,0,35,0,1
7/1/2012 03:00,4,23,SSW,Patchy rain possible,0.1,87,9,1014,69,4,2,0,35,0,1
7/1/2012 04:00,4,22,SSW,Patchy rain possible,0.0,87,10,1014,66,4,2,0,35,0,1
