Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2013 00:00,3,19,SSW,Cloudy,0.0,92,10,1008,80,3,2,-1,33,-1,1
1/1/2013 01:00,3,19,SSW,Cloudy,0.0,92,10,1008,72,3,2,-1,33,-1,1
1/1/2013 02:00,3,20,SSW,Partly cloudy,0.0,91,10,1007,64,3,2,-1,34,-1,1
1/1/2013 03:00,3,21,SSW,Partly cloudy,0.0,91,10,1007,57,3,2,-1,34,-1,1
1/1/2013 04:00,3,22,SSW,Partly cloudy,0.0,91,10,1007,71,3,2,-1,34,-1,1
1/1/2013 05:00,3,23,SSW,Overcast,0.0,92,10,1006,86,3,2,-1,35,-1,1
1/1/2013 06:00,3,24,SSW,Overcast,0.0,92,10,1006,100,4,2,-1,36,-1,1
1/1/2013 07:00,3,24,SSW,Overcast,0.0,94,10,1006,100,3,3,-1,36,-1,1
1/1/2013 08:00,3,24,SSW,Light rain,0.8,96,9,1006,100,3,3,-2,36,-2,1
1/1/2013 09:00,3,23,SW,Light rain,1.1,98,9,1006,100,3,3,-2,37,-2,1
1/1/2013 10:00,4,22,SW,Light rain,0.5,99,9,1007,100,4,4,-1,35,-1,1
1/1/2013 11:00,4,20,SW,Overcast,0.0,99,10,1007,100,4,4,0,33,0,1
1/1/2013 12:00,5,19,WSW,Overcast,0.0,99,10,1008,100,5,5,1,31,1,1
1/1/2013 13:00,5,19,WSW,Overcast,0.0,99,10,1009,88,5,5,1,30,1,1
1/1/2013 14:00,5,19,W,Cloudy,0.0,98,10,1010,75,5,4,1,30,1,1
1/1/2013 15:00,4,19,W,Cloudy,0.0,98,10,1010,63,4,4,0,30,0,1
1/1/2013 16:00,3,17,WNW,Cloudy,0.0,98,7,1011,75,3,3,-0,27,-0,1
1/1/2013 17:00,2,14,WNW,Fog,0.0,98,3,1012,88,2,2,-1,25,-1,1
1/1/2013 18:00,1,12,WNW,Fog,0.0,98,0,1013,100,1,1,-2,22,-2,1
1/1/2013 19:00,1,12,WNW,Fog,0.0,97,1,1013,73,1,0,-3,23,-3,1
1/1/2013 20:00,0,12,WNW,Mist,0.0,96,1,1014,47,0,-0,-3,24,-3,1
1/1/2013 21:00,-0,12,W,Mist,0.0,95,2,1015,20,-0,-1,-4,24,-4,1
1/1/2013 22:00,-0,12,W,Mist,0.0,96,2,1016,32,-0,-1,-4,24,-4,1
1/1/2013 23:00,-0,12,W,Mist,0.0,96,2,1017,44,-0,-1,-4,24,-4,1
2/1/2013 00:00,-0,12,W,Mist,0.0,96,2,1018,55,-0,-1,-4,25,-4,1
2/1/2013 01:00,-0,12,W,Mist,0.0,96,1,1019,62,-0,-1,-4,23,-4,1
2/1/2013 02:00,-0,12,W,Freezing fog,0.0,97,1,1019,69,-0,-1,-4,22,-4,1
2/1/2013 03:00,-0,11,W,Freezing fog,0.0,98,0,1020,76,-0,-0,-4,21,-4,1
2/1/2013 04:00,0,11,W,Freezing fog,0.0,98,0,1020,84,0,0,-3,20,-3,1
2/1/2013 05:00,1,12,W,Fog,0.0,98,0,1021,92,1,0,-3,20,-3,1
2/1/2013 06:00,1,12,W,Fog,0.0,98,0,1022,100,1,1,-2,19,-2,1
2/1/2013 07:00,2,13,W,Fog,0.0,97,3,1023,94,2,1,-2,20,-2,1
2/1/2013 08:00,2,14,W,Cloudy,0.0,95,7,1024,87,2,1,-2,20,-2,1
2/1/2013 09:00,2,15,W,Cloudy,0.0,94,10,1024,81,3,2,-1,21,-1,1
2/1/2013 10:00,3,14,W,Cloudy,0.0,93,10,1025,82,3,2,-1,20,-1,1
2/1/2013 11:00,4,14,W,Cloudy,0.0,91,10,1026,82,4,2,0,19,0,1
2/1/2013 12:00,4,14,W,Cloudy,0.0,89,10,1027,83,4,3,1,18,1,1
2/1/2013 13:00,4,13,W,Cloudy,0.0,90,10,1027,85,4,2,1,18,1,1
2/1/2013 14:00,4,13,WSW,Overcast,0.0,91,10,1027,87,4,2,0,18,0,1
2/1/2013 15:00,3,13,WSW,Overcast,0.0,92,10,1028,90,3,2,0,19,0,1
2/1/2013 16:00,3,13,WSW,Overcast,0.0,94,10,1028,93,3,2,0,19,0,1
2/1/2013 17:00,3,13,WSW,Overcast,0.0,95,10,1029,97,3,3,0,20,0,1
2/1/2013 18:00,3,13,SW,Overcast,0.0,96,10,1030,100,3,3,0,21,0,1
2/1/2013 19:00,3,14,SW,Overcast,0.0,97,10,1030,97,3,3,-0,22,-0,1
2/1/2013 20:00,3,15,SW,Overcast,0.0,97,10,1030,95,3,2,-1,24,-1,1
2/1/2013 21:00,3,15,SW,Overcast,0.0,98,10,1030,92,3,2,-1,26,-1,1
2/1/2013 22:00,3,15,SW,Overcast,0.0,98,10,1030,92,3,2,-1,26,-1,1
2/1/2013 23:00,3,15,SW,Overcast,0.0,97,10,1031,91,3,2,-1,25,-1,1
3/1/2013 00:00,3,15,SW,Overcast,0.0,97,10,1031,90,3,3,-1,25,-1,1
3/1/2013 01:00,3,17,SW,Overcast,0.0,97,10,1031,88,3,2,-1,27,-1,1
3/1/2013 02:00,3,19,SW,Cloudy,0.0,96,10,1031,86,3,2,-1,30,-1,1
3/1/2013 03:00,3,20,SW,Cloudy,0.0,96,10,1031,84,3,2,-1,32,-1,1
3/1/2013 04:00,3,20,SW,Cloudy,0.0,96,10,1031,84,3,3,-1,32,-1,1
3/1/2013 05:00,3,20,SW,Cloudy,0.0,96,10,1032,85,3,3,-1,32,-1,1
3/1/2013 06:00,3,21,SW,Cloudy,0.0,96,10,1033,85,3,3,-1,33,-1,1
3/1/2013 07:00,4,20,SW,Cloudy,0.0,96,10,1033,90,4,3,-1,32,-1,1
3/1/2013 08:00,4,19,WSW,Overcast,0.0,96,10,1034,95,4,3,-0,31,-0,1
3/1/2013 09:00,4,18,WSW,Overcast,0.1,97,10,1034,100,4,4,0,30,0,1
3/1/2013 10:00,5,18,WSW,Overcast,0.0,96,10,1034,92,5,4,1,30,1,1
3/1/2013 11:00,5,19,SW,Cloudy,0.0,95,10,1035,85,5,5,2,30,2,1
3/1/2013 12:00,6,19,SW,Cloudy,0.0,94,10,1035,77,6,5,2,30,2,1
3/1/2013 13:00,6,18,SW,Cloudy,0.0,95,7,1035,81,6,5,3,28,3,1
3/1/2013 14:00,6,17,WSW,Light drizzle,0.1,96,5,1035,85,6,5,3,27,3,1
3/1/2013 15:00,6,16,WSW,Light drizzle,0.1,97,2,1035,89,6,6,3,26,3,1
3/1/2013 16:00,6,16,WSW,Light drizzle,0.0,97,5,1035,93,6,5,3,26,3,1
3/1/2013 17:00,6,15,WSW,Overcast,0.0,97,7,1036,96,6,5,3,25,3,1
3/1/2013 18:00,6,15,WSW,Overcast,0.0,98,10,1037,100,6,5,3,25,3,1
3/1/2013 19:00,6,15,WSW,Overcast,0.0,98,10,1037,96,6,6,3,25,3,1
3/1/2013 20:00,6,15,WSW,Overcast,0.0,97,10,1037,93,6,6,3,26,3,1
3/1/2013 21:00,7,15,W,Overcast,0.0,97,10,1037,89,7,6,4,27,4,1
3/1/2013 22:00,7,13,W,Overcast,0.0,97,7,1037,93,7,7,4,24,4,1
3/1/2013 23:00,7,12,W,Fog,0.0,97,3,1038,96,7,7,5,21,5,1
4/1/2013 00:00,7,10,WNW,Fog,0.0,97,0,1038,100,7,7,5,18,5,1
4/1/2013 01:00,7,12,WNW,Fog,0.0,97,3,1038,94,7,7,5,21,5,1
4/1/2013 02:00,7,13,WNW,Cloudy,0.0,97,7,1037,88,7,6,4,24,4,1
4/1/2013 03:00,6,14,WNW,Cloudy,0.0,98,10,1037,82,7,6,4,27,4,1
4/1/2013 04:00,7,14,WNW,Cloudy,0.0,98,10,1037,88,7,7,4,26,4,1
4/1/2013 05:00,7,14,W,Overcast,0.0,97,10,1037,94,7,7,5,25,5,1
4/1/2013 06:00,8,14,W,Overcast,0.0,97,10,1037,100,8,7,5,24,5,1
4/1/2013 07:00,8,14,W,Overcast,0.0,97,10,1037,97,8,7,5,24,5,1
4/1/2013 08:00,8,14,W,Overcast,0.0,97,10,1037,94,8,7,5,24,5,1
4/1/2013 09:00,8,15,W,Overcast,0.0,97,10,1037,92,8,7,5,24,5,1
4/1/2013 10:00,8,14,W,Overcast,0.0,94,10,1037,87,8,7,6,22,6,1
4/1/2013 11:00,9,13,W,Cloudy,0.0,92,10,1037,83,9,7,6,20,6,1
4/1/2013 12:00,9,13,W,Cloudy,0.0,90,10,1038,79,9,7,7,18,7,1
4/1/2013 13:00,9,13,W,Cloudy,0.0,91,10,1037,79,9,7,6,20,6,1
4/1/2013 14:00,8,14,W,Cloudy,0.0,93,10,1036,79,8,7,6,21,6,1
4/1/2013 15:00,8,15,W,Cloudy,0.0,95,10,1036,79,8,7,5,23,5,1
4/1/2013 16:00,8,14,W,Cloudy,0.0,96,7,1036,86,8,7,5,22,5,1
4/1/2013 17:00,7,13,W,Fog,0.0,97,3,1036,93,7,7,5,21,5,1
4/1/2013 18:00,7,12,W,Fog,0.0,98,0,1036,100,7,7,5,20,5,1
4/1/2013 19:00,7,13,W,Fog,0.0,97,3,1036,95,7,7,4,21,4,1
4/1/2013 20:00,7,14,W,Cloudy,0.0,97,7,1036,90,7,6,4,22,4,1
