Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2011 00:00,24,8,ESE,Clear,0.0,90,10,1007,23,27,23,25,12,27,1
1/1/2011 01:00,24,9,E,Clear,0.0,90,10,1007,28,27,23,25,14,27,1
1/1/2011 02:00,24,10,ENE,Partly cloudy,0.0,89,10,1007,32,27,23,24,17,27,1
1/1/2011 03:00,24,12,ENE,Partly cloudy,0.0,89,10,1007,36,27,22,24,19,27,1
1/1/2011 04:00,25,9,NE,Partly cloudy,0.0,87,10,1007,33,27,23,25,15,27,1
1/1/2011 05:00,25,7,NE,Patchy rain possible,0.2,85,9,1008,30,28,23,26,10,28,1
1/1/2011 06:00,26,5,NNE,Patchy rain possible,0.2,83,9,1009,27,29,23,26,6,29,1
1/1/2011 07:00,26,6,ESE,Patchy rain possible,0.1,78,9,1009,25,30,23,27,7,30,1
1/1/2011 08:00,27,7,SSW,Sunny,0.0,74,10,1008,22,31,23,28,8,31,1
1/1/2011 09:00,28,8,WNW,Sunny,0.0,70,10,1008,19,32,23,29,9,32,1
1/1/2011 10:00,28,10,WNW,Sunny,0.0,70,10,1007,17,32,22,29,12,32,1
1/1/2011 11:00,28,12,WNW,Sunny,0.0,70,10,1007,16,32,22,28,16,32,1
1/1/2011 12:00,28,14,WNW,Sunny,0.1,71,10,1006,14,32,22,28,19,32,1
1/1/2011 13:00,28,16,WNW,Sunny,0.0,75,10,1006,19,31,23,28,23,31,1
1/1/2011 14:00,27,18,WNW,Partly cloudy,0.0,79,10,1006,23,31,23,27,28,31,1
1/1/2011 15:00,27,21,NW,Partly cloudy,0.0,83,10,1006,28,30,24,27,32,30,1
1/1/2011 16:00,26,21,NW,Partly cloudy,0.0,83,10,1007,29,30,23,26,33,30,1
1/1/2011 17:00,26,21,NW,Patchy rain possible,0.3,84,9,1008,30,29,23,26,33,29,1
1/1/2011 18:00,26,22,NNW,Patchy rain possible,0.5,85,9,1008,31,28,23,26,34,28,1
1/1/2011 19:00,26,19,SW,Patchy rain possible,0.2,85,9,1008,32,28,23,26,30,28,1
1/1/2011 20:00,25,17,ESE,Partly cloudy,0.0,85,10,1008,32,28,23,25,26,28,1
1/1/2011 21:00,25,14,N,Partly cloudy,0.0,85,10,1008,33,28,23,25,22,28,1
1/1/2011 22:00,25,12,N,Partly cloudy,0.0,86,10,1008,31,28,23,25,19,28,1
1/1/2011 23:00,25,10,NNE,Patchy rain possible,0.1,87,9,1008,28,28,23,25,16,28,1
2/1/2011 00:00,25,8,NNE,Patchy rain possible,0.1,87,9,1007,26,28,23,25,13,28,1
2/1/2011 01:00,25,8,NNE,Patchy rain possible,0.0,87,9,1007,29,27,23,25,13,27,1
2/1/2011 02:00,24,8,NNE,Partly cloudy,0.0,88,10,1007,33,27,22,25,13,27,1
2/1/2011 03:00,24,8,NNE,Partly cloudy,0.0,88,10,1007,37,27,22,24,13,27,1
2/1/2011 04:00,25,7,ESE,Partly cloudy,0.0,85,10,1007,32,28,23,25,11,28,1
2/1/2011 05:00,25,6,SW,Clear,0.0,83,10,1008,28,29,23,26,9,29,1
2/1/2011 06:00,26,5,NNW,Clear,0.0,80,10,1008,23,30,23,27,6,30,1
2/1/2011 07:00,27,6,NNW,Sunny,0.0,77,10,1008,26,31,23,28,7,31,1
