Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,21,16,SSE,Clear,0.0,73,10,1013,14,21,16,21,26,21,1
1/1/2016 01:00,20,15,S,Clear,0.0,74,10,1012,14,21,16,21,26,21,1
1/1/2016 02:00,20,15,S,Clear,0.0,76,10,1012,15,20,16,20,25,20,1
1/1/2016 03:00,20,14,S,Clear,0.0,77,10,1012,15,20,16,20,24,20,1
1/1/2016 04:00,21,15,S,Clear,0.0,75,10,1012,14,21,16,21,23,21,1
1/1/2016 05:00,21,15,S,Clear,0.0,73,10,1012,14,23,16,21,22,21,1
1/1/2016 06:00,22,15,S,Sunny,0.0,71,10,1012,13,25,16,22,21,22,1
1/1/2016 07:00,24,15,SSE,Sunny,0.0,63,10,1012,26,26,16,24,20,26,1
1/1/2016 08:00,25,15,SSE,Partly cloudy,0.0,56,10,1012,39,26,16,25,18,26,1
1/1/2016 09:00,27,15,SE,Partly cloudy,0.0,49,10,1012,52,27,15,27,17,27,1
1/1/2016 10:00,28,15,SE,Partly cloudy,0.0,48,10,1011,36,28,15,28,18,28,1
1/1/2016 11:00,28,16,SE,Sunny,0.0,46,10,1010,19,29,15,28,18,29,1
1/1/2016 12:00,29,17,SE,Sunny,0.0,44,10,1010,2,29,15,29,19,29,1
1/1/2016 13:00,28,17,ESE,Sunny,0.0,46,10,1009,3,29,16,28,19,29,1
1/1/2016 14:00,28,17,ESE,Sunny,0.0,47,10,1009,4,29,16,28,19,29,1
1/1/2016 15:00,28,17,ESE,Sunny,0.0,49,10,1009,4,28,16,28,20,28,1
1/1/2016 16:00,26,16,ESE,Sunny,0.0,53,10,1009,4,27,16,26,22,27,1
1/1/2016 17:00,25,16,ESE,Sunny,0.0,58,10,1010,4,26,16,25,23,26,1
1/1/2016 18:00,24,15,ESE,Sunny,0.0,63,10,1010,4,25,16,24,25,25,1
1/1/2016 19:00,23,13,ESE,Clear,0.0,66,10,1011,5,25,16,23,23,25,1
1/1/2016 20:00,22,11,ESE,Clear,0.0,70,10,1011,6,25,16,22,20,25,1
1/1/2016 21:00,21,9,ESE,Clear,0.0,73,10,1012,7,24,16,21,18,21,1
1/1/2016 22:00,21,9,ESE,Clear,0.0,74,10,1011,10,23,16,21,17,21,1
1/1/2016 23:00,21,8,SE,Clear,0.0,76,10,1011,13,22,16,21,16,21,1
2/1/2016 00:00,20,8,SE,Clear,0.0,77,10,1010,16,20,16,20,15,20,1
2/1/2016 01:00,20,8,SSE,Clear,0.0,79,10,1011,16,20,16,20,16,20,1
