Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2012 00:00,9,12,S,Clear,0.0,69,10,1017,4,10,4,8,26,8,1
1/1/2012 01:00,9,12,S,Clear,0.0,68,10,1017,7,9,4,7,26,7,1
1/1/2012 02:00,9,12,S,Clear,0.0,67,10,1017,9,9,3,7,26,7,1
1/1/2012 03:00,9,12,S,Clear,0.0,66,10,1017,12,9,3,7,26,7,1
1/1/2012 04:00,9,13,S,Clear,0.0,63,10,1017,9,9,2,7,25,7,1
1/1/2012 05:00,10,14,S,Clear,0.0,60,10,1017,5,10,2,8,24,8,1
1/1/2012 06:00,10,15,S,Clear,0.0,56,10,1018,2,10,2,8,23,8,1
1/1/2012 07:00,12,17,S,Sunny,0.0,51,10,1018,4,12,2,10,24,10,1
1/1/2012 08:00,13,20,SSW,Sunny,0.0,46,10,1017,6,13,2,12,25,12,1
1/1/2012 09:00,15,23,SW,Sunny,0.0,40,10,1017,7,15,2,13,26,13,1
1/1/2012 10:00,15,24,SW,Sunny,0.0,40,10,1017,12,15,2,14,28,14,1
1/1/2012 11:00,15,26,SW,Sunny,0.0,40,10,1016,17,15,2,15,30,15,1
1/1/2012 12:00,16,28,SW,Sunny,0.0,39,10,1016,22,16,2,16,32,16,1
1/1/2012 13:00,15,24,SW,Sunny,0.0,43,10,1016,20,15,2,14,31,14,1
1/1/2012 14:00,14,21,SW,Sunny,0.0,47,10,1016,18,14,3,13,30,13,1
1/1/2012 15:00,13,17,WSW,Sunny,0.0,51,10,1017,16,13,3,11,29,11,1
1/1/2012 16:00,13,17,SW,Sunny,0.0,53,10,1017,39,13,3,11,29,11,1
1/1/2012 17:00,12,17,SW,Cloudy,0.0,56,10,1018,62,12,4,10,28,10,1
1/1/2012 18:00,12,17,SW,Cloudy,0.0,58,10,1018,84,12,4,10,28,10,1
1/1/2012 19:00,12,17,SW,Cloudy,0.0,60,10,1019,79,12,4,10,27,10,1
1/1/2012 20:00,12,17,SW,Cloudy,0.0,61,10,1019,74,12,4,10,27,10,1
1/1/2012 21:00,11,17,SW,Cloudy,0.0,63,10,1019,69,11,5,9,27,9,1
1/1/2012 22:00,11,17,SW,Cloudy,0.0,65,10,1019,77,11,5,9,26,9,1
1/1/2012 23:00,11,17,SW,Overcast,0.0,67,10,1019,86,11,5,9,25,9,1
2/1/2012 00:00,11,17,SW,Overcast,0.0,70,10,1019,94,11,6,9,24,9,1
2/1/2012 01:00,11,16,SW,Overcast,0.0,72,10,1019,96,11,6,9,24,9,1
2/1/2012 02:00,11,16,SW,Overcast,0.0,75,10,1019,98,11,6,9,23,9,1
2/1/2012 03:00,10,16,SW,Overcast,0.0,77,10,1019,100,11,7,8,22,8,1
2/1/2012 04:00,10,16,SSW,Overcast,0.0,78,10,1019,100,10,7,8,22,8,1
2/1/2012 05:00,10,16,S,Overcast,0.0,79,10,1019,100,10,6,8,23,8,1
2/1/2012 06:00,10,16,S,Overcast,0.0,80,10,1019,100,10,6,7,23,7,1
2/1/2012 07:00,10,16,S,Overcast,0.0,79,7,1020,100,10,7,8,21,8,1
2/1/2012 08:00,10,15,SSW,Light drizzle,0.1,78,5,1020,100,11,7,9,20,9,1
2/1/2012 09:00,11,14,SW,Light drizzle,0.2,78,2,1020,100,11,7,9,19,9,1
2/1/2012 10:00,11,12,SW,Light drizzle,0.1,76,5,1020,91,11,7,10,15,10,1
2/1/2012 11:00,12,9,WSW,Cloudy,0.0,75,7,1019,83,12,8,11,11,11,1
2/1/2012 12:00,12,6,WSW,Cloudy,0.0,74,10,1019,74,12,8,12,7,12,1
2/1/2012 13:00,12,6,WSW,Cloudy,0.0,76,10,1019,70,12,8,12,8,12,1
2/1/2012 14:00,11,6,WSW,Partly cloudy,0.0,79,10,1020,65,12,8,11,9,11,1
2/1/2012 15:00,11,6,SW,Partly cloudy,0.0,81,10,1020,60,11,8,11,10,11,1
2/1/2012 16:00,11,6,SW,Partly cloudy,0.0,84,10,1020,55,11,8,10,10,10,1
2/1/2012 17:00,10,6,SSW,Partly cloudy,0.0,86,10,1021,49,10,8,10,11,10,1
2/1/2012 18:00,9,6,S,Partly cloudy,0.0,88,10,1021,43,10,8,9,12,9,1
2/1/2012 19:00,9,7,S,Partly cloudy,0.0,89,10,1021,35,9,8,9,13,9,1
2/1/2012 20:00,9,7,S,Clear,0.0,89,10,1022,27,9,8,8,14,8,1
