Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,23,14,NE,Cloudy,0.0,94,10,1014,77,25,22,23,25,25,1
1/1/2016 01:00,23,13,NE,Cloudy,0.0,95,7,1014,82,25,22,23,23,25,1
1/1/2016 02:00,23,12,NE,Mist,0.0,96,5,1014,88,25,22,23,21,25,1
1/1/2016 03:00,22,11,ENE,Mist,0.0,97,2,1014,94,25,22,22,20,25,1
1/1/2016 04:00,24,14,ENE,Mist,0.0,91,5,1014,83,26,22,24,21,26,1
1/1/2016 05:00,25,17,ENE,Light rain shower,0.1,84,7,1015,73,28,22,25,23,28,1
1/1/2016 06:00,26,20,ENE,Light rain shower,0.1,78,10,1015,62,29,22,26,24,29,1
1/1/2016 07:00,27,23,NE,Light rain shower,0.0,74,10,1015,63,30,22,27,27,30,1
1/1/2016 08:00,29,25,NE,Cloudy,0.0,69,10,1015,65,32,22,29,29,32,1
1/1/2016 09:00,30,28,NE,Cloudy,0.0,64,10,1016,66,33,22,30,32,33,1
1/1/2016 10:00,29,28,NE,Cloudy,0.0,66,10,1015,66,32,22,29,33,32,1
1/1/2016 11:00,29,28,NE,Light rain shower,0.3,67,10,1014,65,32,22,29,35,32,1
1/1/2016 12:00,28,28,NE,Light rain shower,0.4,69,10,1014,65,31,22,28,36,31,1
1/1/2016 13:00,27,26,NE,Light rain shower,0.2,73,10,1014,62,30,22,27,36,30,1
1/1/2016 14:00,27,25,NE,Partly cloudy,0.0,76,10,1014,60,29,22,27,36,29,1
1/1/2016 15:00,26,23,NE,Partly cloudy,0.0,80,10,1014,58,28,22,26,36,28,1
1/1/2016 16:00,25,21,NE,Partly cloudy,0.0,83,10,1015,59,27,22,25,34,27,1
1/1/2016 17:00,24,19,NE,Cloudy,0.0,87,10,1015,61,26,22,24,31,26,1
1/1/2016 18:00,23,17,NE,Cloudy,0.0,91,10,1016,63,26,22,23,29,26,1
1/1/2016 19:00,23,15,NE,Cloudy,0.0,92,10,1016,66,25,22,23,28,25,1
1/1/2016 20:00,23,14,NE,Cloudy,0.0,93,10,1016,70,25,22,23,26,25,1
1/1/2016 21:00,23,13,NE,Cloudy,0.0,94,10,1016,73,25,22,23,24,25,1
1/1/2016 22:00,23,13,NE,Cloudy,0.0,94,7,1016,77,25,22,23,23,25,1
1/1/2016 23:00,23,13,NE,Mist,0.0,94,5,1015,81,25,22,23,22,25,1
2/1/2016 00:00,23,12,NE,Mist,0.0,95,2,1015,85,25,22,23,22,25,1
2/1/2016 01:00,23,12,NE,Mist,0.0,95,2,1015,83,25,22,23,22,25,1
2/1/2016 02:00,23,12,NE,Mist,0.0,95,2,1015,81,25,22,23,22,25,1
2/1/2016 03:00,22,12,NE,Mist,0.0,95,2,1015,80,25,22,22,22,25,1
2/1/2016 04:00,24,14,NE,Mist,0.0,89,5,1015,74,26,22,24,22,26,1
2/1/2016 05:00,25,16,NE,Cloudy,0.0,83,7,1016,69,28,22,25,22,28,1
2/1/2016 06:00,26,18,NE,Cloudy,0.0,77,10,1017,64,29,22,26,22,29,1
2/1/2016 07:00,27,19,NE,Cloudy,0.0,74,10,1016,71,30,22,27,23,30,1
2/1/2016 08:00,28,21,NE,Cloudy,0.0,70,10,1016,78,31,22,28,24,31,1
2/1/2016 09:00,29,22,NE,Cloudy,0.0,67,10,1016,85,33,22,29,25,33,1
2/1/2016 10:00,29,23,NE,Cloudy,0.0,70,9,1016,85,32,23,29,30,32,1
2/1/2016 11:00,28,24,NE,Moderate or heavy rain shower,1.0,73,8,1015,86,32,23,28,35,32,1
2/1/2016 12:00,28,24,NE,Moderate or heavy rain shower,1.4,76,7,1014,86,31,23,28,40,31,1
2/1/2016 13:00,27,22,NE,Moderate or heavy rain shower,0.7,78,8,1014,74,30,23,27,36,30,1
2/1/2016 14:00,26,20,NE,Partly cloudy,0.0,81,9,1014,62,29,23,26,32,29,1
2/1/2016 15:00,25,17,NE,Partly cloudy,0.0,84,10,1014,50,28,22,25,28,28,1
2/1/2016 16:00,25,16,NE,Partly cloudy,0.0,87,10,1015,47,27,22,25,27,27,1
2/1/2016 17:00,24,16,NE,Partly cloudy,0.0,90,10,1015,43,26,22,24,27,26,1
2/1/2016 18:00,23,15,NE,Partly cloudy,0.0,93,10,1016,40,25,22,23,27,25,1
2/1/2016 19:00,23,14,NE,Partly cloudy,0.0,93,7,1016,45,25,22,23,25,25,1
2/1/2016 20:00,23,13,NE,Mist,0.0,94,5,1016,50,25,22,23,23,25,1
2/1/2016 21:00,23,12,NE,Mist,0.0,95,2,1016,55,25,22,23,21,25,1
2/1/2016 22:00,22,12,NE,Mist,0.0,95,2,1016,61,25,22,22,21,25,1
2/1/2016 23:00,22,11,NE,Mist,0.0,95,2,1015,67,25,22,22,21,25,1
3/1/2016 00:00,22,11,NE,Mist,0.0,96,2,1015,72,25,22,22,20,25,1
3/1/2016 01:00,22,12,NE,Mist,0.0,96,5,1015,69,25,22,22,21,25,1
3/1/2016 02:00,22,13,NNE,Partly cloudy,0.0,96,7,1015,65,25,22,22,22,25,1
3/1/2016 03:00,22,13,NNE,Partly cloudy,0.0,97,10,1015,62,25,22,22,23,25,1
3/1/2016 04:00,23,15,NNE,Partly cloudy,0.0,92,10,1015,63,26,22,23,24,26,1
3/1/2016 05:00,25,18,NE,Cloudy,0.0,87,10,1015,63,27,22,25,24,27,1
3/1/2016 06:00,26,20,NE,Cloudy,0.0,82,10,1016,64,28,22,26,25,28,1
3/1/2016 07:00,27,22,NE,Cloudy,0.0,75,10,1016,58,30,22,27,27,30,1
3/1/2016 08:00,28,24,NE,Partly cloudy,0.0,69,10,1016,52,32,22,29,28,32,1
3/1/2016 09:00,30,26,NE,Partly cloudy,0.0,62,10,1016,47,33,22,30,30,33,1
3/1/2016 10:00,30,27,NE,Partly cloudy,0.0,60,10,1015,46,33,22,30,32,33,1
3/1/2016 11:00,30,28,NE,Patchy rain possible,0.1,59,9,1014,46,33,21,30,33,33,1
3/1/2016 12:00,31,29,NE,Patchy rain possible,0.1,57,9,1013,46,34,21,31,34,34,1
3/1/2016 13:00,29,27,NE,Patchy rain possible,0.1,62,9,1012,48,32,21,29,34,32,1
3/1/2016 14:00,28,25,NE,Partly cloudy,0.0,67,10,1012,51,30,21,28,34,30,1
3/1/2016 15:00,27,23,NE,Partly cloudy,0.0,72,10,1012,54,29,21,27,34,29,1
3/1/2016 16:00,26,20,NE,Partly cloudy,0.0,78,10,1013,56,28,21,26,32,28,1
3/1/2016 17:00,25,18,NE,Partly cloudy,0.0,84,10,1014,58,27,22,25,31,27,1
3/1/2016 18:00,23,16,NE,Partly cloudy,0.0,90,10,1014,60,26,22,23,29,26,1
3/1/2016 19:00,23,15,NE,Partly cloudy,0.0,92,7,1014,60,25,22,23,27,25,1
3/1/2016 20:00,23,13,NE,Mist,0.0,93,5,1015,59,25,22,23,25,25,1
3/1/2016 21:00,23,12,NE,Mist,0.0,94,2,1015,58,25,22,23,23,25,1
3/1/2016 22:00,22,11,NE,Mist,0.0,95,3,1014,60,25,22,22,20,25,1
3/1/2016 23:00,22,10,ENE,Patchy rain possible,0.1,96,4,1012,62,24,21,22,18,24,1
4/1/2016 00:00,22,9,ENE,Patchy rain possible,0.2,97,5,1011,64,24,21,22,16,22,1
4/1/2016 01:00,22,8,NE,Patchy rain possible,0.1,97,4,1011,69,24,21,22,15,22,1
4/1/2016 02:00,21,8,NE,Overcast,0.0,97,3,1011,74,23,21,22,14,22,1
4/1/2016 03:00,21,7,NE,Overcast,0.0,97,2,1011,79,23,21,22,13,22,1
4/1/2016 04:00,22,9,NE,Overcast,0.0,92,4,1012,80,24,21,23,14,24,1
4/1/2016 05:00,24,10,NE,Patchy rain possible,0.1,88,6,1012,81,26,22,24,15,26,1
4/1/2016 06:00,25,12,NE,Patchy rain possible,0.1,84,8,1013,82,27,22,25,15,27,1
4/1/2016 07:00,26,13,NE,Patchy rain possible,0.0,77,9,1013,71,28,21,26,16,28,1
4/1/2016 08:00,27,14,NE,Partly cloudy,0.0,71,9,1013,59,29,21,27,17,29,1
4/1/2016 09:00,28,15,NE,Partly cloudy,0.0,65,10,1012,48,31,21,28,18,31,1
4/1/2016 10:00,28,16,NE,Partly cloudy,0.0,65,10,1012,49,31,21,28,19,31,1
