Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,25,20,NNE,Cloudy,0.0,82,10,1015,90,27,22,25,30,27,1
1/1/2019 01:00,25,20,NNE,Cloudy,0.0,82,10,1015,82,27,21,25,30,27,1
1/1/2019 02:00,25,20,NNE,Partly cloudy,0.0,82,10,1015,73,27,21,25,30,27,1
1/1/2019 03:00,24,20,NNE,Partly cloudy,0.0,82,10,1014,65,26,21,24,31,26,1
1/1/2019 04:00,24,20,NNE,Partly cloudy,0.0,82,10,1015,52,27,21,24,30,27,1
1/1/2019 05:00,25,21,NNE,Partly cloudy,0.0,81,10,1015,39,27,21,25,30,27,1
1/1/2019 06:00,25,21,NNE,Partly cloudy,0.0,80,10,1015,26,27,21,25,30,27,1
1/1/2019 07:00,26,20,NNE,Partly cloudy,0.0,77,10,1015,19,28,21,26,27,28,1
1/1/2019 08:00,26,19,NNE,Partly cloudy,0.0,74,10,1016,12,29,21,26,25,29,1
1/1/2019 09:00,27,18,NNE,Partly cloudy,0.0,71,10,1016,6,30,22,27,22,30,1
1/1/2019 10:00,28,18,NE,Partly cloudy,0.0,67,10,1016,6,32,22,28,21,32,1
1/1/2019 11:00,30,17,E,Partly cloudy,0.0,64,10,1015,5,33,22,30,20,33,1
1/1/2019 12:00,31,17,ESE,Partly cloudy,0.0,61,10,1015,5,34,22,31,19,34,1
1/1/2019 13:00,30,18,S,Partly cloudy,0.0,62,10,1014,9,34,22,30,22,34,1
1/1/2019 14:00,30,19,W,Partly cloudy,0.0,63,10,1014,13,34,22,30,24,34,1
1/1/2019 15:00,30,20,NNW,Partly cloudy,0.0,64,10,1013,17,34,22,30,27,34,1
1/1/2019 16:00,29,21,NW,Partly cloudy,0.0,67,10,1013,20,33,22,29,29,33,1
1/1/2019 17:00,29,21,W,Partly cloudy,0.0,70,10,1014,22,32,22,29,32,32,1
1/1/2019 18:00,28,22,WSW,Partly cloudy,0.0,73,10,1014,25,31,22,28,34,31,1
1/1/2019 19:00,27,22,S,Partly cloudy,0.0,74,10,1014,21,30,22,27,34,30,1
1/1/2019 20:00,26,22,E,Partly cloudy,0.0,76,10,1015,17,29,22,26,34,29,1
1/1/2019 21:00,25,22,NNE,Partly cloudy,0.0,78,10,1015,13,28,21,25,34,28,1
1/1/2019 22:00,25,21,NNE,Partly cloudy,0.0,79,10,1015,21,27,21,25,32,27,1
1/1/2019 23:00,25,20,NNE,Partly cloudy,0.0,80,10,1015,30,27,21,25,30,27,1
2/1/2019 00:00,24,19,NNE,Partly cloudy,0.0,82,10,1015,38,26,21,24,28,26,1
2/1/2019 01:00,24,19,NNE,Partly cloudy,0.0,82,10,1015,42,26,21,24,28,26,1
2/1/2019 02:00,24,19,NNE,Partly cloudy,0.0,82,10,1014,45,26,21,24,27,26,1
2/1/2019 03:00,24,18,NNE,Partly cloudy,0.0,83,10,1014,49,26,20,24,27,26,1
2/1/2019 04:00,24,18,NNE,Partly cloudy,0.0,82,10,1014,43,26,20,24,27,26,1
2/1/2019 05:00,24,19,NNE,Partly cloudy,0.0,81,10,1015,38,26,20,24,26,26,1
2/1/2019 06:00,24,19,NNE,Partly cloudy,0.0,80,10,1015,33,26,20,24,26,26,1
2/1/2019 07:00,25,19,ENE,Partly cloudy,0.0,77,10,1015,26,27,20,25,25,27,1
2/1/2019 08:00,26,19,E,Partly cloudy,0.0,74,10,1015,20,28,21,26,25,28,1
2/1/2019 09:00,27,19,SE,Partly cloudy,0.0,70,10,1016,14,29,21,27,24,29,1
2/1/2019 10:00,28,19,SSW,Partly cloudy,0.0,67,10,1015,11,30,21,28,24,30,1
2/1/2019 11:00,29,19,W,Partly cloudy,0.0,64,10,1015,8,31,21,29,23,31,1
2/1/2019 12:00,30,19,N,Partly cloudy,0.0,61,10,1014,5,32,21,30,23,32,1
2/1/2019 13:00,29,20,NNW,Partly cloudy,0.0,62,10,1014,10,32,21,29,24,32,1
2/1/2019 14:00,29,20,NNW,Partly cloudy,0.0,63,10,1014,15,32,22,29,26,32,1
2/1/2019 15:00,29,21,NNW,Partly cloudy,0.0,63,10,1013,20,33,22,29,27,33,1
2/1/2019 16:00,29,21,WNW,Partly cloudy,0.0,66,10,1014,24,32,22,29,29,32,1
