Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,14,16,NW,Overcast,0.0,99,10,1005,100,14,14,13,25,13,1
1/1/2009 01:00,14,17,NW,Overcast,0.0,99,10,1005,96,14,13,12,25,12,1
1/1/2009 02:00,13,18,WNW,Cloudy,0.0,99,10,1005,91,13,13,12,26,12,1
1/1/2009 03:00,13,18,WNW,Cloudy,0.0,98,10,1005,87,13,13,11,27,11,1
1/1/2009 04:00,13,17,WNW,Cloudy,0.0,97,10,1006,70,13,12,11,25,11,1
1/1/2009 05:00,12,16,WNW,Partly cloudy,0.0,96,10,1006,52,12,11,10,23,10,1
1/1/2009 06:00,12,14,WNW,Partly cloudy,0.0,95,10,1007,35,12,11,10,22,10,1
1/1/2009 07:00,13,18,WNW,Partly cloudy,0.0,86,10,1007,41,13,11,12,24,12,1
1/1/2009 08:00,15,21,WNW,Partly cloudy,0.0,77,10,1008,47,15,11,14,26,14,1
1/1/2009 09:00,16,24,WNW,Partly cloudy,0.0,67,10,1009,53,16,10,16,28,16,1
1/1/2009 10:00,16,24,WNW,Partly cloudy,0.0,70,10,1009,50,16,11,16,28,16,1
1/1/2009 11:00,16,24,WNW,Partly cloudy,0.0,73,10,1010,47,16,11,16,28,16,1
1/1/2009 12:00,16,24,W,Partly cloudy,0.0,76,10,1011,45,16,12,16,28,16,1
1/1/2009 13:00,16,23,W,Partly cloudy,0.0,72,10,1011,45,16,11,16,27,16,1
1/1/2009 14:00,17,22,W,Partly cloudy,0.0,68,10,1011,45,17,11,17,27,17,1
1/1/2009 15:00,17,22,W,Partly cloudy,0.0,64,10,1011,45,17,10,17,26,17,1
1/1/2009 16:00,17,18,W,Partly cloudy,0.0,66,10,1012,46,17,10,17,22,17,1
1/1/2009 17:00,16,14,WNW,Partly cloudy,0.0,69,10,1012,46,16,10,16,18,16,1
1/1/2009 18:00,15,10,WNW,Partly cloudy,0.0,71,10,1012,46,16,10,16,15,16,1
1/1/2009 19:00,15,10,NW,Partly cloudy,0.0,74,10,1013,49,15,10,14,16,14,1
1/1/2009 20:00,14,10,NW,Partly cloudy,0.0,76,10,1013,51,14,9,13,17,13,1
1/1/2009 21:00,13,10,NNW,Partly cloudy,0.0,79,10,1014,54,13,9,12,18,12,1
1/1/2009 22:00,13,10,NNW,Partly cloudy,0.0,77,10,1014,51,13,9,12,19,12,1
1/1/2009 23:00,13,10,NNW,Partly cloudy,0.0,75,10,1014,48,13,8,12,20,12,1
2/1/2009 00:00,13,10,N,Partly cloudy,0.0,74,10,1014,45,13,8,12,20,12,1
2/1/2009 01:00,13,11,SW,Partly cloudy,0.0,72,10,1014,38,13,8,12,21,12,1
2/1/2009 02:00,12,11,ESE,Clear,0.0,70,10,1014,30,12,7,11,22,11,1
2/1/2009 03:00,12,11,N,Clear,0.0,68,10,1014,22,12,7,11,22,11,1
2/1/2009 04:00,13,11,N,Clear,0.0,69,10,1014,29,13,7,12,21,12,1
2/1/2009 05:00,13,11,N,Partly cloudy,0.0,70,10,1014,36,13,8,12,20,12,1
2/1/2009 06:00,14,10,N,Partly cloudy,0.0,72,10,1014,43,14,9,13,19,13,1
2/1/2009 07:00,15,13,ESE,Partly cloudy,0.0,70,10,1014,44,15,10,15,19,15,1
2/1/2009 08:00,17,15,WSW,Partly cloudy,0.0,68,10,1014,45,17,11,17,20,17,1
2/1/2009 09:00,19,18,N,Partly cloudy,0.0,67,10,1014,46,19,13,19,21,19,1
2/1/2009 10:00,18,18,NNW,Partly cloudy,0.0,75,10,1014,62,18,13,18,23,18,1
2/1/2009 11:00,17,19,NNW,Overcast,0.0,83,10,1014,78,17,14,17,24,17,1
2/1/2009 12:00,16,19,NNW,Overcast,0.0,90,10,1013,94,16,14,16,26,16,1
2/1/2009 13:00,16,18,NNW,Overcast,0.0,92,10,1013,90,16,14,16,25,16,1
2/1/2009 14:00,16,17,NNW,Cloudy,0.0,94,10,1013,87,16,15,16,25,16,1
2/1/2009 15:00,16,16,NNW,Cloudy,0.0,95,10,1013,83,16,15,16,24,16,1
2/1/2009 16:00,16,16,NNW,Cloudy,0.0,95,10,1013,78,16,15,16,23,16,1
2/1/2009 17:00,16,16,NW,Cloudy,0.0,95,10,1013,72,16,15,16,22,16,1
2/1/2009 18:00,16,15,NW,Cloudy,0.0,94,10,1013,66,16,15,16,22,16,1
2/1/2009 19:00,16,16,NW,Cloudy,0.0,95,10,1013,68,16,15,16,23,16,1
2/1/2009 20:00,16,16,NNW,Cloudy,0.0,95,10,1013,69,15,15,15,24,15,1
2/1/2009 21:00,15,17,NNW,Cloudy,0.0,96,10,1013,70,15,14,14,25,14,1
2/1/2009 22:00,15,16,NNW,Cloudy,0.0,95,10,1013,67,15,14,14,24,14,1
2/1/2009 23:00,15,15,NNW,Partly cloudy,0.0,95,10,1013,63,15,14,14,22,14,1
3/1/2009 00:00,15,14,N,Partly cloudy,0.0,94,10,1013,59,15,14,14,21,14,1
3/1/2009 01:00,15,16,N,Partly cloudy,0.0,95,10,1013,64,15,14,14,24,14,1
3/1/2009 02:00,15,18,NNW,Cloudy,0.0,95,10,1012,68,15,14,13,28,13,1
3/1/2009 03:00,15,21,NNW,Cloudy,0.0,95,10,1012,73,15,14,13,31,13,1
3/1/2009 04:00,15,19,NNW,Cloudy,0.0,95,10,1011,80,15,14,13,29,13,1
3/1/2009 05:00,15,18,NNW,Overcast,0.0,95,10,1011,87,15,14,13,28,13,1
3/1/2009 06:00,15,17,NNW,Overcast,0.0,95,10,1010,94,15,14,14,26,14,1
3/1/2009 07:00,15,19,NNW,Overcast,0.0,95,7,1010,96,15,14,14,29,14,1
3/1/2009 08:00,15,21,NNW,Light drizzle,0.2,96,5,1010,98,15,14,14,32,14,1
3/1/2009 09:00,15,23,NNW,Light drizzle,0.2,97,2,1010,100,15,15,14,34,14,1
3/1/2009 10:00,15,24,NNW,Light drizzle,0.1,97,5,1010,100,15,14,13,36,13,1
3/1/2009 11:00,14,25,NNW,Overcast,0.0,98,7,1010,100,14,14,12,37,12,1
3/1/2009 12:00,14,26,NNW,Overcast,0.0,98,10,1010,100,14,14,12,38,12,1
3/1/2009 13:00,13,23,NW,Overcast,0.0,98,9,1010,90,13,13,11,33,11,1
3/1/2009 14:00,12,20,NW,Moderate rain at times,1.1,97,9,1011,81,12,12,10,28,10,1
3/1/2009 15:00,11,17,WNW,Moderate rain at times,1.4,97,8,1011,71,11,11,9,24,9,1
3/1/2009 16:00,11,18,WNW,Moderate rain at times,0.7,97,9,1011,75,11,11,9,25,9,1
3/1/2009 17:00,11,18,WNW,Cloudy,0.0,98,9,1011,79,11,10,9,26,9,1
3/1/2009 18:00,11,19,W,Cloudy,0.0,98,10,1011,83,11,10,8,27,8,1
3/1/2009 19:00,10,18,W,Cloudy,0.0,97,10,1012,64,10,10,8,26,8,1
3/1/2009 20:00,10,17,W,Partly cloudy,0.0,95,10,1013,45,10,9,8,25,8,1
3/1/2009 21:00,9,16,W,Partly cloudy,0.0,94,10,1014,26,10,9,7,24,7,1
3/1/2009 22:00,9,14,W,Partly cloudy,0.0,95,7,1015,28,9,8,7,23,7,1
3/1/2009 23:00,8,12,W,Mist,0.0,96,5,1015,31,8,7,6,22,6,1
4/1/2009 00:00,7,11,W,Mist,0.0,97,2,1016,33,7,7,5,20,5,1
4/1/2009 01:00,7,10,W,Mist,0.0,96,2,1016,28,7,6,5,20,5,1
4/1/2009 02:00,6,10,WSW,Mist,0.0,96,2,1017,24,6,6,4,20,4,1
4/1/2009 03:00,6,10,WSW,Mist,0.0,96,2,1017,19,6,5,4,20,4,1
4/1/2009 04:00,6,9,WSW,Mist,0.0,97,1,1017,46,6,6,4,17,4,1
4/1/2009 05:00,7,8,WSW,Fog,0.0,98,1,1018,73,7,6,5,15,5,1
4/1/2009 06:00,7,7,WSW,Fog,0.0,99,0,1018,100,7,7,6,12,6,1
4/1/2009 07:00,9,9,WSW,Fog,0.0,87,3,1019,70,9,7,8,13,8,1
4/1/2009 08:00,11,10,WSW,Sunny,0.0,76,7,1019,40,11,7,10,13,10,1
4/1/2009 09:00,13,12,WSW,Sunny,0.0,65,10,1019,9,13,7,12,14,12,1
4/1/2009 10:00,15,11,WSW,Sunny,0.0,59,10,1019,11,15,7,14,12,14,1
4/1/2009 11:00,17,9,WSW,Sunny,0.0,54,10,1019,13,17,7,16,10,16,1
4/1/2009 12:00,18,7,WSW,Sunny,0.0,48,10,1019,15,18,7,18,8,18,1
4/1/2009 13:00,19,8,WSW,Sunny,0.0,47,10,1019,15,19,7,19,9,19,1
4/1/2009 14:00,19,8,WSW,Sunny,0.0,46,10,1018,16,19,7,19,10,19,1
4/1/2009 15:00,19,9,WSW,Sunny,0.0,45,10,1018,17,20,7,20,10,20,1
4/1/2009 16:00,18,7,WSW,Sunny,0.0,53,10,1018,23,18,8,18,9,18,1
4/1/2009 17:00,17,6,SW,Partly cloudy,0.0,62,10,1018,29,17,9,17,7,17,1
4/1/2009 18:00,15,4,SW,Partly cloudy,0.0,70,10,1018,34,15,10,15,6,15,1
4/1/2009 19:00,14,4,SW,Partly cloudy,0.0,75,10,1019,36,14,9,14,7,14,1
4/1/2009 20:00,12,4,SSW,Partly cloudy,0.0,80,10,1019,38,12,9,12,8,12,1
4/1/2009 21:00,11,5,SSW,Partly cloudy,0.0,85,10,1020,40,11,8,11,9,11,1
4/1/2009 22:00,9,6,SSE,Partly cloudy,0.0,89,7,1020,35,9,7,9,12,9,1
4/1/2009 23:00,8,7,ESE,Mist,0.0,93,5,1021,30,8,7,7,15,7,1
5/1/2009 00:00,6,9,ENE,Mist,0.0,97,2,1021,25,6,6,5,18,5,1
5/1/2009 01:00,7,9,NE,Mist,0.0,97,1,1020,50,7,6,5,19,5,1
