Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,22,2,ENE,Overcast,0.0,92,10,1011,88,25,21,22,3,25,1
1/1/2017 01:00,22,3,NE,Overcast,0.0,93,7,1011,87,25,21,22,4,25,1
1/1/2017 02:00,22,3,NE,Mist,0.0,94,5,1011,87,25,21,22,6,25,1
1/1/2017 03:00,22,4,NNE,Mist,0.0,95,2,1011,87,25,21,22,7,22,1
1/1/2017 04:00,23,7,NNE,Mist,0.0,89,5,1012,78,26,21,23,10,26,1
1/1/2017 05:00,24,10,NE,Partly cloudy,0.0,82,7,1012,69,27,21,24,14,27,1
1/1/2017 06:00,26,13,NE,Partly cloudy,0.0,76,10,1013,61,28,21,26,17,28,1
1/1/2017 07:00,27,14,NE,Partly cloudy,0.0,68,10,1013,62,29,21,27,17,29,1
1/1/2017 08:00,29,15,NE,Cloudy,0.0,61,10,1013,63,31,20,29,18,31,1
1/1/2017 09:00,30,16,NE,Cloudy,0.0,53,10,1013,64,32,20,30,19,32,1
1/1/2017 10:00,31,17,NE,Cloudy,0.0,51,10,1012,57,33,19,31,20,33,1
1/1/2017 11:00,31,18,NE,Patchy rain possible,0.1,50,9,1011,51,33,19,31,21,33,1
1/1/2017 12:00,31,19,NE,Patchy rain possible,0.1,49,9,1011,45,33,19,31,22,33,1
1/1/2017 13:00,30,18,NE,Patchy rain possible,0.1,54,9,1010,42,32,19,30,23,32,1
1/1/2017 14:00,28,18,NE,Partly cloudy,0.0,60,10,1010,38,30,20,28,24,30,1
1/1/2017 15:00,27,18,NE,Partly cloudy,0.0,66,10,1010,35,29,20,27,26,29,1
1/1/2017 16:00,26,15,NE,Partly cloudy,0.0,74,10,1011,37,27,20,26,23,27,1
1/1/2017 17:00,24,12,NE,Partly cloudy,0.0,81,10,1012,39,26,21,24,20,26,1
1/1/2017 18:00,23,9,NE,Partly cloudy,0.0,89,10,1012,42,25,21,23,18,25,1
1/1/2017 19:00,22,8,NE,Partly cloudy,0.0,91,7,1012,52,25,21,23,15,25,1
1/1/2017 20:00,22,6,NE,Mist,0.0,93,5,1013,62,25,21,22,12,25,1
1/1/2017 21:00,22,5,NE,Mist,0.0,95,2,1013,72,25,21,22,10,22,1
1/1/2017 22:00,22,5,NE,Mist,0.0,95,2,1012,78,24,21,22,9,22,1
1/1/2017 23:00,22,4,NNE,Mist,0.0,96,2,1012,83,24,21,22,8,22,1
2/1/2017 00:00,22,4,NNE,Mist,0.0,96,2,1011,88,24,21,22,7,22,1
2/1/2017 01:00,22,4,SE,Mist,0.0,95,5,1011,88,24,21,22,7,22,1
2/1/2017 02:00,22,4,WSW,Overcast,0.0,94,7,1011,88,25,21,22,7,25,1
2/1/2017 03:00,22,4,NNW,Overcast,0.0,93,10,1011,88,25,21,22,7,25,1
2/1/2017 04:00,24,7,SW,Overcast,0.0,88,10,1012,81,26,21,24,9,26,1
2/1/2017 05:00,25,10,ESE,Cloudy,0.0,82,10,1012,74,27,21,25,12,27,1
2/1/2017 06:00,26,13,N,Cloudy,0.0,77,10,1013,67,28,22,26,15,28,1
2/1/2017 07:00,28,15,NNE,Cloudy,0.0,68,10,1013,63,30,21,28,17,30,1
2/1/2017 08:00,29,17,NNE,Partly cloudy,0.0,60,10,1013,58,31,20,29,20,31,1
2/1/2017 09:00,31,19,NNE,Partly cloudy,0.0,51,10,1013,54,33,19,31,22,33,1
2/1/2017 10:00,31,20,NNE,Partly cloudy,0.0,53,10,1012,47,33,20,31,23,33,1
2/1/2017 11:00,30,20,NNE,Patchy rain possible,0.1,54,9,1012,40,33,20,30,24,33,1
2/1/2017 12:00,30,21,NNE,Patchy rain possible,0.2,55,9,1011,33,33,20,30,25,33,1
2/1/2017 13:00,29,19,NNE,Patchy rain possible,0.1,60,9,1011,33,31,20,29,24,31,1
2/1/2017 14:00,28,17,NNE,Partly cloudy,0.0,65,10,1011,32,30,21,28,23,30,1
2/1/2017 15:00,27,14,NNE,Partly cloudy,0.0,70,10,1011,32,29,21,27,22,29,1
2/1/2017 16:00,25,12,NNE,Partly cloudy,0.0,76,10,1012,30,28,21,25,20,28,1
2/1/2017 17:00,24,11,NNE,Patchy rain possible,0.1,83,9,1013,29,26,21,24,18,26,1
2/1/2017 18:00,23,9,NNE,Patchy rain possible,0.1,89,9,1013,27,25,21,23,16,25,1
2/1/2017 19:00,23,8,NNE,Patchy rain possible,0.1,91,7,1013,27,25,21,23,15,25,1
2/1/2017 20:00,22,7,NNE,Mist,0.0,93,4,1014,28,25,21,22,13,25,1
2/1/2017 21:00,22,6,NNE,Mist,0.0,94,2,1014,28,25,21,22,11,25,1
2/1/2017 22:00,22,5,NNE,Mist,0.0,95,4,1013,35,25,21,22,10,22,1
2/1/2017 23:00,22,5,NNE,Patchy rain possible,0.1,96,7,1013,41,24,21,22,9,22,1
3/1/2017 00:00,22,4,NE,Patchy rain possible,0.2,97,9,1012,48,24,21,22,8,22,1
