Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,9,34,SW,Overcast,0.0,81,10,1020,90,9,6,5,55,5,1
1/1/2016 01:00,9,30,SW,Overcast,0.0,81,10,1021,66,9,6,5,49,5,1
1/1/2016 02:00,9,26,WSW,Clear,0.0,81,10,1021,43,9,6,5,43,5,1
1/1/2016 03:00,9,22,W,Clear,0.0,81,10,1021,19,9,5,5,38,5,1
1/1/2016 04:00,8,17,W,Clear,0.0,81,10,1022,21,8,5,5,30,5,1
1/1/2016 05:00,7,13,WNW,Clear,0.0,82,10,1023,22,8,5,6,22,6,1
1/1/2016 06:00,7,8,NW,Clear,0.0,82,10,1024,24,7,5,6,14,6,1
1/1/2016 07:00,7,7,WSW,Clear,0.0,81,10,1024,23,8,5,6,12,6,1
1/1/2016 08:00,7,6,SSW,Sunny,0.0,81,10,1025,23,8,5,7,10,7,1
1/1/2016 09:00,7,5,SE,Sunny,0.0,81,10,1025,22,8,5,7,7,7,1
1/1/2016 10:00,7,7,SE,Sunny,0.0,80,10,1025,31,8,5,7,10,7,1
1/1/2016 11:00,8,10,SE,Partly cloudy,0.0,79,10,1025,39,8,5,7,13,7,1
1/1/2016 12:00,8,12,SE,Partly cloudy,0.0,78,10,1024,48,9,5,6,16,6,1
1/1/2016 13:00,8,16,SE,Partly cloudy,0.0,80,10,1024,65,8,5,6,22,6,1
1/1/2016 14:00,8,19,SE,Overcast,0.0,82,10,1023,83,8,5,5,27,5,1
1/1/2016 15:00,7,23,SE,Overcast,0.0,84,10,1022,100,7,5,4,33,4,1
1/1/2016 16:00,7,23,ESE,Overcast,0.0,86,10,1021,100,7,5,3,33,3,1
1/1/2016 17:00,6,23,ESE,Overcast,0.0,88,10,1020,100,6,5,3,33,3,1
1/1/2016 18:00,6,23,ESE,Overcast,0.0,90,10,1019,100,6,4,2,34,2,1
1/1/2016 19:00,6,25,ESE,Overcast,0.0,90,10,1018,100,6,5,2,37,2,1
1/1/2016 20:00,6,28,ESE,Overcast,0.0,90,10,1018,100,6,5,2,40,2,1
1/1/2016 21:00,6,30,ESE,Overcast,0.0,90,10,1017,100,6,5,2,43,2,1
1/1/2016 22:00,6,32,ESE,Overcast,0.0,89,10,1016,100,6,5,1,46,1,1
1/1/2016 23:00,6,34,ESE,Overcast,0.0,88,10,1015,100,6,4,1,49,1,1
2/1/2016 00:00,6,36,ESE,Overcast,0.0,86,10,1014,100,6,4,1,52,1,1
2/1/2016 01:00,6,37,ESE,Overcast,0.0,85,10,1013,90,6,4,1,53,1,1
2/1/2016 02:00,6,38,SE,Cloudy,0.0,85,10,1011,80,6,4,1,54,1,1
2/1/2016 03:00,6,39,SE,Cloudy,0.0,84,10,1010,70,6,3,1,55,1,1
2/1/2016 04:00,6,36,SE,Cloudy,0.0,84,10,1010,80,6,3,1,52,1,1
2/1/2016 05:00,6,33,SE,Overcast,0.0,85,10,1009,90,6,3,1,48,1,1
2/1/2016 06:00,6,31,SE,Overcast,0.0,85,10,1009,100,6,3,1,45,1,1
2/1/2016 07:00,6,32,SE,Overcast,0.0,87,7,1008,100,6,4,1,46,1,1
2/1/2016 08:00,6,32,SE,Light drizzle,0.2,89,5,1008,100,6,4,1,46,1,1
2/1/2016 09:00,6,33,SE,Light drizzle,0.2,90,2,1008,100,6,4,1,47,1,1
2/1/2016 10:00,6,30,SE,Light drizzle,0.1,90,5,1007,100,6,5,1,44,1,1
2/1/2016 11:00,7,28,SE,Overcast,0.0,90,7,1007,100,7,5,2,40,2,1
