Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2010 00:00,1,12,NNE,Cloudy,0.0,93,10,993,81,1,0,-2,16,-2,1
1/1/2010 01:00,1,13,NNE,Cloudy,0.0,93,8,993,88,1,-0,-3,18,-3,1
1/1/2010 02:00,1,15,NNE,Moderate snow,0.0,93,7,993,94,1,-0,-4,21,-4,1
1/1/2010 03:00,0,16,NNE,Moderate snow,0.1,93,5,993,100,0,-1,-4,23,-4,1
1/1/2010 04:00,0,16,NNE,Moderate snow,0.0,92,7,993,90,0,-1,-4,22,-4,1
1/1/2010 05:00,-0,15,NNE,Cloudy,0.0,92,8,993,79,0,-1,-4,21,-4,1
1/1/2010 06:00,-0,15,NE,Cloudy,0.0,91,10,993,69,-0,-1,-4,21,-4,1
1/1/2010 07:00,-0,15,NE,Cloudy,0.0,91,10,994,77,-0,-1,-5,22,-5,1
1/1/2010 08:00,-0,16,NNE,Overcast,0.0,90,10,994,85,-0,-2,-5,22,-5,1
1/1/2010 09:00,-0,17,NNE,Overcast,0.0,90,10,995,93,-0,-2,-5,23,-5,1
1/1/2010 10:00,-0,15,SE,Overcast,0.0,89,10,996,90,-0,-2,-5,21,-5,1
1/1/2010 11:00,-0,14,WSW,Cloudy,0.0,87,10,996,86,-0,-2,-4,18,-4,1
1/1/2010 12:00,0,13,N,Cloudy,0.0,86,10,997,83,0,-2,-4,16,-4,1
1/1/2010 13:00,-0,15,WSW,Cloudy,0.0,86,10,998,86,-0,-2,-4,19,-4,1
1/1/2010 14:00,-0,16,ESE,Light snow,0.0,87,10,998,89,-0,-2,-5,22,-5,1
1/1/2010 15:00,-0,18,N,Light snow,0.0,87,10,999,92,-1,-2,-6,25,-6,1
1/1/2010 16:00,-1,17,ESE,Light snow,0.0,87,10,1000,92,-1,-3,-6,24,-6,1
1/1/2010 17:00,-1,16,SW,Overcast,0.0,87,10,1002,91,-1,-3,-6,23,-6,1
1/1/2010 18:00,-1,15,NNW,Overcast,0.0,88,10,1003,91,-2,-3,-6,21,-6,1
1/1/2010 19:00,-2,16,NNW,Overcast,0.0,87,10,1004,89,-2,-4,-7,24,-7,1
1/1/2010 20:00,-2,18,NNW,Light snow,0.0,87,10,1005,87,-2,-4,-7,26,-7,1
1/1/2010 21:00,-2,20,NNW,Light snow,0.0,86,10,1006,85,-2,-4,-8,28,-8,1
1/1/2010 22:00,-3,19,NNW,Light snow,0.0,86,10,1007,64,-3,-5,-8,28,-8,1
1/1/2010 23:00,-3,19,NNW,Clear,0.0,85,10,1008,43,-3,-5,-9,27,-9,1
2/1/2010 00:00,-3,19,NNW,Clear,0.0,84,10,1009,23,-3,-5,-9,26,-9,1
2/1/2010 01:00,-4,17,NW,Clear,0.0,85,10,1010,16,-4,-6,-9,25,-9,1
2/1/2010 02:00,-4,16,NW,Clear,0.0,85,10,1011,9,-4,-6,-9,23,-9,1
2/1/2010 03:00,-4,14,NW,Clear,0.0,85,10,1012,2,-4,-6,-10,21,-10,1
2/1/2010 04:00,-4,13,WNW,Clear,0.0,86,10,1013,4,-4,-6,-9,20,-9,1
2/1/2010 05:00,-4,12,WNW,Clear,0.0,86,10,1014,5,-4,-6,-9,19,-9,1
2/1/2010 06:00,-5,12,W,Clear,0.0,87,10,1015,7,-5,-6,-9,18,-9,1
2/1/2010 07:00,-4,12,W,Clear,0.0,85,10,1016,17,-4,-6,-9,18,-9,1
2/1/2010 08:00,-3,13,W,Partly cloudy,0.0,84,10,1016,27,-3,-6,-8,19,-8,1
2/1/2010 09:00,-3,14,W,Partly cloudy,0.0,83,10,1017,37,-3,-5,-8,19,-8,1
2/1/2010 10:00,-2,14,W,Partly cloudy,0.0,80,10,1017,43,-2,-5,-7,18,-7,1
2/1/2010 11:00,-1,14,W,Partly cloudy,0.0,77,10,1018,49,-1,-5,-6,17,-6,1
2/1/2010 12:00,-0,14,W,Partly cloudy,0.0,73,10,1018,55,-0,-4,-5,17,-5,1
2/1/2010 13:00,-0,14,WSW,Partly cloudy,0.0,75,10,1018,59,-0,-4,-5,18,-5,1
2/1/2010 14:00,-1,14,WSW,Cloudy,0.0,77,10,1018,63,-1,-4,-5,19,-5,1
2/1/2010 15:00,-1,14,WSW,Cloudy,0.0,79,10,1018,67,-1,-4,-5,21,-5,1
2/1/2010 16:00,-1,14,SW,Cloudy,0.0,82,10,1019,71,-1,-4,-6,21,-6,1
2/1/2010 17:00,-1,14,SW,Cloudy,0.0,85,10,1019,75,-1,-4,-6,21,-6,1
2/1/2010 18:00,-2,14,SW,Cloudy,0.0,88,10,1020,79,-2,-4,-7,21,-7,1
2/1/2010 19:00,-2,15,SW,Cloudy,0.0,88,8,1020,80,-2,-3,-7,22,-7,1
2/1/2010 20:00,-2,16,SW,Moderate snow,0.0,88,7,1020,82,-2,-3,-7,23,-7,1
2/1/2010 21:00,-2,16,WSW,Moderate snow,0.0,89,5,1020,83,-2,-3,-7,24,-7,1
2/1/2010 22:00,-2,16,SW,Moderate snow,0.0,90,7,1020,84,-2,-3,-7,24,-7,1
