Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2013 00:00,25,13,NNE,Partly cloudy,0.0,82,10,1009,34,27,22,25,21,27,1
1/1/2013 01:00,25,13,NNE,Partly cloudy,0.0,79,10,1009,31,28,22,25,20,28,1
1/1/2013 02:00,26,13,NNE,Partly cloudy,0.0,77,10,1010,29,28,22,26,18,28,1
1/1/2013 03:00,27,12,NNE,Partly cloudy,0.0,74,10,1011,27,29,22,27,16,29,1
1/1/2013 04:00,27,13,NNE,Partly cloudy,0.0,71,10,1011,32,30,22,27,17,30,1
1/1/2013 05:00,28,14,NNE,Partly cloudy,0.0,68,10,1011,38,31,22,28,19,31,1
1/1/2013 06:00,29,15,NNE,Partly cloudy,0.0,64,10,1011,44,32,22,29,20,32,1
1/1/2013 07:00,29,15,NE,Partly cloudy,0.0,65,10,1010,42,32,22,29,20,32,1
1/1/2013 08:00,29,14,NE,Partly cloudy,0.0,65,10,1010,41,33,22,29,21,33,1
1/1/2013 09:00,30,14,NE,Partly cloudy,0.0,66,10,1009,39,33,22,30,22,33,1
1/1/2013 10:00,29,13,NE,Partly cloudy,0.0,70,10,1009,37,32,23,29,20,32,1
1/1/2013 11:00,28,11,NE,Partly cloudy,0.0,73,10,1009,35,32,23,28,18,32,1
1/1/2013 12:00,27,10,NE,Partly cloudy,0.0,77,10,1009,32,31,23,28,16,31,1
1/1/2013 13:00,27,11,NE,Partly cloudy,0.0,78,10,1009,30,30,23,27,18,30,1
1/1/2013 14:00,27,12,NNE,Sunny,0.0,79,10,1010,27,29,23,27,19,29,1
1/1/2013 15:00,26,13,NNE,Sunny,0.0,79,10,1010,25,29,22,26,21,29,1
1/1/2013 16:00,26,12,N,Sunny,0.0,80,10,1010,25,29,22,26,19,29,1
1/1/2013 17:00,26,11,N,Sunny,0.0,80,10,1010,25,28,22,26,17,28,1
1/1/2013 18:00,26,9,N,Sunny,0.0,80,10,1011,25,28,22,26,15,28,1
1/1/2013 19:00,26,9,ESE,Clear,0.0,81,10,1010,23,28,22,26,14,28,1
1/1/2013 20:00,25,8,WSW,Clear,0.0,81,10,1010,22,28,22,25,13,28,1
1/1/2013 21:00,25,8,N,Clear,0.0,82,10,1010,21,27,22,25,12,27,1
1/1/2013 22:00,25,7,N,Clear,0.0,82,10,1010,21,27,22,25,12,27,1
1/1/2013 23:00,25,7,N,Clear,0.0,82,10,1010,22,27,22,25,12,27,1
2/1/2013 00:00,25,7,N,Clear,0.0,82,10,1010,22,27,22,25,12,27,1
2/1/2013 01:00,25,8,WSW,Clear,0.0,79,10,1011,24,28,22,25,12,28,1
2/1/2013 02:00,26,9,SE,Partly cloudy,0.0,77,10,1011,26,28,22,26,12,28,1
2/1/2013 03:00,27,9,N,Partly cloudy,0.0,74,10,1012,28,29,22,27,13,29,1
2/1/2013 04:00,28,8,NNE,Partly cloudy,0.0,72,10,1012,26,31,22,28,11,31,1
2/1/2013 05:00,28,7,NE,Clear,0.0,71,10,1012,25,32,23,29,9,32,1
2/1/2013 06:00,29,6,ENE,Clear,0.0,69,10,1012,23,34,23,30,8,34,1
2/1/2013 07:00,29,6,ENE,Sunny,0.0,70,10,1011,30,34,23,29,8,34,1
2/1/2013 08:00,29,6,E,Partly cloudy,0.0,70,10,1010,37,34,23,29,9,34,1
2/1/2013 09:00,29,6,ESE,Partly cloudy,0.0,71,10,1009,44,34,24,29,9,34,1
2/1/2013 10:00,28,6,ESE,Partly cloudy,0.0,74,10,1009,47,33,23,29,8,33,1
2/1/2013 11:00,28,5,ESE,Partly cloudy,0.0,78,10,1009,50,31,23,28,8,31,1
2/1/2013 12:00,27,5,ESE,Partly cloudy,0.0,81,10,1010,52,30,23,27,7,30,1
2/1/2013 13:00,26,6,ENE,Partly cloudy,0.0,81,9,1010,43,30,23,27,9,30,1
2/1/2013 14:00,26,7,NE,Moderate or heavy rain shower,0.9,82,8,1011,33,29,23,26,11,29,1
