Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2012 00:00,21,19,SSE,Partly cloudy,0.0,79,10,1014,25,21,17,21,31,21,1
1/1/2012 01:00,21,19,SSE,Partly cloudy,0.0,80,10,1014,18,20,17,20,31,20,1
1/1/2012 02:00,20,19,SSE,Clear,0.0,80,10,1014,10,20,17,20,31,20,1
1/1/2012 03:00,20,19,S,Clear,0.0,81,10,1014,3,20,16,20,31,20,1
1/1/2012 04:00,20,19,SSE,Clear,0.0,79,10,1014,3,21,17,20,30,20,1
1/1/2012 05:00,21,20,SSE,Clear,0.0,77,10,1014,3,23,17,21,29,21,1
1/1/2012 06:00,21,21,SSE,Sunny,0.0,76,10,1014,3,24,17,21,27,21,1
1/1/2012 07:00,22,21,SSE,Sunny,0.0,71,10,1014,5,25,17,22,26,25,1
1/1/2012 08:00,24,21,SSE,Sunny,0.0,65,10,1015,7,25,17,24,26,25,1
1/1/2012 09:00,25,22,SE,Sunny,0.0,60,10,1015,9,26,17,25,25,26,1
1/1/2012 10:00,25,21,SE,Sunny,0.0,58,10,1014,15,26,17,25,25,26,1
1/1/2012 11:00,26,21,SE,Partly cloudy,0.0,57,10,1013,21,27,16,26,25,27,1
1/1/2012 12:00,26,21,SE,Partly cloudy,0.0,55,10,1013,27,27,16,26,25,27,1
1/1/2012 13:00,26,22,SE,Partly cloudy,0.0,57,10,1012,43,27,17,26,27,27,1
1/1/2012 14:00,26,23,ESE,Cloudy,0.0,58,10,1012,60,27,17,26,30,27,1
1/1/2012 15:00,25,24,ESE,Cloudy,0.0,60,10,1012,76,27,17,25,33,27,1
1/1/2012 16:00,25,23,ESE,Cloudy,0.0,63,10,1013,53,26,17,25,33,26,1
1/1/2012 17:00,24,23,SE,Sunny,0.0,66,10,1013,30,25,17,24,34,25,1
1/1/2012 18:00,23,22,SE,Sunny,0.0,70,10,1014,7,25,17,23,35,25,1
1/1/2012 19:00,22,22,SE,Clear,0.0,71,10,1014,5,25,17,22,36,25,1
1/1/2012 20:00,22,22,SE,Clear,0.0,72,10,1015,2,25,17,22,37,22,1
1/1/2012 21:00,22,23,SE,Clear,0.0,74,10,1016,0,24,17,22,37,22,1
1/1/2012 22:00,21,21,SE,Clear,0.0,75,10,1015,0,23,17,21,35,21,1
1/1/2012 23:00,21,20,SE,Clear,0.0,76,10,1015,0,22,17,21,33,21,1
2/1/2012 00:00,21,18,SSE,Clear,0.0,77,10,1015,0,21,17,21,31,21,1
2/1/2012 01:00,21,18,SSE,Clear,0.0,78,10,1015,5,21,17,21,31,21,1
2/1/2012 02:00,20,18,SSE,Clear,0.0,79,10,1015,9,20,17,20,30,20,1
2/1/2012 03:00,20,18,SSE,Clear,0.0,79,10,1015,14,20,17,20,30,20,1
2/1/2012 04:00,21,18,SSE,Clear,0.0,77,10,1015,14,22,17,21,28,21,1
2/1/2012 05:00,22,18,SSE,Clear,0.0,74,10,1015,14,23,17,22,27,22,1
2/1/2012 06:00,22,18,SSE,Sunny,0.0,72,10,1016,14,25,17,22,25,25,1
2/1/2012 07:00,23,19,SE,Sunny,0.0,67,10,1016,27,25,17,23,25,25,1
2/1/2012 08:00,24,20,SE,Light rain shower,0.1,63,10,1015,40,26,17,24,24,26,1
2/1/2012 09:00,25,21,SE,Light rain shower,0.1,58,10,1015,53,26,16,25,24,26,1
2/1/2012 10:00,25,21,SE,Light rain shower,0.0,57,10,1015,49,26,16,25,24,26,1
2/1/2012 11:00,26,22,SE,Partly cloudy,0.0,57,10,1015,44,27,16,26,25,27,1
2/1/2012 12:00,26,22,SE,Partly cloudy,0.0,56,10,1015,39,27,16,26,26,27,1
2/1/2012 13:00,26,23,ESE,Partly cloudy,0.0,57,10,1014,37,27,17,26,27,27,1
2/1/2012 14:00,26,23,ESE,Partly cloudy,0.0,58,10,1014,34,27,17,26,28,27,1
2/1/2012 15:00,26,23,ESE,Partly cloudy,0.0,58,10,1014,32,27,17,26,30,27,1
2/1/2012 16:00,25,22,ESE,Partly cloudy,0.0,62,10,1014,21,26,17,25,30,26,1
2/1/2012 17:00,24,20,ESE,Sunny,0.0,65,10,1015,11,26,17,24,31,26,1
2/1/2012 18:00,23,19,ESE,Sunny,0.0,69,10,1015,0,25,17,23,31,25,1
2/1/2012 19:00,22,18,ESE,Clear,0.0,71,10,1016,1,25,17,22,30,25,1
2/1/2012 20:00,22,18,ESE,Clear,0.0,73,10,1016,2,25,17,22,30,25,1
2/1/2012 21:00,22,17,ESE,Clear,0.0,74,10,1017,3,24,17,22,29,22,1
2/1/2012 22:00,21,17,SE,Clear,0.0,76,10,1017,6,23,17,21,28,21,1
2/1/2012 23:00,21,16,SE,Clear,0.0,78,10,1016,9,22,17,21,28,21,1
3/1/2012 00:00,21,16,SE,Clear,0.0,79,10,1016,12,21,17,21,27,21,1
3/1/2012 01:00,21,16,SE,Clear,0.0,80,10,1016,15,21,17,21,27,21,1
3/1/2012 02:00,21,16,SE,Clear,0.0,80,10,1016,18,21,17,21,27,21,1
3/1/2012 03:00,20,16,SE,Clear,0.0,80,10,1016,20,20,17,20,27,20,1
3/1/2012 04:00,21,15,SE,Clear,0.0,78,10,1016,22,22,17,21,25,21,1
3/1/2012 05:00,22,15,SSE,Partly cloudy,0.0,76,10,1016,24,23,17,22,22,22,1
3/1/2012 06:00,22,14,SSE,Partly cloudy,0.0,75,10,1017,26,25,17,22,19,25,1
3/1/2012 07:00,23,15,SE,Partly cloudy,0.0,70,10,1017,35,25,17,23,20,25,1
3/1/2012 08:00,24,17,SE,Partly cloudy,0.0,65,10,1017,44,26,17,24,20,26,1
3/1/2012 09:00,25,18,ESE,Partly cloudy,0.0,60,10,1018,53,27,17,25,20,27,1
3/1/2012 10:00,25,18,ESE,Partly cloudy,0.0,60,10,1017,44,27,17,25,21,27,1
3/1/2012 11:00,25,18,ESE,Patchy rain possible,0.1,61,9,1017,35,27,17,25,22,27,1
