Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,25,22,NE,Partly cloudy,0.0,76,10,1016,56,27,20,25,32,27,1
1/1/2019 01:00,25,21,NE,Partly cloudy,0.0,76,10,1016,58,27,20,25,32,27,1
1/1/2019 02:00,25,21,NE,Cloudy,0.0,76,10,1016,60,27,20,25,31,27,1
1/1/2019 03:00,25,21,NE,Cloudy,0.0,75,10,1016,62,27,20,25,30,27,1
1/1/2019 04:00,25,21,NE,Cloudy,0.0,75,10,1016,69,27,20,25,30,27,1
1/1/2019 05:00,25,21,NE,Overcast,0.0,75,10,1016,77,27,20,25,30,27,1
1/1/2019 06:00,25,21,NE,Overcast,0.0,75,10,1017,84,27,20,25,29,27,1
1/1/2019 07:00,25,21,NE,Overcast,0.0,74,10,1017,84,27,20,25,29,27,1
1/1/2019 08:00,26,21,NE,Patchy rain possible,0.0,72,10,1017,83,28,20,26,28,28,1
1/1/2019 09:00,26,21,NE,Patchy rain possible,0.0,71,10,1018,83,28,20,26,27,28,1
1/1/2019 10:00,26,22,NE,Patchy rain possible,0.0,71,10,1017,80,28,20,26,27,28,1
1/1/2019 11:00,26,22,NE,Patchy rain possible,0.0,70,10,1017,77,28,20,26,28,28,1
1/1/2019 12:00,26,22,NNE,Patchy rain possible,0.0,69,10,1017,73,28,20,26,28,28,1
1/1/2019 13:00,26,22,NE,Patchy rain possible,0.0,69,10,1016,77,28,20,26,28,28,1
1/1/2019 14:00,26,23,NE,Patchy rain possible,0.0,70,10,1016,80,28,20,26,29,28,1
1/1/2019 15:00,26,23,NE,Patchy rain possible,0.0,70,10,1015,84,28,20,26,30,28,1
1/1/2019 16:00,25,22,NE,Patchy rain possible,0.0,71,10,1015,77,27,20,25,30,27,1
1/1/2019 17:00,25,21,NE,Partly cloudy,0.0,71,10,1016,71,27,20,25,30,27,1
1/1/2019 18:00,25,21,NE,Partly cloudy,0.0,72,10,1016,65,27,20,25,31,27,1
