Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2015 00:00,25,11,S,Partly cloudy,0.0,87,10,1009,32,27,23,25,19,27,1
1/1/2015 01:00,25,12,S,Partly cloudy,0.0,87,10,1009,28,27,22,25,20,27,1
1/1/2015 02:00,25,12,S,Clear,0.0,87,10,1009,23,27,22,25,21,27,1
1/1/2015 03:00,25,13,S,Clear,0.0,87,10,1009,18,27,22,25,22,27,1
1/1/2015 04:00,25,14,S,Clear,0.0,85,10,1009,24,28,23,25,22,28,1
1/1/2015 05:00,26,14,SSW,Partly cloudy,0.0,82,10,1010,30,29,23,26,21,29,1
1/1/2015 06:00,27,15,SSW,Partly cloudy,0.0,80,10,1011,36,30,23,27,20,30,1
1/1/2015 07:00,27,16,SSW,Partly cloudy,0.0,77,10,1011,33,31,23,27,20,31,1
1/1/2015 08:00,28,16,SW,Partly cloudy,0.0,73,10,1010,30,32,23,28,20,32,1
1/1/2015 09:00,29,17,SW,Partly cloudy,0.0,70,10,1010,27,33,23,29,19,33,1
1/1/2015 10:00,29,19,WSW,Partly cloudy,0.0,71,10,1010,22,33,23,29,21,33,1
1/1/2015 11:00,29,20,WSW,Sunny,0.0,71,10,1009,18,33,23,29,24,33,1
1/1/2015 12:00,29,22,WSW,Sunny,0.0,72,10,1008,13,33,23,29,26,33,1
1/1/2015 13:00,28,21,WSW,Sunny,0.0,74,10,1008,13,32,23,28,26,32,1
1/1/2015 14:00,28,20,WSW,Sunny,0.0,77,10,1008,12,31,23,28,27,31,1
1/1/2015 15:00,27,19,WSW,Sunny,0.0,80,10,1008,12,30,23,27,28,30,1
1/1/2015 16:00,26,17,SW,Sunny,0.0,82,10,1009,8,29,23,26,26,29,1
1/1/2015 17:00,26,16,SW,Sunny,0.0,84,10,1010,4,29,23,26,25,29,1
1/1/2015 18:00,25,14,SW,Sunny,0.0,86,10,1011,0,28,23,25,23,28,1
1/1/2015 19:00,25,13,SSW,Clear,0.0,86,10,1011,1,28,23,25,23,28,1
1/1/2015 20:00,25,13,SSW,Clear,0.0,86,10,1011,1,28,23,25,22,28,1
1/1/2015 21:00,25,12,SSW,Clear,0.0,86,10,1011,2,27,22,25,21,27,1
1/1/2015 22:00,25,12,SSW,Clear,0.0,87,10,1011,5,27,22,25,21,27,1
1/1/2015 23:00,25,12,SSW,Clear,0.0,87,10,1011,8,27,22,25,20,27,1
2/1/2015 00:00,24,11,S,Clear,0.0,88,10,1010,11,27,22,24,20,27,1
2/1/2015 01:00,24,10,S,Clear,0.0,88,10,1010,15,26,22,24,19,26,1
2/1/2015 02:00,24,10,S,Clear,0.0,88,10,1010,19,26,22,24,18,26,1
2/1/2015 03:00,24,9,S,Clear,0.0,89,10,1010,23,26,22,24,16,26,1
2/1/2015 04:00,25,9,S,Clear,0.0,85,10,1011,24,27,22,25,15,27,1
2/1/2015 05:00,25,9,SSW,Clear,0.0,82,10,1012,24,28,22,25,13,28,1
2/1/2015 06:00,26,9,SSW,Clear,0.0,78,10,1012,25,29,22,26,12,29,1
2/1/2015 07:00,27,11,SSW,Sunny,0.0,74,10,1012,16,30,22,27,13,30,1
2/1/2015 08:00,28,13,SW,Sunny,0.0,69,10,1012,8,30,22,28,15,30,1
2/1/2015 09:00,29,14,WSW,Sunny,0.0,65,10,1012,0,31,21,29,17,31,1
2/1/2015 10:00,29,15,WSW,Sunny,0.0,65,10,1011,0,31,21,29,17,31,1
2/1/2015 11:00,29,15,WSW,Sunny,0.0,65,10,1011,0,31,21,29,17,31,1
2/1/2015 12:00,29,15,W,Sunny,0.0,64,10,1010,0,31,21,29,17,31,1
2/1/2015 13:00,28,15,WSW,Sunny,0.0,67,10,1010,1,30,21,28,19,30,1
2/1/2015 14:00,27,15,WSW,Sunny,0.0,69,10,1010,1,29,21,27,21,29,1
2/1/2015 15:00,26,15,WSW,Sunny,0.0,71,10,1010,2,28,21,26,22,28,1
2/1/2015 16:00,25,12,SW,Sunny,0.0,75,10,1011,1,28,21,26,18,28,1
2/1/2015 17:00,25,9,SW,Sunny,0.0,79,10,1012,1,27,21,25,14,27,1
2/1/2015 18:00,24,6,SW,Sunny,0.0,83,10,1013,0,26,21,24,11,26,1
2/1/2015 19:00,23,5,SSW,Clear,0.0,83,10,1013,0,26,21,24,10,26,1
2/1/2015 20:00,23,5,SSW,Clear,0.0,83,10,1014,0,26,21,24,9,26,1
2/1/2015 21:00,23,5,SSW,Clear,0.0,82,10,1014,0,26,21,24,9,26,1
2/1/2015 22:00,23,5,S,Clear,0.0,83,10,1013,0,26,21,24,8,26,1
2/1/2015 23:00,23,5,S,Clear,0.0,83,10,1013,0,27,21,24,8,27,1
3/1/2015 00:00,23,5,S,Clear,0.0,83,10,1012,0,27,21,25,8,27,1
3/1/2015 01:00,23,5,SSE,Clear,0.0,84,10,1013,0,26,21,24,9,26,1
3/1/2015 02:00,23,6,SSE,Clear,0.0,84,10,1013,0,26,21,24,10,26,1
3/1/2015 03:00,22,6,SE,Clear,0.0,85,10,1013,0,25,20,23,12,25,1
3/1/2015 04:00,23,7,ESE,Clear,0.0,81,10,1013,0,26,21,24,11,26,1
3/1/2015 05:00,25,7,ESE,Clear,0.0,78,10,1014,0,27,21,25,10,27,1
3/1/2015 06:00,26,8,E,Clear,0.0,75,10,1014,0,28,21,26,10,28,1
3/1/2015 07:00,27,6,ENE,Sunny,0.0,70,10,1014,0,30,22,27,7,30,1
3/1/2015 08:00,28,4,NE,Sunny,0.0,66,10,1014,0,33,22,29,5,33,1
3/1/2015 09:00,29,3,NNE,Sunny,0.0,62,10,1013,0,35,23,31,3,35,1
3/1/2015 10:00,29,5,ESE,Sunny,0.0,62,10,1012,0,34,22,30,6,34,1
3/1/2015 11:00,29,8,SW,Sunny,0.0,62,10,1011,0,34,22,30,10,34,1
3/1/2015 12:00,30,10,NW,Sunny,0.0,62,10,1010,0,33,21,30,13,33,1
3/1/2015 13:00,29,12,NW,Sunny,0.0,65,10,1010,0,32,22,29,16,32,1
3/1/2015 14:00,28,13,NW,Sunny,0.0,68,10,1010,0,31,22,28,19,31,1
3/1/2015 15:00,27,14,NW,Sunny,0.0,72,10,1010,0,30,22,27,22,30,1
3/1/2015 16:00,27,12,NW,Sunny,0.0,75,10,1011,20,29,22,27,19,29,1
3/1/2015 17:00,26,11,NNW,Partly cloudy,0.0,79,10,1012,40,28,22,26,17,28,1
3/1/2015 18:00,25,9,N,Partly cloudy,0.0,82,10,1012,61,28,22,25,15,28,1
3/1/2015 19:00,25,9,W,Partly cloudy,0.0,84,10,1013,61,27,22,25,16,27,1
3/1/2015 20:00,25,9,SSE,Partly cloudy,0.0,86,10,1013,61,27,22,25,16,27,1
3/1/2015 21:00,25,10,ENE,Partly cloudy,0.0,88,10,1013,61,27,22,25,17,27,1
3/1/2015 22:00,24,11,ENE,Partly cloudy,0.0,89,10,1013,56,27,22,24,19,27,1
3/1/2015 23:00,24,13,ENE,Partly cloudy,0.0,90,10,1012,51,26,22,24,21,26,1
4/1/2015 00:00,24,14,ENE,Partly cloudy,0.0,91,10,1012,46,26,22,24,23,26,1
4/1/2015 01:00,24,14,ENE,Partly cloudy,0.0,91,10,1012,54,26,22,24,22,26,1
4/1/2015 02:00,24,13,ENE,Cloudy,0.0,91,10,1012,63,26,22,24,22,26,1
4/1/2015 03:00,24,13,ENE,Cloudy,0.0,91,10,1012,71,26,22,24,21,26,1
4/1/2015 04:00,24,14,ENE,Cloudy,0.0,88,10,1013,51,27,22,24,20,27,1
4/1/2015 05:00,25,15,ENE,Clear,0.0,85,10,1013,32,28,22,25,20,28,1
4/1/2015 06:00,26,15,ENE,Clear,0.0,81,10,1014,13,29,23,26,19,29,1
4/1/2015 07:00,27,13,ENE,Sunny,0.0,76,10,1014,11,30,22,27,16,30,1
4/1/2015 08:00,28,11,ENE,Sunny,0.0,71,10,1013,9,31,22,28,13,31,1
4/1/2015 09:00,29,9,NE,Sunny,0.0,66,10,1013,7,33,22,29,10,33,1
4/1/2015 10:00,29,11,SSE,Sunny,0.0,66,10,1012,6,33,22,29,13,33,1
4/1/2015 11:00,30,13,WSW,Sunny,0.0,65,10,1011,4,33,22,30,15,33,1
4/1/2015 12:00,30,15,NNW,Sunny,0.0,65,10,1010,3,34,22,30,18,34,1
4/1/2015 13:00,29,16,NNW,Sunny,0.0,68,10,1010,18,33,23,29,21,33,1
4/1/2015 14:00,28,17,NNW,Partly cloudy,0.0,72,10,1010,33,32,23,28,25,32,1
4/1/2015 15:00,28,19,NNW,Partly cloudy,0.0,76,10,1011,47,31,23,28,28,31,1
4/1/2015 16:00,27,20,SW,Partly cloudy,0.0,78,10,1011,51,30,23,27,31,30,1
4/1/2015 17:00,26,21,SE,Partly cloudy,0.0,81,10,1012,54,29,23,26,33,29,1
4/1/2015 18:00,26,22,NNE,Partly cloudy,0.0,83,10,1012,57,29,23,26,36,29,1
4/1/2015 19:00,25,22,NE,Partly cloudy,0.0,85,10,1012,43,28,23,25,36,28,1
4/1/2015 20:00,25,23,NE,Clear,0.0,88,10,1013,29,27,22,25,37,27,1
4/1/2015 21:00,24,23,NE,Clear,0.0,90,10,1013,15,26,22,24,37,26,1
4/1/2015 22:00,24,22,ENE,Clear,0.0,91,10,1012,23,26,22,24,35,26,1
4/1/2015 23:00,24,21,ENE,Partly cloudy,0.0,92,10,1012,30,26,22,24,33,26,1
5/1/2015 00:00,23,20,ENE,Partly cloudy,0.0,93,10,1011,38,26,22,23,32,26,1
5/1/2015 01:00,23,20,ENE,Partly cloudy,0.0,93,10,1012,39,26,22,23,31,26,1
5/1/2015 02:00,23,19,NE,Partly cloudy,0.0,94,10,1012,40,26,22,23,31,26,1
5/1/2015 03:00,23,19,NE,Partly cloudy,0.0,94,10,1012,41,26,22,23,31,26,1
5/1/2015 04:00,24,19,NE,Partly cloudy,0.0,90,10,1012,37,27,22,24,29,27,1
5/1/2015 05:00,25,19,NE,Partly cloudy,0.0,86,10,1013,32,27,22,25,26,27,1
5/1/2015 06:00,26,19,NE,Partly cloudy,0.0,81,10,1013,27,28,22,26,24,28,1
5/1/2015 07:00,27,18,NE,Partly cloudy,0.0,76,10,1013,18,30,22,27,21,30,1
5/1/2015 08:00,28,16,NE,Sunny,0.0,70,10,1013,9,31,22,28,19,31,1
5/1/2015 09:00,29,14,NE,Sunny,0.0,65,10,1013,0,32,22,29,17,32,1
5/1/2015 10:00,30,16,SE,Sunny,0.0,64,10,1012,4,33,22,30,19,33,1
5/1/2015 11:00,30,18,WSW,Sunny,0.0,63,10,1010,8,33,22,30,21,33,1
5/1/2015 12:00,30,20,NNW,Sunny,0.0,62,10,1009,12,34,22,30,23,34,1
5/1/2015 13:00,29,20,SW,Sunny,0.0,66,10,1010,24,33,22,29,27,33,1
5/1/2015 14:00,29,21,SE,Partly cloudy,0.0,70,10,1010,35,32,23,29,30,32,1
5/1/2015 15:00,28,22,NNE,Partly cloudy,0.0,74,10,1010,47,31,23,28,34,31,1
5/1/2015 16:00,27,24,NNE,Partly cloudy,0.0,78,10,1010,39,30,23,27,38,30,1
5/1/2015 17:00,26,26,NNE,Sunny,0.0,81,10,1011,31,29,23,26,41,29,1
5/1/2015 18:00,25,28,NE,Sunny,0.0,85,10,1012,23,28,23,25,45,28,1
5/1/2015 19:00,25,27,NE,Clear,0.0,87,10,1012,31,27,23,25,43,27,1
5/1/2015 20:00,24,25,NE,Partly cloudy,0.0,89,10,1012,38,27,22,24,40,27,1
5/1/2015 21:00,24,24,NE,Partly cloudy,0.0,91,10,1013,46,26,22,24,38,26,1
5/1/2015 22:00,24,23,NE,Partly cloudy,0.0,91,10,1012,46,26,22,24,36,26,1
5/1/2015 23:00,24,21,NE,Partly cloudy,0.0,92,10,1011,47,26,22,24,34,26,1
6/1/2015 00:00,24,20,NE,Partly cloudy,0.0,92,10,1011,48,26,22,24,32,26,1
6/1/2015 01:00,24,20,NE,Partly cloudy,0.0,92,10,1011,47,26,22,24,32,26,1
6/1/2015 02:00,24,19,NE,Partly cloudy,0.0,92,10,1012,47,26,22,24,31,26,1
6/1/2015 03:00,23,19,NE,Partly cloudy,0.0,92,10,1012,47,26,22,24,30,26,1
6/1/2015 04:00,24,20,NE,Partly cloudy,0.0,89,10,1012,53,27,22,24,29,27,1
6/1/2015 05:00,25,20,NE,Cloudy,0.0,86,10,1013,58,27,22,25,28,27,1
6/1/2015 06:00,26,21,NE,Cloudy,0.0,82,10,1013,64,28,22,26,27,28,1
6/1/2015 07:00,27,20,NNE,Cloudy,0.0,77,10,1013,58,30,22,27,24,30,1
6/1/2015 08:00,28,18,NNE,Partly cloudy,0.0,71,10,1013,53,31,22,28,22,31,1
6/1/2015 09:00,29,17,NNE,Partly cloudy,0.0,66,10,1013,47,32,22,29,19,32,1
6/1/2015 10:00,29,19,SE,Partly cloudy,0.0,67,10,1012,37,32,22,29,23,32,1
6/1/2015 11:00,29,21,WSW,Patchy rain possible,0.3,69,9,1011,27,32,23,29,26,32,1
6/1/2015 12:00,29,23,NNW,Patchy rain possible,0.4,70,9,1010,17,32,23,29,30,32,1
6/1/2015 13:00,28,23,SW,Patchy rain possible,0.2,72,9,1010,20,32,23,28,32,32,1
6/1/2015 14:00,28,23,ESE,Sunny,0.0,74,10,1011,22,31,23,28,34,31,1
6/1/2015 15:00,27,23,N,Sunny,0.0,76,10,1011,24,30,23,27,37,30,1
6/1/2015 16:00,26,24,NNE,Sunny,0.0,78,10,1011,19,29,22,26,39,29,1
6/1/2015 17:00,26,25,NNE,Sunny,0.0,80,10,1012,14,28,22,26,41,28,1
6/1/2015 18:00,25,26,NE,Sunny,0.0,82,10,1013,9,27,22,25,43,27,1
6/1/2015 19:00,25,24,NE,Clear,0.0,84,10,1013,15,27,22,25,41,27,1
6/1/2015 20:00,24,23,NE,Partly cloudy,0.0,85,10,1013,20,26,22,24,38,26,1
6/1/2015 21:00,24,22,NE,Partly cloudy,0.0,87,10,1013,25,26,21,24,36,26,1
6/1/2015 22:00,23,21,NE,Partly cloudy,0.0,88,10,1013,23,26,21,23,34,26,1
6/1/2015 23:00,23,20,NE,Clear,0.0,89,10,1012,20,25,21,23,33,25,1
7/1/2015 00:00,23,19,NE,Clear,0.0,90,10,1011,17,25,21,23,32,25,1
7/1/2015 01:00,23,19,NE,Clear,0.0,90,10,1012,16,25,21,23,31,25,1
7/1/2015 02:00,23,18,NE,Clear,0.0,90,10,1012,15,25,21,23,30,25,1
7/1/2015 03:00,23,18,NE,Clear,0.0,90,10,1012,14,25,21,23,30,25,1
7/1/2015 04:00,23,18,NE,Clear,0.0,86,10,1013,12,26,21,23,28,26,1
7/1/2015 05:00,24,18,NE,Clear,0.0,83,10,1013,10,26,21,24,25,26,1
7/1/2015 06:00,25,19,NE,Clear,0.0,79,10,1014,8,27,21,25,23,27,1
7/1/2015 07:00,26,18,NE,Sunny,0.0,71,10,1014,7,28,20,26,21,28,1
7/1/2015 08:00,27,17,NNE,Sunny,0.0,64,10,1013,6,29,20,27,20,29,1
7/1/2015 09:00,29,15,NNE,Sunny,0.0,56,10,1013,5,30,19,29,18,30,1
7/1/2015 10:00,29,18,SE,Sunny,0.0,56,10,1012,5,31,19,29,20,31,1
7/1/2015 11:00,29,20,WSW,Sunny,0.0,56,10,1011,4,31,20,29,23,31,1
7/1/2015 12:00,30,22,NNW,Sunny,0.0,56,10,1011,4,32,20,30,26,32,1
7/1/2015 13:00,29,21,SW,Sunny,0.0,59,10,1011,3,31,20,29,27,31,1
7/1/2015 14:00,28,21,ESE,Sunny,0.0,61,10,1011,2,30,20,28,29,30,1
7/1/2015 15:00,28,20,N,Sunny,0.0,64,10,1011,1,30,20,28,31,30,1
7/1/2015 16:00,27,21,NNE,Sunny,0.0,68,10,1012,1,29,20,27,34,29,1
7/1/2015 17:00,26,22,NNE,Sunny,0.0,71,10,1012,2,28,20,26,37,28,1
