Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2010 00:00,24,9,NE,Partly cloudy,0.0,84,10,1011,57,26,21,24,14,26,1
1/1/2010 01:00,24,9,NE,Partly cloudy,0.0,84,10,1011,63,26,21,24,13,26,1
1/1/2010 02:00,23,9,ENE,Cloudy,0.0,84,10,1011,68,26,21,24,13,26,1
1/1/2010 03:00,23,9,ENE,Cloudy,0.0,84,10,1011,74,26,21,24,13,26,1
1/1/2010 04:00,24,10,ENE,Cloudy,0.0,83,10,1012,79,26,21,24,14,26,1
1/1/2010 05:00,24,11,ENE,Overcast,0.0,82,10,1013,85,26,21,24,15,26,1
1/1/2010 06:00,24,12,NE,Overcast,0.0,81,10,1013,90,26,21,24,16,26,1
1/1/2010 07:00,24,13,ENE,Overcast,0.0,79,10,1013,90,27,21,25,17,27,1
1/1/2010 08:00,25,14,ENE,Overcast,0.0,77,10,1014,89,27,21,25,18,27,1
1/1/2010 09:00,25,15,ENE,Overcast,0.0,75,10,1014,89,27,21,25,19,27,1
1/1/2010 10:00,25,14,ENE,Overcast,0.0,74,10,1013,84,28,21,26,18,28,1
1/1/2010 11:00,26,13,ENE,Cloudy,0.0,74,10,1012,78,28,21,26,17,28,1
1/1/2010 12:00,26,12,ENE,Cloudy,0.0,73,10,1011,73,28,21,26,15,28,1
1/1/2010 13:00,26,12,ENE,Cloudy,0.0,74,10,1011,75,28,21,26,16,28,1
1/1/2010 14:00,25,13,ENE,Cloudy,0.0,75,10,1011,77,28,21,26,17,28,1
1/1/2010 15:00,25,14,ENE,Cloudy,0.0,76,10,1011,79,27,21,25,19,27,1
1/1/2010 16:00,25,14,ENE,Cloudy,0.0,78,10,1012,79,27,21,25,19,27,1
1/1/2010 17:00,24,13,NE,Cloudy,0.0,80,10,1012,80,26,21,24,19,26,1
1/1/2010 18:00,24,13,NE,Cloudy,0.0,83,10,1012,80,26,21,24,19,26,1
1/1/2010 19:00,24,12,NE,Cloudy,0.0,83,10,1013,80,26,21,24,17,26,1
1/1/2010 20:00,24,11,NE,Cloudy,0.0,84,10,1013,80,26,21,24,16,26,1
1/1/2010 21:00,24,10,NE,Cloudy,0.0,85,10,1013,80,26,21,24,14,26,1
1/1/2010 22:00,24,8,NE,Cloudy,0.0,85,10,1013,83,26,21,24,11,26,1
1/1/2010 23:00,24,5,ENE,Overcast,0.0,84,10,1012,86,27,22,24,8,27,1
2/1/2010 00:00,24,3,ENE,Overcast,0.0,84,10,1012,89,27,22,25,4,27,1
2/1/2010 01:00,24,5,ENE,Overcast,0.0,85,10,1012,86,27,22,25,7,27,1
2/1/2010 02:00,24,7,NE,Cloudy,0.0,87,10,1012,83,27,22,24,9,27,1
2/1/2010 03:00,24,8,NE,Cloudy,0.0,88,10,1012,80,26,22,24,11,26,1
2/1/2010 04:00,24,8,NE,Cloudy,0.0,88,10,1012,81,26,22,24,11,26,1
2/1/2010 05:00,24,9,NE,Cloudy,0.0,88,10,1013,82,26,22,24,12,26,1
2/1/2010 06:00,24,9,NE,Cloudy,0.0,88,10,1013,83,26,22,24,12,26,1
2/1/2010 07:00,24,9,ENE,Cloudy,0.0,87,10,1013,85,27,22,24,13,27,1
2/1/2010 08:00,24,10,ENE,Overcast,0.0,86,10,1013,87,27,22,25,14,27,1
2/1/2010 09:00,24,11,ENE,Overcast,0.0,84,10,1013,89,27,22,25,15,27,1
2/1/2010 10:00,25,10,ENE,Overcast,0.0,82,10,1013,84,27,22,25,13,27,1
2/1/2010 11:00,25,8,ENE,Cloudy,0.0,80,10,1012,79,28,22,25,11,28,1
2/1/2010 12:00,25,7,ENE,Cloudy,0.0,78,10,1011,74,28,22,26,9,28,1
2/1/2010 13:00,25,7,ENE,Cloudy,0.0,80,10,1011,76,28,22,25,10,28,1
2/1/2010 14:00,25,8,ENE,Cloudy,0.0,81,10,1011,79,27,22,25,10,27,1
2/1/2010 15:00,25,8,NE,Cloudy,0.0,82,10,1011,81,27,22,25,11,27,1
2/1/2010 16:00,24,8,NE,Cloudy,0.0,84,10,1012,73,27,22,25,11,27,1
2/1/2010 17:00,24,8,NE,Partly cloudy,0.0,86,10,1012,65,27,22,24,11,27,1
2/1/2010 18:00,24,8,NE,Partly cloudy,0.0,88,10,1012,57,26,22,24,11,26,1
2/1/2010 19:00,24,8,NE,Partly cloudy,0.0,89,10,1012,55,26,22,24,11,26,1
2/1/2010 20:00,24,8,NE,Partly cloudy,0.0,90,10,1013,53,26,22,24,11,26,1
2/1/2010 21:00,24,8,NE,Partly cloudy,0.0,90,10,1013,51,26,22,24,11,26,1
2/1/2010 22:00,24,8,SSE,Partly cloudy,0.0,91,10,1013,67,26,22,24,11,26,1
2/1/2010 23:00,24,8,WSW,Overcast,0.0,91,10,1012,84,26,22,24,12,26,1
3/1/2010 00:00,24,8,NNW,Overcast,0.0,91,10,1012,100,26,23,24,12,26,1
3/1/2010 01:00,24,8,SW,Overcast,0.0,91,10,1012,100,26,22,24,12,26,1
3/1/2010 02:00,24,8,SE,Overcast,0.0,91,10,1012,100,26,22,24,12,26,1
3/1/2010 03:00,24,8,NNE,Overcast,0.0,91,10,1012,100,26,22,24,12,26,1
3/1/2010 04:00,24,6,NNE,Overcast,0.0,90,10,1012,87,27,23,24,9,27,1
3/1/2010 05:00,24,4,NE,Partly cloudy,0.0,89,10,1012,73,27,23,25,6,27,1
3/1/2010 06:00,24,3,NE,Partly cloudy,0.0,88,10,1012,60,27,23,25,3,27,1
3/1/2010 07:00,25,3,NE,Partly cloudy,0.0,85,10,1012,54,29,23,26,4,29,1
3/1/2010 08:00,26,3,ENE,Partly cloudy,0.0,83,10,1012,47,30,24,27,4,30,1
3/1/2010 09:00,27,4,E,Partly cloudy,0.0,80,10,1013,41,32,24,28,5,32,1
3/1/2010 10:00,27,3,SE,Partly cloudy,0.0,81,10,1012,53,32,24,28,3,32,1
3/1/2010 11:00,27,2,SSW,Cloudy,0.0,81,10,1011,65,32,24,28,2,32,1
3/1/2010 12:00,28,1,WSW,Cloudy,0.0,81,10,1010,78,33,25,28,1,33,1
3/1/2010 13:00,27,1,SSW,Cloudy,0.0,83,10,1010,67,32,25,28,1,32,1
3/1/2010 14:00,27,1,SSE,Patchy rain possible,0.2,84,9,1010,57,32,25,28,2,32,1
3/1/2010 15:00,27,1,SE,Patchy rain possible,0.2,85,9,1010,46,32,25,28,2,32,1
3/1/2010 16:00,26,6,ESE,Patchy rain possible,0.1,86,9,1010,45,30,24,27,10,30,1
3/1/2010 17:00,25,11,ESE,Partly cloudy,0.0,87,10,1011,43,29,23,26,18,29,1
3/1/2010 18:00,25,16,ESE,Partly cloudy,0.0,88,10,1011,41,27,23,25,26,27,1
3/1/2010 19:00,24,14,ESE,Partly cloudy,0.0,90,10,1011,43,27,23,25,22,27,1
3/1/2010 20:00,24,11,E,Partly cloudy,0.0,92,10,1011,45,27,23,24,17,27,1
3/1/2010 21:00,24,9,E,Partly cloudy,0.0,94,10,1012,47,26,23,24,13,26,1
3/1/2010 22:00,23,8,ENE,Partly cloudy,0.0,94,7,1011,46,26,23,24,12,26,1
3/1/2010 23:00,23,7,NNE,Mist,0.0,94,5,1010,45,27,23,24,10,27,1
4/1/2010 00:00,23,6,N,Mist,0.0,94,2,1010,44,27,23,24,9,27,1
4/1/2010 01:00,23,7,NNE,Mist,0.0,94,2,1010,43,26,23,24,10,26,1
4/1/2010 02:00,23,8,NE,Mist,0.0,95,2,1010,43,26,23,24,11,26,1
4/1/2010 03:00,23,8,ENE,Mist,0.0,95,2,1010,42,26,23,24,12,26,1
4/1/2010 04:00,23,6,ESE,Mist,0.0,92,5,1010,39,27,23,24,9,27,1
4/1/2010 05:00,24,4,SSE,Partly cloudy,0.0,90,7,1011,36,28,23,25,6,28,1
4/1/2010 06:00,25,3,SSW,Partly cloudy,0.0,87,10,1012,34,28,23,26,3,28,1
4/1/2010 07:00,25,4,SSE,Partly cloudy,0.0,85,10,1012,38,29,23,26,5,29,1
4/1/2010 08:00,26,6,E,Partly cloudy,0.0,82,10,1012,41,30,23,27,6,30,1
4/1/2010 09:00,27,7,NE,Partly cloudy,0.0,79,10,1012,45,31,24,28,8,31,1
4/1/2010 10:00,27,7,ENE,Partly cloudy,0.0,80,10,1011,41,31,24,28,8,31,1
4/1/2010 11:00,27,7,E,Partly cloudy,0.0,80,10,1010,37,32,24,28,9,32,1
4/1/2010 12:00,27,7,ESE,Partly cloudy,0.0,81,10,1009,33,32,24,28,9,32,1
4/1/2010 13:00,27,7,E,Partly cloudy,0.0,80,10,1010,37,31,24,27,9,31,1
4/1/2010 14:00,27,7,E,Partly cloudy,0.0,80,10,1010,40,30,23,27,9,30,1
4/1/2010 15:00,26,6,E,Partly cloudy,0.0,80,10,1010,44,30,23,27,8,30,1
4/1/2010 16:00,25,7,E,Partly cloudy,0.0,84,10,1010,38,29,23,26,9,29,1
4/1/2010 17:00,24,7,E,Sunny,0.0,88,10,1011,31,28,23,25,10,28,1
4/1/2010 18:00,23,8,E,Sunny,0.0,92,10,1011,25,26,23,24,11,26,1
4/1/2010 19:00,23,8,ENE,Clear,0.0,93,7,1011,29,26,23,24,12,26,1
4/1/2010 20:00,23,8,ENE,Mist,0.0,93,5,1011,34,26,22,23,13,26,1
4/1/2010 21:00,23,9,ENE,Mist,0.0,94,2,1011,38,26,22,23,13,26,1
4/1/2010 22:00,23,7,NE,Mist,0.0,94,2,1011,37,26,22,23,11,26,1
4/1/2010 23:00,23,5,NNE,Mist,0.0,94,2,1010,36,26,23,24,8,26,1
5/1/2010 00:00,23,4,N,Mist,0.0,94,2,1010,35,27,23,24,5,27,1
5/1/2010 01:00,23,5,NNE,Mist,0.0,95,2,1010,38,26,23,24,7,26,1
5/1/2010 02:00,23,6,NE,Mist,0.0,95,2,1010,41,26,23,24,9,26,1
5/1/2010 03:00,23,8,NE,Mist,0.0,95,2,1011,44,26,23,23,11,26,1
5/1/2010 04:00,23,6,NE,Mist,0.0,94,5,1011,38,26,23,24,9,26,1
5/1/2010 05:00,23,5,NE,Partly cloudy,0.0,93,7,1011,32,27,23,24,7,27,1
5/1/2010 06:00,24,4,ENE,Partly cloudy,0.0,92,10,1012,27,27,23,25,5,27,1
5/1/2010 07:00,24,5,ENE,Partly cloudy,0.0,88,10,1012,26,28,23,25,6,28,1
5/1/2010 08:00,25,6,ENE,Partly cloudy,0.0,84,10,1012,26,29,23,26,7,29,1
5/1/2010 09:00,26,6,ENE,Partly cloudy,0.0,80,10,1013,26,30,23,27,8,30,1
5/1/2010 10:00,27,5,ESE,Partly cloudy,0.0,80,10,1012,28,31,24,27,6,31,1
5/1/2010 11:00,27,4,SE,Partly cloudy,0.0,80,10,1011,30,33,24,28,5,33,1
5/1/2010 12:00,28,3,SSE,Partly cloudy,0.0,80,10,1010,32,34,25,29,4,34,1
5/1/2010 13:00,27,4,ESE,Partly cloudy,0.0,81,10,1010,31,33,25,28,5,33,1
5/1/2010 14:00,27,5,ENE,Patchy rain possible,0.4,82,9,1010,30,32,24,28,7,32,1
5/1/2010 15:00,26,6,NE,Patchy rain possible,0.5,82,9,1011,29,31,24,27,8,31,1
5/1/2010 16:00,25,7,NE,Patchy rain possible,0.3,86,9,1011,33,29,24,26,9,29,1
5/1/2010 17:00,25,7,NE,Partly cloudy,0.0,90,10,1011,37,28,23,25,11,28,1
5/1/2010 18:00,24,8,ENE,Partly cloudy,0.0,93,10,1011,41,27,23,24,13,27,1
5/1/2010 19:00,23,8,ENE,Partly cloudy,0.0,94,10,1012,40,27,23,24,13,27,1
5/1/2010 20:00,23,8,ENE,Patchy rain possible,0.1,94,9,1012,39,26,23,24,13,26,1
5/1/2010 21:00,23,8,ENE,Patchy rain possible,0.1,95,9,1012,38,26,23,24,13,26,1
5/1/2010 22:00,23,7,NE,Patchy rain possible,0.1,95,7,1012,34,26,23,24,11,26,1
5/1/2010 23:00,23,7,NE,Mist,0.0,94,4,1011,31,27,23,24,10,27,1
6/1/2010 00:00,23,6,NNE,Mist,0.0,94,2,1011,27,27,23,24,8,27,1
6/1/2010 01:00,23,6,NNE,Mist,0.0,94,2,1011,27,27,23,24,9,27,1
6/1/2010 02:00,23,7,NE,Mist,0.0,95,2,1011,28,27,23,24,11,27,1
6/1/2010 03:00,23,8,NE,Mist,0.0,95,2,1011,28,26,23,24,12,26,1
6/1/2010 04:00,23,8,NE,Mist,0.0,93,5,1012,26,27,23,24,11,27,1
6/1/2010 05:00,24,7,NE,Clear,0.0,91,7,1012,24,27,23,25,9,27,1
6/1/2010 06:00,24,7,NNE,Clear,0.0,89,10,1013,22,28,23,25,8,28,1
6/1/2010 07:00,25,6,NE,Sunny,0.0,85,10,1013,16,31,24,27,7,31,1
6/1/2010 08:00,27,5,NE,Sunny,0.0,81,10,1013,10,34,25,29,6,34,1
6/1/2010 09:00,28,4,ENE,Sunny,0.0,76,10,1013,4,37,26,30,5,37,1
6/1/2010 10:00,28,5,NE,Sunny,0.0,76,10,1012,18,36,25,30,6,36,1
6/1/2010 11:00,28,5,NE,Partly cloudy,0.0,76,10,1011,33,34,24,29,6,34,1
6/1/2010 12:00,28,5,NE,Partly cloudy,0.0,76,10,1011,47,33,24,29,7,33,1
6/1/2010 13:00,27,6,NE,Partly cloudy,0.0,76,10,1011,43,32,24,28,8,32,1
6/1/2010 14:00,27,7,ENE,Partly cloudy,0.0,77,10,1011,40,31,23,28,9,31,1
6/1/2010 15:00,27,8,ENE,Partly cloudy,0.0,78,10,1011,37,30,23,27,11,30,1
6/1/2010 16:00,26,8,E,Partly cloudy,0.0,82,10,1011,32,29,23,26,12,29,1
6/1/2010 17:00,25,9,E,Sunny,0.0,86,10,1012,28,28,23,25,13,28,1
6/1/2010 18:00,24,9,E,Sunny,0.0,90,10,1012,23,27,23,24,14,27,1
6/1/2010 19:00,23,9,E,Clear,0.0,91,10,1012,24,26,22,24,13,26,1
6/1/2010 20:00,23,9,ENE,Partly cloudy,0.0,92,10,1013,25,26,22,24,13,26,1
6/1/2010 21:00,23,8,ENE,Partly cloudy,0.0,92,10,1013,26,26,22,24,12,26,1
6/1/2010 22:00,23,8,SSE,Partly cloudy,0.0,92,10,1013,23,26,23,24,12,26,1
6/1/2010 23:00,23,8,WSW,Clear,0.0,92,10,1012,21,27,23,24,11,27,1
7/1/2010 00:00,24,8,NW,Clear,0.0,92,10,1011,18,27,23,25,11,27,1
7/1/2010 01:00,23,7,SW,Clear,0.0,92,10,1012,21,27,23,24,10,27,1
7/1/2010 02:00,23,7,SE,Partly cloudy,0.0,92,10,1012,23,27,23,24,10,27,1
7/1/2010 03:00,23,7,NE,Partly cloudy,0.0,93,10,1012,26,27,23,24,10,27,1
7/1/2010 04:00,23,8,NE,Partly cloudy,0.0,92,10,1012,25,26,23,24,11,26,1
7/1/2010 05:00,23,8,NE,Clear,0.0,92,10,1012,25,26,23,24,12,26,1
7/1/2010 06:00,23,9,NE,Clear,0.0,91,10,1013,24,26,22,24,13,26,1
7/1/2010 07:00,24,9,NE,Sunny,0.0,86,10,1013,21,28,22,25,11,28,1
7/1/2010 08:00,25,8,NE,Sunny,0.0,81,10,1013,18,29,23,26,10,29,1
7/1/2010 09:00,26,8,NE,Sunny,0.0,76,10,1013,16,30,23,27,9,30,1
7/1/2010 10:00,26,9,NE,Sunny,0.0,76,10,1013,22,30,22,27,11,30,1
7/1/2010 11:00,26,10,NE,Partly cloudy,0.0,76,10,1012,29,29,22,27,13,29,1
7/1/2010 12:00,26,12,NE,Partly cloudy,0.0,76,10,1011,35,29,22,27,15,29,1
7/1/2010 13:00,26,11,NE,Partly cloudy,0.0,77,10,1011,31,29,22,26,14,29,1
7/1/2010 14:00,25,10,NE,Sunny,0.0,78,10,1011,27,28,22,26,13,28,1
7/1/2010 15:00,25,10,NE,Sunny,0.0,80,10,1011,23,28,22,26,12,28,1
7/1/2010 16:00,24,9,NE,Sunny,0.0,82,10,1012,21,27,22,25,12,27,1
7/1/2010 17:00,24,9,ENE,Sunny,0.0,84,10,1012,18,27,22,24,12,27,1
7/1/2010 18:00,23,9,ENE,Sunny,0.0,87,10,1012,16,26,22,24,12,26,1
7/1/2010 19:00,23,9,ENE,Clear,0.0,88,10,1013,21,26,21,24,12,26,1
7/1/2010 20:00,23,8,ENE,Partly cloudy,0.0,90,10,1013,26,25,21,23,12,25,1
7/1/2010 21:00,22,8,ENE,Partly cloudy,0.0,91,10,1014,31,25,21,23,12,25,1
7/1/2010 22:00,23,7,NE,Partly cloudy,0.0,92,10,1013,33,26,22,23,9,26,1
7/1/2010 23:00,23,5,NNE,Partly cloudy,0.0,92,10,1012,35,26,22,24,7,26,1
8/1/2010 00:00,23,3,N,Partly cloudy,0.0,93,10,1011,37,27,23,24,5,27,1
8/1/2010 01:00,23,5,NNE,Partly cloudy,0.0,93,10,1012,40,26,23,24,6,26,1
8/1/2010 02:00,23,6,NNE,Partly cloudy,0.0,93,10,1012,43,26,22,24,8,26,1
8/1/2010 03:00,23,8,NNE,Partly cloudy,0.0,93,10,1012,46,26,22,23,10,26,1
8/1/2010 04:00,22,8,NE,Partly cloudy,0.0,92,10,1013,41,25,22,23,11,25,1
8/1/2010 05:00,22,9,NE,Partly cloudy,0.0,91,10,1013,36,25,21,23,12,25,1
8/1/2010 06:00,22,9,NE,Partly cloudy,0.0,90,10,1014,31,25,21,23,12,25,1
8/1/2010 07:00,23,9,NE,Partly cloudy,0.0,87,10,1014,34,26,21,23,12,26,1
8/1/2010 08:00,23,9,ENE,Partly cloudy,0.0,84,10,1014,38,26,21,24,11,26,1
8/1/2010 09:00,24,9,ENE,Partly cloudy,0.0,81,10,1014,41,26,21,24,11,26,1
8/1/2010 10:00,25,8,ENE,Partly cloudy,0.0,78,10,1013,31,28,22,26,10,28,1
8/1/2010 11:00,26,8,ENE,Sunny,0.0,75,10,1012,22,30,22,27,9,30,1
8/1/2010 12:00,27,7,E,Sunny,0.0,73,10,1011,13,32,23,28,8,32,1
8/1/2010 13:00,27,8,E,Sunny,0.0,73,10,1011,11,31,23,28,10,31,1
8/1/2010 14:00,27,9,E,Sunny,0.0,73,10,1011,9,31,22,28,11,31,1
8/1/2010 15:00,26,10,E,Sunny,0.0,73,10,1011,7,30,22,27,13,30,1
8/1/2010 16:00,25,11,E,Sunny,0.0,78,10,1011,8,29,22,26,14,29,1
8/1/2010 17:00,24,11,E,Sunny,0.0,83,10,1012,9,27,22,25,15,27,1
8/1/2010 18:00,23,11,E,Sunny,0.0,87,10,1012,10,26,22,24,16,26,1
8/1/2010 19:00,23,10,E,Clear,0.0,88,10,1013,13,26,22,24,15,26,1
8/1/2010 20:00,23,9,E,Clear,0.0,90,10,1013,16,26,21,23,14,26,1
8/1/2010 21:00,22,9,ENE,Clear,0.0,91,10,1013,19,25,21,23,13,25,1
8/1/2010 22:00,22,7,ENE,Clear,0.0,91,10,1013,18,26,22,23,11,26,1
8/1/2010 23:00,22,6,NE,Clear,0.0,91,10,1012,16,26,22,24,9,26,1
9/1/2010 00:00,22,5,NNE,Clear,0.0,92,10,1011,15,26,22,24,7,26,1
9/1/2010 01:00,22,6,NNE,Clear,0.0,92,7,1012,17,26,22,24,9,26,1
9/1/2010 02:00,22,7,NNE,Mist,0.0,93,5,1012,20,26,22,23,11,26,1
9/1/2010 03:00,22,8,NE,Mist,0.0,94,2,1012,23,25,22,23,12,25,1
9/1/2010 04:00,23,8,NE,Mist,0.0,91,5,1012,19,26,22,23,11,26,1
9/1/2010 05:00,23,8,NE,Clear,0.0,88,7,1013,16,26,22,24,10,26,1
9/1/2010 06:00,24,8,NE,Clear,0.0,85,10,1013,12,27,22,25,10,27,1
9/1/2010 07:00,25,8,ENE,Sunny,0.0,80,10,1013,12,28,22,26,9,28,1
9/1/2010 08:00,26,8,ENE,Sunny,0.0,75,10,1013,11,30,22,27,9,30,1
9/1/2010 09:00,27,8,ENE,Sunny,0.0,70,10,1013,11,32,22,28,9,32,1
9/1/2010 10:00,28,8,ENE,Sunny,0.0,70,10,1012,23,32,23,28,9,32,1
9/1/2010 11:00,28,8,ENE,Partly cloudy,0.0,71,10,1011,35,32,23,29,10,32,1
9/1/2010 12:00,28,8,NE,Partly cloudy,0.0,71,10,1010,47,33,23,29,10,33,1
9/1/2010 13:00,27,9,ENE,Partly cloudy,0.0,72,10,1011,36,31,23,28,11,31,1
9/1/2010 14:00,27,10,ENE,Sunny,0.0,74,10,1011,25,30,22,27,13,30,1
9/1/2010 15:00,26,11,ENE,Sunny,0.0,76,10,1011,15,29,22,27,14,29,1
9/1/2010 16:00,25,12,ENE,Sunny,0.0,80,10,1012,17,28,22,26,16,28,1
9/1/2010 17:00,24,12,ENE,Sunny,0.0,84,10,1012,19,27,22,25,17,27,1
9/1/2010 18:00,23,13,ENE,Sunny,0.0,88,10,1013,21,26,22,24,19,26,1
9/1/2010 19:00,23,12,ENE,Clear,0.0,89,10,1013,23,26,22,24,17,26,1
9/1/2010 20:00,23,11,ENE,Partly cloudy,0.0,89,10,1013,25,26,21,23,16,26,1
9/1/2010 21:00,23,10,ENE,Partly cloudy,0.0,90,10,1014,27,25,21,23,14,25,1
9/1/2010 22:00,23,10,NE,Partly cloudy,0.0,91,10,1013,36,26,22,23,14,26,1
9/1/2010 23:00,23,9,NE,Partly cloudy,0.0,92,10,1013,45,26,22,23,13,26,1
10/1/2010 00:00,23,8,NE,Partly cloudy,0.0,93,10,1012,54,26,22,24,12,26,1
10/1/2010 01:00,23,9,NE,Partly cloudy,0.0,93,10,1012,55,26,22,23,12,26,1
10/1/2010 02:00,23,9,NE,Partly cloudy,0.0,94,10,1012,56,26,22,23,13,26,1
10/1/2010 03:00,23,9,NE,Partly cloudy,0.0,94,10,1012,57,25,22,23,13,25,1
