Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2013 00:00,21,1,NNE,Cloudy,0.0,94,10,1009,68,24,21,22,3,22,1
1/1/2013 01:00,21,2,NE,Cloudy,0.0,94,7,1009,70,24,21,22,4,22,1
1/1/2013 02:00,21,3,NE,Mist,0.0,94,5,1009,72,24,21,22,5,22,1
1/1/2013 03:00,21,4,NE,Mist,0.0,94,2,1009,74,24,20,21,7,21,1
1/1/2013 04:00,22,3,NE,Mist,0.0,91,5,1010,65,25,21,22,5,22,1
1/1/2013 05:00,23,2,NE,Partly cloudy,0.0,89,7,1010,56,26,21,23,3,26,1
1/1/2013 06:00,24,1,NE,Partly cloudy,0.0,86,10,1011,47,26,22,24,2,26,1
1/1/2013 07:00,25,2,NNE,Partly cloudy,0.0,79,10,1011,47,28,22,26,3,28,1
1/1/2013 08:00,27,3,NNE,Partly cloudy,0.0,72,10,1011,46,30,21,27,4,30,1
1/1/2013 09:00,28,4,NNE,Partly cloudy,0.0,65,10,1011,46,31,21,29,5,31,1
1/1/2013 10:00,28,3,ESE,Partly cloudy,0.0,63,10,1011,48,31,21,29,4,31,1
1/1/2013 11:00,28,3,SW,Partly cloudy,0.0,61,10,1010,50,31,21,29,3,31,1
1/1/2013 12:00,29,2,NNW,Partly cloudy,0.1,60,10,1009,52,31,20,29,2,31,1
1/1/2013 13:00,27,2,WNW,Partly cloudy,0.0,66,10,1009,47,30,21,28,3,30,1
1/1/2013 14:00,26,2,SW,Partly cloudy,0.0,73,10,1009,43,29,21,27,3,29,1
1/1/2013 15:00,25,2,S,Partly cloudy,0.0,80,10,1009,38,27,22,25,3,27,1
1/1/2013 16:00,24,2,SE,Partly cloudy,0.0,84,10,1009,38,27,21,24,3,27,1
1/1/2013 17:00,23,2,E,Patchy rain possible,0.1,87,9,1010,37,26,21,24,4,26,1
1/1/2013 18:00,22,3,NE,Patchy rain possible,0.1,91,9,1010,36,25,21,23,5,25,1
1/1/2013 19:00,22,3,NE,Patchy rain possible,0.0,92,9,1010,37,25,21,22,5,22,1
1/1/2013 20:00,22,3,NE,Partly cloudy,0.0,92,10,1011,38,25,21,22,6,22,1
1/1/2013 21:00,21,4,ENE,Partly cloudy,0.0,93,10,1011,39,24,21,22,7,22,1
1/1/2013 22:00,21,3,ENE,Partly cloudy,0.0,93,10,1011,42,24,20,22,7,22,1
1/1/2013 23:00,21,3,ENE,Partly cloudy,0.0,94,10,1010,45,24,20,21,6,21,1
2/1/2013 00:00,20,3,ENE,Partly cloudy,0.0,94,10,1010,49,24,20,21,6,21,1
