Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,25,8,WNW,Partly cloudy,0.0,87,10,1010,59,27,23,25,13,27,1
1/1/2017 01:00,25,8,WNW,Partly cloudy,0.0,86,10,1010,62,27,22,25,13,27,1
1/1/2017 02:00,25,7,WNW,Light rain shower,0.6,85,10,1009,64,27,22,25,13,27,1
1/1/2017 03:00,25,7,WNW,Light rain shower,0.9,83,10,1009,67,27,22,25,12,27,1
1/1/2017 04:00,25,7,WNW,Light rain shower,0.4,83,9,1009,65,27,22,25,11,27,1
1/1/2017 05:00,25,6,WNW,Moderate or heavy rain shower,0.9,83,8,1009,63,27,22,25,10,27,1
1/1/2017 06:00,25,5,WNW,Moderate or heavy rain shower,1.2,83,7,1009,60,28,22,25,9,28,1
1/1/2017 07:00,27,5,WNW,Moderate or heavy rain shower,0.6,77,8,1010,59,30,23,27,7,30,1
1/1/2017 08:00,29,4,NW,Light rain shower,0.6,70,9,1010,57,33,23,29,6,33,1
1/1/2017 09:00,31,3,NW,Light rain shower,0.8,63,10,1010,55,36,23,31,4,36,1
1/1/2017 10:00,30,4,WSW,Light rain shower,0.4,64,10,1010,48,36,23,31,5,36,1
1/1/2017 11:00,30,5,S,Partly cloudy,0.0,64,10,1009,41,35,23,31,6,35,1
1/1/2017 12:00,30,6,E,Partly cloudy,0.0,65,10,1009,33,35,23,31,7,35,1
1/1/2017 13:00,30,5,ESE,Partly cloudy,0.0,67,10,1008,37,35,23,30,7,35,1
1/1/2017 14:00,29,5,ESE,Partly cloudy,0.0,69,10,1008,40,35,24,30,7,35,1
1/1/2017 15:00,29,5,SE,Partly cloudy,0.0,72,10,1007,44,34,24,30,6,34,1
1/1/2017 16:00,28,4,SE,Partly cloudy,0.0,75,10,1007,44,33,24,29,6,33,1
1/1/2017 17:00,28,3,SE,Partly cloudy,0.0,78,10,1008,45,32,24,28,6,32,1
1/1/2017 18:00,27,3,SE,Partly cloudy,0.0,82,10,1008,45,31,24,27,5,31,1
1/1/2017 19:00,26,4,SSE,Partly cloudy,0.0,84,9,1008,52,30,24,27,8,30,1
1/1/2017 20:00,26,5,SSE,Moderate or heavy rain shower,1.4,86,8,1009,58,29,24,26,10,29,1
1/1/2017 21:00,25,6,S,Moderate or heavy rain shower,1.8,88,7,1009,65,28,23,26,12,28,1
1/1/2017 22:00,25,6,SSW,Moderate or heavy rain shower,0.9,88,8,1009,55,28,23,25,12,28,1
1/1/2017 23:00,25,6,SSW,Partly cloudy,0.0,88,9,1010,46,28,23,25,12,28,1
2/1/2017 00:00,24,6,SSW,Partly cloudy,0.0,88,10,1010,36,27,23,25,12,27,1
2/1/2017 01:00,24,6,SSW,Partly cloudy,0.0,88,10,1010,38,27,22,25,12,27,1
2/1/2017 02:00,24,6,SSW,Patchy rain possible,0.2,88,9,1009,40,27,22,25,13,27,1
2/1/2017 03:00,24,6,SSW,Patchy rain possible,0.2,88,9,1009,43,27,22,25,13,27,1
2/1/2017 04:00,24,6,SSW,Patchy rain possible,0.1,86,9,1009,56,27,22,25,12,27,1
2/1/2017 05:00,25,6,SSW,Cloudy,0.0,84,10,1009,69,28,22,25,10,28,1
2/1/2017 06:00,25,5,SSW,Cloudy,0.0,83,10,1010,83,28,22,26,9,28,1
2/1/2017 07:00,27,6,S,Cloudy,0.0,77,10,1010,72,30,22,27,9,30,1
2/1/2017 08:00,28,7,S,Partly cloudy,0.0,72,10,1010,61,31,22,28,9,31,1
2/1/2017 09:00,29,7,S,Partly cloudy,0.0,66,10,1010,50,33,22,29,8,33,1
2/1/2017 10:00,30,6,SE,Partly cloudy,0.0,64,10,1010,50,34,23,30,7,34,1
2/1/2017 11:00,31,6,ESE,Partly cloudy,0.0,63,10,1010,49,35,23,31,6,35,1
2/1/2017 12:00,31,5,E,Partly cloudy,0.0,61,10,1009,49,37,23,32,5,37,1
2/1/2017 13:00,31,5,ENE,Partly cloudy,0.0,62,10,1009,50,36,23,31,7,36,1
2/1/2017 14:00,31,6,NE,Partly cloudy,0.0,64,10,1008,50,36,23,31,8,36,1
2/1/2017 15:00,30,7,NE,Partly cloudy,0.0,66,10,1007,51,35,23,31,9,35,1
2/1/2017 16:00,29,7,SE,Partly cloudy,0.0,72,10,1008,62,33,23,29,10,33,1
2/1/2017 17:00,28,8,WSW,Cloudy,0.0,78,10,1008,72,31,23,28,12,31,1
2/1/2017 18:00,26,8,N,Cloudy,0.0,84,10,1008,82,30,23,26,14,30,1
2/1/2017 19:00,26,7,NNW,Cloudy,0.0,84,10,1009,80,29,23,26,12,29,1
2/1/2017 20:00,26,6,NW,Light rain shower,0.7,85,10,1009,77,29,23,26,11,29,1
2/1/2017 21:00,26,6,NW,Light rain shower,0.9,85,10,1010,75,29,23,26,10,29,1
2/1/2017 22:00,25,6,WNW,Light rain shower,0.5,86,10,1010,66,28,23,25,11,28,1
2/1/2017 23:00,25,6,W,Partly cloudy,0.0,87,10,1010,57,28,23,25,11,28,1
3/1/2017 00:00,25,7,WSW,Partly cloudy,0.0,88,10,1010,48,27,23,25,12,27,1
3/1/2017 01:00,24,7,WSW,Partly cloudy,0.0,89,10,1010,53,27,23,25,12,27,1
3/1/2017 02:00,24,7,WSW,Cloudy,0.0,89,10,1009,58,27,23,25,12,27,1
3/1/2017 03:00,24,6,WSW,Cloudy,0.0,89,10,1009,63,27,23,25,12,27,1
3/1/2017 04:00,24,6,WSW,Cloudy,0.0,88,10,1009,76,27,23,25,10,27,1
3/1/2017 05:00,25,5,WSW,Overcast,0.0,88,10,1009,88,28,23,25,8,28,1
3/1/2017 06:00,25,4,WSW,Overcast,0.0,87,10,1010,100,28,23,25,6,28,1
3/1/2017 07:00,25,4,SSW,Overcast,0.0,87,7,1010,100,28,23,25,5,28,1
3/1/2017 08:00,25,4,SSE,Light drizzle,0.1,86,5,1011,100,29,23,26,5,29,1
3/1/2017 09:00,26,4,ESE,Light drizzle,0.1,85,2,1011,100,29,23,26,5,29,1
3/1/2017 10:00,27,4,ESE,Light drizzle,0.0,80,5,1010,84,31,23,27,6,31,1
3/1/2017 11:00,29,5,ESE,Partly cloudy,0.0,74,7,1010,68,33,24,29,6,33,1
3/1/2017 12:00,30,5,ESE,Partly cloudy,0.0,69,10,1009,52,35,24,30,6,35,1
