Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,21,11,NNE,Clear,0.0,88,10,1012,0,25,21,23,17,23,1
1/1/2009 01:00,21,10,ESE,Clear,0.0,90,10,1012,0,26,22,23,15,23,1
1/1/2009 02:00,21,9,SW,Clear,0.0,91,10,1012,0,26,22,23,13,23,1
1/1/2009 03:00,20,8,NNW,Clear,0.0,93,10,1012,0,26,22,23,10,23,1
1/1/2009 04:00,21,9,NNW,Clear,0.0,90,10,1013,2,26,22,24,12,24,1
1/1/2009 05:00,22,11,NNW,Clear,0.0,86,10,1013,4,26,21,24,14,26,1
1/1/2009 06:00,23,13,NNW,Clear,0.0,83,10,1014,6,26,21,24,16,26,1
1/1/2009 07:00,25,13,SW,Sunny,0.0,78,10,1014,12,27,21,25,15,27,1
1/1/2009 08:00,26,13,ESE,Sunny,0.0,72,10,1014,17,29,21,26,15,29,1
1/1/2009 09:00,28,13,NNE,Sunny,0.0,67,10,1014,22,30,21,28,15,30,1
1/1/2009 10:00,28,13,NNE,Sunny,0.0,66,10,1013,17,30,21,28,15,30,1
1/1/2009 11:00,28,14,NNE,Sunny,0.0,64,10,1012,13,31,21,28,16,31,1
1/1/2009 12:00,28,15,NE,Sunny,0.0,63,10,1012,8,31,21,29,17,31,1
1/1/2009 13:00,27,14,NE,Sunny,0.0,68,10,1011,6,30,21,28,17,30,1
1/1/2009 14:00,26,13,NE,Sunny,0.0,73,10,1011,4,30,22,27,17,30,1
1/1/2009 15:00,25,12,ENE,Sunny,0.0,78,10,1011,2,29,22,27,17,29,1
1/1/2009 16:00,25,12,ENE,Sunny,0.0,80,10,1012,1,28,22,26,18,28,1
1/1/2009 17:00,24,12,ENE,Sunny,0.0,83,10,1012,1,28,22,25,19,28,1
1/1/2009 18:00,23,12,ENE,Sunny,0.0,85,10,1013,0,27,22,25,20,27,1
1/1/2009 19:00,23,12,NE,Clear,0.0,86,10,1013,0,26,22,24,21,26,1
1/1/2009 20:00,23,12,NE,Clear,0.0,87,10,1013,0,26,21,24,23,26,1
1/1/2009 21:00,23,13,NE,Clear,0.0,88,10,1013,0,25,21,23,24,25,1
