Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,20,6,SSE,Clear,0.0,92,10,1013,0,20,19,20,12,20,1
1/1/2017 01:00,20,6,SSE,Clear,0.0,91,10,1012,0,21,19,21,13,21,1
1/1/2017 02:00,20,6,SSE,Clear,0.0,89,10,1012,0,21,19,21,13,21,1
1/1/2017 03:00,20,6,SSE,Clear,0.0,87,10,1011,0,21,19,21,14,21,1
1/1/2017 04:00,20,6,SSE,Clear,0.0,86,10,1011,0,21,18,21,14,21,1
1/1/2017 05:00,20,6,SSE,Clear,0.0,85,10,1011,0,21,18,21,14,21,1
1/1/2017 06:00,20,6,SSE,Clear,0.0,84,10,1011,0,20,18,20,14,20,1
1/1/2017 07:00,21,7,SSE,Sunny,0.0,78,10,1011,0,22,17,22,13,22,1
1/1/2017 08:00,22,7,SSE,Sunny,0.0,72,10,1012,0,24,17,23,12,24,1
1/1/2017 09:00,24,8,SSE,Sunny,0.0,65,10,1012,0,26,17,24,12,26,1
1/1/2017 10:00,26,7,SSE,Sunny,0.0,60,10,1012,0,28,18,27,9,28,1
1/1/2017 11:00,28,6,SSE,Sunny,0.0,54,10,1012,0,31,19,29,7,31,1
1/1/2017 12:00,30,4,SSE,Sunny,0.0,48,10,1012,0,34,19,32,5,34,1
1/1/2017 13:00,30,4,SE,Sunny,0.0,48,10,1011,0,34,20,32,5,34,1
1/1/2017 14:00,30,4,ESE,Sunny,0.0,49,10,1011,0,35,20,32,4,35,1
1/1/2017 15:00,30,4,ENE,Sunny,0.0,49,10,1010,0,35,20,32,4,35,1
1/1/2017 16:00,27,4,E,Sunny,0.0,62,10,1010,0,32,20,29,6,32,1
1/1/2017 17:00,25,4,E,Sunny,0.0,75,10,1010,0,29,21,26,7,29,1
1/1/2017 18:00,22,4,E,Sunny,0.0,88,10,1011,0,25,21,23,8,23,1
1/1/2017 19:00,22,4,ESE,Clear,0.0,87,10,1011,0,25,21,23,9,23,1
1/1/2017 20:00,22,5,ESE,Clear,0.0,86,10,1012,0,25,20,23,10,23,1
1/1/2017 21:00,22,5,SE,Clear,0.0,85,10,1013,0,25,20,23,11,23,1
1/1/2017 22:00,21,5,SE,Clear,0.0,84,10,1013,0,25,20,22,11,22,1
1/1/2017 23:00,21,6,SSE,Clear,0.0,83,10,1013,0,25,19,22,12,22,1
2/1/2017 00:00,21,6,SSE,Clear,0.0,82,10,1013,0,24,19,22,13,22,1
