Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2013 00:00,27,8,SSW,Partly cloudy,0.0,78,10,1006,54,30,23,27,12,30,1
1/1/2013 01:00,27,8,SSW,Partly cloudy,0.0,78,10,1006,50,30,23,27,12,30,1
1/1/2013 02:00,27,8,SSW,Partly cloudy,0.0,78,10,1006,46,30,23,27,12,30,1
1/1/2013 03:00,27,8,SSW,Partly cloudy,0.0,79,10,1006,42,30,23,27,12,30,1
1/1/2013 04:00,27,9,SSW,Partly cloudy,0.0,78,10,1007,45,31,23,27,12,31,1
1/1/2013 05:00,27,9,SW,Partly cloudy,0.0,78,10,1007,48,31,23,27,11,31,1
1/1/2013 06:00,27,9,SW,Partly cloudy,0.0,78,10,1007,50,31,23,28,11,31,1
1/1/2013 07:00,27,10,SW,Partly cloudy,0.0,77,10,1008,50,31,23,28,13,31,1
1/1/2013 08:00,28,12,SW,Partly cloudy,0.0,77,10,1008,50,32,24,28,14,32,1
1/1/2013 09:00,28,13,SW,Partly cloudy,0.0,76,10,1008,49,33,24,28,16,33,1
1/1/2013 10:00,28,14,SW,Partly cloudy,0.0,77,10,1007,55,32,24,28,18,32,1
1/1/2013 11:00,28,16,WSW,Cloudy,0.0,77,10,1007,60,32,24,28,20,32,1
1/1/2013 12:00,28,17,WSW,Cloudy,0.0,78,10,1006,66,32,24,28,22,32,1
1/1/2013 13:00,28,16,WSW,Cloudy,0.0,79,10,1006,64,32,24,28,21,32,1
1/1/2013 14:00,28,16,WSW,Partly cloudy,0.0,80,10,1006,63,32,24,28,21,32,1
1/1/2013 15:00,27,15,WSW,Partly cloudy,0.0,81,10,1005,61,31,24,28,20,31,1
1/1/2013 16:00,27,12,WSW,Partly cloudy,0.0,81,10,1006,55,31,24,27,17,31,1
1/1/2013 17:00,27,10,W,Partly cloudy,0.0,82,10,1007,49,31,24,27,14,31,1
1/1/2013 18:00,27,8,W,Partly cloudy,0.0,83,10,1007,43,30,24,27,11,30,1
1/1/2013 19:00,26,8,W,Partly cloudy,0.0,83,10,1007,46,30,24,27,11,30,1
1/1/2013 20:00,26,8,W,Light rain shower,0.7,82,10,1007,49,30,23,27,12,30,1
1/1/2013 21:00,26,8,W,Light rain shower,0.9,82,10,1007,52,30,23,27,13,30,1
1/1/2013 22:00,26,9,W,Light rain shower,0.5,83,10,1007,58,30,23,27,14,30,1
1/1/2013 23:00,26,10,W,Cloudy,0.0,83,10,1007,64,30,23,27,15,30,1
2/1/2013 00:00,26,11,W,Cloudy,0.0,84,10,1007,71,30,24,26,16,30,1
2/1/2013 01:00,26,12,WSW,Cloudy,0.0,85,10,1007,63,30,24,26,17,30,1
2/1/2013 02:00,26,13,WSW,Patchy rain possible,0.1,85,9,1007,56,29,24,26,18,29,1
2/1/2013 03:00,26,13,WSW,Patchy rain possible,0.2,85,9,1007,49,29,24,26,19,29,1
2/1/2013 04:00,26,14,WSW,Patchy rain possible,0.1,85,9,1007,48,30,24,26,19,30,1
2/1/2013 05:00,26,14,WSW,Patchy rain possible,0.2,85,9,1007,47,30,24,27,19,30,1
2/1/2013 06:00,27,14,WSW,Patchy rain possible,0.2,84,9,1008,45,30,24,27,19,30,1
2/1/2013 07:00,27,13,WSW,Patchy rain possible,0.1,83,8,1008,51,31,24,27,18,31,1
2/1/2013 08:00,27,11,SW,Moderate or heavy rain shower,1.3,81,8,1008,56,32,24,28,17,32,1
2/1/2013 09:00,28,9,SW,Moderate or heavy rain shower,1.8,80,7,1008,62,32,24,28,16,32,1
2/1/2013 10:00,28,10,SW,Moderate or heavy rain shower,0.9,80,8,1008,57,32,24,28,15,32,1
2/1/2013 11:00,27,10,WSW,Partly cloudy,0.0,80,9,1007,52,32,24,28,14,32,1
2/1/2013 12:00,27,10,WSW,Partly cloudy,0.0,79,10,1007,46,32,24,28,12,32,1
2/1/2013 13:00,27,9,WSW,Partly cloudy,0.0,80,9,1007,48,31,24,27,13,31,1
2/1/2013 14:00,27,8,W,Moderate or heavy rain shower,1.8,81,8,1007,50,31,24,27,13,31,1
2/1/2013 15:00,27,7,WNW,Moderate or heavy rain shower,2.4,82,7,1007,52,31,24,27,13,31,1
2/1/2013 16:00,26,8,WNW,Moderate or heavy rain shower,1.2,83,8,1007,52,30,24,27,13,30,1
