Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2018 00:00,21,1,ENE,Mist,0.0,95,2,1009,27,21,20,21,2,21,1
1/1/2018 01:00,21,1,ENE,Mist,0.0,95,2,1009,25,21,20,21,2,21,1
1/1/2018 02:00,21,1,NE,Mist,0.0,95,2,1009,24,21,20,21,2,21,1
1/1/2018 03:00,21,1,NE,Mist,0.0,95,2,1009,22,21,20,21,2,21,1
1/1/2018 04:00,22,2,NE,Mist,0.0,90,5,1009,19,23,20,22,4,23,1
1/1/2018 05:00,23,4,NNE,Clear,0.0,85,7,1010,15,25,21,23,5,25,1
1/1/2018 06:00,25,5,NNE,Clear,0.0,80,10,1010,12,27,21,25,7,27,1
1/1/2018 07:00,26,6,ESE,Sunny,0.0,72,10,1010,10,28,20,26,7,28,1
1/1/2018 08:00,28,6,SW,Sunny,0.0,63,10,1010,9,30,20,28,8,30,1
1/1/2018 09:00,29,7,NNW,Sunny,0.0,55,10,1010,7,31,19,29,8,31,1
1/1/2018 10:00,30,7,NNW,Sunny,0.0,53,10,1010,11,32,19,30,9,32,1
1/1/2018 11:00,30,8,NNW,Sunny,0.0,52,10,1009,14,32,19,30,9,32,1
1/1/2018 12:00,31,8,NNW,Sunny,0.0,51,10,1008,18,33,19,31,9,33,1
1/1/2018 13:00,29,7,NNW,Sunny,0.0,56,10,1008,17,32,20,30,9,32,1
1/1/2018 14:00,28,6,NNW,Sunny,0.0,62,10,1008,17,30,20,28,8,30,1
1/1/2018 15:00,27,4,N,Sunny,0.0,67,10,1008,17,29,21,27,8,29,1
1/1/2018 16:00,26,4,WSW,Sunny,0.0,72,10,1008,16,28,20,26,9,28,1
1/1/2018 17:00,25,5,SE,Sunny,0.0,76,10,1009,15,27,20,25,9,27,1
1/1/2018 18:00,23,5,NNE,Sunny,0.0,80,10,1010,14,25,20,23,9,25,1
