Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,25,27,NNE,Clear,0.0,83,10,1013,18,27,22,25,42,27,1
1/1/2016 01:00,25,25,NNE,Clear,0.0,84,10,1013,25,27,22,25,40,27,1
1/1/2016 02:00,24,24,NE,Partly cloudy,0.0,85,10,1013,32,27,22,24,38,27,1
1/1/2016 03:00,24,23,NE,Partly cloudy,0.0,86,10,1013,39,27,22,24,36,27,1
1/1/2016 04:00,25,23,NE,Partly cloudy,0.0,82,10,1014,33,28,22,25,33,28,1
1/1/2016 05:00,26,22,NE,Clear,0.0,78,10,1014,26,29,22,26,31,29,1
1/1/2016 06:00,27,22,NE,Clear,0.0,73,10,1015,19,30,22,27,29,30,1
1/1/2016 07:00,29,22,NE,Sunny,0.0,67,10,1015,35,32,22,29,27,32,1
1/1/2016 08:00,30,21,NE,Cloudy,0.0,61,10,1015,51,33,22,30,25,33,1
1/1/2016 09:00,31,20,NNE,Cloudy,0.0,55,10,1015,67,35,22,32,23,35,1
1/1/2016 10:00,31,21,NNE,Cloudy,0.0,57,10,1014,57,35,22,31,25,35,1
1/1/2016 11:00,31,22,NNE,Patchy rain possible,0.2,58,9,1013,47,36,22,31,27,36,1
1/1/2016 12:00,31,23,NNE,Patchy rain possible,0.3,60,9,1013,37,36,23,31,29,36,1
1/1/2016 13:00,30,22,NNE,Patchy rain possible,0.1,65,9,1013,32,35,23,30,30,35,1
1/1/2016 14:00,29,20,NNE,Sunny,0.0,70,10,1013,27,33,23,29,31,33,1
1/1/2016 15:00,28,18,NNE,Sunny,0.0,76,10,1013,22,32,24,28,32,32,1
1/1/2016 16:00,27,21,NNE,Sunny,0.0,78,10,1014,19,31,23,27,37,31,1
1/1/2016 17:00,26,24,NE,Patchy rain possible,0.2,80,9,1014,16,29,23,26,43,29,1
1/1/2016 18:00,25,27,NE,Patchy rain possible,0.3,83,9,1015,14,28,22,25,48,28,1
1/1/2016 19:00,25,27,NNE,Patchy rain possible,0.2,83,9,1015,12,27,22,25,46,27,1
1/1/2016 20:00,25,26,NNE,Clear,0.0,84,10,1016,11,27,22,25,43,27,1
1/1/2016 21:00,25,25,NNE,Clear,0.0,84,10,1016,10,27,22,25,41,27,1
1/1/2016 22:00,24,25,NNE,Clear,0.0,85,10,1015,12,27,22,24,40,27,1
1/1/2016 23:00,24,25,NNE,Clear,0.0,85,10,1015,13,27,22,24,40,27,1
2/1/2016 00:00,24,24,NNE,Clear,0.0,85,10,1014,15,26,22,24,39,26,1
2/1/2016 01:00,24,24,NNE,Clear,0.0,85,10,1015,17,26,22,24,38,26,1
