Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,14,7,NE,Light drizzle,0.7,99,7,1015,100,14,13,13,15,13,1
1/1/2019 01:00,13,7,NE,Light drizzle,0.4,99,5,1015,100,13,13,13,15,13,1
1/1/2019 02:00,13,7,NE,Light drizzle,0.1,99,4,1015,99,13,13,13,14,13,1
1/1/2019 03:00,13,6,NE,Light drizzle,0.1,99,2,1015,99,13,13,13,13,13,1
1/1/2019 04:00,13,6,NE,Light drizzle,0.1,98,3,1015,96,13,13,13,13,13,1
1/1/2019 05:00,13,6,NE,Patchy rain possible,0.1,98,4,1015,94,13,13,13,13,13,1
1/1/2019 06:00,14,6,NE,Patchy rain possible,0.1,97,5,1015,91,14,13,14,13,14,1
1/1/2019 07:00,14,6,NE,Patchy rain possible,0.1,95,6,1016,86,14,13,14,12,14,1
1/1/2019 08:00,15,6,NE,Patchy light drizzle,0.1,92,7,1016,82,15,14,15,12,15,1
1/1/2019 09:00,16,6,NE,Patchy light drizzle,0.1,90,8,1016,77,16,14,16,11,16,1
1/1/2019 10:00,16,6,NE,Patchy light drizzle,0.0,88,7,1016,77,16,14,16,10,16,1
1/1/2019 11:00,17,5,NE,Light drizzle,0.1,87,5,1015,76,17,15,17,8,17,1
1/1/2019 12:00,17,4,NE,Light drizzle,0.2,86,4,1015,76,17,15,17,7,17,1
1/1/2019 13:00,17,4,NE,Light drizzle,0.1,88,4,1014,79,17,15,17,8,17,1
1/1/2019 14:00,16,5,NE,Light rain,0.3,91,4,1014,82,16,15,16,8,16,1
1/1/2019 15:00,16,5,NE,Light rain,0.4,93,4,1013,86,16,15,16,9,16,1
1/1/2019 16:00,15,5,NE,Light rain,0.2,95,5,1014,90,15,15,16,9,16,1
1/1/2019 17:00,15,5,NE,Light drizzle,0.4,96,6,1014,95,15,14,15,10,15,1
1/1/2019 18:00,15,5,NE,Light drizzle,0.6,98,7,1014,100,15,14,15,11,15,1
1/1/2019 19:00,14,5,NE,Light drizzle,0.3,98,6,1015,100,14,14,15,11,15,1
1/1/2019 20:00,14,6,NE,Light rain,0.2,99,5,1015,100,14,14,15,12,15,1
1/1/2019 21:00,14,6,ENE,Light rain,0.3,99,4,1016,100,14,14,14,12,14,1
1/1/2019 22:00,14,5,ENE,Light rain,0.2,99,5,1015,100,14,14,14,11,14,1
