Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2014 00:00,21,8,ENE,Mist,0.0,97,2,1011,80,21,20,21,15,21,1
1/1/2014 01:00,21,8,ENE,Mist,0.0,96,5,1011,79,22,20,21,15,21,1
1/1/2014 02:00,21,8,NE,Cloudy,0.0,95,7,1011,78,23,20,21,15,21,1
1/1/2014 03:00,22,8,NE,Cloudy,0.0,93,10,1011,77,24,20,22,15,22,1
1/1/2014 04:00,23,10,NE,Cloudy,0.0,88,10,1012,68,25,20,23,16,25,1
1/1/2014 05:00,24,13,NE,Partly cloudy,0.0,82,10,1013,59,26,20,24,18,26,1
1/1/2014 06:00,25,15,NE,Partly cloudy,0.0,77,10,1014,50,27,20,25,19,27,1
1/1/2014 07:00,26,17,NE,Partly cloudy,0.0,69,10,1013,55,28,20,26,21,28,1
1/1/2014 08:00,27,18,ENE,Cloudy,0.0,62,10,1013,60,29,19,27,22,29,1
1/1/2014 09:00,29,20,ENE,Cloudy,0.0,54,10,1013,64,30,19,29,23,30,1
1/1/2014 10:00,29,21,ENE,Cloudy,0.0,53,10,1012,49,30,18,29,24,30,1
1/1/2014 11:00,29,21,ENE,Sunny,0.0,51,10,1011,33,31,18,29,24,31,1
1/1/2014 12:00,29,21,NE,Sunny,0.0,50,10,1010,18,31,18,30,24,31,1
1/1/2014 13:00,28,20,ENE,Sunny,0.0,55,10,1010,13,29,18,28,26,29,1
1/1/2014 14:00,27,20,ENE,Sunny,0.0,60,10,1010,9,28,18,27,28,28,1
1/1/2014 15:00,25,19,ENE,Sunny,0.0,66,10,1010,5,27,18,25,29,27,1
1/1/2014 16:00,24,16,ENE,Sunny,0.0,74,10,1011,13,25,19,24,27,25,1
1/1/2014 17:00,22,13,NE,Partly cloudy,0.0,82,10,1011,22,23,19,22,24,23,1
1/1/2014 18:00,21,10,NE,Partly cloudy,0.0,91,10,1012,30,21,19,21,21,21,1
1/1/2014 19:00,21,9,NE,Partly cloudy,0.0,91,10,1012,42,22,19,21,18,21,1
1/1/2014 20:00,21,8,NE,Cloudy,0.0,92,10,1012,54,23,20,21,15,21,1
1/1/2014 21:00,21,6,NE,Cloudy,0.0,92,10,1013,66,24,20,21,11,21,1
