Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2018 00:00,23,12,NE,Clear,0.0,90,10,1009,15,25,21,23,20,25,1
1/1/2018 01:00,23,12,NE,Clear,0.0,90,10,1009,17,25,21,23,20,25,1
1/1/2018 02:00,23,12,NE,Clear,0.0,91,10,1009,19,25,21,23,20,25,1
1/1/2018 03:00,23,12,ENE,Clear,0.0,91,10,1009,21,25,21,23,20,25,1
1/1/2018 04:00,23,12,NE,Clear,0.0,88,10,1009,16,26,21,23,19,26,1
1/1/2018 05:00,24,12,NE,Clear,0.0,86,10,1010,11,26,22,24,17,26,1
1/1/2018 06:00,25,12,NE,Clear,0.0,83,10,1010,6,27,22,25,16,27,1
1/1/2018 07:00,26,11,NNE,Sunny,0.0,76,10,1010,6,28,21,26,14,28,1
1/1/2018 08:00,27,9,NNE,Sunny,0.0,69,10,1010,7,29,21,27,12,29,1
1/1/2018 09:00,28,8,N,Sunny,0.0,62,10,1011,7,30,20,28,10,30,1
1/1/2018 10:00,28,9,ESE,Sunny,0.0,62,10,1010,7,30,20,28,12,30,1
1/1/2018 11:00,29,11,SW,Sunny,0.0,61,10,1009,7,31,20,29,13,31,1
1/1/2018 12:00,29,12,NNW,Sunny,0.0,61,10,1008,7,31,21,29,14,31,1
1/1/2018 13:00,28,12,NNW,Sunny,0.0,65,10,1008,7,30,21,28,15,30,1
1/1/2018 14:00,27,11,NNW,Sunny,0.0,69,10,1008,7,30,21,27,16,30,1
1/1/2018 15:00,26,11,NNW,Sunny,0.0,74,10,1008,8,29,21,26,17,29,1
1/1/2018 16:00,26,10,NNW,Sunny,0.0,75,10,1008,9,28,21,26,17,28,1
1/1/2018 17:00,25,10,NNW,Sunny,0.0,76,10,1009,10,27,21,25,17,27,1
1/1/2018 18:00,25,9,N,Sunny,0.0,78,10,1009,11,27,21,25,17,27,1
1/1/2018 19:00,25,10,WSW,Clear,0.0,78,10,1010,11,26,20,25,19,26,1
1/1/2018 20:00,24,11,SSE,Clear,0.0,78,10,1010,12,26,20,24,20,26,1
1/1/2018 21:00,24,12,ENE,Clear,0.0,79,10,1010,13,26,20,24,22,26,1
1/1/2018 22:00,24,12,ENE,Clear,0.0,79,10,1009,15,26,20,24,22,26,1
1/1/2018 23:00,24,13,ENE,Clear,0.0,80,10,1009,16,26,20,24,23,26,1
2/1/2018 00:00,23,13,E,Clear,0.0,80,10,1009,18,25,20,23,23,25,1
2/1/2018 01:00,23,12,ENE,Clear,0.0,79,10,1009,21,25,20,23,21,25,1
2/1/2018 02:00,23,11,ENE,Partly cloudy,0.0,79,10,1009,24,25,19,23,19,25,1
2/1/2018 03:00,23,9,ENE,Partly cloudy,0.0,78,10,1009,28,25,19,23,17,25,1
2/1/2018 04:00,24,9,ENE,Partly cloudy,0.0,76,10,1009,25,26,19,24,15,26,1
2/1/2018 05:00,24,9,ENE,Clear,0.0,73,10,1010,23,26,19,24,14,26,1
2/1/2018 06:00,25,9,NE,Clear,0.0,70,10,1010,21,27,19,25,13,27,1
2/1/2018 07:00,26,9,NE,Sunny,0.0,66,10,1010,26,28,19,26,12,28,1
2/1/2018 08:00,27,8,NNE,Partly cloudy,0.0,62,10,1010,31,29,19,27,11,29,1
2/1/2018 09:00,28,8,N,Partly cloudy,0.0,57,10,1010,36,30,19,28,10,30,1
2/1/2018 10:00,29,9,ESE,Partly cloudy,0.0,58,10,1010,38,31,20,29,11,31,1
2/1/2018 11:00,29,11,SW,Partly cloudy,0.0,59,10,1009,39,31,20,29,13,31,1
2/1/2018 12:00,29,12,NW,Partly cloudy,0.0,60,10,1008,41,31,21,29,15,31,1
2/1/2018 13:00,28,12,NNW,Partly cloudy,0.0,65,10,1008,36,31,21,28,16,31,1
2/1/2018 14:00,27,12,NNW,Partly cloudy,0.0,69,10,1008,31,30,21,27,17,30,1
2/1/2018 15:00,27,12,NNW,Partly cloudy,0.0,74,10,1008,26,29,21,27,19,29,1
2/1/2018 16:00,26,12,SW,Partly cloudy,0.0,76,10,1009,27,28,21,26,19,28,1
2/1/2018 17:00,26,12,ESE,Partly cloudy,0.0,77,10,1009,28,28,21,26,20,28,1
2/1/2018 18:00,25,12,N,Partly cloudy,0.0,79,10,1010,29,27,21,25,21,27,1
2/1/2018 19:00,25,12,NNE,Partly cloudy,0.0,79,10,1010,28,27,21,25,22,27,1
2/1/2018 20:00,25,13,NE,Partly cloudy,0.0,79,10,1011,27,27,21,25,22,27,1
2/1/2018 21:00,25,13,ENE,Partly cloudy,0.0,78,10,1011,26,27,21,25,23,27,1
2/1/2018 22:00,24,13,ENE,Partly cloudy,0.0,78,10,1010,24,26,20,24,23,26,1
2/1/2018 23:00,24,13,ENE,Clear,0.0,78,10,1010,23,26,20,24,23,26,1
3/1/2018 00:00,24,13,ENE,Clear,0.0,78,10,1009,21,26,20,24,24,26,1
3/1/2018 01:00,23,13,ENE,Clear,0.0,78,10,1009,21,25,19,24,23,25,1
3/1/2018 02:00,23,13,ENE,Clear,0.0,78,10,1009,20,25,19,23,23,25,1
3/1/2018 03:00,23,13,ENE,Clear,0.0,78,10,1009,19,25,19,23,23,25,1
3/1/2018 04:00,24,13,ENE,Clear,0.0,77,10,1010,20,26,19,24,21,26,1
3/1/2018 05:00,25,13,ENE,Clear,0.0,76,10,1011,22,26,20,25,20,26,1
3/1/2018 06:00,25,14,NE,Clear,0.0,75,10,1011,23,27,21,25,19,27,1
3/1/2018 07:00,26,14,NE,Sunny,0.0,71,10,1011,20,28,21,26,18,28,1
3/1/2018 08:00,27,14,NNE,Sunny,0.0,67,10,1011,18,30,21,27,17,30,1
3/1/2018 09:00,29,14,NNE,Sunny,0.0,63,10,1011,15,31,21,29,17,31,1
3/1/2018 10:00,29,15,ESE,Sunny,0.0,63,10,1011,16,31,21,29,18,31,1
3/1/2018 11:00,29,16,SW,Sunny,0.0,63,10,1010,17,32,21,29,19,32,1
3/1/2018 12:00,29,17,NNW,Sunny,0.0,64,10,1009,17,32,22,29,20,32,1
3/1/2018 13:00,28,17,NNW,Sunny,0.0,68,10,1009,15,31,22,28,23,31,1
3/1/2018 14:00,27,17,NNW,Sunny,0.0,71,10,1009,13,30,22,27,25,30,1
3/1/2018 15:00,27,17,N,Sunny,0.0,75,10,1009,10,29,22,27,28,29,1
3/1/2018 16:00,26,18,WSW,Sunny,0.0,75,10,1010,9,28,21,26,29,28,1
3/1/2018 17:00,26,18,SE,Sunny,0.0,74,10,1011,8,28,21,26,31,28,1
