Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,19,7,NE,Clear,0.0,88,10,1011,6,20,18,20,12,20,1
1/1/2009 01:00,18,7,NE,Clear,0.0,88,10,1011,6,20,17,20,12,20,1
1/1/2009 02:00,18,7,NE,Clear,0.0,89,10,1011,5,19,17,19,13,19,1
1/1/2009 03:00,17,7,NNE,Clear,0.0,89,10,1011,4,19,17,19,13,19,1
1/1/2009 04:00,19,7,NE,Clear,0.0,83,10,1012,4,21,17,20,11,20,1
1/1/2009 05:00,20,7,NE,Clear,0.0,77,10,1012,3,23,18,22,9,22,1
1/1/2009 06:00,22,6,NE,Clear,0.0,70,10,1013,3,26,18,24,7,24,1
1/1/2009 07:00,24,6,NE,Sunny,0.0,62,10,1012,4,27,18,26,6,27,1
1/1/2009 08:00,27,5,NE,Sunny,0.0,53,10,1012,6,29,17,28,6,29,1
1/1/2009 09:00,29,4,NNE,Sunny,0.0,44,10,1012,8,31,17,30,5,31,1
1/1/2009 10:00,29,3,SE,Sunny,0.0,44,10,1011,11,31,17,30,4,31,1
1/1/2009 11:00,29,3,SW,Sunny,0.0,43,10,1011,13,31,16,30,3,31,1
1/1/2009 12:00,29,2,NW,Sunny,0.0,42,10,1010,16,31,16,30,2,31,1
1/1/2009 13:00,27,2,W,Sunny,0.0,52,10,1010,19,29,17,28,3,29,1
1/1/2009 14:00,25,2,WSW,Sunny,0.0,61,10,1010,21,27,17,26,3,27,1
1/1/2009 15:00,23,2,SSW,Sunny,0.0,70,10,1010,23,26,18,24,4,26,1
1/1/2009 16:00,23,3,SSE,Sunny,0.0,72,10,1010,22,25,18,23,5,25,1
1/1/2009 17:00,22,3,ESE,Sunny,0.0,74,10,1011,21,25,18,23,6,25,1
1/1/2009 18:00,22,4,ENE,Sunny,0.0,76,10,1011,20,25,18,22,8,22,1
1/1/2009 19:00,21,5,ENE,Clear,0.0,80,10,1012,17,23,18,21,8,21,1
1/1/2009 20:00,20,5,ENE,Clear,0.0,84,10,1012,13,21,18,20,9,20,1
1/1/2009 21:00,19,5,ENE,Clear,0.0,88,10,1012,10,19,17,19,10,19,1
1/1/2009 22:00,18,6,ENE,Clear,0.0,87,10,1012,8,19,17,19,11,19,1
1/1/2009 23:00,18,6,ENE,Clear,0.0,86,10,1012,7,19,17,19,12,19,1
2/1/2009 00:00,18,7,NE,Clear,0.0,86,10,1011,5,19,17,19,13,19,1
2/1/2009 01:00,17,6,NE,Clear,0.0,86,10,1011,4,19,17,19,12,19,1
2/1/2009 02:00,17,6,NE,Clear,0.0,86,10,1011,3,19,16,19,11,19,1
2/1/2009 03:00,16,6,NE,Clear,0.0,86,10,1011,2,19,16,19,10,19,1
2/1/2009 04:00,18,6,NE,Clear,0.0,80,10,1012,2,21,17,21,9,21,1
2/1/2009 05:00,20,6,NE,Clear,0.0,73,10,1013,1,24,18,23,8,23,1
2/1/2009 06:00,22,5,NE,Clear,0.0,67,10,1014,0,26,18,25,6,25,1
2/1/2009 07:00,24,4,SE,Sunny,0.0,57,10,1013,1,28,18,27,5,28,1
2/1/2009 08:00,27,3,SW,Sunny,0.0,47,10,1013,2,31,17,30,3,31,1
2/1/2009 09:00,30,2,WNW,Sunny,0.0,37,10,1013,2,33,16,32,2,33,1
2/1/2009 10:00,30,2,WNW,Sunny,0.0,37,10,1012,4,32,15,32,2,32,1
2/1/2009 11:00,30,3,W,Sunny,0.0,38,10,1011,5,32,15,31,3,32,1
2/1/2009 12:00,30,3,WSW,Sunny,0.0,38,10,1011,7,31,15,31,3,31,1
2/1/2009 13:00,27,2,SW,Sunny,0.0,49,10,1011,12,29,16,29,3,29,1
2/1/2009 14:00,25,2,SSW,Sunny,0.0,60,10,1011,17,27,17,26,3,27,1
2/1/2009 15:00,23,1,SSW,Sunny,0.0,72,10,1011,22,25,18,24,3,25,1
2/1/2009 16:00,22,2,SSE,Sunny,0.0,75,10,1011,26,25,18,23,3,25,1
2/1/2009 17:00,22,2,ESE,Partly cloudy,0.0,79,10,1012,30,25,18,22,4,22,1
2/1/2009 18:00,21,2,ENE,Partly cloudy,0.1,82,10,1012,34,24,19,22,4,22,1
2/1/2009 19:00,21,3,ENE,Partly cloudy,0.0,84,10,1012,31,23,18,21,7,21,1
2/1/2009 20:00,20,5,NE,Partly cloudy,0.0,86,10,1013,29,22,18,21,9,21,1
2/1/2009 21:00,20,6,NE,Partly cloudy,0.0,88,10,1013,26,20,18,20,12,20,1
2/1/2009 22:00,19,6,NE,Partly cloudy,0.0,88,10,1013,22,20,18,20,12,20,1
2/1/2009 23:00,19,7,NE,Clear,0.0,87,10,1012,18,20,17,20,13,20,1
3/1/2009 00:00,19,8,NE,Clear,0.0,87,10,1012,14,19,17,19,14,19,1
3/1/2009 01:00,18,7,NE,Clear,0.0,88,10,1012,12,19,17,19,13,19,1
3/1/2009 02:00,18,6,NE,Clear,0.0,89,10,1012,10,19,17,19,11,19,1
3/1/2009 03:00,17,5,NE,Clear,0.0,90,10,1012,8,19,17,19,10,19,1
3/1/2009 04:00,19,5,NE,Clear,0.0,83,10,1013,7,21,17,20,9,20,1
3/1/2009 05:00,21,5,NE,Clear,0.0,77,10,1014,5,23,18,22,7,22,1
3/1/2009 06:00,22,5,ENE,Clear,0.0,70,10,1014,4,26,18,24,6,26,1
3/1/2009 07:00,25,4,SE,Sunny,0.0,59,10,1014,5,28,17,26,5,28,1
3/1/2009 08:00,27,3,SW,Sunny,0.0,48,10,1014,5,30,16,29,4,30,1
3/1/2009 09:00,30,3,NW,Sunny,0.0,36,10,1014,6,32,15,32,3,32,1
3/1/2009 10:00,30,3,WNW,Sunny,0.0,37,10,1013,7,31,15,31,4,31,1
3/1/2009 11:00,29,4,WNW,Sunny,0.0,37,10,1012,8,31,15,31,4,31,1
3/1/2009 12:00,29,4,W,Sunny,0.0,38,10,1011,9,30,14,30,5,30,1
3/1/2009 13:00,27,4,WNW,Sunny,0.0,47,10,1011,9,29,15,28,5,29,1
3/1/2009 14:00,25,3,WNW,Sunny,0.0,56,10,1011,10,27,16,26,5,27,1
3/1/2009 15:00,23,3,NW,Sunny,0.0,66,10,1011,11,26,17,24,6,26,1
3/1/2009 16:00,23,3,SSW,Sunny,0.0,68,10,1012,12,25,17,24,7,25,1
3/1/2009 17:00,22,4,ESE,Sunny,0.0,70,10,1012,13,25,17,23,8,23,1
3/1/2009 18:00,21,4,N,Sunny,0.0,73,10,1013,13,25,17,22,9,22,1
3/1/2009 19:00,21,6,NNE,Clear,0.0,76,10,1013,11,23,17,21,11,21,1
3/1/2009 20:00,20,7,NE,Clear,0.0,80,10,1013,9,22,17,21,14,21,1
3/1/2009 21:00,20,9,NE,Clear,0.0,83,10,1013,7,20,17,20,17,20,1
3/1/2009 22:00,19,8,NE,Clear,0.0,86,10,1013,7,20,18,20,15,20,1
3/1/2009 23:00,19,8,NE,Clear,0.0,88,10,1012,7,20,18,20,13,20,1
4/1/2009 00:00,19,7,NE,Clear,0.0,91,10,1012,6,20,18,20,12,20,1
4/1/2009 01:00,19,6,NE,Clear,0.0,92,7,1012,12,20,19,20,10,20,1
4/1/2009 02:00,19,5,NE,Mist,0.0,94,5,1012,17,20,19,20,9,20,1
4/1/2009 03:00,19,4,NE,Mist,0.0,96,2,1012,22,19,19,19,7,19,1
4/1/2009 04:00,20,5,NE,Mist,0.0,90,5,1012,15,22,19,21,7,21,1
4/1/2009 05:00,21,6,NE,Clear,0.0,84,7,1013,9,24,20,23,7,23,1
4/1/2009 06:00,23,6,NE,Clear,0.0,78,10,1013,2,27,21,25,7,27,1
4/1/2009 07:00,25,6,SE,Sunny,0.0,68,10,1013,3,29,20,27,7,29,1
4/1/2009 08:00,27,6,SW,Sunny,0.0,58,10,1013,4,31,19,29,7,31,1
4/1/2009 09:00,29,6,WNW,Sunny,0.0,48,10,1013,4,32,19,31,7,32,1
4/1/2009 10:00,30,6,WNW,Sunny,0.0,46,10,1012,6,32,18,31,7,32,1
4/1/2009 11:00,30,6,WNW,Sunny,0.0,44,10,1011,7,32,17,31,7,32,1
4/1/2009 12:00,30,6,WNW,Sunny,0.0,42,10,1010,8,32,17,31,7,32,1
4/1/2009 13:00,28,4,WNW,Sunny,0.0,53,10,1009,13,30,18,29,5,30,1
4/1/2009 14:00,26,3,WNW,Sunny,0.0,63,10,1009,18,28,19,27,4,28,1
4/1/2009 15:00,24,2,WNW,Sunny,0.0,73,10,1009,22,27,20,25,3,27,1
4/1/2009 16:00,23,3,SW,Sunny,0.0,77,10,1010,23,26,20,24,5,26,1
4/1/2009 17:00,23,4,SE,Patchy rain possible,0.1,82,9,1010,24,25,20,23,7,25,1
4/1/2009 18:00,22,5,ENE,Patchy rain possible,0.1,86,9,1011,25,25,20,22,9,22,1
4/1/2009 19:00,22,6,ENE,Patchy rain possible,0.0,87,9,1011,20,25,20,22,9,22,1
4/1/2009 20:00,21,6,ENE,Clear,0.0,89,10,1011,16,24,20,22,10,22,1
