Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2014 00:00,5,22,SSW,Cloudy,0.0,94,10,1009,86,5,4,0,36,0,1
1/1/2014 01:00,4,22,SSW,Cloudy,0.0,95,10,1009,74,4,3,-0,37,-0,1
1/1/2014 02:00,4,22,SSW,Partly cloudy,0.0,95,10,1009,62,4,3,-1,38,-1,1
1/1/2014 03:00,4,22,SSW,Partly cloudy,0.0,96,10,1009,50,4,3,-1,39,-1,1
1/1/2014 04:00,4,23,SSW,Partly cloudy,0.0,96,10,1009,57,4,3,-1,39,-1,1
1/1/2014 05:00,4,24,SSW,Cloudy,0.0,96,10,1009,64,4,3,-1,38,-1,1
1/1/2014 06:00,4,24,S,Cloudy,0.0,96,10,1009,71,4,3,-1,38,-1,1
1/1/2014 07:00,4,26,S,Cloudy,0.0,94,10,1009,62,4,3,-1,40,-1,1
1/1/2014 08:00,4,28,S,Partly cloudy,0.0,92,10,1009,53,5,3,-0,42,-0,1
1/1/2014 09:00,5,29,S,Partly cloudy,0.0,90,10,1009,44,5,3,-0,44,-0,1
1/1/2014 10:00,6,29,S,Partly cloudy,0.0,88,10,1008,57,6,4,1,43,1,1
1/1/2014 11:00,7,29,S,Cloudy,0.0,85,10,1007,71,7,5,3,42,3,1
1/1/2014 12:00,8,29,S,Cloudy,0.0,83,10,1006,84,8,5,4,41,4,1
1/1/2014 13:00,8,30,S,Cloudy,0.0,84,10,1005,90,8,5,4,44,4,1
1/1/2014 14:00,7,30,S,Overcast,0.0,85,10,1004,95,7,5,3,47,3,1
1/1/2014 15:00,7,31,S,Overcast,0.0,86,10,1003,100,7,5,3,49,3,1
1/1/2014 16:00,7,30,SSE,Overcast,0.0,87,10,1002,100,8,6,3,49,3,1
1/1/2014 17:00,8,30,SSE,Overcast,0.0,89,10,1001,100,8,6,4,49,4,1
1/1/2014 18:00,8,29,SSE,Overcast,0.0,90,10,1000,100,8,6,4,49,4,1
1/1/2014 19:00,8,32,SSE,Overcast,0.0,89,10,999,93,8,6,4,53,4,1
1/1/2014 20:00,8,35,SSE,Light rain,0.3,89,9,999,87,8,6,4,57,4,1
1/1/2014 21:00,8,38,S,Light rain,0.4,88,9,998,81,8,6,3,61,3,1
1/1/2014 22:00,8,36,S,Light rain,0.2,89,9,997,82,8,6,4,58,4,1
1/1/2014 23:00,8,34,S,Cloudy,0.0,91,10,996,84,8,7,4,54,4,1
2/1/2014 00:00,8,32,S,Cloudy,0.0,92,10,996,85,8,7,4,51,4,1
2/1/2014 01:00,8,32,S,Cloudy,0.0,92,7,995,84,8,7,4,51,4,1
2/1/2014 02:00,8,32,S,Light drizzle,0.1,91,5,995,84,8,7,4,52,4,1
2/1/2014 03:00,8,33,S,Light drizzle,0.2,91,2,995,83,8,7,4,53,4,1
2/1/2014 04:00,8,30,S,Light drizzle,0.1,91,5,994,89,8,7,4,48,4,1
2/1/2014 05:00,9,27,S,Overcast,0.0,91,7,994,94,9,7,5,43,5,1
2/1/2014 06:00,9,24,SSW,Overcast,0.0,91,10,994,100,9,7,5,39,5,1
2/1/2014 07:00,9,25,SSW,Overcast,0.0,92,7,995,100,9,7,5,40,5,1
2/1/2014 08:00,9,27,SSW,Light drizzle,0.1,92,5,996,100,9,7,5,41,5,1
2/1/2014 09:00,9,28,SSW,Light drizzle,0.1,92,2,997,100,9,7,5,43,5,1
2/1/2014 10:00,9,28,SW,Light drizzle,0.1,87,5,998,81,9,7,5,42,5,1
2/1/2014 11:00,9,28,WSW,Partly cloudy,0.0,81,7,999,62,9,6,6,41,6,1
2/1/2014 12:00,10,28,W,Partly cloudy,0.0,76,10,1001,43,10,6,6,39,6,1
2/1/2014 13:00,9,27,WSW,Partly cloudy,0.0,78,10,1001,33,9,6,6,40,6,1
2/1/2014 14:00,9,25,SW,Sunny,0.0,80,10,1002,24,9,5,5,40,5,1
2/1/2014 15:00,8,24,SW,Sunny,0.0,82,10,1003,15,8,5,5,40,5,1
2/1/2014 16:00,8,22,SSW,Sunny,0.0,84,10,1004,17,8,5,4,38,4,1
2/1/2014 17:00,7,20,SSW,Sunny,0.0,86,10,1005,20,7,5,3,35,3,1
2/1/2014 18:00,6,18,SSW,Sunny,0.0,89,10,1005,23,6,4,3,33,3,1
2/1/2014 19:00,6,19,SSW,Clear,0.0,90,10,1005,23,6,5,2,36,2,1
2/1/2014 20:00,6,21,S,Clear,0.0,91,10,1005,23,6,5,2,39,2,1
2/1/2014 21:00,6,22,S,Clear,0.0,93,10,1005,23,6,5,2,42,2,1
2/1/2014 22:00,6,23,S,Clear,0.0,93,10,1005,29,6,5,2,42,2,1
2/1/2014 23:00,6,23,S,Partly cloudy,0.0,94,10,1004,35,6,5,2,42,2,1
3/1/2014 00:00,6,23,S,Partly cloudy,0.0,94,10,1004,41,7,6,3,42,3,1
3/1/2014 01:00,7,25,S,Partly cloudy,0.0,94,10,1004,51,7,6,3,45,3,1
3/1/2014 02:00,7,28,S,Cloudy,0.0,94,10,1003,60,7,6,3,49,3,1
3/1/2014 03:00,8,30,S,Cloudy,0.0,93,10,1002,70,8,7,4,52,4,1
3/1/2014 04:00,8,29,S,Cloudy,0.0,93,10,1002,80,8,7,4,49,4,1
3/1/2014 05:00,8,28,S,Overcast,0.0,92,10,1001,90,8,7,4,46,4,1
3/1/2014 06:00,8,27,S,Overcast,0.0,92,10,1001,100,8,7,5,44,5,1
3/1/2014 07:00,8,28,S,Overcast,0.0,92,7,1001,93,8,7,5,45,5,1
3/1/2014 08:00,8,29,S,Light drizzle,0.1,92,5,1001,87,8,7,5,46,5,1
3/1/2014 09:00,9,30,SSW,Light drizzle,0.1,92,2,1001,80,9,7,5,48,5,1
3/1/2014 10:00,9,29,SSW,Light drizzle,0.0,90,5,1002,78,9,8,6,45,6,1
3/1/2014 11:00,10,28,SSW,Cloudy,0.0,87,7,1002,76,10,8,7,43,7,1
3/1/2014 12:00,11,27,SSW,Cloudy,0.0,85,10,1003,74,11,9,9,40,9,1
3/1/2014 13:00,11,29,SSW,Cloudy,0.0,84,10,1002,64,11,9,8,46,8,1
3/1/2014 14:00,11,32,SSW,Patchy rain possible,0.2,84,9,1002,54,11,8,8,51,8,1
3/1/2014 15:00,11,34,SSW,Patchy rain possible,0.3,83,9,1002,44,11,8,7,57,7,1
3/1/2014 16:00,10,31,SSW,Patchy rain possible,0.1,83,9,1003,31,10,7,6,53,6,1
3/1/2014 17:00,9,28,SW,Sunny,0.0,84,10,1003,17,9,6,5,48,5,1
3/1/2014 18:00,8,24,SW,Sunny,0.0,84,10,1004,4,8,6,5,43,5,1
3/1/2014 19:00,8,27,SW,Clear,0.0,84,10,1005,6,8,5,4,48,4,1
3/1/2014 20:00,7,30,SW,Clear,0.0,85,10,1006,8,7,5,3,52,3,1
3/1/2014 21:00,7,32,SW,Clear,0.0,85,10,1006,10,7,4,2,56,2,1
3/1/2014 22:00,7,30,SW,Clear,0.0,86,10,1007,9,7,4,2,52,2,1
3/1/2014 23:00,6,27,SW,Clear,0.0,86,10,1008,9,6,4,2,48,2,1
4/1/2014 00:00,6,24,SSW,Clear,0.0,87,10,1008,8,6,4,2,43,2,1
4/1/2014 01:00,6,24,SSW,Clear,0.0,89,10,1008,14,6,4,2,44,2,1
4/1/2014 02:00,6,24,SSW,Clear,0.0,91,10,1008,19,6,4,2,44,2,1
4/1/2014 03:00,6,24,S,Clear,0.0,93,10,1008,25,6,4,1,44,1,1
4/1/2014 04:00,6,23,S,Clear,0.0,93,10,1007,33,6,5,2,42,2,1
4/1/2014 05:00,6,22,S,Partly cloudy,0.0,93,10,1006,41,6,5,2,40,2,1
4/1/2014 06:00,6,21,S,Partly cloudy,0.0,94,10,1006,49,6,5,2,37,2,1
4/1/2014 07:00,6,22,SSE,Partly cloudy,0.0,91,10,1005,40,6,5,2,40,2,1
4/1/2014 08:00,6,23,SSE,Sunny,0.0,89,10,1003,31,6,5,2,43,2,1
4/1/2014 09:00,6,24,SSE,Sunny,0.0,87,10,1002,22,6,4,2,45,2,1
4/1/2014 10:00,7,24,SSE,Sunny,0.0,85,10,1001,48,7,5,3,43,3,1
4/1/2014 11:00,8,25,SSE,Overcast,0.0,83,10,1000,74,8,6,5,40,5,1
4/1/2014 12:00,9,26,SSE,Overcast,0.0,81,10,998,100,9,6,6,37,6,1
4/1/2014 13:00,9,25,SSE,Overcast,0.0,84,10,998,77,9,7,6,38,6,1
4/1/2014 14:00,9,25,SSE,Partly cloudy,0.0,86,10,997,54,9,7,6,39,6,1
4/1/2014 15:00,9,25,S,Partly cloudy,0.0,88,10,996,31,9,7,6,40,6,1
4/1/2014 16:00,8,22,S,Partly cloudy,0.0,90,10,996,29,8,7,5,37,5,1
4/1/2014 17:00,8,19,SSE,Sunny,0.0,91,10,995,27,8,6,5,35,5,1
4/1/2014 18:00,7,17,SSE,Sunny,0.0,93,10,995,25,7,6,4,32,4,1
4/1/2014 19:00,7,18,SSE,Clear,0.0,93,7,995,46,7,6,4,33,4,1
4/1/2014 20:00,7,19,S,Light drizzle,0.1,93,5,995,68,7,6,4,35,4,1
4/1/2014 21:00,7,21,SSW,Light drizzle,0.1,93,2,995,90,7,6,4,36,4,1
4/1/2014 22:00,7,21,SSW,Light drizzle,0.1,94,5,996,91,7,6,3,36,3,1
4/1/2014 23:00,7,21,SW,Overcast,0.0,95,7,997,93,7,6,3,35,3,1
5/1/2014 00:00,6,22,WSW,Overcast,0.0,96,10,998,95,6,6,3,35,3,1
5/1/2014 01:00,6,21,WSW,Overcast,0.0,95,10,999,74,6,5,2,34,2,1
5/1/2014 02:00,6,20,WSW,Partly cloudy,0.0,94,10,1000,53,6,5,2,33,2,1
5/1/2014 03:00,5,19,WSW,Partly cloudy,0.0,92,10,1001,31,5,4,2,32,2,1
5/1/2014 04:00,5,19,WSW,Partly cloudy,0.0,93,10,1002,32,5,4,1,32,1,1
5/1/2014 05:00,4,19,SW,Partly cloudy,0.0,94,10,1003,32,4,3,-0,33,-0,1
5/1/2014 06:00,3,18,SW,Partly cloudy,0.0,95,10,1004,32,3,3,-1,33,-1,1
5/1/2014 07:00,3,18,SW,Partly cloudy,0.0,95,10,1005,30,3,2,-1,32,-1,1
5/1/2014 08:00,3,17,SW,Partly cloudy,0.0,94,10,1006,28,3,2,-1,30,-1,1
5/1/2014 09:00,3,17,SSW,Partly cloudy,0.0,94,10,1006,25,3,2,-2,29,-2,1
5/1/2014 10:00,4,18,SSW,Partly cloudy,0.0,89,10,1007,19,4,2,-0,28,-0,1
5/1/2014 11:00,5,19,SSW,Sunny,0.0,83,10,1008,12,5,2,1,28,1,1
5/1/2014 12:00,6,20,SSW,Sunny,0.0,78,10,1008,5,6,2,2,27,2,1
5/1/2014 13:00,6,20,SSW,Sunny,0.0,80,10,1008,23,6,3,2,29,2,1
5/1/2014 14:00,6,21,SSW,Partly cloudy,0.0,82,10,1008,41,6,3,2,31,2,1
5/1/2014 15:00,5,21,S,Partly cloudy,0.0,83,10,1009,59,5,3,1,34,1,1
5/1/2014 16:00,5,20,S,Partly cloudy,0.0,86,10,1009,47,5,3,1,33,1,1
5/1/2014 17:00,5,19,S,Sunny,0.0,89,10,1009,34,5,3,1,33,1,1
5/1/2014 18:00,5,18,S,Sunny,0.0,92,10,1009,22,5,3,1,32,1,1
5/1/2014 19:00,5,22,S,Clear,0.0,90,10,1008,33,5,3,1,39,1,1
5/1/2014 20:00,5,27,S,Partly cloudy,0.0,88,10,1008,44,5,3,1,45,1,1
5/1/2014 21:00,5,31,S,Partly cloudy,0.0,87,10,1007,55,5,3,1,52,1,1
5/1/2014 22:00,6,30,S,Partly cloudy,0.0,87,10,1006,60,6,4,1,50,1,1
5/1/2014 23:00,6,29,S,Cloudy,0.0,88,10,1006,65,6,4,2,48,2,1
6/1/2014 00:00,7,28,S,Cloudy,0.0,89,10,1005,70,7,5,2,46,2,1
6/1/2014 01:00,7,31,S,Cloudy,0.0,90,10,1005,77,7,5,2,50,2,1
6/1/2014 02:00,7,33,S,Overcast,0.0,91,10,1004,83,7,5,2,55,2,1
6/1/2014 03:00,7,36,S,Overcast,0.0,92,10,1004,89,7,6,2,60,2,1
6/1/2014 04:00,8,34,S,Overcast,0.0,92,10,1003,91,8,6,3,57,3,1
6/1/2014 05:00,8,33,S,Overcast,0.0,93,10,1003,93,8,7,4,55,4,1
6/1/2014 06:00,9,32,SSW,Overcast,0.0,94,10,1003,95,9,8,5,53,5,1
6/1/2014 07:00,9,33,SSW,Overcast,0.0,93,10,1003,86,9,8,5,53,5,1
6/1/2014 08:00,9,34,SSW,Cloudy,0.0,93,10,1004,78,9,8,5,54,5,1
6/1/2014 09:00,9,35,SSW,Cloudy,0.0,92,10,1004,70,9,8,5,55,5,1
6/1/2014 10:00,10,33,SSW,Cloudy,0.0,89,10,1004,56,10,9,7,51,7,1
6/1/2014 11:00,11,30,SSW,Partly cloudy,0.0,85,10,1004,43,11,9,8,47,8,1
6/1/2014 12:00,13,28,SSW,Partly cloudy,0.0,81,10,1004,30,13,9,10,42,10,1
6/1/2014 13:00,12,30,SSW,Partly cloudy,0.0,83,10,1004,31,12,9,9,46,9,1
6/1/2014 14:00,12,31,SSW,Partly cloudy,0.0,84,10,1004,32,12,9,9,49,9,1
6/1/2014 15:00,11,32,SSW,Partly cloudy,0.0,85,10,1003,34,11,9,8,53,8,1
6/1/2014 16:00,11,28,SSW,Partly cloudy,0.0,88,10,1003,47,11,9,8,46,8,1
6/1/2014 17:00,11,24,SSW,Cloudy,0.0,90,10,1003,60,11,9,8,40,8,1
6/1/2014 18:00,11,20,S,Cloudy,0.0,92,10,1004,72,11,10,8,33,8,1
6/1/2014 19:00,11,23,SSW,Cloudy,0.0,93,10,1004,63,11,9,8,39,8,1
6/1/2014 20:00,10,27,SSW,Light rain shower,0.3,93,10,1004,54,10,9,7,45,7,1
6/1/2014 21:00,10,30,SSW,Light rain shower,0.4,94,10,1004,44,10,9,7,51,7,1
6/1/2014 22:00,10,30,SSW,Light rain shower,0.2,94,10,1005,41,10,9,6,51,6,1
6/1/2014 23:00,10,30,SSW,Partly cloudy,0.0,93,10,1006,37,10,9,6,51,6,1
