Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2013 00:00,9,11,NW,Mist,0.0,95,2,1018,56,9,8,7,18,7,1
1/1/2013 01:00,9,10,NW,Mist,0.0,96,1,1018,70,9,8,7,17,7,1
1/1/2013 02:00,9,10,NW,Fog,0.0,97,1,1018,85,9,8,7,16,7,1
1/1/2013 03:00,8,9,NW,Fog,0.0,97,0,1018,100,9,8,7,15,7,1
1/1/2013 04:00,9,10,NNW,Fog,0.0,96,3,1019,92,9,8,7,17,7,1
1/1/2013 05:00,9,12,NNW,Cloudy,0.0,95,7,1019,83,9,8,7,18,7,1
1/1/2013 06:00,9,13,NNW,Cloudy,0.0,94,10,1019,75,9,9,7,20,7,1
1/1/2013 07:00,11,15,NNW,Cloudy,0.0,87,10,1019,56,11,9,9,20,9,1
1/1/2013 08:00,12,17,NW,Sunny,0.0,80,10,1019,37,12,9,10,21,10,1
1/1/2013 09:00,13,19,WNW,Sunny,0.0,73,10,1019,19,13,9,12,22,12,1
1/1/2013 10:00,15,20,WNW,Sunny,0.0,66,10,1019,13,15,8,14,23,14,1
1/1/2013 11:00,16,21,WNW,Sunny,0.0,58,10,1019,7,16,8,16,24,16,1
1/1/2013 12:00,18,22,WNW,Sunny,0.0,50,10,1018,1,18,7,18,26,18,1
1/1/2013 13:00,18,22,WNW,Sunny,0.0,49,10,1018,7,18,7,18,25,18,1
1/1/2013 14:00,19,22,WNW,Sunny,0.0,48,10,1017,13,19,7,19,25,19,1
1/1/2013 15:00,19,21,WNW,Sunny,0.0,47,10,1016,19,19,7,19,24,19,1
1/1/2013 16:00,18,19,WNW,Sunny,0.0,51,10,1017,19,18,8,18,22,18,1
1/1/2013 17:00,17,16,WNW,Sunny,0.0,56,10,1017,19,17,8,17,20,17,1
1/1/2013 18:00,15,14,NW,Sunny,0.0,61,10,1017,19,15,8,15,18,15,1
1/1/2013 19:00,13,12,NW,Sunny,0.0,73,7,1017,26,13,8,12,19,12,1
1/1/2013 20:00,10,11,NW,Mist,0.0,85,5,1017,33,10,8,9,19,9,1
1/1/2013 21:00,8,9,NW,Mist,0.0,97,2,1017,40,8,8,6,20,6,1
1/1/2013 22:00,8,9,NNW,Mist,0.0,98,1,1017,60,8,7,6,20,6,1
1/1/2013 23:00,8,10,NNW,Fog,0.0,98,1,1017,80,8,7,6,20,6,1
2/1/2013 00:00,7,10,N,Fog,0.0,99,0,1017,100,7,7,5,20,5,1
2/1/2013 01:00,7,10,N,Fog,0.0,99,0,1017,100,8,7,6,21,6,1
2/1/2013 02:00,8,11,N,Fog,0.0,99,0,1016,100,8,8,6,21,6,1
2/1/2013 03:00,8,12,N,Fog,0.0,99,0,1016,100,8,8,6,22,6,1
2/1/2013 04:00,8,14,NNW,Fog,0.0,98,3,1015,89,8,8,6,24,6,1
2/1/2013 05:00,9,15,NNW,Cloudy,0.0,98,7,1015,78,9,8,6,25,6,1
2/1/2013 06:00,9,17,NNW,Cloudy,0.0,98,10,1015,67,9,9,6,27,6,1
2/1/2013 07:00,11,18,NNW,Cloudy,0.0,85,10,1014,47,11,8,9,25,9,1
