Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2015 00:00,26,14,ESE,Partly cloudy,0.0,85,10,1008,27,28,23,26,20,28,1
1/1/2015 01:00,26,14,ESE,Partly cloudy,0.0,85,10,1008,28,28,23,26,21,28,1
1/1/2015 02:00,26,15,SE,Partly cloudy,0.0,85,10,1008,29,28,23,26,22,28,1
1/1/2015 03:00,26,15,SE,Partly cloudy,0.0,85,10,1008,29,28,23,26,22,28,1
1/1/2015 04:00,26,15,SE,Partly cloudy,0.0,83,9,1009,25,28,23,26,24,28,1
1/1/2015 05:00,26,16,SSE,Moderate or heavy rain shower,1.3,82,8,1010,21,29,23,26,26,29,1
1/1/2015 06:00,26,16,SSE,Moderate or heavy rain shower,1.7,80,7,1010,18,29,23,26,27,29,1
1/1/2015 07:00,27,14,S,Moderate or heavy rain shower,0.8,79,8,1010,18,30,23,27,23,30,1
1/1/2015 08:00,27,12,S,Sunny,0.0,79,9,1010,19,30,23,27,19,30,1
1/1/2015 09:00,28,10,SSW,Sunny,0.0,78,10,1010,19,31,23,28,15,31,1
1/1/2015 10:00,28,11,SW,Sunny,0.0,78,10,1010,18,31,23,28,16,31,1
1/1/2015 11:00,28,11,SW,Sunny,0.0,79,10,1009,16,31,23,28,17,31,1
1/1/2015 12:00,28,12,SW,Sunny,0.0,79,10,1008,14,31,24,28,17,31,1
1/1/2015 13:00,27,11,SW,Sunny,0.0,80,10,1008,11,31,24,27,16,31,1
1/1/2015 14:00,27,11,SSW,Sunny,0.0,80,10,1008,9,31,24,27,16,31,1
1/1/2015 15:00,27,10,SSW,Sunny,0.0,81,10,1008,6,31,24,27,15,31,1
1/1/2015 16:00,27,11,SSW,Sunny,0.0,82,10,1009,6,31,24,27,16,31,1
1/1/2015 17:00,27,12,S,Sunny,0.0,82,10,1009,6,30,24,27,18,30,1
1/1/2015 18:00,27,14,S,Sunny,0.0,83,10,1010,6,30,24,27,20,30,1
1/1/2015 19:00,27,14,S,Clear,0.0,84,10,1011,8,30,24,27,21,30,1
1/1/2015 20:00,26,15,S,Clear,0.0,84,10,1011,11,30,24,26,21,30,1
1/1/2015 21:00,26,15,SSE,Clear,0.0,85,10,1011,13,30,24,26,22,30,1
1/1/2015 22:00,26,15,SSE,Clear,0.0,85,10,1011,15,29,23,26,22,29,1
1/1/2015 23:00,26,15,SSE,Clear,0.0,86,10,1010,17,29,23,26,22,29,1
2/1/2015 00:00,26,15,SSE,Clear,0.0,86,10,1010,18,29,23,26,22,29,1
2/1/2015 01:00,26,16,S,Clear,0.0,86,10,1010,16,28,23,26,22,28,1
2/1/2015 02:00,26,16,S,Clear,0.0,86,10,1010,14,28,23,26,22,28,1
2/1/2015 03:00,25,16,S,Clear,0.0,87,10,1010,12,28,23,25,22,28,1
2/1/2015 04:00,26,15,S,Clear,0.0,86,10,1011,11,28,23,26,22,28,1
2/1/2015 05:00,26,15,S,Clear,0.0,85,10,1012,9,29,23,26,21,29,1
2/1/2015 06:00,26,14,S,Clear,0.0,84,10,1012,8,29,23,26,20,29,1
2/1/2015 07:00,26,12,S,Sunny,0.0,83,10,1012,11,29,23,26,17,29,1
2/1/2015 08:00,27,10,SSW,Sunny,0.0,82,10,1012,13,30,23,27,15,30,1
2/1/2015 09:00,27,8,SSW,Sunny,0.0,81,10,1012,16,30,23,27,12,30,1
2/1/2015 10:00,27,6,WSW,Sunny,0.0,82,10,1012,20,31,24,27,9,31,1
2/1/2015 11:00,27,4,W,Partly cloudy,0.0,82,10,1011,24,31,24,27,6,31,1
2/1/2015 12:00,27,3,NW,Partly cloudy,0.0,83,10,1010,28,32,24,27,4,32,1
2/1/2015 13:00,27,5,WSW,Partly cloudy,0.0,83,10,1010,38,31,24,27,8,31,1
2/1/2015 14:00,27,8,S,Partly cloudy,0.0,84,10,1010,48,31,24,27,11,31,1
2/1/2015 15:00,27,10,ESE,Partly cloudy,0.0,84,10,1010,57,30,24,27,15,30,1
2/1/2015 16:00,27,12,ESE,Partly cloudy,0.0,84,10,1011,59,30,24,27,18,30,1
2/1/2015 17:00,27,14,ESE,Partly cloudy,0.0,85,10,1012,60,30,24,27,21,30,1
2/1/2015 18:00,26,16,ESE,Partly cloudy,0.0,86,10,1013,62,30,24,26,24,30,1
2/1/2015 19:00,26,16,ESE,Partly cloudy,0.0,86,10,1013,49,30,24,26,23,30,1
2/1/2015 20:00,26,15,ESE,Clear,0.0,87,10,1014,37,29,24,26,22,29,1
2/1/2015 21:00,26,15,ESE,Clear,0.0,87,10,1014,25,29,24,26,21,29,1
2/1/2015 22:00,26,15,SE,Clear,0.0,88,10,1013,33,29,24,26,21,29,1
2/1/2015 23:00,26,15,SE,Partly cloudy,0.0,89,10,1013,41,29,24,26,22,29,1
3/1/2015 00:00,25,15,SE,Partly cloudy,0.0,90,10,1012,49,28,24,25,22,28,1
3/1/2015 01:00,25,15,SE,Partly cloudy,0.0,90,10,1013,46,28,24,25,22,28,1
3/1/2015 02:00,25,16,SE,Partly cloudy,0.0,90,10,1013,43,28,24,25,22,28,1
3/1/2015 03:00,25,16,SE,Partly cloudy,0.0,91,10,1013,40,28,24,25,23,28,1
3/1/2015 04:00,25,15,SE,Partly cloudy,0.0,90,10,1013,40,28,24,25,21,28,1
3/1/2015 05:00,25,14,SE,Partly cloudy,0.0,89,10,1014,39,28,24,25,20,28,1
3/1/2015 06:00,26,13,ESE,Partly cloudy,0.0,89,10,1014,38,29,24,26,19,29,1
3/1/2015 07:00,26,11,ESE,Partly cloudy,0.0,87,10,1014,35,29,24,26,16,29,1
3/1/2015 08:00,27,9,E,Partly cloudy,0.0,85,10,1014,33,30,24,27,13,30,1
3/1/2015 09:00,27,7,E,Partly cloudy,0.0,83,10,1014,30,31,24,27,11,31,1
3/1/2015 10:00,27,9,ENE,Partly cloudy,0.0,82,10,1013,23,31,24,27,13,31,1
3/1/2015 11:00,27,10,ENE,Sunny,0.0,81,10,1012,15,31,24,27,15,31,1
3/1/2015 12:00,27,12,NE,Sunny,0.0,80,10,1011,8,31,23,27,18,31,1
3/1/2015 13:00,27,14,NE,Sunny,0.0,80,10,1011,5,31,23,27,21,31,1
3/1/2015 14:00,27,16,NE,Sunny,0.0,81,10,1011,3,30,23,27,23,30,1
3/1/2015 15:00,27,18,NE,Sunny,0.0,81,10,1010,0,30,23,27,26,30,1
3/1/2015 16:00,26,19,ENE,Sunny,0.0,82,10,1011,1,30,23,26,27,30,1
3/1/2015 17:00,26,19,ENE,Sunny,0.0,83,10,1012,2,29,23,26,28,29,1
3/1/2015 18:00,26,20,ENE,Sunny,0.0,84,10,1012,2,29,23,26,29,29,1
3/1/2015 19:00,26,19,ENE,Clear,0.0,85,10,1013,5,29,23,26,28,29,1
3/1/2015 20:00,26,18,ENE,Clear,0.0,85,10,1013,7,29,23,26,26,29,1
3/1/2015 21:00,26,17,ENE,Clear,0.0,86,10,1013,10,29,23,26,24,29,1
3/1/2015 22:00,26,16,ENE,Clear,0.0,86,10,1013,10,29,23,26,23,29,1
3/1/2015 23:00,26,16,ENE,Clear,0.0,86,10,1012,10,29,23,26,22,29,1
4/1/2015 00:00,26,15,NE,Clear,0.0,86,10,1012,10,28,23,26,21,28,1
4/1/2015 01:00,26,15,ENE,Clear,0.0,86,10,1012,9,28,23,26,21,28,1
4/1/2015 02:00,26,14,ENE,Clear,0.0,86,10,1012,9,28,23,26,20,28,1
4/1/2015 03:00,26,14,ENE,Clear,0.0,86,10,1012,8,28,23,26,20,28,1
4/1/2015 04:00,26,14,ENE,Clear,0.0,85,10,1013,13,29,23,26,19,29,1
4/1/2015 05:00,26,13,ENE,Clear,0.0,84,10,1014,17,29,23,26,19,29,1
4/1/2015 06:00,26,13,ENE,Clear,0.0,83,10,1014,22,29,23,26,18,29,1
4/1/2015 07:00,26,12,ENE,Sunny,0.0,82,10,1014,21,29,23,26,17,29,1
4/1/2015 08:00,27,11,ENE,Sunny,0.0,81,10,1014,19,30,23,27,16,30,1
4/1/2015 09:00,27,10,NE,Sunny,0.0,80,10,1014,17,30,23,27,15,30,1
4/1/2015 10:00,27,12,NE,Sunny,0.0,80,10,1013,13,30,23,27,17,30,1
4/1/2015 11:00,27,14,NE,Sunny,0.0,79,10,1012,9,30,23,27,20,30,1
4/1/2015 12:00,27,16,NNE,Sunny,0.0,79,10,1011,4,30,23,27,23,30,1
4/1/2015 13:00,27,17,NNE,Sunny,0.0,80,10,1011,3,30,23,27,25,30,1
4/1/2015 14:00,27,19,NE,Sunny,0.0,81,10,1011,1,29,23,27,27,29,1
4/1/2015 15:00,26,21,NE,Sunny,0.0,82,10,1011,0,29,23,26,29,29,1
4/1/2015 16:00,26,21,NE,Sunny,0.0,82,10,1012,1,29,23,26,29,29,1
4/1/2015 17:00,26,21,NE,Sunny,0.0,83,10,1012,1,29,23,26,29,29,1
4/1/2015 18:00,26,21,NE,Sunny,0.0,84,10,1013,2,29,23,26,29,29,1
4/1/2015 19:00,26,21,NE,Clear,0.0,84,10,1013,6,29,23,26,29,29,1
4/1/2015 20:00,26,21,NE,Clear,0.0,85,10,1013,11,29,23,26,30,29,1
4/1/2015 21:00,26,21,NE,Clear,0.0,85,10,1013,15,29,23,26,30,29,1
4/1/2015 22:00,26,21,NE,Clear,0.0,85,10,1012,33,29,23,26,30,29,1
4/1/2015 23:00,26,21,NE,Cloudy,0.0,85,10,1012,52,28,23,26,29,28,1
5/1/2015 00:00,26,20,NE,Cloudy,0.0,85,10,1011,70,28,23,26,28,28,1
5/1/2015 01:00,26,19,NE,Cloudy,0.0,85,10,1012,67,28,23,26,27,28,1
5/1/2015 02:00,26,18,NE,Partly cloudy,0.0,84,10,1012,64,28,23,26,26,28,1
5/1/2015 03:00,26,17,NE,Partly cloudy,0.0,84,10,1012,60,28,23,26,25,28,1
5/1/2015 04:00,26,17,NE,Partly cloudy,0.0,83,10,1012,59,28,23,26,24,28,1
5/1/2015 05:00,26,17,NE,Partly cloudy,0.0,82,10,1013,58,28,23,26,24,28,1
5/1/2015 06:00,26,17,NE,Partly cloudy,0.0,81,10,1013,57,29,23,26,24,29,1
5/1/2015 07:00,26,17,NE,Partly cloudy,0.0,80,10,1013,42,29,23,26,23,29,1
5/1/2015 08:00,27,16,NNE,Sunny,0.0,79,10,1013,27,29,23,27,23,29,1
5/1/2015 09:00,27,16,NNE,Sunny,0.0,78,10,1013,11,30,23,27,23,30,1
5/1/2015 10:00,27,17,NNE,Sunny,0.0,78,10,1012,9,30,23,27,25,30,1
5/1/2015 11:00,27,19,NNE,Sunny,0.0,77,10,1011,6,30,23,27,26,30,1
5/1/2015 12:00,27,20,NNE,Sunny,0.0,77,10,1010,4,30,23,27,28,30,1
5/1/2015 13:00,27,22,NNE,Sunny,0.0,78,10,1010,10,29,23,27,31,29,1
5/1/2015 14:00,26,24,NNE,Sunny,0.0,80,10,1010,16,29,23,26,34,29,1
5/1/2015 15:00,26,26,NE,Sunny,0.0,81,10,1010,22,29,23,26,37,29,1
5/1/2015 16:00,26,26,NE,Sunny,0.0,82,10,1011,25,29,23,26,37,29,1
5/1/2015 17:00,26,26,NE,Partly cloudy,0.0,82,10,1011,29,29,23,26,37,29,1
5/1/2015 18:00,26,26,NE,Partly cloudy,0.0,83,10,1012,32,28,23,26,37,28,1
5/1/2015 19:00,26,25,NE,Partly cloudy,0.0,83,10,1012,41,28,23,26,36,28,1
5/1/2015 20:00,26,25,NE,Partly cloudy,0.0,83,10,1013,50,29,23,26,35,29,1
5/1/2015 21:00,26,24,NE,Partly cloudy,0.0,84,10,1013,59,29,23,26,35,29,1
5/1/2015 22:00,26,24,NE,Partly cloudy,0.0,83,10,1012,59,29,23,26,34,29,1
5/1/2015 23:00,26,24,NE,Partly cloudy,0.0,83,10,1012,59,28,23,26,34,28,1
6/1/2015 00:00,26,23,NE,Partly cloudy,0.0,82,10,1011,59,28,22,26,33,28,1
6/1/2015 01:00,26,23,NE,Partly cloudy,0.0,82,10,1011,57,28,22,26,32,28,1
6/1/2015 02:00,26,22,NE,Partly cloudy,0.0,82,10,1012,55,28,22,26,32,28,1
6/1/2015 03:00,26,22,NE,Partly cloudy,0.0,82,10,1012,54,28,22,26,31,28,1
6/1/2015 04:00,26,22,NE,Partly cloudy,0.0,81,10,1013,57,28,22,26,31,28,1
6/1/2015 05:00,26,22,NE,Cloudy,0.0,80,10,1013,61,29,22,26,31,29,1
6/1/2015 06:00,26,23,NNE,Cloudy,0.0,79,10,1014,64,29,22,26,31,29,1
6/1/2015 07:00,26,22,NNE,Cloudy,0.0,78,10,1014,56,29,22,26,30,29,1
6/1/2015 08:00,27,21,NNE,Partly cloudy,0.0,77,10,1014,48,29,22,27,29,29,1
6/1/2015 09:00,27,20,NNE,Partly cloudy,0.0,76,10,1014,40,29,22,27,28,29,1
6/1/2015 10:00,27,21,NNE,Partly cloudy,0.0,76,10,1013,28,29,22,27,29,29,1
6/1/2015 11:00,27,22,NNE,Sunny,0.0,76,10,1012,15,29,22,27,31,29,1
6/1/2015 12:00,27,22,NNE,Sunny,0.0,76,10,1011,2,29,22,27,32,29,1
6/1/2015 13:00,27,22,NNE,Sunny,0.0,76,10,1011,2,29,22,27,31,29,1
6/1/2015 14:00,26,22,NNE,Sunny,0.0,76,10,1011,1,29,22,26,31,29,1
6/1/2015 15:00,26,22,NNE,Sunny,0.0,77,10,1012,0,29,22,26,31,29,1
6/1/2015 16:00,26,22,NE,Sunny,0.0,77,10,1012,0,28,22,26,31,28,1
6/1/2015 17:00,26,23,NE,Sunny,0.0,78,10,1012,0,28,22,26,32,28,1
6/1/2015 18:00,26,23,NE,Sunny,0.0,78,10,1013,0,28,22,26,32,28,1
6/1/2015 19:00,26,22,NE,Clear,0.0,78,10,1013,0,28,22,26,31,28,1
