Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,23,9,N,Clear,0.0,82,10,1011,7,25,20,23,17,25,1
1/1/2009 01:00,23,8,ESE,Clear,0.0,82,10,1011,13,25,20,23,15,25,1
1/1/2009 02:00,23,8,SW,Partly cloudy,0.0,82,10,1011,19,25,20,23,14,25,1
1/1/2009 03:00,23,7,NNW,Partly cloudy,0.0,82,10,1011,25,25,20,23,13,25,1
1/1/2009 04:00,24,8,NNW,Partly cloudy,0.0,79,10,1012,30,26,20,24,12,26,1
1/1/2009 05:00,25,8,NNW,Partly cloudy,0.0,75,10,1012,34,27,20,25,12,27,1
1/1/2009 06:00,26,9,NNW,Partly cloudy,0.0,72,10,1013,39,28,20,26,11,28,1
1/1/2009 07:00,26,10,SW,Partly cloudy,0.0,69,10,1013,28,28,20,26,13,28,1
1/1/2009 08:00,27,12,SE,Sunny,0.0,66,10,1013,17,29,20,27,15,29,1
1/1/2009 09:00,28,14,NNE,Sunny,0.0,63,10,1012,7,30,20,28,17,30,1
1/1/2009 10:00,28,14,NNE,Sunny,0.0,62,10,1012,4,30,20,28,17,30,1
1/1/2009 11:00,28,14,NNE,Sunny,0.0,61,10,1011,2,30,20,28,18,30,1
1/1/2009 12:00,28,15,NNE,Sunny,0.0,60,10,1011,0,30,19,28,19,30,1
1/1/2009 13:00,27,13,NNE,Sunny,0.0,63,10,1011,0,29,20,27,17,29,1
1/1/2009 14:00,26,10,NNE,Sunny,0.0,67,10,1011,0,28,20,26,16,28,1
1/1/2009 15:00,26,8,NNE,Sunny,0.0,71,10,1011,0,27,20,26,14,27,1
1/1/2009 16:00,25,9,NNE,Sunny,0.0,73,10,1011,0,27,20,25,15,27,1
1/1/2009 17:00,25,9,NNE,Sunny,0.0,76,10,1012,0,26,20,25,17,26,1
1/1/2009 18:00,24,9,NNE,Sunny,0.0,78,10,1012,0,26,20,24,18,26,1
1/1/2009 19:00,24,9,NNE,Clear,0.0,80,10,1012,1,26,20,24,17,26,1
1/1/2009 20:00,23,8,NNE,Clear,0.0,82,10,1013,2,25,20,23,17,25,1
1/1/2009 21:00,23,8,NNE,Clear,0.0,84,10,1013,3,25,20,23,16,25,1
1/1/2009 22:00,23,7,NNE,Clear,0.0,84,10,1012,10,25,20,23,15,25,1
1/1/2009 23:00,23,7,NNE,Clear,0.0,84,10,1012,17,25,20,23,14,25,1
2/1/2009 00:00,23,6,NNE,Clear,0.0,83,10,1011,25,25,20,23,13,25,1
2/1/2009 01:00,23,6,NNE,Clear,0.0,84,10,1011,23,25,20,23,13,25,1
2/1/2009 02:00,23,6,NNE,Clear,0.0,85,10,1011,20,25,20,23,12,25,1
2/1/2009 03:00,23,6,NNE,Clear,0.0,86,10,1011,18,25,20,23,12,25,1
2/1/2009 04:00,24,6,NNE,Clear,0.0,81,10,1012,16,26,20,24,10,26,1
2/1/2009 05:00,25,6,NNE,Clear,0.0,76,10,1013,13,27,20,25,9,27,1
2/1/2009 06:00,26,6,N,Clear,0.0,72,10,1014,11,28,20,26,8,28,1
2/1/2009 07:00,27,8,NNE,Sunny,0.0,68,10,1013,7,28,20,27,10,28,1
2/1/2009 08:00,27,9,NNE,Sunny,0.0,64,10,1013,4,29,20,27,11,29,1
2/1/2009 09:00,28,10,NE,Sunny,0.0,61,10,1013,0,30,20,28,12,30,1
2/1/2009 10:00,28,12,NE,Sunny,0.0,60,10,1012,0,30,20,28,14,30,1
2/1/2009 11:00,28,13,NE,Sunny,0.0,60,10,1012,0,30,20,28,16,30,1
2/1/2009 12:00,28,14,NE,Sunny,0.0,60,10,1011,0,30,20,28,18,30,1
2/1/2009 13:00,28,13,NNE,Sunny,0.0,63,10,1011,0,29,20,28,17,29,1
2/1/2009 14:00,27,12,NNE,Sunny,0.0,66,10,1011,0,29,20,27,17,29,1
2/1/2009 15:00,26,11,NNE,Sunny,0.0,69,10,1011,0,28,20,26,16,28,1
2/1/2009 16:00,26,11,NNE,Sunny,0.0,72,10,1012,0,27,20,26,18,27,1
2/1/2009 17:00,25,12,NNE,Sunny,0.0,76,10,1012,0,27,20,25,20,27,1
2/1/2009 18:00,24,12,NNE,Sunny,0.0,79,10,1013,0,26,20,24,21,26,1
2/1/2009 19:00,24,12,NNE,Clear,0.0,80,10,1013,0,26,21,24,22,26,1
2/1/2009 20:00,24,12,NNE,Clear,0.0,81,10,1013,0,26,21,24,23,26,1
2/1/2009 21:00,24,13,N,Clear,0.0,83,10,1014,0,26,21,24,23,26,1
2/1/2009 22:00,24,12,NNE,Clear,0.0,83,10,1013,5,26,21,24,22,26,1
2/1/2009 23:00,24,11,NNE,Clear,0.0,83,10,1013,11,26,21,24,21,26,1
3/1/2009 00:00,24,10,NNE,Clear,0.0,83,10,1012,16,26,21,24,19,26,1
3/1/2009 01:00,23,9,NNE,Clear,0.0,83,10,1012,12,25,20,23,18,25,1
3/1/2009 02:00,23,9,N,Clear,0.0,83,10,1012,8,25,20,23,16,25,1
3/1/2009 03:00,23,8,N,Clear,0.0,83,10,1012,3,25,20,23,15,25,1
3/1/2009 04:00,24,7,ESE,Clear,0.0,78,10,1013,3,26,20,24,12,26,1
3/1/2009 05:00,25,6,WSW,Clear,0.0,74,10,1014,2,27,20,25,10,27,1
3/1/2009 06:00,26,6,N,Clear,0.0,70,10,1014,2,28,20,26,7,28,1
3/1/2009 07:00,27,8,WSW,Sunny,0.0,67,10,1014,1,29,20,27,10,29,1
3/1/2009 08:00,28,10,SE,Sunny,0.0,64,10,1014,1,29,20,28,13,29,1
3/1/2009 09:00,28,13,N,Sunny,0.0,62,10,1014,0,30,20,28,15,30,1
