Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2017 00:00,20,5,ENE,Partly cloudy,0.0,92,10,1011,30,21,19,21,8,21,1
1/1/2017 01:00,20,5,ENE,Partly cloudy,0.0,92,10,1011,31,21,19,21,9,21,1
1/1/2017 02:00,20,6,ENE,Partly cloudy,0.0,93,10,1011,32,20,19,20,10,20,1
1/1/2017 03:00,20,6,ENE,Partly cloudy,0.0,93,10,1011,33,20,19,20,10,20,1
1/1/2017 04:00,21,7,ENE,Partly cloudy,0.0,87,10,1012,27,22,19,21,11,21,1
1/1/2017 05:00,22,9,NE,Clear,0.0,81,10,1012,21,24,19,23,12,24,1
1/1/2017 06:00,24,11,NE,Clear,0.0,75,10,1013,15,26,19,24,12,26,1
1/1/2017 07:00,25,11,NE,Sunny,0.0,68,10,1013,16,27,19,26,12,27,1
1/1/2017 08:00,27,11,NE,Sunny,0.0,60,10,1013,18,29,19,27,12,29,1
1/1/2017 09:00,29,11,NE,Sunny,0.0,52,10,1013,19,30,18,29,12,30,1
1/1/2017 10:00,29,12,NE,Sunny,0.0,53,10,1012,27,30,18,29,14,30,1
1/1/2017 11:00,29,14,NE,Patchy rain possible,0.1,54,9,1011,35,30,18,29,16,30,1
1/1/2017 12:00,28,15,NE,Patchy rain possible,0.2,55,9,1010,43,30,19,28,18,30,1
1/1/2017 13:00,27,14,NE,Patchy rain possible,0.1,62,9,1010,35,28,19,27,18,28,1
1/1/2017 14:00,26,13,NE,Sunny,0.0,69,10,1010,27,27,19,26,17,27,1
1/1/2017 15:00,24,13,ENE,Sunny,0.0,76,10,1010,19,26,20,24,17,26,1
1/1/2017 16:00,23,11,ENE,Sunny,0.0,81,10,1011,22,25,20,23,16,25,1
1/1/2017 17:00,22,10,ENE,Partly cloudy,0.0,85,10,1011,25,25,20,22,15,25,1
1/1/2017 18:00,21,8,ENE,Partly cloudy,0.0,89,10,1012,28,24,20,21,14,21,1
1/1/2017 19:00,21,8,ENE,Partly cloudy,0.0,90,10,1012,30,23,19,21,13,21,1
1/1/2017 20:00,21,7,ENE,Partly cloudy,0.0,90,10,1012,32,22,19,21,12,21,1
1/1/2017 21:00,21,6,ENE,Partly cloudy,0.0,90,10,1013,33,21,19,21,10,21,1
1/1/2017 22:00,20,6,ENE,Partly cloudy,0.0,91,10,1012,32,21,19,21,10,21,1
1/1/2017 23:00,20,6,ENE,Partly cloudy,0.0,91,10,1012,31,21,19,21,10,21,1
2/1/2017 00:00,20,6,ENE,Partly cloudy,0.0,91,10,1011,30,21,19,21,10,21,1
2/1/2017 01:00,20,5,NE,Partly cloudy,0.0,92,10,1011,30,21,19,21,9,21,1
2/1/2017 02:00,20,5,NE,Partly cloudy,0.0,92,10,1011,30,20,19,20,8,20,1
2/1/2017 03:00,20,4,NE,Partly cloudy,0.0,92,10,1011,30,20,19,20,7,20,1
2/1/2017 04:00,21,6,NE,Partly cloudy,0.0,87,10,1012,28,22,19,21,8,21,1
2/1/2017 05:00,22,8,NE,Clear,0.0,82,10,1012,26,24,19,23,10,24,1
2/1/2017 06:00,23,9,NNE,Clear,0.0,77,10,1013,23,26,20,24,11,26,1
2/1/2017 07:00,25,11,NNE,Sunny,0.0,69,10,1013,21,27,19,25,12,27,1
2/1/2017 08:00,27,12,NNE,Sunny,0.0,61,10,1013,18,28,19,27,14,28,1
2/1/2017 09:00,28,14,NNE,Sunny,0.0,53,10,1013,16,30,18,29,16,30,1
2/1/2017 10:00,29,14,NNE,Sunny,0.0,53,10,1012,24,30,18,29,17,30,1
2/1/2017 11:00,29,15,NNE,Patchy rain possible,0.1,53,9,1011,32,30,18,29,18,30,1
2/1/2017 12:00,29,16,NNE,Patchy rain possible,0.1,53,9,1011,40,30,18,29,19,30,1
2/1/2017 13:00,27,14,NNE,Patchy rain possible,0.1,61,9,1011,37,29,19,27,17,29,1
2/1/2017 14:00,26,12,NNE,Partly cloudy,0.0,70,10,1011,33,27,20,26,15,27,1
2/1/2017 15:00,24,9,N,Partly cloudy,0.0,78,10,1011,30,26,20,24,14,26,1
2/1/2017 16:00,23,9,NNE,Partly cloudy,0.0,82,10,1012,28,25,20,23,14,25,1
2/1/2017 17:00,22,9,NNE,Patchy rain possible,0.1,86,9,1012,26,25,20,22,15,25,1
2/1/2017 18:00,21,9,NE,Patchy rain possible,0.1,89,9,1013,24,24,20,22,16,22,1
2/1/2017 19:00,21,9,NE,Patchy rain possible,0.1,90,9,1013,27,23,20,21,15,21,1
2/1/2017 20:00,21,8,NE,Partly cloudy,0.0,91,10,1013,29,22,20,21,14,21,1
2/1/2017 21:00,21,8,NE,Partly cloudy,0.0,92,10,1014,32,21,20,21,13,21,1
2/1/2017 22:00,21,7,NE,Partly cloudy,0.0,92,10,1013,33,21,20,21,12,21,1
2/1/2017 23:00,20,7,NE,Partly cloudy,0.0,92,10,1013,35,21,19,21,12,21,1
3/1/2017 00:00,20,6,ENE,Partly cloudy,0.0,92,10,1012,36,21,19,21,11,21,1
3/1/2017 01:00,20,7,ENE,Partly cloudy,0.0,92,10,1012,36,21,19,21,12,21,1
3/1/2017 02:00,20,8,ENE,Partly cloudy,0.0,92,10,1012,37,21,19,21,14,21,1
3/1/2017 03:00,20,9,NE,Partly cloudy,0.0,93,10,1012,37,21,19,21,15,21,1
3/1/2017 04:00,21,9,NE,Partly cloudy,0.0,86,10,1012,30,22,19,22,14,22,1
3/1/2017 05:00,23,10,NE,Clear,0.0,80,10,1013,23,24,19,23,13,24,1
3/1/2017 06:00,24,10,NE,Clear,0.0,74,10,1013,16,26,19,24,12,26,1
3/1/2017 07:00,25,12,NE,Sunny,0.0,65,10,1013,16,27,18,26,14,27,1
3/1/2017 08:00,27,13,NE,Sunny,0.0,57,10,1013,16,28,18,27,15,28,1
3/1/2017 09:00,29,15,NNE,Sunny,0.0,48,10,1013,16,30,17,29,17,30,1
3/1/2017 10:00,29,16,NNE,Sunny,0.0,47,10,1012,21,30,17,29,18,30,1
3/1/2017 11:00,29,17,NNE,Partly cloudy,0.0,46,10,1011,26,30,17,29,19,30,1
3/1/2017 12:00,30,18,NNE,Partly cloudy,0.0,45,10,1010,30,31,17,30,20,31,1
3/1/2017 13:00,28,17,NNE,Partly cloudy,0.0,50,10,1010,28,29,17,28,20,29,1
3/1/2017 14:00,27,15,NE,Sunny,0.0,55,10,1010,26,28,17,27,20,28,1
3/1/2017 15:00,25,14,NE,Sunny,0.0,61,10,1010,24,27,17,25,21,27,1
3/1/2017 16:00,24,12,NE,Sunny,0.0,68,10,1011,19,26,18,24,19,26,1
3/1/2017 17:00,22,11,NE,Sunny,0.0,75,10,1012,14,25,18,23,17,25,1
3/1/2017 18:00,21,9,ENE,Sunny,0.0,82,10,1012,8,24,18,22,15,22,1
