Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2010 00:00,-1,15,NNE,Overcast,0.0,91,10,996,100,-1,-2,-5,21,-5,1
1/1/2010 01:00,-1,17,NNE,Overcast,0.0,90,8,996,100,-1,-2,-6,23,-6,1
1/1/2010 02:00,-1,18,NNE,Moderate snow,0.0,89,7,996,100,-1,-2,-6,26,-6,1
1/1/2010 03:00,-1,20,NNE,Moderate snow,0.1,88,5,996,100,-1,-3,-6,28,-6,1
1/1/2010 04:00,-1,22,NNE,Moderate snow,0.0,88,7,996,100,-1,-3,-7,32,-7,1
1/1/2010 05:00,-1,25,NNE,Overcast,0.0,87,8,996,100,-1,-3,-7,35,-7,1
1/1/2010 06:00,-1,27,NNE,Overcast,0.0,87,10,997,100,-1,-3,-8,38,-8,1
1/1/2010 07:00,-1,26,NNE,Overcast,0.0,85,8,997,100,-1,-3,-8,37,-8,1
1/1/2010 08:00,-1,25,NNE,Moderate snow,0.0,84,7,998,100,-1,-4,-7,35,-7,1
1/1/2010 09:00,-1,24,NNE,Moderate snow,0.1,82,5,999,100,-1,-4,-7,33,-7,1
1/1/2010 10:00,-1,21,NNE,Moderate snow,0.0,82,7,999,100,-1,-4,-7,29,-7,1
1/1/2010 11:00,-1,18,NNE,Overcast,0.0,81,8,1000,100,-1,-3,-6,24,-6,1
1/1/2010 12:00,-0,15,N,Overcast,0.0,80,10,1000,100,-0,-3,-5,20,-5,1
1/1/2010 13:00,-0,17,NNE,Overcast,0.0,80,9,1000,84,-0,-3,-5,23,-5,1
1/1/2010 14:00,-0,18,NNE,Patchy moderate snow,0.0,80,8,1001,68,-0,-4,-5,26,-5,1
1/1/2010 15:00,-1,20,NNE,Patchy moderate snow,0.0,79,7,1001,52,-1,-4,-6,29,-6,1
1/1/2010 16:00,-1,17,SE,Patchy moderate snow,0.0,82,8,1003,38,-1,-4,-6,25,-6,1
1/1/2010 17:00,-2,14,SW,Sunny,0.0,84,9,1004,24,-2,-4,-6,22,-6,1
1/1/2010 18:00,-2,12,NNW,Sunny,0.0,86,10,1006,10,-2,-4,-6,19,-6,1
1/1/2010 19:00,-3,11,NNW,Clear,0.0,87,10,1006,6,-2,-4,-6,16,-6,1
1/1/2010 20:00,-3,10,NNW,Clear,0.0,87,10,1007,3,-2,-3,-5,14,-5,1
1/1/2010 21:00,-3,9,NNW,Clear,0.0,87,10,1008,0,-1,-3,-5,11,-5,1
1/1/2010 22:00,-3,8,NW,Clear,0.0,87,10,1009,2,-2,-3,-5,11,-5,1
1/1/2010 23:00,-3,8,WNW,Clear,0.0,87,10,1010,4,-2,-4,-5,11,-5,1
2/1/2010 00:00,-3,7,W,Clear,0.0,87,10,1010,5,-2,-4,-5,11,-5,1
2/1/2010 01:00,-3,8,W,Clear,0.0,87,10,1011,21,-2,-4,-5,13,-5,1
2/1/2010 02:00,-3,9,WSW,Partly cloudy,0.0,88,10,1012,37,-2,-4,-6,15,-6,1
2/1/2010 03:00,-3,10,SW,Partly cloudy,0.0,89,10,1012,53,-3,-4,-6,17,-6,1
2/1/2010 04:00,-3,10,SW,Partly cloudy,0.0,90,10,1013,47,-2,-4,-6,18,-6,1
2/1/2010 05:00,-3,11,SW,Partly cloudy,0.0,91,10,1013,42,-2,-4,-6,19,-6,1
2/1/2010 06:00,-3,12,SW,Partly cloudy,0.0,93,10,1014,37,-2,-3,-6,20,-6,1
2/1/2010 07:00,-2,13,SW,Partly cloudy,0.0,92,10,1014,37,-2,-3,-6,22,-6,1
2/1/2010 08:00,-2,15,SW,Partly cloudy,0.0,91,10,1014,37,-2,-3,-6,24,-6,1
2/1/2010 09:00,-1,17,SW,Partly cloudy,0.0,90,10,1015,37,-1,-3,-7,27,-7,1
2/1/2010 10:00,-1,17,SW,Partly cloudy,0.0,86,10,1015,45,-1,-3,-6,26,-6,1
2/1/2010 11:00,-0,17,SW,Partly cloudy,0.0,83,10,1016,53,-0,-3,-5,24,-5,1
2/1/2010 12:00,1,17,SW,Partly cloudy,0.0,79,10,1016,62,1,-3,-4,23,-4,1
2/1/2010 13:00,1,17,SW,Partly cloudy,0.0,82,10,1016,67,1,-2,-4,25,-4,1
2/1/2010 14:00,0,17,SW,Cloudy,0.0,84,10,1016,72,0,-2,-4,27,-4,1
2/1/2010 15:00,0,17,SW,Cloudy,0.0,86,10,1016,77,0,-2,-4,29,-4,1
2/1/2010 16:00,0,16,SW,Cloudy,0.0,88,10,1017,77,0,-2,-5,27,-5,1
2/1/2010 17:00,-0,15,SW,Cloudy,0.0,90,10,1017,78,-0,-2,-5,25,-5,1
2/1/2010 18:00,-1,14,SSW,Cloudy,0.0,93,10,1018,79,-1,-2,-5,24,-5,1
2/1/2010 19:00,-1,15,SSW,Cloudy,0.0,92,10,1018,79,-0,-2,-5,26,-5,1
2/1/2010 20:00,-0,16,SSW,Light snow,0.0,92,10,1018,79,-0,-1,-5,28,-5,1
2/1/2010 21:00,-0,18,SW,Light snow,0.0,92,10,1018,79,-0,-1,-5,30,-5,1
2/1/2010 22:00,-0,19,SW,Light snow,0.0,91,10,1018,80,0,-1,-5,31,-5,1
2/1/2010 23:00,0,20,SW,Cloudy,0.0,90,10,1018,82,0,-1,-5,33,-5,1
3/1/2010 00:00,0,21,SW,Cloudy,0.0,89,10,1018,84,0,-1,-5,34,-5,1
3/1/2010 01:00,1,20,SW,Cloudy,0.0,91,8,1018,89,1,-1,-4,32,-4,1
3/1/2010 02:00,1,19,WSW,Moderate or heavy snow with thunder,0.4,92,7,1018,95,1,-0,-4,31,-4,1
3/1/2010 03:00,1,18,WSW,Moderate or heavy snow with thunder,0.6,93,5,1018,100,1,-0,-4,29,-4,1
3/1/2010 04:00,-0,18,S,Moderate or heavy snow with thunder,0.3,94,7,1018,88,0,-1,-5,29,-5,1
3/1/2010 05:00,-1,18,E,Cloudy,0.0,94,8,1019,76,-1,-2,-6,28,-6,1
3/1/2010 06:00,-2,19,N,Cloudy,0.0,94,10,1019,64,-2,-3,-7,28,-7,1
3/1/2010 07:00,-3,19,NNE,Cloudy,0.0,92,9,1020,45,-3,-4,-8,28,-8,1
3/1/2010 08:00,-3,19,NNE,Patchy moderate snow,0.0,90,8,1021,27,-3,-5,-9,28,-9,1
3/1/2010 09:00,-4,19,NNE,Patchy moderate snow,0.1,88,7,1021,9,-4,-6,-10,28,-10,1
3/1/2010 10:00,-4,15,NNE,Patchy moderate snow,0.0,86,8,1022,7,-3,-5,-8,22,-8,1
3/1/2010 11:00,-3,12,NNE,Sunny,0.0,84,9,1022,6,-3,-5,-7,15,-7,1
3/1/2010 12:00,-3,8,NNE,Sunny,0.0,83,10,1023,4,-2,-4,-5,9,-5,1
3/1/2010 13:00,-3,9,NNE,Sunny,0.0,84,10,1023,7,-2,-4,-5,11,-5,1
3/1/2010 14:00,-3,10,NNE,Sunny,0.0,86,10,1022,9,-3,-4,-6,14,-6,1
3/1/2010 15:00,-3,11,NNE,Sunny,0.0,88,10,1022,12,-3,-5,-7,17,-7,1
3/1/2010 16:00,-4,10,NE,Sunny,0.0,90,10,1023,19,-4,-5,-8,16,-8,1
3/1/2010 17:00,-5,9,NE,Partly cloudy,0.0,92,10,1023,25,-4,-5,-8,15,-8,1
3/1/2010 18:00,-5,9,ENE,Partly cloudy,0.0,93,10,1023,32,-5,-6,-9,14,-9,1
3/1/2010 19:00,-5,7,ENE,Partly cloudy,0.0,93,10,1023,27,-5,-6,-8,12,-8,1
3/1/2010 20:00,-5,6,ENE,Clear,0.0,93,10,1024,22,-5,-6,-7,9,-7,1
3/1/2010 21:00,-6,4,ENE,Clear,0.0,93,10,1024,16,-5,-6,-7,7,-7,1
3/1/2010 22:00,-6,4,ENE,Clear,0.0,93,10,1023,13,-5,-6,-7,6,-7,1
3/1/2010 23:00,-6,4,ENE,Clear,0.0,93,10,1023,10,-5,-6,-7,6,-7,1
4/1/2010 00:00,-6,4,NE,Clear,0.0,93,10,1023,7,-5,-6,-6,5,-6,1
4/1/2010 01:00,-7,3,E,Clear,0.0,93,10,1022,13,-5,-6,-7,5,-7,1
4/1/2010 02:00,-7,3,ESE,Clear,0.0,93,10,1022,18,-6,-7,-7,5,-7,1
4/1/2010 03:00,-7,3,SSE,Clear,0.0,92,10,1022,23,-6,-7,-7,5,-7,1
4/1/2010 04:00,-7,4,S,Clear,0.0,91,10,1022,20,-6,-7,-8,7,-8,1
4/1/2010 05:00,-7,5,SSW,Clear,0.0,90,10,1022,17,-6,-8,-9,8,-9,1
4/1/2010 06:00,-8,6,SW,Clear,0.0,89,10,1021,14,-7,-8,-10,9,-10,1
4/1/2010 07:00,-7,6,SW,Clear,0.0,87,10,1021,33,-7,-8,-10,10,-10,1
4/1/2010 08:00,-7,7,SSW,Light snow,0.0,85,10,1020,52,-6,-8,-10,11,-10,1
4/1/2010 09:00,-6,8,SSW,Light snow,0.0,84,10,1020,71,-6,-8,-10,12,-10,1
4/1/2010 10:00,-5,9,SSW,Light snow,0.0,82,10,1019,67,-5,-8,-9,13,-9,1
4/1/2010 11:00,-4,9,SSW,Partly cloudy,0.0,80,10,1019,63,-4,-7,-8,13,-8,1
4/1/2010 12:00,-3,10,SSW,Partly cloudy,0.0,78,10,1018,59,-3,-6,-7,13,-7,1
4/1/2010 13:00,-3,11,SSW,Partly cloudy,0.0,80,10,1017,57,-3,-6,-8,17,-8,1
4/1/2010 14:00,-4,13,SSW,Partly cloudy,0.0,82,10,1016,54,-3,-6,-8,20,-8,1
4/1/2010 15:00,-4,15,SSW,Partly cloudy,0.0,84,10,1015,52,-4,-6,-9,24,-9,1
4/1/2010 16:00,-4,15,SSW,Partly cloudy,0.0,86,10,1015,66,-4,-6,-9,26,-9,1
4/1/2010 17:00,-4,16,SSW,Overcast,0.0,88,10,1015,80,-4,-5,-9,27,-9,1
4/1/2010 18:00,-4,17,SSW,Overcast,0.0,90,10,1015,94,-4,-5,-9,29,-9,1
4/1/2010 19:00,-3,16,SW,Overcast,0.0,92,7,1014,96,-3,-4,-9,28,-9,1
4/1/2010 20:00,-3,16,SW,Heavy snow,0.1,93,5,1014,98,-3,-4,-8,27,-8,1
4/1/2010 21:00,-2,15,SW,Heavy snow,0.2,95,2,1013,100,-2,-3,-7,26,-7,1
4/1/2010 22:00,-2,15,SW,Heavy snow,0.1,95,5,1013,100,-2,-3,-7,26,-7,1
4/1/2010 23:00,-2,15,SW,Overcast,0.0,95,7,1013,100,-2,-2,-6,26,-6,1
5/1/2010 00:00,-1,15,SW,Overcast,0.0,95,10,1012,100,-1,-2,-6,25,-6,1
5/1/2010 01:00,-1,15,SW,Overcast,0.0,96,8,1012,93,-1,-2,-6,24,-6,1
5/1/2010 02:00,-1,15,SW,Moderate snow,0.1,96,7,1011,86,-1,-2,-6,24,-6,1
5/1/2010 03:00,-1,14,SW,Moderate snow,0.1,96,5,1010,78,-1,-2,-6,23,-6,1
5/1/2010 04:00,-2,14,SW,Moderate snow,0.0,96,7,1010,76,-1,-2,-6,22,-6,1
5/1/2010 05:00,-2,13,SW,Cloudy,0.0,96,8,1009,74,-2,-2,-6,21,-6,1
5/1/2010 06:00,-3,13,SW,Cloudy,0.0,96,10,1009,72,-2,-3,-7,20,-7,1
5/1/2010 07:00,-3,13,SW,Cloudy,0.0,95,10,1009,72,-3,-3,-7,21,-7,1
5/1/2010 08:00,-3,14,SW,Cloudy,0.0,95,10,1008,72,-3,-3,-8,22,-8,1
5/1/2010 09:00,-3,14,SW,Cloudy,0.0,95,10,1008,72,-3,-4,-8,23,-8,1
5/1/2010 10:00,-2,13,SW,Cloudy,0.0,93,10,1007,60,-2,-3,-6,20,-6,1
5/1/2010 11:00,-1,12,SW,Partly cloudy,0.0,91,10,1007,49,-1,-2,-5,17,-5,1
5/1/2010 12:00,-0,10,SW,Partly cloudy,0.0,89,10,1007,37,0,-1,-3,13,-3,1
5/1/2010 13:00,-1,10,SW,Partly cloudy,0.0,91,7,1006,36,-0,-2,-4,14,-4,1
5/1/2010 14:00,-1,9,SSW,Mist,0.0,93,5,1006,35,-1,-2,-4,15,-4,1
5/1/2010 15:00,-2,9,SSW,Mist,0.0,95,2,1005,34,-1,-2,-5,15,-5,1
5/1/2010 16:00,-2,9,SSW,Mist,0.0,95,2,1005,48,-2,-3,-5,17,-5,1
5/1/2010 17:00,-3,9,SSW,Mist,0.0,95,2,1005,61,-3,-4,-6,18,-6,1
5/1/2010 18:00,-4,9,S,Mist,0.0,95,2,1005,74,-4,-4,-7,19,-7,1
5/1/2010 19:00,-4,9,S,Mist,0.0,94,5,1005,58,-4,-4,-7,18,-7,1
5/1/2010 20:00,-4,9,SSW,Partly cloudy,0.0,93,7,1004,42,-4,-5,-7,18,-7,1
5/1/2010 21:00,-4,9,SSW,Partly cloudy,0.0,92,10,1004,26,-4,-5,-7,18,-7,1
5/1/2010 22:00,-4,8,S,Partly cloudy,0.0,91,10,1004,22,-4,-5,-7,16,-7,1
