Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,26,17,ENE,Overcast,0.0,83,10,1016,100,28,23,26,28,28,1
1/1/2016 01:00,26,17,ENE,Overcast,0.0,83,10,1016,81,28,23,26,26,28,1
1/1/2016 02:00,26,16,ENE,Partly cloudy,0.0,83,10,1016,62,28,23,26,25,28,1
1/1/2016 03:00,26,15,ENE,Partly cloudy,0.0,82,10,1016,43,28,23,26,24,28,1
1/1/2016 04:00,26,14,ENE,Partly cloudy,0.0,80,10,1016,42,29,23,26,21,29,1
1/1/2016 05:00,27,13,ENE,Partly cloudy,0.0,78,10,1016,41,30,23,27,18,30,1
1/1/2016 06:00,27,12,ENE,Partly cloudy,0.0,75,10,1017,40,31,23,28,15,31,1
1/1/2016 07:00,28,16,ENE,Partly cloudy,0.0,73,10,1017,38,31,23,28,20,31,1
1/1/2016 08:00,28,19,ENE,Partly cloudy,0.0,71,10,1017,36,32,23,29,24,32,1
1/1/2016 09:00,29,23,ENE,Partly cloudy,0.0,69,10,1017,34,33,23,29,29,33,1
1/1/2016 10:00,29,24,E,Partly cloudy,0.0,67,10,1016,39,33,22,29,30,33,1
1/1/2016 11:00,30,24,E,Partly cloudy,0.0,64,10,1016,44,33,22,30,30,33,1
1/1/2016 12:00,30,24,E,Partly cloudy,0.0,62,10,1015,49,33,22,30,30,33,1
1/1/2016 13:00,29,23,E,Partly cloudy,0.0,66,10,1015,39,32,22,29,30,32,1
1/1/2016 14:00,28,22,E,Sunny,0.0,69,10,1015,29,31,22,28,30,31,1
1/1/2016 15:00,28,20,E,Sunny,0.0,72,10,1016,19,30,22,28,29,30,1
1/1/2016 16:00,27,18,ENE,Sunny,0.0,74,10,1016,28,30,22,27,26,30,1
1/1/2016 17:00,27,15,ENE,Partly cloudy,0.0,76,10,1016,37,30,22,27,22,30,1
1/1/2016 18:00,26,12,ENE,Partly cloudy,0.0,79,10,1017,46,29,22,27,18,29,1
1/1/2016 19:00,26,13,ENE,Partly cloudy,0.0,79,10,1017,43,29,22,26,19,29,1
1/1/2016 20:00,26,13,ENE,Partly cloudy,0.0,79,10,1017,40,29,22,26,20,29,1
1/1/2016 21:00,26,14,ENE,Partly cloudy,0.0,79,10,1018,37,29,22,26,21,29,1
1/1/2016 22:00,26,14,ENE,Partly cloudy,0.0,79,10,1017,43,29,22,26,21,29,1
1/1/2016 23:00,26,14,E,Partly cloudy,0.0,79,10,1017,49,29,22,26,21,29,1
2/1/2016 00:00,26,14,E,Partly cloudy,0.0,79,10,1016,55,28,22,26,21,28,1
2/1/2016 01:00,26,14,E,Partly cloudy,0.0,79,10,1016,65,28,22,26,21,28,1
2/1/2016 02:00,26,14,E,Cloudy,0.0,79,10,1016,76,28,22,26,21,28,1
2/1/2016 03:00,26,14,ENE,Cloudy,0.0,79,10,1016,86,28,22,26,21,28,1
2/1/2016 04:00,26,15,E,Cloudy,0.0,77,10,1017,83,29,22,26,22,29,1
2/1/2016 05:00,27,16,E,Cloudy,0.0,75,10,1017,80,29,22,27,23,29,1
2/1/2016 06:00,27,17,E,Cloudy,0.0,73,10,1017,77,30,22,27,23,30,1
2/1/2016 07:00,28,18,E,Cloudy,0.0,70,10,1017,66,31,22,28,23,31,1
2/1/2016 08:00,29,19,E,Partly cloudy,0.0,67,10,1017,55,32,22,29,23,32,1
2/1/2016 09:00,29,20,E,Partly cloudy,0.0,64,10,1017,44,33,22,30,23,33,1
2/1/2016 10:00,30,21,E,Partly cloudy,0.0,63,10,1016,38,33,22,30,24,33,1
2/1/2016 11:00,30,21,E,Partly cloudy,0.0,63,10,1016,33,33,22,30,26,33,1
2/1/2016 12:00,30,22,E,Partly cloudy,0.0,63,10,1015,27,33,22,30,27,33,1
2/1/2016 13:00,29,20,E,Partly cloudy,0.0,65,10,1015,23,33,22,29,26,33,1
2/1/2016 14:00,29,19,E,Sunny,0.0,68,10,1015,18,32,22,29,24,32,1
2/1/2016 15:00,28,17,E,Sunny,0.0,71,10,1015,14,31,22,28,23,31,1
2/1/2016 16:00,27,15,E,Sunny,0.0,73,10,1016,15,31,22,28,20,31,1
2/1/2016 17:00,27,13,E,Sunny,0.0,76,10,1016,15,30,23,27,18,30,1
2/1/2016 18:00,26,11,E,Sunny,0.0,79,10,1017,15,29,23,27,15,29,1
