Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,19,1,SSW,Mist,0.2,94,7,1015,51,19,18,19,1,19,1
1/1/2019 01:00,19,1,SSE,Mist,0.1,95,6,1015,42,19,18,19,3,19,1
1/1/2019 02:00,18,2,E,Mist,0.0,95,4,1015,33,18,17,18,4,18,1
1/1/2019 03:00,18,2,NE,Mist,0.0,95,2,1014,24,18,17,18,5,18,1
1/1/2019 04:00,18,2,ENE,Mist,0.0,93,3,1015,18,19,17,18,5,18,1
1/1/2019 05:00,19,2,E,Partly cloudy,0.0,91,4,1015,13,20,17,19,5,19,1
1/1/2019 06:00,20,3,E,Partly cloudy,0.0,89,5,1015,7,20,18,20,5,20,1
1/1/2019 07:00,21,3,SE,Partly cloudy,0.0,82,6,1015,7,23,18,21,5,21,1
1/1/2019 08:00,23,3,SSE,Partly cloudy,0.0,76,8,1016,7,25,18,23,5,25,1
1/1/2019 09:00,25,3,S,Partly cloudy,0.0,69,10,1016,6,28,19,25,4,28,1
1/1/2019 10:00,27,4,SSW,Partly cloudy,0.0,64,10,1016,13,29,19,27,5,29,1
1/1/2019 11:00,28,5,SW,Cloudy,0.0,59,10,1015,20,30,19,28,6,30,1
1/1/2019 12:00,30,5,WSW,Cloudy,0.0,54,10,1015,26,32,20,30,7,32,1
1/1/2019 13:00,29,6,WSW,Cloudy,0.0,57,10,1014,38,31,19,29,8,31,1
1/1/2019 14:00,28,6,WSW,Light rain shower,0.0,60,10,1014,49,30,19,28,9,30,1
1/1/2019 15:00,27,6,SW,Light rain shower,0.0,64,10,1013,60,28,19,27,9,28,1
1/1/2019 16:00,25,6,SW,Light rain shower,0.0,70,10,1014,60,27,19,25,9,27,1
1/1/2019 17:00,23,5,SSW,Patchy rain possible,0.1,77,10,1014,60,25,19,23,9,25,1
1/1/2019 18:00,22,4,SSW,Patchy rain possible,0.1,84,10,1014,60,23,19,22,9,22,1
1/1/2019 19:00,21,4,S,Patchy rain possible,0.1,87,9,1015,65,22,19,21,8,21,1
1/1/2019 20:00,20,3,S,Patchy rain possible,0.1,90,9,1015,69,21,19,20,6,20,1
1/1/2019 21:00,20,3,S,Patchy rain possible,0.1,94,9,1015,74,20,19,20,5,20,1
1/1/2019 22:00,19,2,S,Patchy rain possible,0.0,95,8,1015,76,19,18,19,4,19,1
1/1/2019 23:00,19,2,SSW,Fog,0.1,96,7,1015,79,19,18,19,4,19,1
2/1/2019 00:00,19,1,SW,Fog,0.1,97,6,1015,82,19,18,19,3,19,1
2/1/2019 01:00,18,1,SW,Fog,0.0,97,5,1015,81,18,18,18,3,18,1
2/1/2019 02:00,18,1,SW,Partly cloudy,0.0,97,4,1014,80,18,18,18,3,18,1
2/1/2019 03:00,18,1,SSW,Partly cloudy,0.0,97,3,1014,80,18,17,18,3,18,1
2/1/2019 04:00,18,1,S,Partly cloudy,0.0,95,6,1014,64,19,18,18,2,18,1
2/1/2019 05:00,19,1,SE,Partly cloudy,0.0,93,8,1015,48,19,18,19,2,19,1
2/1/2019 06:00,19,1,E,Partly cloudy,0.0,92,10,1015,32,20,18,19,2,19,1
2/1/2019 07:00,21,2,SSE,Partly cloudy,0.0,86,10,1015,34,22,18,21,3,21,1
2/1/2019 08:00,22,3,SSW,Patchy rain possible,0.0,80,10,1015,35,24,19,22,4,24,1
2/1/2019 09:00,24,3,W,Patchy rain possible,0.0,74,10,1016,37,26,19,24,5,26,1
2/1/2019 10:00,25,4,W,Patchy rain possible,0.0,70,10,1015,47,27,19,25,5,27,1
2/1/2019 11:00,27,4,W,Light rain shower,0.0,66,10,1015,57,29,20,27,5,29,1
2/1/2019 12:00,28,5,WSW,Light rain shower,0.0,62,10,1015,67,30,20,28,6,30,1
2/1/2019 13:00,27,5,WSW,Light rain shower,0.0,65,10,1014,64,29,20,27,6,29,1
2/1/2019 14:00,26,4,SW,Light rain shower,0.1,69,10,1014,60,28,20,26,7,28,1
2/1/2019 15:00,25,4,SW,Light rain shower,0.2,73,10,1013,57,27,20,25,7,27,1
2/1/2019 16:00,24,4,SSW,Light rain shower,0.1,78,10,1014,61,26,19,24,8,26,1
2/1/2019 17:00,22,4,SSW,Patchy rain possible,0.3,83,10,1014,65,24,19,22,8,24,1
2/1/2019 18:00,21,4,S,Patchy rain possible,0.4,88,10,1014,69,23,19,21,8,21,1
2/1/2019 19:00,20,3,S,Patchy rain possible,0.2,90,9,1015,73,22,19,20,7,20,1
2/1/2019 20:00,20,3,S,Patchy rain possible,0.2,92,9,1015,76,20,18,20,6,20,1
2/1/2019 21:00,19,2,S,Patchy rain possible,0.2,94,9,1016,80,19,18,19,4,19,1
2/1/2019 22:00,19,2,SSE,Patchy rain possible,0.1,95,8,1016,75,19,18,19,4,19,1
2/1/2019 23:00,19,1,SE,Mist,0.1,95,7,1016,70,19,18,19,3,19,1
3/1/2019 00:00,19,1,ESE,Mist,0.2,95,7,1016,65,19,18,19,3,19,1
3/1/2019 01:00,18,1,E,Mist,0.1,95,5,1015,51,18,18,18,3,18,1
3/1/2019 02:00,18,2,ENE,Mist,0.0,95,4,1015,38,18,17,18,3,18,1
3/1/2019 03:00,18,2,NE,Mist,0.0,95,2,1015,24,18,17,18,4,18,1
3/1/2019 04:00,18,2,ENE,Mist,0.0,93,3,1015,19,19,17,18,3,18,1
3/1/2019 05:00,19,2,ESE,Partly cloudy,0.0,91,4,1015,15,19,17,19,3,19,1
3/1/2019 06:00,19,1,SSE,Partly cloudy,0.0,89,5,1015,11,20,18,19,3,19,1
3/1/2019 07:00,21,2,SSW,Partly cloudy,0.0,83,6,1016,10,22,18,21,3,21,1
3/1/2019 08:00,23,2,W,Partly cloudy,0.0,76,8,1016,9,25,18,23,3,25,1
3/1/2019 09:00,25,2,NW,Partly cloudy,0.0,70,10,1017,8,27,19,25,2,27,1
3/1/2019 10:00,26,3,NW,Partly cloudy,0.0,64,10,1016,18,28,19,26,4,28,1
3/1/2019 11:00,28,4,WNW,Patchy rain possible,0.0,59,10,1016,27,29,19,28,5,29,1
3/1/2019 12:00,29,5,W,Patchy rain possible,0.0,54,10,1015,37,30,19,29,6,30,1
3/1/2019 13:00,28,5,W,Patchy rain possible,0.0,57,10,1015,54,29,18,28,7,29,1
3/1/2019 14:00,27,4,WSW,Patchy rain possible,0.1,60,10,1014,70,28,18,27,7,28,1
3/1/2019 15:00,26,4,WSW,Patchy rain possible,0.1,63,10,1014,87,27,18,26,8,27,1
3/1/2019 16:00,25,4,SW,Patchy rain possible,0.0,68,10,1014,87,26,18,25,8,26,1
3/1/2019 17:00,24,4,SW,Patchy rain possible,0.1,73,9,1014,86,25,18,24,7,25,1
3/1/2019 18:00,23,3,SSW,Patchy rain possible,0.1,78,9,1014,86,24,19,23,7,24,1
3/1/2019 19:00,22,3,S,Patchy rain possible,0.1,82,9,1014,85,23,19,22,7,22,1
3/1/2019 20:00,21,3,SSE,Mist,0.0,87,8,1015,83,21,18,21,7,21,1
3/1/2019 21:00,20,3,SSE,Mist,0.0,91,7,1015,82,20,18,20,7,20,1
3/1/2019 22:00,19,3,SSE,Mist,0.0,93,5,1015,83,19,18,19,6,19,1
3/1/2019 23:00,19,3,S,Fog,0.0,95,3,1015,84,19,18,19,5,19,1
4/1/2019 00:00,18,2,SSW,Fog,0.0,96,1,1015,85,18,18,18,4,18,1
4/1/2019 01:00,18,2,SW,Fog,0.0,96,2,1015,86,18,18,18,4,18,1
4/1/2019 02:00,18,1,WSW,Patchy rain possible,0.0,96,3,1015,87,18,17,18,3,18,1
4/1/2019 03:00,18,1,WNW,Patchy rain possible,0.0,96,3,1015,88,18,17,18,2,18,1
4/1/2019 04:00,18,1,WNW,Patchy rain possible,0.0,94,6,1015,73,19,17,18,2,18,1
4/1/2019 05:00,19,1,WNW,Partly cloudy,0.0,92,8,1015,59,19,17,19,2,19,1
4/1/2019 06:00,19,1,NW,Partly cloudy,0.0,90,10,1015,45,20,18,19,3,19,1
4/1/2019 07:00,21,2,WNW,Partly cloudy,0.0,83,10,1015,32,23,18,21,3,21,1
4/1/2019 08:00,23,2,WNW,Partly cloudy,0.0,77,10,1015,19,25,19,23,3,25,1
4/1/2019 09:00,25,3,WNW,Partly cloudy,0.0,71,10,1016,7,28,19,25,4,28,1
