Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,25,7,WNW,Patchy rain possible,0.3,93,9,1014,80,29,24,25,12,29,1
1/1/2019 01:00,25,7,WNW,Patchy rain possible,0.2,92,9,1013,68,28,24,25,12,28,1
1/1/2019 02:00,25,7,WNW,Patchy rain possible,0.1,92,9,1013,57,28,24,25,12,28,1
1/1/2019 03:00,25,8,WNW,Patchy rain possible,0.1,92,10,1013,45,28,24,25,12,28,1
1/1/2019 04:00,25,8,WNW,Patchy rain possible,0.0,91,10,1013,42,28,23,25,12,28,1
1/1/2019 05:00,25,8,WNW,Partly cloudy,0.0,90,10,1013,39,27,23,25,13,27,1
1/1/2019 06:00,25,8,WNW,Partly cloudy,0.0,89,10,1013,35,27,23,25,13,27,1
1/1/2019 07:00,26,8,WNW,Partly cloudy,0.0,84,10,1013,38,29,23,26,13,29,1
1/1/2019 08:00,27,9,WNW,Partly cloudy,0.0,79,10,1014,41,30,23,27,12,30,1
1/1/2019 09:00,28,9,WNW,Partly cloudy,0.0,74,10,1014,44,32,23,28,12,32,1
1/1/2019 10:00,29,9,NW,Partly cloudy,0.0,74,10,1014,53,33,23,29,13,33,1
1/1/2019 11:00,29,10,NW,Partly cloudy,0.5,73,10,1013,61,34,24,29,13,34,1
1/1/2019 12:00,30,10,NNW,Partly cloudy,0.7,73,9,1013,70,35,24,30,14,35,1
1/1/2019 13:00,30,10,NNW,Partly cloudy,0.4,71,9,1013,75,35,24,30,14,35,1
1/1/2019 14:00,30,10,NNW,Patchy rain possible,0.6,70,9,1012,80,35,24,30,15,35,1
1/1/2019 15:00,30,10,NNW,Patchy rain possible,0.8,68,9,1012,85,35,24,30,15,35,1
1/1/2019 16:00,29,10,NNW,Patchy rain possible,0.4,71,9,1012,86,34,23,29,14,34,1
1/1/2019 17:00,29,9,NNW,Patchy rain possible,0.4,73,9,1012,86,33,23,29,13,33,1
1/1/2019 18:00,28,8,NW,Patchy rain possible,0.6,76,9,1012,87,32,23,28,12,32,1
1/1/2019 19:00,27,8,NW,Patchy rain possible,0.3,79,9,1012,72,31,23,27,12,31,1
1/1/2019 20:00,27,7,NW,Patchy rain possible,0.1,82,9,1013,57,30,23,27,12,30,1
1/1/2019 21:00,26,7,NW,Patchy rain possible,0.2,85,10,1014,42,29,23,26,11,29,1
1/1/2019 22:00,26,7,WNW,Patchy rain possible,0.1,85,10,1014,34,28,23,26,11,28,1
1/1/2019 23:00,25,7,WNW,Partly cloudy,0.0,85,10,1014,27,28,23,25,11,28,1
2/1/2019 00:00,25,7,WNW,Partly cloudy,0.0,86,10,1014,19,27,22,25,11,27,1
2/1/2019 01:00,25,7,WNW,Partly cloudy,0.0,84,10,1014,19,27,22,25,12,27,1
2/1/2019 02:00,25,8,WNW,Partly cloudy,0.0,83,10,1014,19,27,22,25,13,27,1
2/1/2019 03:00,25,8,WNW,Partly cloudy,0.0,82,10,1013,19,27,21,25,14,27,1
