Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,21,11,NNE,Partly cloudy,0.0,85,10,1017,14,23,19,21,21,21,1
1/1/2019 01:00,21,11,ENE,Partly cloudy,0.0,86,10,1017,18,22,19,21,21,21,1
1/1/2019 02:00,21,11,E,Partly cloudy,0.0,87,10,1017,22,21,18,21,21,21,1
1/1/2019 03:00,20,11,ESE,Partly cloudy,0.0,88,10,1017,26,20,18,20,21,20,1
1/1/2019 04:00,20,12,SSE,Partly cloudy,0.0,88,10,1017,29,21,18,20,22,20,1
1/1/2019 05:00,20,13,SSW,Partly cloudy,0.0,87,10,1017,32,21,18,20,23,20,1
1/1/2019 06:00,21,14,SW,Partly cloudy,0.0,86,10,1018,35,21,18,21,23,21,1
1/1/2019 07:00,22,15,SSE,Partly cloudy,0.0,82,10,1018,41,23,19,22,23,22,1
1/1/2019 08:00,23,17,E,Cloudy,0.0,78,10,1018,47,24,19,23,23,24,1
1/1/2019 09:00,24,18,NNE,Cloudy,0.0,75,10,1019,54,26,19,24,23,26,1
1/1/2019 10:00,25,19,NNE,Cloudy,0.0,72,10,1018,58,27,19,25,23,27,1
1/1/2019 11:00,26,20,NNE,Partly cloudy,0.0,69,10,1018,63,28,20,26,23,28,1
1/1/2019 12:00,27,20,NNE,Partly cloudy,0.0,66,10,1017,68,28,20,27,23,28,1
1/1/2019 13:00,27,20,NE,Partly cloudy,0.0,66,10,1017,55,28,20,27,23,28,1
1/1/2019 14:00,26,19,NE,Sunny,0.0,66,10,1016,42,28,20,26,23,28,1
1/1/2019 15:00,26,19,NE,Sunny,0.0,67,10,1016,28,28,20,26,23,28,1
1/1/2019 16:00,25,17,NE,Sunny,0.0,70,10,1016,19,27,20,25,23,27,1
1/1/2019 17:00,25,15,NE,Sunny,0.0,73,10,1016,9,26,19,25,22,26,1
1/1/2019 18:00,24,14,NE,Sunny,0.0,77,10,1016,0,26,19,24,22,26,1
