Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2009 00:00,26,15,WSW,Partly cloudy,0.0,84,10,1007,48,30,24,27,23,30,1
1/1/2009 01:00,26,15,WSW,Partly cloudy,0.0,84,10,1007,44,30,24,26,22,30,1
1/1/2009 02:00,26,15,WSW,Partly cloudy,0.0,84,10,1006,40,30,24,26,21,30,1
1/1/2009 03:00,26,14,WSW,Partly cloudy,0.0,85,10,1006,37,30,24,26,20,30,1
1/1/2009 04:00,26,13,WSW,Partly cloudy,0.0,84,10,1007,43,30,24,27,18,30,1
1/1/2009 05:00,27,11,W,Partly cloudy,0.0,83,10,1007,49,30,24,27,15,30,1
1/1/2009 06:00,27,10,W,Partly cloudy,0.0,81,10,1008,55,31,24,27,13,31,1
1/1/2009 07:00,27,10,W,Partly cloudy,0.0,80,10,1008,49,31,24,27,12,31,1
1/1/2009 08:00,27,9,W,Partly cloudy,0.0,79,10,1008,44,31,24,28,12,31,1
1/1/2009 09:00,27,9,WNW,Partly cloudy,0.0,78,10,1008,38,32,24,28,11,32,1
1/1/2009 10:00,28,9,W,Partly cloudy,0.0,76,10,1008,36,32,23,28,10,32,1
1/1/2009 11:00,28,8,WSW,Partly cloudy,0.0,75,10,1007,35,32,23,28,10,32,1
1/1/2009 12:00,28,8,WSW,Partly cloudy,0.0,73,10,1007,34,32,23,28,9,32,1
1/1/2009 13:00,28,9,WSW,Partly cloudy,0.0,74,10,1006,31,32,23,28,11,32,1
1/1/2009 14:00,28,10,SW,Partly cloudy,0.0,75,10,1006,28,31,23,28,13,31,1
1/1/2009 15:00,28,12,SW,Partly cloudy,0.0,75,10,1006,26,31,23,28,16,31,1
1/1/2009 16:00,27,11,SW,Partly cloudy,0.0,76,10,1006,25,31,23,28,15,31,1
1/1/2009 17:00,27,10,SW,Sunny,0.0,78,10,1007,24,31,23,27,14,31,1
1/1/2009 18:00,27,10,SW,Sunny,0.0,79,10,1007,24,31,23,27,13,31,1
1/1/2009 19:00,27,11,SW,Clear,0.0,79,10,1008,26,31,23,27,15,31,1
1/1/2009 20:00,27,12,SW,Partly cloudy,0.0,80,10,1008,28,30,23,27,17,30,1
1/1/2009 21:00,27,13,SW,Partly cloudy,0.0,81,10,1008,30,30,23,27,18,30,1
1/1/2009 22:00,27,11,SW,Partly cloudy,0.0,81,10,1008,39,30,23,27,16,30,1
1/1/2009 23:00,27,10,WSW,Partly cloudy,0.0,81,10,1008,48,30,24,27,15,30,1
2/1/2009 00:00,27,9,WSW,Partly cloudy,0.0,82,10,1008,57,31,24,27,13,31,1
2/1/2009 01:00,27,10,WSW,Partly cloudy,0.0,82,10,1008,55,30,24,27,14,30,1
2/1/2009 02:00,27,11,WSW,Partly cloudy,0.0,82,10,1008,53,30,23,27,16,30,1
2/1/2009 03:00,26,12,W,Partly cloudy,0.0,82,10,1008,51,30,23,27,17,30,1
2/1/2009 04:00,27,14,WSW,Partly cloudy,0.0,82,10,1008,53,30,24,27,20,30,1
2/1/2009 05:00,27,17,WSW,Partly cloudy,0.0,81,10,1008,54,31,24,27,23,31,1
2/1/2009 06:00,27,19,WSW,Partly cloudy,0.0,81,10,1009,56,31,24,27,26,31,1
2/1/2009 07:00,28,19,WSW,Partly cloudy,0.0,80,10,1009,50,31,24,28,26,31,1
2/1/2009 08:00,28,19,WSW,Partly cloudy,0.0,79,10,1009,45,32,24,28,26,32,1
2/1/2009 09:00,28,19,WSW,Partly cloudy,0.0,78,10,1009,40,32,24,28,26,32,1
2/1/2009 10:00,28,17,WSW,Partly cloudy,0.0,77,10,1008,36,32,24,28,22,32,1
2/1/2009 11:00,28,14,WSW,Partly cloudy,0.0,77,10,1008,32,33,24,28,18,33,1
2/1/2009 12:00,28,12,WSW,Partly cloudy,0.0,76,10,1007,28,33,24,29,14,33,1
2/1/2009 13:00,28,12,SW,Partly cloudy,0.0,76,10,1007,35,33,24,29,15,33,1
2/1/2009 14:00,28,12,SW,Partly cloudy,0.0,76,10,1007,41,32,24,28,15,32,1
2/1/2009 15:00,28,12,SW,Partly cloudy,0.0,76,10,1007,48,32,23,28,16,32,1
2/1/2009 16:00,28,13,SW,Partly cloudy,0.0,76,10,1007,43,31,23,28,19,31,1
2/1/2009 17:00,27,15,SW,Partly cloudy,0.0,77,10,1008,38,31,23,27,22,31,1
2/1/2009 18:00,27,17,WSW,Partly cloudy,0.0,77,10,1008,33,30,23,27,25,30,1
2/1/2009 19:00,27,16,WSW,Partly cloudy,0.0,78,10,1008,34,30,23,27,23,30,1
2/1/2009 20:00,27,15,WSW,Partly cloudy,0.0,79,10,1009,36,30,23,27,22,30,1
2/1/2009 21:00,27,14,WSW,Partly cloudy,0.0,79,10,1009,38,30,23,27,20,30,1
2/1/2009 22:00,27,15,WSW,Partly cloudy,0.0,80,10,1009,37,30,23,27,22,30,1
2/1/2009 23:00,27,16,WSW,Partly cloudy,0.0,80,10,1008,36,30,23,27,24,30,1
3/1/2009 00:00,27,17,WSW,Partly cloudy,0.0,80,10,1008,34,30,23,27,25,30,1
3/1/2009 01:00,27,18,WSW,Partly cloudy,0.0,80,10,1008,39,30,23,27,26,30,1
3/1/2009 02:00,27,18,WSW,Partly cloudy,0.0,80,10,1008,44,30,23,27,26,30,1
3/1/2009 03:00,27,18,WSW,Partly cloudy,0.0,79,10,1007,49,29,23,27,27,29,1
3/1/2009 04:00,27,18,WSW,Partly cloudy,0.0,79,10,1008,47,30,23,27,26,30,1
3/1/2009 05:00,27,18,WSW,Partly cloudy,0.0,78,10,1008,46,30,23,27,26,30,1
3/1/2009 06:00,27,18,WSW,Partly cloudy,0.0,78,10,1008,45,30,23,27,25,30,1
3/1/2009 07:00,27,18,WSW,Partly cloudy,0.0,77,10,1008,37,30,23,27,26,30,1
