Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2018 00:00,23,8,NE,Clear,0.0,86,10,1009,17,26,22,24,12,26,1
1/1/2018 01:00,23,8,NE,Clear,0.0,87,10,1009,16,26,22,24,12,26,1
1/1/2018 02:00,23,8,NE,Clear,0.0,87,10,1009,16,26,21,24,12,26,1
1/1/2018 03:00,23,8,NE,Clear,0.0,88,10,1009,15,26,21,24,12,26,1
1/1/2018 04:00,24,8,NE,Clear,0.0,83,10,1009,14,27,21,25,11,27,1
1/1/2018 05:00,25,8,NE,Clear,0.0,78,10,1010,13,28,21,26,10,28,1
1/1/2018 06:00,26,8,NNE,Clear,0.0,73,10,1010,12,29,22,27,10,29,1
1/1/2018 07:00,27,8,SE,Sunny,0.0,66,10,1010,12,31,21,28,10,31,1
1/1/2018 08:00,29,8,WSW,Sunny,0.0,60,10,1010,12,32,21,30,10,32,1
1/1/2018 09:00,30,8,NNW,Sunny,0.0,53,10,1011,12,34,21,31,10,34,1
1/1/2018 10:00,30,10,NNW,Sunny,0.0,54,10,1010,12,34,21,31,11,34,1
1/1/2018 11:00,30,11,NNW,Sunny,0.0,55,10,1009,12,34,21,31,13,34,1
1/1/2018 12:00,30,13,NW,Sunny,0.0,55,10,1008,11,34,21,31,15,34,1
1/1/2018 13:00,29,12,NW,Sunny,0.0,61,10,1008,11,33,21,30,15,33,1
1/1/2018 14:00,28,11,NW,Sunny,0.0,67,10,1008,11,31,22,29,14,31,1
1/1/2018 15:00,27,10,NW,Sunny,0.0,72,10,1008,11,30,22,28,14,30,1
1/1/2018 16:00,26,9,NNW,Sunny,0.0,75,10,1008,11,29,22,27,13,29,1
1/1/2018 17:00,25,8,NNW,Sunny,0.0,79,10,1009,11,29,22,26,13,29,1
1/1/2018 18:00,25,8,N,Sunny,0.0,82,10,1010,12,28,22,26,12,28,1
1/1/2018 19:00,24,7,WSW,Clear,0.0,83,10,1010,12,28,22,25,11,28,1
1/1/2018 20:00,24,6,SSE,Clear,0.0,83,10,1010,12,27,22,25,10,27,1
1/1/2018 21:00,24,5,NE,Clear,0.0,84,10,1010,12,27,22,25,8,27,1
1/1/2018 22:00,24,6,ENE,Clear,0.0,84,10,1010,13,27,22,25,8,27,1
1/1/2018 23:00,23,6,ENE,Clear,0.0,84,10,1009,13,27,22,25,8,27,1
2/1/2018 00:00,23,6,E,Clear,0.0,85,10,1009,14,27,22,25,8,27,1
2/1/2018 01:00,23,5,E,Clear,0.0,85,10,1009,16,26,22,24,8,26,1
2/1/2018 02:00,23,5,E,Clear,0.0,85,10,1009,18,26,21,24,8,26,1
2/1/2018 03:00,23,5,E,Clear,0.0,85,10,1009,21,26,21,24,7,26,1
2/1/2018 04:00,24,5,ENE,Clear,0.0,80,10,1009,22,27,21,25,7,27,1
2/1/2018 05:00,25,4,ENE,Clear,0.0,74,10,1010,23,28,21,26,6,28,1
2/1/2018 06:00,26,4,ENE,Clear,0.0,69,10,1010,25,30,21,27,5,30,1
2/1/2018 07:00,28,5,SSE,Sunny,0.0,64,10,1010,27,31,21,29,6,31,1
2/1/2018 08:00,29,6,WSW,Partly cloudy,0.0,59,10,1010,29,32,21,30,7,32,1
2/1/2018 09:00,30,6,NNW,Partly cloudy,0.0,54,10,1010,31,34,21,31,7,34,1
2/1/2018 10:00,30,8,NW,Partly cloudy,0.0,55,10,1010,32,34,21,31,10,34,1
2/1/2018 11:00,30,10,NW,Partly cloudy,0.0,56,10,1009,32,34,21,31,12,34,1
2/1/2018 12:00,30,12,NW,Partly cloudy,0.0,56,10,1008,33,33,21,31,14,33,1
2/1/2018 13:00,29,11,NW,Partly cloudy,0.0,61,10,1008,30,32,21,29,14,32,1
2/1/2018 14:00,28,11,NW,Partly cloudy,0.0,65,10,1008,28,31,21,28,14,31,1
2/1/2018 15:00,27,10,NW,Partly cloudy,0.0,70,10,1008,26,30,21,27,14,30,1
2/1/2018 16:00,26,9,NNW,Partly cloudy,0.0,73,10,1009,29,29,21,27,14,29,1
2/1/2018 17:00,26,8,NNW,Partly cloudy,0.0,76,10,1009,31,28,22,26,13,28,1
2/1/2018 18:00,25,8,N,Partly cloudy,0.0,80,10,1010,34,28,22,25,13,28,1
2/1/2018 19:00,25,7,WSW,Partly cloudy,0.0,80,10,1010,35,27,22,25,12,27,1
2/1/2018 20:00,24,7,SSE,Partly cloudy,0.0,81,10,1011,35,27,21,25,12,27,1
2/1/2018 21:00,24,7,NE,Partly cloudy,0.0,81,10,1011,35,27,21,25,12,27,1
2/1/2018 22:00,24,7,NE,Partly cloudy,0.0,81,10,1010,31,27,21,25,12,27,1
2/1/2018 23:00,24,7,ENE,Clear,0.0,81,10,1010,27,27,21,25,11,27,1
3/1/2018 00:00,24,7,ENE,Clear,0.0,81,10,1009,24,27,21,25,11,27,1
3/1/2018 01:00,23,6,ENE,Clear,0.0,81,10,1009,23,26,21,24,10,26,1
3/1/2018 02:00,23,5,E,Clear,0.0,81,10,1009,22,26,21,24,9,26,1
3/1/2018 03:00,23,5,E,Clear,0.0,81,10,1010,22,26,21,24,7,26,1
3/1/2018 04:00,24,5,E,Clear,0.0,76,10,1010,23,27,21,25,7,27,1
3/1/2018 05:00,25,4,E,Partly cloudy,0.0,72,10,1011,24,29,21,26,6,29,1
3/1/2018 06:00,27,4,E,Partly cloudy,0.0,68,10,1011,25,30,21,28,5,30,1
3/1/2018 07:00,28,6,SSE,Partly cloudy,0.0,62,10,1011,26,31,21,29,7,31,1
3/1/2018 08:00,29,8,WSW,Partly cloudy,0.0,57,10,1011,26,32,20,30,9,32,1
3/1/2018 09:00,30,9,NNW,Partly cloudy,0.0,51,10,1011,26,33,20,31,11,33,1
3/1/2018 10:00,30,11,NNW,Partly cloudy,0.0,53,10,1010,25,33,20,31,13,33,1
3/1/2018 11:00,30,13,NNW,Sunny,0.0,54,10,1010,24,33,20,31,15,33,1
3/1/2018 12:00,30,15,NW,Sunny,0.0,56,10,1009,23,33,21,31,17,33,1
3/1/2018 13:00,29,15,NNW,Sunny,0.0,61,10,1009,20,32,21,29,19,32,1
3/1/2018 14:00,28,15,NNW,Sunny,0.0,66,10,1009,18,31,21,28,20,31,1
3/1/2018 15:00,27,15,NNW,Sunny,0.0,71,10,1009,16,30,22,27,22,30,1
3/1/2018 16:00,26,14,SW,Sunny,0.0,74,10,1010,14,29,22,27,22,29,1
3/1/2018 17:00,26,14,ESE,Sunny,0.0,77,10,1011,13,29,22,26,22,29,1
3/1/2018 18:00,25,14,N,Sunny,0.0,80,10,1011,12,28,22,26,23,28,1
3/1/2018 19:00,25,14,NNE,Clear,0.0,78,10,1011,14,27,21,25,24,27,1
3/1/2018 20:00,24,15,NNE,Clear,0.0,77,10,1012,15,27,20,25,25,27,1
3/1/2018 21:00,24,15,NE,Clear,0.0,75,10,1012,17,26,19,24,26,26,1
3/1/2018 22:00,24,15,NE,Clear,0.0,76,10,1012,17,26,19,24,25,26,1
3/1/2018 23:00,23,14,NE,Clear,0.0,77,10,1011,18,26,19,24,24,26,1
4/1/2018 00:00,23,14,NE,Clear,0.0,78,10,1011,18,25,19,23,23,25,1
4/1/2018 01:00,23,12,NE,Clear,0.0,78,10,1011,18,25,19,23,21,25,1
4/1/2018 02:00,22,11,NE,Clear,0.0,78,10,1011,18,25,19,23,19,25,1
4/1/2018 03:00,22,10,NE,Clear,0.0,79,10,1011,19,25,19,23,17,23,1
4/1/2018 04:00,23,10,NE,Clear,0.0,73,10,1012,18,26,19,24,16,26,1
4/1/2018 05:00,24,11,NE,Clear,0.0,68,10,1012,17,26,18,25,15,26,1
4/1/2018 06:00,25,12,NE,Clear,0.0,63,10,1013,16,27,18,26,14,27,1
4/1/2018 07:00,27,14,NNE,Sunny,0.0,57,10,1013,12,29,18,27,16,29,1
4/1/2018 08:00,29,16,NNE,Sunny,0.0,52,10,1013,8,30,18,29,18,30,1
4/1/2018 09:00,30,18,NNE,Sunny,0.0,46,10,1012,5,32,18,31,20,32,1
4/1/2018 10:00,31,18,SE,Sunny,0.0,46,10,1012,4,32,18,31,21,32,1
4/1/2018 11:00,31,18,WSW,Sunny,0.0,46,10,1011,3,32,18,31,21,32,1
4/1/2018 12:00,31,19,N,Sunny,0.0,46,10,1010,2,33,18,31,22,33,1
4/1/2018 13:00,30,17,N,Sunny,0.0,52,10,1010,1,32,19,30,21,32,1
4/1/2018 14:00,29,16,NNW,Sunny,0.0,57,10,1009,1,31,20,29,21,31,1
4/1/2018 15:00,27,15,NNW,Sunny,0.0,63,10,1009,0,31,21,29,21,31,1
4/1/2018 16:00,26,15,SW,Sunny,0.0,65,10,1010,0,30,21,28,21,30,1
4/1/2018 17:00,26,15,SE,Sunny,0.0,67,10,1010,0,29,20,27,22,29,1
4/1/2018 18:00,25,14,NNE,Sunny,0.0,69,10,1011,0,28,20,26,22,28,1
4/1/2018 19:00,24,15,NNE,Clear,0.0,72,10,1011,0,27,20,25,23,27,1
4/1/2018 20:00,23,15,NNE,Clear,0.0,74,10,1011,0,26,20,24,23,26,1
4/1/2018 21:00,23,15,NE,Clear,0.0,76,10,1012,0,26,19,24,24,26,1
4/1/2018 22:00,22,15,NE,Clear,0.0,79,10,1011,0,25,20,24,22,25,1
4/1/2018 23:00,22,15,NE,Clear,0.0,81,10,1011,0,25,20,23,21,25,1
5/1/2018 00:00,22,14,NE,Clear,0.0,84,10,1011,0,25,20,23,19,23,1
5/1/2018 01:00,21,15,NE,Clear,0.0,84,10,1011,0,25,20,23,20,23,1
5/1/2018 02:00,21,15,NE,Clear,0.0,84,10,1011,0,25,20,23,21,23,1
5/1/2018 03:00,21,15,NE,Clear,0.0,85,10,1011,0,25,20,22,22,22,1
5/1/2018 04:00,22,16,NE,Clear,0.0,80,10,1011,0,25,19,23,21,23,1
5/1/2018 05:00,23,17,NE,Clear,0.0,75,10,1012,0,26,19,24,21,26,1
5/1/2018 06:00,24,17,NE,Clear,0.0,69,10,1012,0,26,19,25,21,26,1
5/1/2018 07:00,26,17,NNE,Sunny,0.0,62,10,1012,0,28,18,26,20,28,1
