Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2016 00:00,19,6,NE,Partly cloudy,0.0,91,10,1013,30,19,18,19,10,19,1
1/1/2016 01:00,19,6,NE,Partly cloudy,0.0,91,10,1013,31,19,18,19,10,19,1
1/1/2016 02:00,19,6,ENE,Partly cloudy,0.0,92,10,1013,33,19,18,19,10,19,1
1/1/2016 03:00,19,6,ENE,Partly cloudy,0.0,92,10,1013,34,19,18,19,10,19,1
1/1/2016 04:00,20,6,ENE,Partly cloudy,0.0,87,10,1014,31,21,18,20,9,20,1
1/1/2016 05:00,21,6,NE,Clear,0.0,82,10,1014,28,23,18,22,9,22,1
1/1/2016 06:00,23,7,NE,Clear,0.0,77,10,1015,25,25,18,23,8,25,1
1/1/2016 07:00,24,7,NE,Sunny,0.0,72,10,1015,40,26,18,24,8,26,1
1/1/2016 08:00,25,7,NE,Cloudy,0.0,67,10,1015,56,27,19,25,8,27,1
1/1/2016 09:00,26,7,NE,Cloudy,0.0,62,10,1015,72,28,19,27,8,28,1
1/1/2016 10:00,26,7,NE,Cloudy,0.0,64,10,1014,61,28,19,26,8,28,1
1/1/2016 11:00,26,6,NE,Patchy rain possible,0.2,66,9,1013,49,28,19,26,8,28,1
1/1/2016 12:00,26,6,NE,Patchy rain possible,0.2,69,9,1012,38,27,20,26,8,27,1
1/1/2016 13:00,24,5,NE,Patchy rain possible,0.1,75,9,1013,38,27,20,25,7,27,1
1/1/2016 14:00,23,4,NE,Partly cloudy,0.0,81,10,1013,39,26,20,23,6,26,1
1/1/2016 15:00,22,4,NE,Partly cloudy,0.0,88,10,1013,40,25,20,22,5,22,1
1/1/2016 16:00,21,4,NE,Partly cloudy,0.0,89,10,1014,36,23,20,21,6,21,1
1/1/2016 17:00,20,5,NE,Partly cloudy,0.0,91,10,1014,32,21,19,20,8,20,1
1/1/2016 18:00,19,5,NE,Partly cloudy,0.0,93,10,1015,28,20,18,20,9,20,1
1/1/2016 19:00,19,5,NE,Partly cloudy,0.0,92,10,1015,25,19,18,19,9,19,1
1/1/2016 20:00,19,5,NE,Clear,0.0,92,10,1015,23,19,18,19,9,19,1
1/1/2016 21:00,19,5,NE,Clear,0.0,91,10,1016,20,19,17,19,9,19,1
1/1/2016 22:00,19,5,NE,Clear,0.0,91,10,1015,21,19,17,19,8,19,1
1/1/2016 23:00,18,5,NE,Clear,0.0,91,10,1015,22,19,17,19,8,19,1
2/1/2016 00:00,18,4,NE,Clear,0.0,91,10,1014,22,19,17,19,8,19,1
2/1/2016 01:00,18,4,NE,Clear,0.0,91,10,1014,24,19,17,19,8,19,1
2/1/2016 02:00,18,4,NE,Partly cloudy,0.0,91,10,1014,26,19,17,19,8,19,1
2/1/2016 03:00,18,4,NE,Partly cloudy,0.0,92,10,1014,27,19,17,19,8,19,1
2/1/2016 04:00,20,5,NE,Partly cloudy,0.0,86,10,1015,38,21,17,20,8,20,1
2/1/2016 05:00,21,6,NE,Partly cloudy,0.0,80,10,1016,50,23,18,21,7,21,1
2/1/2016 06:00,23,6,NE,Partly cloudy,0.0,74,10,1016,61,25,18,23,7,25,1
2/1/2016 07:00,24,6,NE,Partly cloudy,0.0,70,10,1016,72,26,18,24,7,26,1
2/1/2016 08:00,25,5,NE,Overcast,0.0,66,10,1016,83,27,18,25,6,27,1
2/1/2016 09:00,26,5,NNE,Overcast,0.0,62,10,1016,95,28,19,27,6,28,1
2/1/2016 10:00,26,5,NE,Overcast,0.0,67,9,1015,76,28,19,26,6,28,1
2/1/2016 11:00,25,4,NE,Moderate or heavy rain shower,1.2,71,8,1014,57,27,20,26,6,27,1
2/1/2016 12:00,25,4,NE,Moderate or heavy rain shower,1.6,76,7,1013,38,27,21,25,7,27,1
