Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2019 00:00,24,23,NE,Partly cloudy,0.0,83,10,1016,34,26,21,24,34,26,1
1/1/2019 01:00,24,23,NE,Partly cloudy,0.0,84,10,1015,32,26,21,24,34,26,1
1/1/2019 02:00,24,23,NE,Partly cloudy,0.0,84,10,1015,31,26,21,24,34,26,1
1/1/2019 03:00,24,23,NE,Partly cloudy,0.0,85,10,1015,29,26,21,24,33,26,1
1/1/2019 04:00,24,23,NE,Partly cloudy,0.0,84,10,1015,27,26,21,24,33,26,1
1/1/2019 05:00,24,24,NE,Partly cloudy,0.0,83,10,1016,25,26,21,24,33,26,1
1/1/2019 06:00,24,24,NE,Partly cloudy,0.0,82,10,1016,22,26,21,24,33,26,1
1/1/2019 07:00,25,24,NE,Partly cloudy,0.0,80,10,1016,25,27,21,25,33,27,1
1/1/2019 08:00,25,24,NE,Partly cloudy,0.0,78,10,1017,28,27,21,25,32,27,1
1/1/2019 09:00,26,24,NE,Partly cloudy,0.0,75,10,1017,30,28,21,26,31,28,1
1/1/2019 10:00,26,24,NE,Partly cloudy,0.0,74,10,1016,36,29,21,26,30,29,1
1/1/2019 11:00,27,23,NE,Partly cloudy,0.0,72,10,1016,41,29,21,27,29,29,1
1/1/2019 12:00,27,22,NNE,Partly cloudy,0.0,70,10,1015,47,30,22,27,28,30,1
1/1/2019 13:00,27,23,NNE,Partly cloudy,0.0,71,10,1015,47,30,22,27,30,30,1
1/1/2019 14:00,27,24,NNE,Cloudy,0.0,72,10,1014,48,29,22,27,32,29,1
1/1/2019 15:00,27,24,NNE,Cloudy,0.0,72,10,1014,48,29,22,27,34,29,1
1/1/2019 16:00,26,25,NE,Cloudy,0.0,73,10,1014,47,29,21,26,35,29,1
1/1/2019 17:00,26,25,NE,Partly cloudy,0.0,75,10,1014,45,28,21,26,37,28,1
1/1/2019 18:00,26,26,NE,Partly cloudy,0.0,76,10,1015,44,28,21,26,39,28,1
1/1/2019 19:00,25,26,NE,Partly cloudy,0.0,77,10,1015,30,27,21,25,39,27,1
1/1/2019 20:00,25,26,NE,Partly cloudy,0.0,78,10,1016,17,27,20,25,39,27,1
1/1/2019 21:00,24,26,NE,Partly cloudy,0.0,79,10,1016,4,26,20,24,39,26,1
1/1/2019 22:00,24,25,NE,Partly cloudy,0.0,79,10,1016,6,26,20,24,37,26,1
1/1/2019 23:00,24,24,NE,Partly cloudy,0.0,80,10,1016,8,26,20,24,36,26,1
2/1/2019 00:00,23,24,NE,Partly cloudy,0.0,81,10,1016,11,25,20,23,35,25,1
2/1/2019 01:00,23,23,NE,Partly cloudy,0.0,82,10,1015,16,25,20,23,34,25,1
