Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2015 00:00,22,3,SSE,Mist,0.0,96,2,1009,65,24,21,22,7,22,1
1/1/2015 01:00,21,3,S,Mist,0.0,96,2,1009,55,23,21,21,7,21,1
1/1/2015 02:00,21,3,SSW,Mist,0.0,96,2,1009,44,22,21,21,6,21,1
1/1/2015 03:00,21,3,SW,Mist,0.0,97,2,1009,33,21,20,21,6,21,1
1/1/2015 04:00,23,4,SW,Mist,0.0,93,5,1010,26,23,21,23,6,23,1
1/1/2015 05:00,24,5,SW,Clear,0.0,89,7,1010,19,26,22,24,6,26,1
1/1/2015 06:00,25,5,SW,Clear,0.0,85,10,1011,12,28,23,26,7,28,1
1/1/2015 07:00,27,6,SW,Sunny,0.0,76,10,1011,17,30,23,27,7,30,1
1/1/2015 08:00,29,7,WSW,Partly cloudy,0.0,68,10,1011,22,33,22,29,8,33,1
1/1/2015 09:00,31,8,WSW,Partly cloudy,0.0,59,10,1010,27,35,22,31,9,35,1
1/1/2015 10:00,31,8,WSW,Partly cloudy,0.0,59,10,1010,33,35,22,31,10,35,1
1/1/2015 11:00,32,9,WSW,Patchy rain possible,0.1,58,9,1009,39,36,22,32,10,36,1
1/1/2015 12:00,32,9,WSW,Patchy rain possible,0.2,57,9,1008,45,37,23,32,11,37,1
1/1/2015 13:00,30,8,WSW,Patchy rain possible,0.1,65,9,1008,54,34,23,30,10,34,1
1/1/2015 14:00,28,6,W,Cloudy,0.0,72,10,1008,63,32,23,28,9,32,1
1/1/2015 15:00,27,5,W,Cloudy,0.0,80,10,1009,71,30,23,27,9,30,1
1/1/2015 16:00,26,4,W,Cloudy,0.0,84,10,1010,70,29,23,26,6,29,1
1/1/2015 17:00,25,2,W,Light rain shower,0.1,88,10,1010,68,28,23,25,4,28,1
1/1/2015 18:00,24,1,W,Light rain shower,0.2,92,10,1011,67,26,23,24,1,26,1
1/1/2015 19:00,23,1,SW,Light rain shower,0.1,94,7,1011,57,26,22,23,2,26,1
1/1/2015 20:00,23,1,SSW,Mist,0.0,95,5,1011,48,25,22,23,3,25,1
1/1/2015 21:00,22,2,S,Mist,0.0,96,2,1012,38,25,22,22,4,25,1
1/1/2015 22:00,22,2,S,Mist,0.0,96,1,1011,59,25,21,22,4,22,1
1/1/2015 23:00,22,2,SSW,Fog,0.0,97,1,1011,79,24,21,22,5,22,1
2/1/2015 00:00,21,3,SW,Fog,0.0,97,0,1011,100,24,21,21,5,21,1
2/1/2015 01:00,21,2,SW,Fog,0.0,97,0,1011,100,23,20,21,5,21,1
2/1/2015 02:00,21,2,SW,Fog,0.0,98,0,1011,100,22,20,21,4,21,1
2/1/2015 03:00,20,1,SW,Fog,0.0,98,0,1011,100,20,20,20,3,20,1
2/1/2015 04:00,22,2,WSW,Fog,0.0,94,3,1011,80,23,21,22,3,23,1
2/1/2015 05:00,24,2,WSW,Partly cloudy,0.0,89,7,1012,59,26,22,24,2,26,1
2/1/2015 06:00,26,2,W,Partly cloudy,0.0,85,10,1012,39,28,23,26,2,28,1
2/1/2015 07:00,27,3,W,Partly cloudy,0.0,76,10,1012,28,30,22,27,3,30,1
2/1/2015 08:00,29,4,W,Sunny,0.0,66,10,1012,18,32,22,29,5,32,1
2/1/2015 09:00,31,5,WNW,Sunny,0.0,57,10,1012,8,35,21,31,6,35,1
2/1/2015 10:00,31,5,WNW,Sunny,0.0,56,10,1012,10,35,21,31,6,35,1
2/1/2015 11:00,31,5,NW,Patchy rain possible,0.2,56,9,1011,13,34,21,31,6,34,1
2/1/2015 12:00,31,5,NNW,Patchy rain possible,0.2,56,9,1010,16,34,21,31,6,34,1
2/1/2015 13:00,29,4,WSW,Patchy rain possible,0.1,64,9,1010,19,33,22,29,6,33,1
2/1/2015 14:00,28,4,SSE,Sunny,0.0,73,10,1011,22,31,22,28,7,31,1
2/1/2015 15:00,26,4,ENE,Sunny,0.0,81,10,1011,25,29,23,26,7,29,1
2/1/2015 16:00,25,4,ENE,Sunny,0.0,85,10,1012,32,28,23,25,8,28,1
2/1/2015 17:00,24,5,E,Patchy rain possible,0.1,90,9,1012,39,27,22,24,9,27,1
2/1/2015 18:00,23,5,E,Patchy rain possible,0.1,94,9,1013,46,26,22,23,10,26,1
2/1/2015 19:00,23,5,ESE,Patchy rain possible,0.0,95,7,1014,38,25,22,23,9,25,1
2/1/2015 20:00,22,4,ESE,Mist,0.0,96,4,1014,31,25,22,22,8,25,1
2/1/2015 21:00,22,3,SE,Mist,0.0,97,2,1014,24,25,21,22,7,22,1
2/1/2015 22:00,22,3,SE,Mist,0.0,97,1,1014,49,24,21,22,7,22,1
2/1/2015 23:00,21,3,SE,Fog,0.0,97,1,1013,75,24,21,21,7,21,1
3/1/2015 00:00,21,4,SE,Fog,0.0,97,0,1013,100,24,21,21,8,21,1
3/1/2015 01:00,21,3,SE,Fog,0.0,97,0,1013,100,23,20,21,7,21,1
3/1/2015 02:00,21,3,SE,Fog,0.0,97,0,1013,100,22,20,21,7,21,1
3/1/2015 03:00,20,3,SE,Fog,0.0,97,0,1013,100,20,20,20,7,20,1
3/1/2015 04:00,22,3,ESE,Fog,0.0,93,3,1013,77,23,21,22,6,23,1
3/1/2015 05:00,24,4,ESE,Partly cloudy,0.0,89,7,1014,54,25,22,24,5,25,1
3/1/2015 06:00,25,4,E,Partly cloudy,0.0,85,10,1014,30,28,23,25,5,28,1
3/1/2015 07:00,27,5,E,Partly cloudy,0.0,76,10,1014,23,30,22,27,6,30,1
3/1/2015 08:00,29,7,E,Sunny,0.0,68,10,1014,16,32,22,29,8,32,1
3/1/2015 09:00,30,8,ENE,Sunny,0.0,60,10,1013,9,34,22,30,9,34,1
3/1/2015 10:00,31,10,ENE,Sunny,0.0,58,10,1012,7,34,21,31,11,34,1
3/1/2015 11:00,31,11,ENE,Sunny,0.0,56,10,1011,5,34,21,31,13,34,1
3/1/2015 12:00,31,13,ENE,Sunny,0.0,55,10,1010,3,35,21,31,15,35,1
3/1/2015 13:00,30,13,ENE,Sunny,0.0,61,10,1010,2,33,21,30,16,33,1
3/1/2015 14:00,28,12,ENE,Sunny,0.0,67,10,1010,1,31,22,28,18,31,1
3/1/2015 15:00,27,12,ENE,Sunny,0.0,73,10,1010,0,30,22,27,20,30,1
3/1/2015 16:00,26,11,ENE,Sunny,0.0,81,7,1011,7,28,22,26,19,28,1
3/1/2015 17:00,24,10,ENE,Mist,0.0,88,5,1012,15,27,22,24,18,27,1
3/1/2015 18:00,23,9,E,Mist,0.0,95,2,1012,22,25,22,23,17,25,1
3/1/2015 19:00,22,8,E,Mist,0.0,96,1,1013,48,25,22,22,14,25,1
3/1/2015 20:00,22,6,E,Fog,0.0,97,1,1013,74,25,22,22,12,25,1
3/1/2015 21:00,22,5,E,Fog,0.0,98,0,1013,100,24,21,22,10,22,1
3/1/2015 22:00,22,5,E,Fog,0.0,98,0,1013,100,24,21,22,10,22,1
3/1/2015 23:00,21,5,ENE,Fog,0.0,99,0,1012,100,24,21,21,9,21,1
4/1/2015 00:00,21,5,ENE,Fog,0.0,99,0,1011,100,24,21,21,9,21,1
4/1/2015 01:00,22,4,ENE,Fog,0.0,98,0,1012,100,25,21,22,8,22,1
4/1/2015 02:00,22,3,ENE,Fog,0.0,98,0,1012,100,25,22,22,6,25,1
4/1/2015 03:00,23,3,NE,Fog,0.0,97,0,1012,100,25,22,23,5,25,1
4/1/2015 04:00,24,4,ENE,Fog,0.0,92,3,1013,90,26,22,24,6,26,1
4/1/2015 05:00,24,5,ENE,Cloudy,0.0,87,7,1013,80,27,22,24,7,27,1
4/1/2015 06:00,25,6,ENE,Cloudy,0.0,82,10,1014,71,28,22,25,8,28,1
4/1/2015 07:00,27,7,ENE,Cloudy,0.0,75,10,1014,56,29,22,27,9,29,1
4/1/2015 08:00,28,8,ENE,Partly cloudy,0.0,69,10,1013,41,31,22,28,10,31,1
4/1/2015 09:00,30,9,ENE,Partly cloudy,0.0,62,10,1013,26,33,22,30,11,33,1
4/1/2015 10:00,30,10,ENE,Partly cloudy,0.0,60,10,1012,18,34,22,30,12,34,1
4/1/2015 11:00,31,11,ENE,Sunny,0.0,57,10,1011,11,34,21,31,13,34,1
4/1/2015 12:00,31,12,NE,Sunny,0.0,54,10,1010,3,34,21,31,14,34,1
4/1/2015 13:00,30,13,ENE,Sunny,0.0,60,10,1010,4,33,21,30,17,33,1
4/1/2015 14:00,28,14,ENE,Sunny,0.0,67,10,1010,4,31,21,28,20,31,1
4/1/2015 15:00,27,14,ENE,Sunny,0.0,73,10,1011,5,29,22,27,24,29,1
4/1/2015 16:00,25,13,ENE,Sunny,0.0,81,7,1011,14,28,22,25,23,28,1
4/1/2015 17:00,24,12,ENE,Mist,0.0,88,5,1012,24,26,22,24,21,26,1
4/1/2015 18:00,22,11,ENE,Mist,0.0,96,2,1012,33,25,22,22,20,25,1
