Date,Temp C,WindSpeed Kmph,Wind Dir 16 Point,Weather Desc,Precip MM,Humidity,Visibility,Pressure,Cloudcover,HeatIndex C,Dew Point C,WindChill C,Wind Gust Kmph,Feels Like C, UV Index 
1/1/2010 00:00,-1,15,NNE,Overcast,0.0,91,10,996,100,-1,-2,-6,21,-6,1
1/1/2010 01:00,-1,17,NNE,Overcast,0.0,90,8,996,100,-1,-2,-6,24,-6,1
1/1/2010 02:00,-1,18,NNE,Moderate snow,0.0,89,7,996,100,-1,-2,-6,26,-6,1
1/1/2010 03:00,-1,20,NNE,Moderate snow,0.1,88,5,996,100,-1,-3,-6,28,-6,1
1/1/2010 04:00,-1,22,NNE,Moderate snow,0.0,88,7,996,100,-1,-3,-7,31,-7,1
1/1/2010 05:00,-1,25,NNE,Overcast,0.0,88,8,997,100,-1,-3,-7,35,-7,1
1/1/2010 06:00,-1,27,NNE,Overcast,0.0,87,10,997,100,-1,-3,-8,38,-8,1
1/1/2010 07:00,-1,26,NNE,Overcast,0.0,86,8,997,97,-1,-3,-8,36,-8,1
1/1/2010 08:00,-1,25,NNE,Moderate snow,0.0,84,7,998,95,-1,-4,-8,34,-8,1
1/1/2010 09:00,-1,23,NNE,Moderate snow,0.0,82,5,999,92,-1,-4,-8,33,-8,1
1/1/2010 10:00,-1,21,NNE,Moderate snow,0.0,81,7,999,95,-1,-4,-7,28,-7,1
1/1/2010 11:00,-1,18,NNE,Overcast,0.0,80,8,1000,97,-1,-4,-6,24,-6,1
1/1/2010 12:00,-0,15,N,Overcast,0.0,79,10,1000,100,-0,-3,-5,20,-5,1
1/1/2010 13:00,-0,16,N,Overcast,0.0,79,10,1001,83,-0,-3,-5,22,-5,1
1/1/2010 14:00,-0,18,NNE,Patchy light snow,0.0,79,10,1001,65,-0,-4,-5,25,-5,1
1/1/2010 15:00,-0,19,NNE,Patchy light snow,0.0,79,10,1001,48,-1,-4,-6,28,-6,1
1/1/2010 16:00,-1,16,SE,Patchy light snow,0.0,82,10,1003,34,-1,-4,-6,24,-6,1
1/1/2010 17:00,-2,13,SW,Sunny,0.0,84,10,1004,21,-1,-4,-6,21,-6,1
1/1/2010 18:00,-2,11,NNW,Sunny,0.0,87,10,1006,7,-2,-4,-6,18,-6,1
1/1/2010 19:00,-3,10,NNW,Clear,0.0,88,10,1007,5,-2,-3,-5,15,-5,1
1/1/2010 20:00,-3,9,NNW,Clear,0.0,88,10,1007,2,-1,-3,-4,12,-4,1
1/1/2010 21:00,-3,8,NW,Clear,0.0,89,10,1008,0,-1,-3,-4,9,-4,1
1/1/2010 22:00,-3,7,NW,Clear,0.0,88,10,1009,3,-1,-3,-4,10,-4,1
1/1/2010 23:00,-3,7,WNW,Clear,0.0,88,10,1010,5,-2,-3,-5,11,-5,1
2/1/2010 00:00,-3,7,W,Clear,0.0,88,10,1011,8,-2,-4,-5,12,-5,1
2/1/2010 01:00,-3,8,WSW,Clear,0.0,89,10,1011,26,-2,-4,-5,14,-5,1
2/1/2010 02:00,-3,9,WSW,Partly cloudy,0.0,89,10,1012,43,-2,-4,-6,16,-6,1
2/1/2010 03:00,-2,10,SW,Partly cloudy,0.0,90,10,1012,61,-2,-4,-6,18,-6,1
2/1/2010 04:00,-2,11,SW,Partly cloudy,0.0,91,10,1013,55,-2,-3,-6,19,-6,1
2/1/2010 05:00,-2,12,SW,Partly cloudy,0.0,93,10,1013,49,-2,-3,-6,21,-6,1
2/1/2010 06:00,-2,13,SW,Partly cloudy,0.0,94,10,1014,43,-2,-3,-7,22,-7,1
2/1/2010 07:00,-2,14,SW,Partly cloudy,0.0,93,10,1014,43,-2,-3,-7,24,-7,1
2/1/2010 08:00,-2,15,SW,Partly cloudy,0.0,92,10,1014,43,-2,-3,-7,25,-7,1
2/1/2010 09:00,-1,17,SW,Partly cloudy,0.0,90,10,1015,43,-2,-3,-7,27,-7,1
2/1/2010 10:00,-1,16,SW,Partly cloudy,0.0,87,10,1015,54,-1,-3,-6,25,-6,1
2/1/2010 11:00,-0,16,SW,Cloudy,0.0,83,10,1016,65,-0,-3,-5,24,-5,1
2/1/2010 12:00,1,16,SW,Cloudy,0.0,80,10,1016,76,1,-2,-4,22,-4,1
2/1/2010 13:00,1,16,SW,Cloudy,0.0,81,10,1016,75,1,-2,-4,23,-4,1
2/1/2010 14:00,1,16,SW,Cloudy,0.0,83,10,1016,74,1,-2,-4,24,-4,1
2/1/2010 15:00,1,16,SW,Cloudy,0.0,85,10,1016,74,1,-1,-4,25,-4,1
2/1/2010 16:00,0,15,SW,Cloudy,0.0,87,10,1017,75,0,-1,-4,25,-4,1
2/1/2010 17:00,0,14,SW,Cloudy,0.0,90,10,1018,76,0,-1,-4,24,-4,1
2/1/2010 18:00,-0,14,SSW,Cloudy,0.0,92,10,1018,76,-0,-1,-4,23,-4,1
